length              Cd                  Cl                  Cs                  
-0.768              0                   0                   0                   
-0.72088            0.105611            -0.0387966          8.6701e-06          
-0.67376            0.149054            -0.0580771          2.24004e-05         
-0.62664            0.15371             -0.0625162          4.73165e-05         
-0.57952            0.146961            -0.0605675          8.64764e-05         
-0.5324             0.129128            -0.0547463          0.000154119         
-0.48528            0.114487            -0.0479125          0.000234737         
-0.43816            0.102416            -0.0389066          0.000330546         
-0.39104            0.0907744           -0.0353219          0.000395348         
-0.34392            0.100963            -0.0354424          0.000516413         
-0.2968             0.105953            -0.0308046          0.000642317         
-0.24968            0.107216            -0.0174016          0.000839084         
-0.20256            0.105231            -0.0117309          0.00101402          
-0.15544            0.107762            -0.0129566          0.0012704           
-0.10832            0.109776            -0.017793           0.00148428          
-0.0612             0.10665             -0.0213386          0.00154873          
-0.01408            0.106611            -0.0180511          0.0013994           
0.03304             0.106955            -0.0215879          0.00131668          
0.08016             0.115342            -0.0381654          0.00121894          
0.12728             0.117918            -0.0505141          0.00118039          
0.1744              0.116928            -0.0619571          0.00110558          
0.22152             0.117823            -0.0729886          0.00110104          
0.26864             0.12362             -0.0866782          0.000953437         
0.31576             0.135373            -0.101661           0.000902156         
0.36288             0.133335            -0.117697           0.00108616          
0.41                0.136003            -0.136277           0.00111247          
0.45712             0.130425            -0.158119           0.00108817          
0.50424             0.131421            -0.181211           0.00108892          
0.55136             0.133724            -0.20224            0.00106684          
0.59848             0.136323            -0.227391           0.00110785          
0.6456              0.140042            -0.249854           0.00120591          
0.69272             0.151373            -0.267813           0.00135207          
0.73984             0.153815            -0.28255            0.00155821          
0.78696             0.153353            -0.294056           0.00156584          
0.83408             0.151761            -0.302631           0.00172847          
0.8812              0.151689            -0.307576           0.00203413          
0.92832             0.148629            -0.312078           0.00216924          
0.97544             0.142854            -0.312883           0.00223256          
1.02256             0.149693            -0.306836           0.00242216          
1.06968             0.14719             -0.299353           0.00259137          
1.1168              0.143232            -0.289916           0.00283609          
1.16392             0.138586            -0.278926           0.00302363          
1.21104             0.133284            -0.265911           0.0032194           
1.25816             0.127713            -0.251472           0.0034205           
1.30528             0.121408            -0.230644           0.00372531          
1.3524              0.115807            -0.20846            0.00411254          
1.39952             0.112208            -0.191749           0.00445468          
1.44664             0.108586            -0.172575           0.00485337          
1.49376             0.10611             -0.15353            0.00502316          
1.54088             0.10445             -0.135358           0.00520218          
1.588               0.103433            -0.11844            0.00548079          
1.63512             0.10116             -0.102767           0.00578047          
1.68224             0.101956            -0.0881134          0.00598583          
1.72936             0.100615            -0.0748541          0.00603235          
1.77648             0.0995341           -0.062307           0.00628368          
1.8236              0.100389            -0.0522354          0.00657419          
1.87072             0.100507            -0.0411079          0.00689006          
1.91784             0.100423            -0.0288922          0.00714285          
1.96496             0.100161            -0.0177282          0.00748176          
2.01208             0.100268            -0.00664191         0.00789989          
2.0592              0.100796            0.00146877          0.00823953          
2.10632             0.101562            0.0109185           0.00804988          
2.15344             0.102161            0.02211             0.00841962          
2.20056             0.104747            0.0324228           0.00882774          
2.24768             0.104627            0.0372786           0.00955066          
2.2948              0.105014            0.0434724           0.0100006           
2.34192             0.105853            0.0498648           0.00980149          
2.38904             0.105892            0.0567135           0.0100076           
2.43616             0.108472            0.0638842           0.0103939           
2.48328             0.109598            0.0718106           0.010744            
2.5304              0.112359            0.0824466           0.0111004           
2.57752             0.112625            0.0912733           0.0117035           
2.62464             0.132535            0.0985416           0.0126682           
2.67176             0.140483            0.108134            0.0134462           
2.71888             0.14976             0.123582            0.0139128           
2.766               0.154807            0.136325            0.0139567           
2.81312             0.162871            0.147504            0.0140763           
2.86024             0.169827            0.15675             0.0141626           
2.90736             0.171429            0.173769            0.0146163           
2.95448             0.177598            0.205943            0.0155454           
3.0016              0.183476            0.214796            0.0165338           
3.04872             0.200465            0.195935            0.0173191           
3.09584             0.202014            0.182639            0.017834            
3.14296             0.216309            0.180243            0.0195638           
3.19008             0.224679            0.178138            0.0221072           
3.2372              0.233297            0.173959            0.0249132           
3.28432             0.247048            0.170182            0.0266384           
3.33144             0.24888             0.16782             0.025941            
3.37856             0.242864            0.162195            0.0260598           
3.42568             0.242252            0.153123            0.0257582           
3.4728              0.24288             0.141189            0.0262398           
3.51992             0.242821            0.131185            0.0266139           
3.56704             0.244309            0.119232            0.0271412           
3.61416             0.245746            0.109521            0.0275991           
3.66128             0.248092            0.101657            0.0282705           
3.7084              0.252465            0.0957302           0.0289373           
3.75552             0.258235            0.0899037           0.0295567           
3.80264             0.263642            0.084115            0.0301218           
3.84976             0.271201            0.0830699           0.0305103           
3.89688             0.28061             0.0818825           0.030803            
3.944               0.284739            0.0817349           0.0308725           

