#Time(s)            nTime               Cd_Avg              Cl_Avg              Cs_Avg              
1.000011            73613               0.273749            0.098652            0.027247            
1.003489            73869               0.278145            0.103605            0.031473            
1.006967            74125               0.276731            0.099793            0.033319            
1.010445            74381               0.277823            0.093872            0.034474            
1.013922            74637               0.279790            0.097122            0.035671            
1.017400            74893               0.281578            0.097967            0.036612            
1.020878            75149               0.283116            0.095922            0.038150            
1.024355            75405               0.284300            0.091751            0.039040            
1.027833            75661               0.282878            0.090784            0.041457            
1.031311            75917               0.282450            0.090236            0.043161            
1.034788            76173               0.282263            0.087124            0.044106            
1.038266            76429               0.282560            0.084244            0.043659            
1.041744            76685               0.282943            0.081990            0.043317            
1.045221            76941               0.283513            0.079848            0.042600            
1.048699            77197               0.284519            0.079077            0.043701            
1.052177            77453               0.285318            0.077818            0.045600            
1.055654            77709               0.285685            0.077088            0.045768            
1.059132            77965               0.286373            0.077642            0.046144            
1.062610            78221               0.286884            0.078698            0.046051            
1.066087            78477               0.286673            0.079185            0.046464            
1.069565            78733               0.286441            0.078096            0.046314            
1.073043            78989               0.286579            0.076014            0.045734            
1.076521            79245               0.286715            0.076074            0.045581            
1.079998            79501               0.286830            0.078015            0.044731            
1.083476            79757               0.286766            0.079313            0.044213            
1.086954            80013               0.286629            0.079580            0.043845            
1.090431            80269               0.286570            0.081781            0.043638            
1.093909            80525               0.286647            0.084130            0.043456            
1.097387            80781               0.286905            0.083814            0.042953            
1.100864            81037               0.286809            0.082804            0.042271            
1.104342            81293               0.286767            0.083271            0.041092            
1.107820            81549               0.286749            0.084044            0.040047            
1.111297            81805               0.286673            0.084129            0.039097            
1.114775            82061               0.286653            0.084586            0.038431            
1.118253            82317               0.286880            0.084942            0.038225            
1.121730            82573               0.287171            0.085177            0.038060            
1.125208            82829               0.287251            0.085198            0.037455            
1.128686            83085               0.287618            0.085608            0.036878            
1.132164            83341               0.287764            0.086228            0.036203            
1.135641            83597               0.287970            0.087014            0.035629            
1.139119            83853               0.288256            0.087673            0.035151            
1.142597            84109               0.288331            0.088133            0.034815            
1.146074            84365               0.288392            0.088733            0.034604            
1.149552            84621               0.288528            0.089327            0.034657            
1.153030            84877               0.288519            0.089887            0.034695            
1.156507            85133               0.288490            0.090207            0.034794            
1.159985            85389               0.288526            0.090036            0.034847            
1.163463            85645               0.288318            0.090067            0.034851            
1.166940            85901               0.288136            0.090258            0.034845            
1.170418            86157               0.288077            0.089448            0.034909            
1.173896            86413               0.288047            0.089078            0.034899            
1.177374            86669               0.287998            0.088838            0.035054            
1.180851            86925               0.287650            0.087930            0.035659            
1.184329            87181               0.287515            0.086823            0.035997            
1.187806            87437               0.287548            0.086510            0.036257            
1.191284            87693               0.287509            0.086859            0.036454            
1.194762            87949               0.287502            0.087483            0.036741            
1.198240            88205               0.287442            0.087207            0.036794            
1.201717            88461               0.287524            0.086510            0.036862            
1.205195            88717               0.287532            0.085981            0.036983            
1.208673            88973               0.287570            0.085734            0.037310            
1.212150            89229               0.287652            0.086254            0.037717            
1.215628            89485               0.287675            0.086775            0.037832            
1.219106            89741               0.287707            0.086917            0.037848            
1.222583            89997               0.287701            0.087071            0.038008            
1.226061            90253               0.287680            0.086958            0.037876            
1.229539            90509               0.287534            0.086662            0.037907            
1.233016            90765               0.287266            0.087007            0.037768            
1.236494            91021               0.287082            0.087560            0.037773            
1.239972            91277               0.286886            0.087328            0.037871            
1.243450            91533               0.286710            0.086631            0.037907            
1.246927            91789               0.286622            0.086409            0.038143            
1.250405            92045               0.286489            0.086144            0.038067            
1.253883            92301               0.286427            0.085844            0.037990            
1.257360            92557               0.286368            0.085831            0.038036            
1.260838            92813               0.286264            0.085807            0.038044            
1.264316            93069               0.286109            0.085929            0.038303            
1.267793            93325               0.285990            0.085520            0.038441            
1.271271            93581               0.285980            0.084789            0.038485            
1.274749            93837               0.285985            0.084441            0.038476            
1.278226            94093               0.285762            0.084763            0.038640            
1.281704            94349               0.285589            0.084961            0.038624            
1.285182            94605               0.285496            0.084735            0.038480            
1.288659            94861               0.285481            0.084150            0.038357            
1.292137            95117               0.285320            0.084006            0.038271            
1.295615            95373               0.285145            0.084065            0.038168            
1.299093            95629               0.285050            0.084080            0.038036            
1.302570            95885               0.284917            0.083792            0.038004            
1.306048            96141               0.284809            0.083611            0.037895            
1.309526            96397               0.284717            0.083654            0.037847            
1.313003            96653               0.284648            0.083836            0.037582            
1.316481            96909               0.284521            0.083678            0.037502            
1.319959            97165               0.284487            0.083106            0.037417            
1.323436            97421               0.284480            0.082770            0.037383            
1.326914            97677               0.284389            0.082755            0.037439            
1.330392            97933               0.284270            0.082898            0.037473            
1.333869            98189               0.284173            0.082749            0.037288            
1.337347            98445               0.284088            0.082533            0.037262            
1.340825            98701               0.284045            0.082490            0.037213            
1.344302            98957               0.284009            0.082799            0.037124            
1.347780            99213               0.283953            0.082923            0.037084            
1.351258            99469               0.283968            0.082968            0.037019            
1.354735            99725               0.284014            0.082866            0.036913            
1.358213            99981               0.284005            0.082675            0.036769            
1.361691            100237              0.283945            0.082681            0.036794            
1.365169            100493              0.283951            0.082784            0.036747            
1.368646            100749              0.283906            0.082621            0.036611            
1.372124            101005              0.283859            0.082452            0.036453            
1.375602            101261              0.283758            0.082639            0.036289            
1.379079            101517              0.283716            0.082493            0.036082            
1.382557            101773              0.283682            0.082312            0.035785            
1.386035            102029              0.283645            0.082223            0.035558            
1.389512            102285              0.283497            0.081700            0.035301            
1.392990            102541              0.283365            0.081077            0.035130            
1.396468            102797              0.283345            0.080912            0.034931            
1.399945            103053              0.283347            0.080669            0.034725            
1.403423            103309              0.283419            0.080293            0.034535            
1.406901            103565              0.283496            0.080231            0.034344            
1.410378            103821              0.283585            0.080701            0.034178            
1.413856            104077              0.283621            0.080807            0.034073            
1.417334            104333              0.283648            0.080320            0.033984            
1.420812            104589              0.283724            0.080006            0.033806            
1.424289            104845              0.283749            0.080685            0.033685            
1.427767            105101              0.283739            0.081204            0.033473            
1.431245            105357              0.283695            0.081159            0.033365            
1.434722            105613              0.283695            0.081167            0.033246            
1.438200            105869              0.283775            0.081291            0.033258            
1.441678            106125              0.283743            0.081426            0.033244            
1.445155            106381              0.283766            0.081610            0.033139            
1.448633            106637              0.283767            0.081586            0.033012            
1.452111            106893              0.283807            0.081649            0.032984            
1.455588            107149              0.283798            0.082427            0.033012            
1.459066            107405              0.283800            0.083018            0.032975            
1.462544            107661              0.283833            0.083351            0.032984            
1.466021            107917              0.283902            0.083451            0.032918            
1.469499            108173              0.284034            0.083509            0.032903            
1.472977            108429              0.284095            0.083569            0.032914            
1.476454            108685              0.284137            0.083817            0.032858            
1.479932            108941              0.284148            0.084281            0.032741            
1.483410            109197              0.284176            0.084558            0.032789            
1.486888            109453              0.284158            0.084630            0.032790            
1.490365            109709              0.284148            0.084562            0.032868            
1.493843            109965              0.284155            0.084787            0.032943            
1.497321            110221              0.284157            0.085014            0.032959            
1.500798            110477              0.284144            0.084811            0.032991            
1.504276            110733              0.284173            0.084349            0.032921            
1.507754            110989              0.284281            0.084349            0.032843            
1.511231            111245              0.284435            0.084654            0.032802            
1.514709            111501              0.284470            0.084648            0.032805            
1.518187            111757              0.284508            0.084265            0.032868            
1.521664            112013              0.284575            0.083975            0.032906            
1.525142            112269              0.284569            0.084177            0.032880            
1.528620            112525              0.284564            0.084451            0.032863            
1.532097            112781              0.284598            0.084563            0.032792            
1.535575            113037              0.284676            0.084492            0.032786            
1.539053            113293              0.284727            0.084414            0.032702            
1.542531            113549              0.284726            0.084654            0.032616            
1.546008            113805              0.284863            0.085030            0.032617            
1.549486            114061              0.284983            0.085259            0.032653            
1.552964            114317              0.285013            0.085329            0.032658            
1.556441            114573              0.285035            0.085180            0.032691            
1.559919            114829              0.285010            0.085203            0.032625            
1.563397            115085              0.284943            0.085225            0.032510            
1.566874            115341              0.284928            0.085041            0.032470            
1.570352            115597              0.284893            0.084951            0.032493            
1.573830            115853              0.284903            0.084776            0.032538            
1.577307            116109              0.284934            0.084723            0.032594            
1.580785            116365              0.284959            0.084915            0.032589            
1.584263            116621              0.284959            0.085184            0.032685            
1.587740            116877              0.284932            0.085260            0.032710            
1.591218            117133              0.285003            0.085203            0.032770            
1.594696            117389              0.285009            0.085121            0.032808            
1.598173            117645              0.285017            0.085023            0.032807            
1.601651            117901              0.284984            0.084905            0.032803            
1.605129            118157              0.284942            0.084854            0.032807            
1.608607            118413              0.284873            0.085017            0.032895            
1.612084            118669              0.284860            0.085028            0.033011            
1.615562            118925              0.284821            0.084842            0.033154            
1.619040            119181              0.284791            0.084751            0.033225            
1.622517            119437              0.284800            0.084748            0.033331            
1.625995            119693              0.284775            0.084787            0.033429            
1.629473            119949              0.284764            0.084698            0.033470            
1.632950            120205              0.284768            0.084838            0.033557            
1.636428            120461              0.284767            0.085210            0.033580            
