#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -26.4626            -0.000121958        -0.0784111          0.000478065         -39.9511            -0.00376149         
0.00347769          256                 7509.86             22.6448             728.166             -33.1066            16758.5             35.3395             
0.00695537          512                 2311.19             17.9906             -654.575            51.4551             11671.1             110.218             
0.0104331           768                 -376.393            31.664              1418.84             -38.2013            -10699.5            167.327             
0.0139107           1024                -1984.26            85.0419             295.301             -121.561            -12400.1            249.923             
0.0173884           1280                -2183.39            15.9492             -3076.25            81.1528             10005.7             -10.0845            
0.0208661           1536                719.924             -42.8376            3247.54             -11.7744            2501.65             -104.329            
0.0243438           1792                214.276             28.668              1254.71             -62.8239            -10036.3            116.711             
0.0278215           2048                -116.825            22.1672             -885.138            -14.4719            1310.08             32.6449             
0.0312992           2304                377.951             -28.2384            -836.919            34.3547             4993.27             -110.473            
0.0347769           2560                527.297             2.07764             1400.96             -9.7757             -1340.53            21.8369             
0.0382545           2816                381.724             2.13118             856.344             -21.488             -4086.27            21.2916             
0.0417322           3072                94.3058             18.6455             -19.3318            -4.33391            496.672             42.9465             
0.0452099           3328                483.63              -20.5664            88.6441             16.4833             1990.3              -60.5695            
0.0486876           3584                468.105             0.458597            514.504             1.5809              -1688.27            8.92044             
0.0521653           3840                284.423             6.58983             770.164             -12.2174            -1705.41            25.3332             
0.055643            4096                286.438             -6.49343            391.181             7.56599             -115.49             -9.94715            
0.0591207           4352                355.771             -4.84381            508.313             7.65956             -384.082            -9.69127            
0.0625984           4608                336.467             7.75997             530.336             -7.50461            -1277.03            19.6714             
0.066076            4864                296.651             10.6325             437.434             -6.66722            -847.113            27.7566             
0.0695537           5120                378.44              -0.0307546          417.743             8.66566             -356.388            2.8819              
0.0730314           5376                401.906             7.75688             419.826             -6.76964            -885.907            4.94124             
0.0765091           5632                367.602             -4.76134            368.195             6.0019              -1035.43            15.0342             
0.0799868           5888                365.997             5.38073             387.595             -7.88402            -825.882            0.692856            
0.0834645           6144                385.976             6.18403             485.841             -9.80218            -941.726            7.93337             
0.0869422           6400                377.903             0.546485            552.399             3.08545             -1386.39            -4.52617            
0.0904198           6656                350.582             4.70837             535.006             -8.29429            -1400.94            13.1721             
0.0938975           6912                332.024             -4.27273            538.869             0.861914            -1304.58            5.36591             
0.0973752           7168                342.438             -4.86433            537.626             6.36893             -1336.49            -2.68116            
0.100853            7424                330.902             14.1991             443.452             -9.48926            -1283.14            29.5171             
0.104331            7680                326.449             3.8375              416.233             -5.10664            -1266.34            21.0688             
0.107808            7936                327.886             6.11925             538.206             -8.36034            -1447.74            31.2458             
0.111286            8192                336.746             12.7991             585.529             -12.9651            -1603.5             35.2632             
0.114764            8448                353.761             -6.94006            533.85              10.1783             -1498.41            10.5322             
