#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   56.261              -0.462827           -8.44183            7.62782             1176.82             41.9507             
0.00347769          256                 255.799             -267.61             -27.2136            98.6689             84.0667             198.166             
0.00695537          512                 -28.9376            134.231             -15.0473            -22.5112            -5.0693             -16.0187            
0.0104331           768                 46.7829             -83.972             -11.5402            33.784              16.9418             38.2744             
0.0139107           1024                200.618             52.6185             -26.4594            3.21847             67.0671             155.377             
0.0173884           1280                -88.55              -63.3446            23.7263             -3.85399            -26.9222            -70.4237            
0.0208661           1536                35.6517             -138.688            0.378668            41.972              14.2581             27.118              
0.0243438           1792                27.5833             65.3243             -23.7888            -4.75121            11.5866             19.2021             
0.0278215           2048                44.4152             -48.4762            -20.166             28.4754             16.3911             35.6251             
0.0312992           2304                3.78397             -25.3842            -2.4676             5.31484             3.25308             1.91877             
0.0347769           2560                22.8619             -58.3007            -18.269             28.6771             9.50359             19.1103             
0.0382545           2816                28.4857             9.06202             -6.31447            -2.23844            11.0799             23.6089             
0.0417322           3072                15.1334             -37.7193            -16.1935            20.7312             6.78881             15.1595             
0.0452099           3328                24.5355             -42.0602            -14.2207            20.1564             9.68042             23.5413             
0.0486876           3584                21.1555             -15.5737            -9.89604            8.20777             8.36421             20.845              
0.0521653           3840                25.856              -40.9865            -17.5234            22.4644             9.81561             25.8368             
0.055643            4096                20.4495             -25.5687            -10.4605            12.7844             8.05209             22.4061             
0.0591207           4352                19.6848             -40.5068            -12.3299            19.4138             7.94123             21.5531             
0.0625984           4608                20.1019             -25.7367            -12.1271            14.7183             8.22094             21.1633             
0.066076            4864                15.6356             -34.1527            -12.4402            18.1292             6.74855             16.6717             
0.0695537           5120                17.5863             -38.5733            -8.44815            16.9676             7.36272             17.4881             
0.0730314           5376                24.7473             -30.3418            -7.57853            14.0324             9.48873             23.0899             
0.0765091           5632                27.4459             -18.5725            -6.64029            9.47788             10.1306             26.3155             
0.0799868           5888                30.5791             -28.3611            -8.2358             14.187              11.1933             28.2633             
0.0834645           6144                34.6153             -25.8371            -9.65658            14.2897             12.6358             31.8877             
0.0869422           6400                34.0249             -26.0351            -4.28137            10.1679             12.4663             31.7739             
0.0904198           6656                26.2098             -27.3458            -9.29525            14.3492             10.0695             25.9625             
0.0938975           6912                25.3739             -26.1452            -8.72542            13.7041             9.91445             25.5634             
0.0973752           7168                25.8841             -31.0177            -8.02677            15.0352             10.0587             25.9242             
0.100853            7424                31.7684             -26.8279            -6.2181             12.1218             12.1206             30.3799             
0.104331            7680                27.5854             -29.7239            -8.88106            15.582              10.7427             26.8476             
0.107808            7936                25.6652             -37.9509            -8.52826            18.4625             10.4195             24.5168             
0.111286            8192                26.5454             -35.8507            -10.8356            19.7601             10.8667             25.838              
0.114764            8448                26.5621             -31.8106            -10.8023            18.7489             10.7451             26.4685             
0.118241            8704                25.3765             -39.1789            -11.7772            22.0135             10.4057             24.6355             
0.121719            8960                28.3841             -50.3494            -9.89568            24.1412             11.5223             25.6129             
0.125197            9216                31.1556             -51.914             -8.32495            23.1065             12.2704             26.7011             
0.128674            9472                30.8825             -51.4763            -5.90721            20.8577             12.1936             27.4167             
0.132152            9728                33.3184             -53.9298            -7.94782            23.465              12.9866             27.9424             
0.13563             9984                35.5917             -56.2315            -7.08518            23.4687             13.5698             28.684              
0.139107            10240               36.6481             -59.8825            -7.55895            24.7349             13.9705             28.2049             
0.142585            10496               42.928              -57.6373            -5.74674            22.7676             15.8546             34.0017             
0.146063            10752               46.4564             -43.63              -4.01775            16.7083             17.0794             38.4994             
0.149541            11008               39.539              -43.7629            -5.33007            17.9909             14.7729             33.1923             
0.153018            11264               30.9731             -45.9597            -6.27404            19.1999             11.9501             27.2188             
0.156496            11520               32.017              -46.7541            -12.272             24.7538             12.47               27.6437             
0.159974            11776               40.7313             -49.9295            -9.77486            23.6233             15.1657             33.3066             
0.163451            12032               42.7132             -51.9629            -8.91835            22.3993             15.8301             34.5679             
0.166929            12288               38.7663             -50.2546            -8.20923            21.6605             14.5439             33.1489             
0.170407            12544               31.4801             -43.4375            -11.123             22.5601             12.3867             29.0872             
0.173884            12800               28.3058             -44.8311            -10.36              22.7492             11.1689             26.519              
0.177362            13056               26.7251             -55.0583            -12.7906            27.6411             10.8563             23.4322             
0.18084             13312               31.5954             -52.1019            -11.2406            24.5268             12.372              27.4617             
0.184317            13568               37.6251             -52.8629            -13.3301            26.9918             14.1644             31.8648             
0.187795            13824               41.9618             -55.5571            -12.4739            27.9088             15.3612             34.2936             
0.191273            14080               42.705              -52.3207            -11.7446            26.1102             15.8458             35.8397             
0.19475             14336               38.6315             -49.0599            -11.8576            25.2378             14.663              33.3709             
0.198228            14592               36.0636             -52.0317            -11.2085            25.5735             13.8759             30.926              
0.201706            14848               39.4382             -49.1484            -11.1668            24.0424             14.9944             34.8994             
0.205183            15104               37.054              -46.0657            -13.302             24.858              14.439              33.7457             
0.208661            15360               35.1023             -43.2147            -11.567             22.1763             13.8479             31.633              
0.212139            15616               37.9967             -33.3309            -11.8907            19.4165             14.6096             35.0918             
0.215617            15872               35.0963             -38.6701            -13.6555            23.5941             13.5312             31.8163             
0.219094            16128               35.3289             -45.3441            -13.9147            26.3333             13.7059             30.8129             
0.222572            16384               38.6949             -39.774             -12.2482            22.4184             14.6458             34.0873             
0.22605             16640               39.3578             -38.5849            -12.0964            21.4189             14.7731             34.2138             
0.229527            16896               33.1258             -51.4851            -12.5857            26.1311             12.6706             27.5888             
0.233005            17152               38.1128             -53.3357            -9.41268            24.4782             14.2081             30.8202             
0.236483            17408               41.101              -36.8856            -7.00385            17.5765             15.2057             36.0703             
0.23996             17664               40.6855             -43.7768            -9.34813            21.6096             15.0392             35.1535             
