#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   54.0775             -2.71612            1.72281             -2.06139            1169.9              29.202              
0.00347769          256                 377.262             -26.1171            -40.8693            50.4686             244.72              226.318             
0.00695537          512                 -46.2622            10.3423             -3.34644            -2.26638            -0.489679           -13.3101            
0.0104331           768                 111.375             -3.10093            30.0589             -25.8187            -50.3908            66.8432             
0.0139107           1024                17.0771             -239.775            -28.5387            96.8374             93.4125             -703.259            
0.0173884           1280                15.8977             229.714             31.1719             -95.8682            -84.6384            698.962             
0.0208661           1536                45.2849             0.00702711          -31.9216            24.9088             112.574             35.703              
0.0243438           1792                -12.496             -122.951            -7.11148            45.0778             20.1926             -377.235            
0.0278215           2048                -0.957539           68.0785             11.3407             -28.0544            -30.9788            200.354             
0.0312992           2304                0.981098            18.0542             20.398              -21.7954            -57.3472            53.3009             
0.0347769           2560                -9.38627            -7.95233            21.2063             -14.1243            -63.0037            -31.2366            
0.0382545           2816                18.8411             -64.5897            13.429              8.44317             -30.9866            -178.525            
0.0417322           3072                -10.4736            10.9544             14.1329             -14.7885            -42.3656            24.4297             
0.0452099           3328                11.7556             -5.82402            8.48537             -5.53971            -18.4551            -7.27375            
0.0486876           3584                5.80553             -30.951             12.9366             -0.768744           -33.6499            -87.3695            
0.0521653           3840                6.30942             -29.8176            9.46157             2.24735             -22.8585            -86.0592            
0.055643            4096                4.67519             -17.7557            11.9876             -3.74949            -30.7922            -54.9769            
0.0591207           4352                14.57               -14.9588            12.2156             -5.2488             -28.5032            -40.6373            
0.0625984           4608                15.7591             -10.0185            11.6635             -6.30767            -26.5744            -23.9611            
0.066076            4864                8.12439             3.42166             10.8503             -9.59543            -26.5347            12.2767             
0.0695537           5120                1.76041             7.93837             11.1942             -11.016             -29.5357            22.7114             
0.0730314           5376                -3.8215             -5.44059            8.51815             -4.20458            -23.5348            -20.8759            
0.0765091           5632                -0.956057           -9.17967            10.1072             -4.32759            -27.33              -28.9797            
0.0799868           5888                -3.92947            -8.30365            16.2198             -9.58613            -46.299             -28.4906            
0.0834645           6144                -4.47341            -20.2855            14.9179             -4.71842            -42.6775            -64.2441            
0.0869422           6400                -4.42367            -28.8567            13.447              -1.62245            -38.2675            -89.1925            
0.0904198           6656                -3.28511            -32.6428            13.576              -0.491129           -38.3685            -99.7494            
0.0938975           6912                -1.99478            -37.9636            17.2538             -1.81896            -48.9296            -114.474            
0.0973752           7168                -0.0347473          -44.0335            19.5216             -1.64189            -55.0302            -131.182            
0.100853            7424                0.71972             -48.5367            20.5196             -1.1892             -57.7161            -144.309            
0.104331            7680                4.76829             -49.5434            21.3295             -1.34722            -58.7472            -144.419            
0.107808            7936                9.62462             -54.9751            19.8895             1.58454             -52.7576            -156.872            
0.111286            8192                10.4661             -52.736             20.2684             0.760196            -53.4762            -149.544            
0.114764            8448                10.0273             -49.2732            20.6239             -0.637889           -54.6118            -138.858            
0.118241            8704                12.1904             -50.3642            20.3579             0.0107216           -53.1572            -140.626            
0.121719            8960                14.7462             -48.5369            21.1572             -1.26254            -54.592             -133.629            
0.125197            9216                20.1943             -46.5779            22.0046             -2.0787             -55.2223            -124.544            
0.128674            9472                24.454              -42.9536            21.7588             -2.78766            -53.0488            -111.703            
0.132152            9728                28.3075             -37.3252            21.8783             -4.48346            -52.1295            -93.0538            
0.13563             9984                31.2388             -28.5298            19.0573             -5.53398            -42.8189            -65.1031            
0.139107            10240               32.8408             -21.3233            16.4523             -6.26468            -34.5909            -42.3221            
0.142585            10496               32.3724             -15.7328            13.7239             -6.36665            -26.7136            -25.4582            
0.146063            10752               29.5385             -11.1599            9.72628             -4.8199             -15.7533            -13.6408            
0.149541            11008               26.2409             -5.44015            6.41373             -3.96316            -7.05655            0.957221            
0.153018            11264               23.9821             -1.70987            5.88731             -4.81727            -6.2608             10.5545             
0.156496            11520               21.8965             -1.32937            5.84071             -5.17783            -6.68142            10.639              
0.159974            11776               22.2859             -3.66322            4.93752             -3.65872            -3.84657            4.69102             
0.163451            12032               24.9479             -5.35418            4.14529             -2.31801            -0.613437           2.38671             
0.166929            12288               26.2541             0.737179            5.80173             -5.02204            -5.12213            21.5574             
0.170407            12544               24.3276             9.39769             2.42734             -3.99414            4.16338             45.6007             
0.173884            12800               24.594              15.1204             -1.67376            -2.26909            16.2924             63.6722             
0.177362            13056               27.2634             18.6878             -1.54767            -4.15206            16.6694             77.4702             
0.18084             13312               28.67               10.2105             -2.44769            -1.69136            19.8345             54.4574             
0.184317            13568               27.2848             7.69361             -1.83636            -0.851232           17.677              46.3543             
0.187795            13824               29.123              1.6522              -1.99126            0.982971            18.779              28.9242             
0.191273            14080               29.5185             6.02367             -0.455375           -0.65008            14.4625             42.1558             
0.19475             14336               27.0245             7.72752             -2.31649            0.641115            19.1373             45.4631             
0.198228            14592               36.3451             9.90409             -3.86526            1.6833              26.8027             58.8734             
0.201706            14848               38.176              22.5026             -2.08407            -2.77764            22.3187             98.0351             
0.205183            15104               39.3135             28.3157             -4.67928            -2.65029            30.161              115.159             
0.208661            15360               38.5215             15.1413             -3.07789            -0.371648           25.2328             74.5973             
0.212139            15616               34.1303             7.51741             -2.14749            1.10922             21.1211             48.2216             
0.215617            15872               33.8363             3.12515             -0.873764           0.355066            17.1977             34.9934             
0.219094            16128               29.5945             -0.714448           2.32015             -0.511032           6.37167             19.7215             
0.222572            16384               31.7661             8.30795             3.7521              -3.69012            2.62842             49.0358             
0.22605             16640               30.0239             7.35593             2.0341              -2.06072            7.34893             45.9171             
0.229527            16896               27.9511             3.12922             0.441672            1.03852             11.5631             32.6318             
0.233005            17152               31.9182             -4.91267            -0.382891           3.25214             15.2104             10.776              
0.236483            17408               32.0022             -7.12717            -0.75265            4.92082             16.5352             2.1142              
0.23996             17664               34.8451             -2.6067             1.59312             2.19512             10.6218             15.9564             
0.243438            17920               40.6337             12.2318             3.53656             -3.4328             6.52651             63.855              
0.246916            18176               37.1576             9.84801             1.90237             -1.31452            9.74113             54.3727             
0.250393            18432               32.2825             7.04395             2.73097             -1.22903            6.26543             44.1741             
0.253871            18688               36.5091             0.1618              -0.329349           2.19251             16.5887             28.1621             
