length              Cd                  Cl                  Cs                  
-0.928              0                   0                   0                   
-0.87768            0.0705657           0.000687243         7.34498e-05         
-0.82736            0.135334            0.00242827          -5.67496e-05        
-0.77704            0.181929            0.00464247          0.000357972         
-0.72672            0.219843            0.0122586           0.000168378         
-0.6764             0.227116            0.0246828           0.000128068         
-0.62608            0.228116            0.0381656           -0.000126193        
-0.57576            0.219455            0.0484635           0.000788175         
-0.52544            0.215039            0.0546305           0.000769015         
-0.47512            0.213157            0.0642847           0.00106726          
-0.4248             0.213021            0.065202            0.00176943          
-0.37448            0.218409            0.0635492           0.0012798           
-0.32416            0.214855            0.0642551           0.00130991          
-0.27384            0.214068            0.0629974           0.00357418          
-0.22352            0.21583             0.0534746           0.00462746          
-0.1732             0.221884            0.0392795           0.00538645          
-0.12288            0.226024            0.0257539           0.00556599          
-0.07256            0.228364            0.0111586           0.0054234           
-0.02224            0.229913            -0.00670279         0.00673928          
0.02808             0.235024            -0.0243301          0.00650408          
0.0784              0.236151            -0.0417927          0.00585915          
0.12872             0.238847            -0.0636926          0.00595534          
0.17904             0.234054            -0.0819053          0.00696889          
0.22936             0.222243            -0.0921851          0.00635553          
0.27968             0.22172             -0.104271           0.00527126          
0.33                0.233302            -0.121372           0.00536751          
0.38032             0.251069            -0.141482           0.00556893          
0.43064             0.249               -0.164285           0.00538856          
0.48096             0.264338            -0.191871           0.00520601          
0.53128             0.279115            -0.212935           0.00529498          
0.5816              0.289735            -0.231885           0.00504333          
0.63192             0.296676            -0.248196           0.0046097           
0.68224             0.30191             -0.264095           0.0040535           
0.73256             0.315442            -0.277049           0.00398202          
0.78288             0.322254            -0.288191           0.00440357          
0.8332              0.32619             -0.294735           0.00368659          
0.88352             0.325717            -0.295179           0.00492782          
0.93384             0.329653            -0.293675           0.00376558          
0.98416             0.329471            -0.291727           0.00411914          
1.03448             0.327171            -0.287696           0.00411354          
1.0848              0.323161            -0.28172            0.00406005          
1.13512             0.320947            -0.274061           0.00393447          
1.18544             0.319032            -0.262565           0.00364797          
1.23576             0.31545             -0.249633           0.00325659          
1.28608             0.310951            -0.235119           0.0030178           
1.3364              0.308113            -0.218448           0.00252972          
1.38672             0.305741            -0.204487           0.00243154          
1.43704             0.305915            -0.191025           0.00229913          
1.48736             0.305926            -0.181345           0.00218187          
1.53768             0.304716            -0.170471           0.00208876          
1.588               0.303678            -0.161627           0.00195604          
1.63832             0.301523            -0.15351            0.00167498          
1.68864             0.299525            -0.144985           0.00156471          
1.73896             0.299704            -0.137704           0.00162917          
1.78928             0.301649            -0.130529           0.00151725          
1.8396              0.303571            -0.123684           0.00151178          
1.88992             0.304857            -0.116025           0.00103037          
1.94024             0.307817            -0.110249           0.000776724         
1.99056             0.309518            -0.104802           0.00047032          
2.04088             0.311068            -0.0984874          0.000240853         
2.0912              0.312224            -0.0933587          1.00456e-05         
2.14152             0.309342            -0.0886652          -0.000145515        
2.19184             0.312084            -0.0840787          -0.00031501         
2.24216             0.309818            -0.0791699          -0.000557724        
2.29248             0.303893            -0.0749189          -0.000737832        
2.3428              0.299976            -0.0680155          -0.00101251         
2.39312             0.31034             -0.0597122          -0.00132359         
2.44344             0.311101            -0.0573473          -0.00152176         
2.49376             0.310741            -0.053907           -0.00183818         
2.54408             0.31216             -0.0468719          -0.00235389         
2.5944              0.310274            -0.0461215          -0.00277936         
2.64472             0.307733            -0.0458264          -0.00261781         
2.69504             0.307411            -0.0420485          -0.00269688         
2.74536             0.306228            -0.0397877          -0.00336501         
2.79568             0.305048            -0.0394373          -0.00432327         
2.846               0.315115            -0.0387684          -0.00476223         
2.89632             0.318039            -0.040602           -0.00492161         
2.94664             0.321775            -0.0435537          -0.0052187          
2.99696             0.323842            -0.0484765          -0.00526635         
3.04728             0.327923            -0.0531536          -0.00456963         
3.0976              0.335197            -0.0586483          -0.00348854         
3.14792             0.341418            -0.0655115          -0.00325836         
3.19824             0.345839            -0.0719511          -0.00305003         
3.24856             0.347342            -0.0812031          -0.00308288         
3.29888             0.35388             -0.0882779          -0.00284439         
3.3492              0.362214            -0.0934564          -0.00314298         
3.39952             0.38012             -0.0983701          -0.00361118         
3.44984             0.374664            -0.10054            -0.00405076         
3.50016             0.372215            -0.103823           -0.00453309         
3.55048             0.3838              -0.106097           -0.00509333         
3.6008              0.392871            -0.103054           -0.00584217         
3.65112             0.397269            -0.100381           -0.0065415          
3.70144             0.39901             -0.0973412          -0.00691648         
3.75176             0.400123            -0.0940386          -0.00739154         
3.80208             0.404539            -0.0936374          -0.00824437         
3.8524              0.398232            -0.0940227          -0.00888405         
3.90272             0.375073            -0.0953959          -0.00942271         
3.95304             0.373729            -0.0954619          -0.0100428          
4.00336             0.376626            -0.0952634          -0.0104238          
4.05368             0.377157            -0.0950876          -0.0107496          
4.104               0.371372            -0.095142           -0.0108328          

