#Time(s)            nTime               Cd_Avg              Cl_Avg              Cs_Avg              
1.000011            73613               0.387534            -0.041188           -0.029396           
1.003489            73869               0.386458            -0.049183           -0.024347           
1.006967            74125               0.384362            -0.052972           -0.022885           
1.010445            74381               0.382740            -0.050973           -0.024978           
1.013922            74637               0.381658            -0.045768           -0.027993           
1.017400            74893               0.381293            -0.044881           -0.029212           
1.020878            75149               0.381745            -0.047537           -0.029943           
1.024355            75405               0.380984            -0.050266           -0.031236           
1.027833            75661               0.379875            -0.049832           -0.030854           
1.031311            75917               0.379352            -0.049119           -0.031797           
1.034788            76173               0.379648            -0.050506           -0.033046           
1.038266            76429               0.379450            -0.051599           -0.033284           
1.041744            76685               0.379556            -0.051765           -0.032071           
1.045221            76941               0.379571            -0.051580           -0.031153           
1.048699            77197               0.379333            -0.051601           -0.030725           
1.052177            77453               0.379568            -0.050962           -0.029929           
1.055654            77709               0.379819            -0.051086           -0.029097           
1.059132            77965               0.380098            -0.051150           -0.028776           
1.062610            78221               0.380144            -0.051119           -0.028851           
1.066087            78477               0.380021            -0.051058           -0.028945           
1.069565            78733               0.380044            -0.050929           -0.029740           
1.073043            78989               0.380155            -0.051353           -0.030223           
1.076521            79245               0.380500            -0.052030           -0.030629           
1.079998            79501               0.380567            -0.052909           -0.030918           
1.083476            79757               0.380399            -0.053927           -0.031029           
1.086954            80013               0.380022            -0.055460           -0.031458           
1.090431            80269               0.379872            -0.057198           -0.031587           
1.093909            80525               0.379678            -0.059055           -0.031818           
1.097387            80781               0.379688            -0.060920           -0.031935           
1.100864            81037               0.379727            -0.062358           -0.032246           
1.104342            81293               0.379973            -0.063037           -0.032468           
1.107820            81549               0.380438            -0.063908           -0.032946           
1.111297            81805               0.380848            -0.064930           -0.033128           
1.114775            82061               0.381428            -0.065849           -0.033459           
1.118253            82317               0.381838            -0.066230           -0.034164           
1.121730            82573               0.381821            -0.066467           -0.034958           
1.125208            82829               0.381658            -0.067256           -0.035848           
1.128686            83085               0.381506            -0.067754           -0.036817           
1.132164            83341               0.381398            -0.067688           -0.037871           
1.135641            83597               0.381151            -0.068252           -0.038480           
1.139119            83853               0.381099            -0.068818           -0.038487           
1.142597            84109               0.380818            -0.068907           -0.038448           
1.146074            84365               0.380549            -0.069011           -0.038519           
1.149552            84621               0.380354            -0.069406           -0.038654           
1.153030            84877               0.380204            -0.069717           -0.038881           
1.156507            85133               0.380063            -0.069639           -0.039364           
1.159985            85389               0.379720            -0.069572           -0.039570           
1.163463            85645               0.379546            -0.069492           -0.039746           
1.166940            85901               0.379390            -0.069432           -0.039869           
1.170418            86157               0.379318            -0.069251           -0.039890           
1.173896            86413               0.379311            -0.068857           -0.040170           
1.177374            86669               0.379434            -0.068432           -0.040742           
1.180851            86925               0.379542            -0.068053           -0.041278           
1.184329            87181               0.379672            -0.067670           -0.041695           
1.187806            87437               0.379793            -0.067325           -0.042123           
1.191284            87693               0.379828            -0.067188           -0.042830           
1.194762            87949               0.379774            -0.067400           -0.043406           
1.198240            88205               0.379616            -0.067786           -0.043949           
1.201717            88461               0.379550            -0.068162           -0.044389           
1.205195            88717               0.379368            -0.068456           -0.044709           
1.208673            88973               0.379167            -0.068681           -0.044740           
1.212150            89229               0.378984            -0.069136           -0.044730           
1.215628            89485               0.378826            -0.069914           -0.044593           
1.219106            89741               0.378661            -0.070842           -0.044409           
1.222583            89997               0.378512            -0.071811           -0.044060           
1.226061            90253               0.378382            -0.072493           -0.043830           
1.229539            90509               0.378286            -0.073042           -0.043672           
1.233016            90765               0.378216            -0.073655           -0.043487           
1.236494            91021               0.378160            -0.074076           -0.043185           
1.239972            91277               0.378062            -0.074497           -0.042820           
1.243450            91533               0.377929            -0.074715           -0.042447           
1.246927            91789               0.377841            -0.074856           -0.042132           
1.250405            92045               0.377739            -0.075033           -0.041812           
1.253883            92301               0.377699            -0.075106           -0.041660           
1.257360            92557               0.377727            -0.074984           -0.041519           
1.260838            92813               0.377791            -0.075004           -0.041419           
1.264316            93069               0.377809            -0.074893           -0.041268           
1.267793            93325               0.377849            -0.074486           -0.041084           
1.271271            93581               0.377841            -0.074122           -0.040971           
1.274749            93837               0.377738            -0.074018           -0.040940           
1.278226            94093               0.377703            -0.073904           -0.040761           
1.281704            94349               0.377635            -0.073649           -0.040621           
1.285182            94605               0.377576            -0.073403           -0.040421           
1.288659            94861               0.377410            -0.073065           -0.040138           
1.292137            95117               0.377280            -0.072801           -0.039794           
1.295615            95373               0.377153            -0.072711           -0.039384           
1.299093            95629               0.377065            -0.072831           -0.038877           
1.302570            95885               0.376994            -0.072812           -0.038323           
1.306048            96141               0.377020            -0.072607           -0.037821           
1.309526            96397               0.377150            -0.072333           -0.037384           
1.313003            96653               0.377245            -0.072070           -0.036920           
1.316481            96909               0.377209            -0.071772           -0.036613           
