#Time(s)            nTime               Cd_Inst             Cl_Inst             Cs_Inst             
0.000000            0                   -0.030345           -0.072061           0.011971            
0.003478            256                 6.898478            -2.345845           0.003473            
0.006955            512                 2.969022            -0.115148           0.052096            
0.010433            768                 -0.631930           1.144255            -0.050734           
0.013911            1024                -0.936969           0.797378            0.017245            
0.017388            1280                -0.267926           -0.327833           -0.051419           
0.020866            1536                0.938868            -0.201800           0.136112            
0.024344            1792                0.590079            -0.582518           0.012627            
0.027821            2048                0.229427            -0.112520           -0.042956           
0.031299            2304                -0.344745           0.439699            0.000630            
0.034777            2560                -0.518176           0.259998            0.040996            
0.038255            2816                -0.077851           0.017259            0.022015            
0.041732            3072                0.446316            -0.242891           -0.035689           
0.045210            3328                0.722618            -0.121149           0.014810            
0.048688            3584                0.633738            0.077951            0.021696            
0.052165            3840                0.356790            0.139007            0.022805            
0.055643            4096                0.150087            0.106455            0.009108            
0.059121            4352                0.093651            0.034030            0.019677            
0.062598            4608                0.183408            0.056819            0.032871            
0.066076            4864                0.313055            0.088352            0.027193            
0.069554            5120                0.417761            0.084653            0.031791            
0.073031            5376                0.438635            0.101492            0.023600            
0.076509            5632                0.398300            0.100255            0.021659            
0.079987            5888                0.326965            0.091575            0.016819            
0.083464            6144                0.265523            0.088207            0.008592            
0.086942            6400                0.257290            0.105693            0.014477            
0.090420            6656                0.287429            0.118017            0.016257            
0.093898            6912                0.333714            0.119447            0.020889            
0.097375            7168                0.358985            0.113840            0.020278            
0.100853            7424                0.357836            0.104151            0.004100            
0.104331            7680                0.331790            0.094536            0.001372            
0.107808            7936                0.308031            0.097752            0.001991            
0.111286            8192                0.301608            0.101290            -0.004256           
0.114764            8448                0.306712            0.106966            0.003606            
0.118241            8704                0.318201            0.102766            0.005566            
0.121719            8960                0.331931            0.099359            0.007414            
0.125197            9216                0.335625            0.098909            0.018031            
0.128674            9472                0.328155            0.111320            0.018409            
0.132152            9728                0.320346            0.128501            0.014397            
0.135630            9984                0.314726            0.131205            0.013943            
0.139107            10240               0.316404            0.140489            0.018871            
0.142585            10496               0.323624            0.150736            0.014781            
0.146063            10752               0.333889            0.165110            0.012732            
0.149541            11008               0.340007            0.175695            0.012196            
0.153018            11264               0.347549            0.181786            0.013276            
0.156496            11520               0.351064            0.190712            0.016237            
0.159974            11776               0.365416            0.201608            0.019187            
0.163451            12032               0.383146            0.205939            0.015287            
0.166929            12288               0.395947            0.211901            0.012982            
0.170407            12544               0.406015            0.221120            0.006602            
0.173884            12800               0.426817            0.230216            0.001057            
0.177362            13056               0.439603            0.227424            0.001098            
0.180840            13312               0.452667            0.228291            -0.012215           
0.184317            13568               0.465687            0.242246            0.001353            
0.187795            13824               0.474170            0.245477            -0.001257           
0.191273            14080               0.476883            0.232951            -0.006021           
0.194750            14336               0.486202            0.211373            -0.011420           
0.198228            14592               0.483694            0.197401            -0.018775           
0.201706            14848               0.481381            0.199235            -0.017459           
0.205184            15104               0.466881            0.186328            -0.007958           
0.208661            15360               0.456724            0.179743            -0.012476           
0.212139            15616               0.445285            0.161100            -0.014409           
0.215617            15872               0.434498            0.144997            -0.017572           
0.219094            16128               0.427387            0.129256            -0.015646           
0.222572            16384               0.415967            0.106787            -0.012074           
0.226050            16640               0.403072            0.077471            0.001940            
0.229527            16896               0.386668            0.059624            0.000747            
0.233005            17152               0.369219            0.048503            0.003197            
0.236483            17408               0.361989            0.038346            0.009908            
0.239960            17664               0.355040            0.022265            0.009725            
0.243438            17920               0.349590            -0.009723           0.012027            
0.246916            18176               0.344278            -0.023471           0.022864            
0.250393            18432               0.341215            -0.029827           0.011279            
0.253871            18688               0.336709            -0.039800           0.001183            
0.257349            18944               0.334397            -0.059823           -0.000428           
0.260826            19200               0.331698            -0.082013           0.007692            
0.264304            19456               0.329578            -0.081595           0.007252            
0.267782            19712               0.323670            -0.090234           0.002497            
0.271260            19968               0.316112            -0.110715           -0.000858           
0.274737            20224               0.318086            -0.125517           -0.002553           
0.278215            20480               0.317783            -0.146590           -0.011987           
0.281693            20736               0.321112            -0.167506           -0.016528           
0.285170            20992               0.325224            -0.166941           -0.014152           
0.288648            21248               0.327445            -0.156358           -0.020860           
0.292126            21504               0.335618            -0.159926           -0.010075           
0.295603            21760               0.338780            -0.152828           -0.006300           
0.299081            22016               0.337485            -0.152519           -0.005935           
0.302559            22272               0.340202            -0.160925           -0.013453           
0.306036            22528               0.340461            -0.174863           0.004930            
0.309514            22784               0.344324            -0.178263           0.003628            
0.312992            23040               0.338275            -0.180063           0.005421            
0.316469            23296               0.335972            -0.176700           0.008632            
0.319947            23552               0.335709            -0.175527           0.012489            
0.323425            23808               0.339661            -0.163821           0.007319            
0.326903            24064               0.340425            -0.146156           0.001769            
0.330380            24320               0.338246            -0.133064           0.000494            
0.333858            24576               0.330875            -0.133687           -0.006493           
0.337336            24832               0.324156            -0.153555           -0.005630           
0.340813            25088               0.322921            -0.158394           0.006037            
0.344291            25344               0.319505            -0.152308           0.009052            
0.347769            25600               0.327131            -0.148101           -0.005822           
0.351246            25856               0.326953            -0.149510           -0.007821           
0.354724            26112               0.332280            -0.137093           -0.021041           
0.358202            26368               0.338209            -0.123202           -0.016672           
0.361679            26624               0.335521            -0.117285           -0.020534           
0.365157            26880               0.322625            -0.111485           -0.014266           
0.368635            27136               0.327942            -0.092849           -0.014211           
0.372112            27392               0.323457            -0.075266           -0.007984           
0.375590            27648               0.335382            -0.077734           -0.002786           
0.379068            27904               0.344307            -0.072824           -0.001222           
0.382546            28160               0.352861            -0.065483           0.013543            
0.386023            28416               0.345012            -0.078628           0.010714            
0.389501            28672               0.342640            -0.072308           0.009708            
0.392979            28928               0.345350            -0.067639           0.007562            
0.396456            29184               0.353047            -0.085551           -0.004641           
0.399934            29440               0.353108            -0.093848           -0.008771           
0.403412            29696               0.345787            -0.109645           -0.013259           
0.406889            29952               0.347807            -0.117496           -0.008358           
0.410367            30208               0.351212            -0.115666           -0.009864           
0.413845            30464               0.349881            -0.098815           -0.012835           
0.417322            30720               0.354553            -0.096033           -0.016323           
0.420800            30976               0.361561            -0.110071           -0.013232           
0.424278            31232               0.364477            -0.109560           -0.015684           
0.427755            31488               0.356582            -0.091036           -0.022258           
