#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.06484            0.0193233           0.0394976           -0.0244837          -1.83844            0.800614            
0.00347769          256                 9673.01             -0.707064           -3790.29            24.7267             20620.1             -194.11             
0.00695537          512                 4459.01             79.2705             -20.2918            -91.6718            18989.8             -43.0499            
0.0104331           768                 -1015.42            -80.5653            1751.73             78.6088             -4702.57            115.408             
0.0139107           1024                -1802.74            32.2519             1282.35             -19.5359            -9247.58            38.0669             
0.0173884           1280                -347.684            -86.7009            -522.932            88.3248             -4218.44            -209.253            
0.0208661           1536                1453.1              205.15              -288.681            -197.89             4108.12             350.618             
0.0243438           1792                863.582             14.6143             -823.415            -14.2167            2209.57             112.82              
0.0278215           2048                312.779             -69.5997            -158.085            98.6144             293.946             -232.024            
0.0312992           2304                -598.31             -6.23196            719.912             1.26267             -1114.96            10.3504             
0.0347769           2560                -859.312            56.1653             447.853             -49.9584            -1567.6             107.165             
0.0382545           2816                -177.638            25.099              80.3975             -32.9282            145.287             51.0764             
0.0417322           3072                669.441             -58.5279            -311.741            63.4589             1504.45             -135.871            
0.0452099           3328                1122.76             16.8544             -123.675            -14.397             1146.5              32.0618             
0.0486876           3584                992.367             24.2677             189.738             -9.05927            -168.943            62.5908             
0.0521653           3840                568.61              30.9817             280.669             -22.4534            -358.276            64.8851             
0.055643            4096                244.02              13.4735             233.366             -4.85339            -47.8046            41.6882             
0.0591207           4352                150.591             31.9027             125.236             -21.2273            235.488             76.4822             
0.0625984           4608                286.399             52.1119             160.311             -47.4262            187.627             118.425             
0.066076            4864                489.783             35.6194             210.722             -29.7104            55.8145             68.3011             
0.0695537           5120                652.503             39.7971             210.339             -33.7591            65.2055             69.9894             
0.0730314           5376                680.921             26.0821             243.614             -16.6007            -6.84619            56.5593             
0.0765091           5632                609.924             32.1844             244.673             -23.7069            -15.269             46.3464             
0.0799868           5888                494.285             22.2415             230.677             -14.7037            -58.9891            8.201               
0.0834645           6144                400.82              6.5842              226.047             2.14478             -101.385            -14.7338            
0.0869422           6400                390.388             12.7478             254.272             -5.78553            -165.627            -0.379262           
0.0904198           6656                438.293             19.2223             272.708             -8.90886            -194.176            5.23882             
0.0938975           6912                508.871             21.5654             272.124             -13.0546            -188.227            14.0992             
0.0973752           7168                545.496             17.6509             261.241             -3.68498            -184.466            4.3967              
0.100853            7424                542.138             -3.53929            244.412             6.23241             -213.603            -27.8462            
0.104331            7680                501.972             -6.95503            225.876             10.6013             -200.651            -25.9124            
0.107808            7936                466.972             -2.40474            225.575             5.94304             -215.93             -21.3097            
0.111286            8192                457.764             -10.6109            227.651             9.78423             -253.186            -20.6979            
0.114764            8448                465.928             3.6443              235.672             -2.71949            -298.786            -0.926041           
0.118241            8704                480.438             2.87026             224.486             6.98887             -298.078            2.57789             
0.121719            8960                503.079             2.53334             215.24              12.6791             -277.7              -6.17403            
0.125197            9216                506.564             20.7367             211.61              -13.0856            -294.434            29.0978             
0.128674            9472                492.108             20.1571             226.991             -13.6651            -357.708            40.7683             
0.132152            9728                477.721             16.2067             253.611             -17.3425            -429.355            26.8471             
0.13563             9984                462.564             10.9547             257.293             -9.07848            -454.65             14.5312             
0.139107            10240               463.079             27.7434             269.515             -31.5436            -490.563            43.0315             
0.142585            10496               467.742             17.3986             288.466             -19.6844            -560.362            37.3639             
0.146063            10752               475.38              7.41586             312.094             -3.69499            -633.93             30.2556             
0.149541            11008               478.625             10.1269             328.159             -10.7669            -707.529            36.2348             
0.153018            11264               487.889             11.7108             340.933             -3.53011            -781.048            46.9051             
0.156496            11520               491.512             20.7485             357.586             -15.7518            -844.729            47.4624             
0.159974            11776               510.675             23.5404             380.576             -23.0528            -869.676            46.236              
0.163451            12032               534.735             19.8905             393.805             -16.1359            -889.472            32.9418             
0.166929            12288               544.307             12.2919             407.435             -7.28226            -933.125            25.1964             
0.170407            12544               549.365             0.206177            423.387             5.24764             -963.04             -10.4001            
0.173884            12800               576.786             -2.86929            439.49              5.60597             -995.107            -22.68              
0.177362            13056               597.763             -1.73098            435.848             3.04719             -996.352            -3.45439            
0.18084             13312               620.168             -19.5334            443.371             16.4998             -1028.07            -40.8248            
0.184317            13568               644.589             -6.61504            471.29              -3.34244            -1063.87            -11.8133            
0.187795            13824               659.513             -7.70273            482.636             -1.47305            -1073.64            -11.6026            
0.191273            14080               662.84              -19.2285            468.126             9.63294             -1045.26            -20.1913            
0.19475             14336               678.88              -24.339             436.982             13.2237             -955.873            -43.5155            
0.198228            14592               673.872             -29.157             415.115             26.9012             -899.848            -68.4941            
0.201706            14848               672.76              -30.3543            417.822             29.7388             -901.706            -85.0185            
0.205183            15104               653.959             -15.4546            401.977             13.198              -882.633            -52.8889            
0.208661            15360               641.933             -26.7799            390.794             23.246              -868.359            -51.729             
0.212139            15616               626.383             -22.4443            366.181             13.1015             -818.611            -45.1438            
0.215617            15872               609.077             -27.5006            342.415             12.871              -776.284            -62.46              
0.219094            16128               593.067             -30.523             326.546             18.5478             -717.227            -79.17              
0.222572            16384               568.86              -25.6065            290.869             16.5042             -660.427            -72.0691            
0.22605             16640               546.702             -3.35811            247.102             7.71613             -575.512            -23.2637            
0.229527            16896               521.13              -1.32775            219.059             0.223912            -514.101            -20.9095            
0.233005            17152               492.451             -4.04334            203.085             -0.834442           -477.918            -11.7445            
0.236483            17408               481.34              -4.51429            184.938             5.86381             -399.204            -20.0631            
0.23996             17664               471.501             -7.65604            160.961             8.5605              -349.753            -18.6305            
0.243438            17920               455.999             -3.60238            108.906             -5.51704            -273.887            -2.58354            
0.246916            18176               449.522             14.8655             84.3265             -23.9612            -211.389            23.5046             
0.250393            18432               438.801             -2.61095            75.044              -4.58257            -179.384            -16.7179            
0.253871            18688               425.511             -13.8892            56.2943             3.99357             -163.4              -18.6045            
0.257349            18944               416.18              -16.1665            23.7868             4.21908             -90.0057            -29.4622            
0.260826            19200               415.281             -9.51364            -13.0435            3.29755             1.99655             -26.5077            
0.264304            19456               416.675             -9.65053            -14.23              10.397              67.5441             -20.4329            
0.267782            19712               404.557             -6.70006            -27.971             9.03626             68.7576             -6.5691             
0.27126             19968               390.031             -4.7106             -60.8044            -3.09068            142.538             -14.8149            
0.274737            20224               397.524             -10.9603            -84.9309            10.8794             251.175             -11.3122            
0.278215            20480               393.315             -25.2626            -112.393            14.7772             297.72              -39.6702            
0.281693            20736               387.104             -25.1524            -135.239            16.8367             329.512             -41.2437            
0.28517             20992               389.315             -17.2028            -131.221            1.31881             351.274             -19.3074            
0.288648            21248               398.852             -32.5191            -112.746            19.7078             339.075             -58.4446            
0.292126            21504               412.586             -12.8663            -121.737            -4.78392            402.686             -33.1207            
0.295603            21760               415.666             -20.0115            -111.492            14.3828             382.135             -52.6087            
0.299081            22016               410.372             -15.1986            -112.924            12.9317             384.773             -65.3151            
0.302559            22272               419.328             -27.8057            -125.408            27.5496             396.638             -92.1945            
0.306036            22528               426.206             -11.072             -147.676            16.0799             434.576             -64.5169            
0.309514            22784               424.749             -14.9355            -160.74             5.71731             477.54              -72.2008            
0.312992            23040               408.632             -11.5222            -164.676            0.661631            453.543             -41.9512            
0.316469            23296               403.868             -10.8456            -152.283            -4.53968            394.089             -38.6759            
0.319947            23552               403.119             -9.40643            -150.304            -0.75421            365.606             -44.2295            
0.323425            23808               406.603             -12.2616            -133.842            5.0727              335.912             -35.708             
0.326903            24064               402.327             -16.8483            -111.147            11.1286             291.344             -32.3824            
0.33038             24320               390.441             -9.02376            -94.0051            2.23593             242.496             -11.6189            
0.333858            24576               380.202             -12.2254            -93.3214            3.57769             224.447             -11.3611            
0.337336            24832               377.654             -0.861396           -123.152            -5.68488            266.268             19.478              
0.340813            25088               384.464             9.46162             -127.618            -7.87647            291.774             7.99766             
0.344291            25344               378.397             10.0647             -118.006            -8.80772            289.172             -2.95548            
0.347769            25600               389.042             -4.25454            -113.742            0.445522            249.447             -39.0149            
0.351246            25856               389.676             -1.38978            -117.18             -2.95133            212.511             -53.328             
0.354724            26112               394.784             -23.1161            -95.1751            17.9705             164.845             -94.7519            
0.358202            26368               405.565             -14.356             -68.8972            6.07082             150.633             -51.3767            
0.361679            26624               403.487             -23.1043            -58.5133            6.06395             110.947             -76.2205            
0.365157            26880               386.738             -19.0229            -50.7137            13.5744             46.9478             -71.7647            
0.368635            27136               399.223             -17.303             -26.6231            12.3162             -13.7074            -56.799             
0.372112            27392               386.564             -16.815             -0.889063           14.3036             -74.7278            -68.9293            
0.37559             27648               405.8               -22.2646            -8.55291            13.6597             -38.4188            -75.0568            
0.379068            27904               421.452             -25.0585            3.91751             27.6028             -47.3192            -66.4979            
0.382546            28160               429.358             -6.84726            20.3053             12.2605             -40.086             -37.7198            
0.386023            28416               408.086             -5.50125            0.415489            1.65791             -42.6699            -15.208             
