#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -16.6797            3.6123              -34.9758            74.4195             1723.85             -30.9675            
0.00347769          256                 264.218             -37.3239            128.488             -108.116            137.263             270.619             
0.00695537          512                 -3.44567            -109.298            -0.791758           67.9778             0.400147            2.33299             
0.0104331           768                 64.1331             -50.7154            -33.0202            58.3003             34.7656             61.2978             
0.0139107           1024                140.157             -18.3651            -42.5818            47.3612             74.2013             122.81              
0.0173884           1280                -11.7765            45.3752             4.20075             -32.841             -3.52742            -9.16305            
0.0208661           1536                11.0121             -15.6861            0.559058            6.27557             7.81453             10.0087             
0.0243438           1792                28.0269             7.85894             -20.1952            12.393              16.3499             21.5831             
0.0278215           2048                18.1576             -41.7928            -12.6516            30.5014             11.4435             12.0278             
0.0312992           2304                18.2563             -25.5335            -8.73421            19.2809             11.6509             12.6212             
0.0347769           2560                7.66116             -34.6583            -15.5122            29.7363             6.22337             4.53426             
0.0382545           2816                23.0549             -36.8611            -19.5586            34.7112             14.1091             18.8765             
0.0417322           3072                17.6214             -31.9524            -20.8521            32.4593             11.4355             15.6931             
0.0452099           3328                11.6373             -16.8988            -20.5671            24.2791             8.4254              11.4636             
0.0486876           3584                6.88421             -4.90888            -21.4582            18.0835             5.85759             7.56441             
0.0521653           3840                -2.06798            -13.5724            -19.9441            20.8278             1.30139             0.940898            
0.055643            4096                -5.36965            -21.7686            -20.5176            26.1215             -0.435287           -1.76291            
0.0591207           4352                -5.56137            -27.5302            -24.3387            33.0407             -0.77503            -0.909577           
0.0625984           4608                -4.55501            -25.7846            -25.7972            34.0319             -0.385308           1.46881             
0.066076            4864                -5.09375            -17.2582            -26.1415            29.8557             -0.594029           2.61948             
0.0695537           5120                -5.43594            -14.2107            -29.7344            31.4164             -0.682397           3.19157             
0.0730314           5376                -3.5113             -11.2943            -32.4356            32.1928             0.285923            4.33777             
0.0765091           5632                1.85952             -19.9156            -32.4196            36.5353             2.8697              8.27649             
0.0799868           5888                5.20776             -25.0333            -30.1137            37.0337             4.73274             11.0983             
0.0834645           6144                2.91517             -25.4576            -29.4255            36.8214             3.46327             9.11614             
0.0869422           6400                3.36685             -25.3942            -31.1931            38.6677             3.48837             8.93284             
0.0904198           6656                8.61442             -24.5277            -31.1795            37.9167             6.10356             13.5956             
0.0938975           6912                9.12883             -22.2191            -30.1664            35.5956             6.37858             13.7317             
0.0973752           7168                10.117              -20.8595            -29.8156            34.2665             6.78295             14.115              
0.100853            7424                10.3774             -23.8164            -28.3151            34.3229             6.67885             13.2817             
0.104331            7680                10.0472             -25.4706            -25.1395            32.5756             6.46695             12.1102             
0.107808            7936                9.64386             -26.7617            -23.6448            32.3468             6.22155             11.614              
0.111286            8192                10.5162             -26.4181            -23.3599            31.9984             6.62856             12.1203             
0.114764            8448                12.7631             -26.9038            -26.6976            35.0221             7.81907             13.996              
0.118241            8704                18.8388             -23.3698            -25.6134            31.8678             10.9233             19.6432             
0.121719            8960                18.3352             -22.8197            -27.718             32.7656             10.7769             19.3796             
0.125197            9216                19.4221             -22.5435            -28.8714            33.5583             11.3146             20.0499             
0.128674            9472                17.8404             -24.5523            -28.372             34.2288             10.4377             19.0025             
0.132152            9728                17.1318             -26.3338            -29.5182            36.2972             10.3431             18.662              
0.13563             9984                17.2676             -23.0677            -30.8788            35.4322             10.2195             19.1192             
0.139107            10240               13.6003             -27.66              -29.3362            36.2591             8.52017             15.774              
0.142585            10496               13.4521             -27.871             -30.3898            36.8716             8.48843             15.907              
0.146063            10752               13.1087             -25.4977            -30.5434            35.4632             8.25335             15.6965             
0.149541            11008               12.6482             -28.619             -30.4378            37.1803             8.10584             14.1533             
0.153018            11264               14.6483             -26.9518            -31.0269            36.996              9.22794             16.4444             
0.156496            11520               14.0895             -30.1546            -30.4396            37.4675             8.87599             15.6903             
0.159974            11776               15.2204             -32.4069            -30.272             38.5661             9.27592             16.2872             
0.163451            12032               14.3219             -32.8252            -31.2562            40.0845             8.77242             15.1968             
0.166929            12288               18.4016             -33.3127            -30.2384            40.0064             10.8728             18.9055             
0.170407            12544               21.9943             -35.0074            -30.6874            41.0235             12.7303             21.5672             
0.173884            12800               20.6528             -35.8229            -29.7706            40.4792             12.0304             19.8989             
0.177362            13056               18.3743             -34.0651            -27.7363            37.7057             10.8295             17.7671             
0.18084             13312               17.1979             -31.9471            -30.339             39.0528             10.3851             17.1263             
0.184317            13568               17.5729             -28.9436            -33.5168            40.1479             10.5662             17.6304             
0.187795            13824               16.1354             -33.3574            -33.5822            41.9341             9.9064              16.3086             
0.191273            14080               15.7824             -34.4292            -35.3739            44.063              9.71284             15.6907             
0.19475             14336               17.0387             -36.68              -36.5975            46.3902             10.333              16.4412             
0.198228            14592               21.1953             -38.3279            -33.9404            45.055              12.4238             19.9962             
0.201706            14848               21.4453             -36.9544            -31.6582            42.2323             12.5567             20.1396             
0.205183            15104               21.2144             -34.0084            -31.6547            40.9675             12.3475             20.3751             
0.208661            15360               21.5301             -33.8942            -30.72              40.3308             12.4257             20.9484             
0.212139            15616               16.8823             -34.452             -31.7673            41.9856             10.1959             17.3462             
0.215617            15872               17.4352             -33.548             -33.3771            42.805              10.3808             17.6592             
0.219094            16128               19.1339             -33.5924            -35.5223            43.9617             11.4176             18.7604             
0.222572            16384               23.1763             -34.8163            -34.5566            43.6545             13.421              21.6362             
0.22605             16640               23.7865             -36.879             -34.4294            44.4836             13.8067             21.9101             
0.229527            16896               23.6236             -38.3455            -33.6447            44.3138             13.6843             21.7802             
0.233005            17152               21.9604             -39.102             -34.4018            45.5411             12.9375             20.6238             
0.236483            17408               19.2171             -36.4536            -34.9045            45.2666             11.5526             18.5599             
0.23996             17664               19.6498             -33.5368            -37.165             46.1994             11.8861             18.9195             
0.243438            17920               21.2985             -36.1333            -38.4397            48.2274             12.8205             19.2509             
0.246916            18176               21.4432             -35.5504            -36.176             46.4274             12.7191             19.5355             
0.250393            18432               25.9506             -36.7945            -36.5183            47.305              15.0518             23.6605             
0.253871            18688               27.2334             -38.3216            -34.9304            46.2029             15.692              24.7785             
0.257349            18944               27.402              -36.732             -33.7106            43.9905             15.8412             25.0599             
0.260826            19200               24.4199             -33.6816            -31.2589            40.7316             14.2236             22.9633             
0.264304            19456               24.5198             -30.4612            -31.9393            40.0605             14.2497             23.3042             
0.267782            19712               25.6499             -31.7504            -34.3069            42.2689             15.0746             24.205              
0.27126             19968               23.1213             -35.4899            -33.6463            42.9138             13.7692             21.703              
0.274737            20224               21.8511             -33.9371            -33.9958            42.5812             12.9721             20.9063             
0.278215            20480               23.6536             -35.5577            -35.3207            44.7571             13.741              22.1931             
0.281693            20736               23.4951             -34.6162            -37.6577            46.6082             13.7552             22.3299             
0.28517             20992               21.3991             -34.9031            -39.7278            48.7981             12.7259             20.6097             
0.288648            21248               19.8311             -35.358             -40.5654            49.7395             11.6598             19.2077             
0.292126            21504               18.9552             -36.2134            -37.1985            47.105              11.1377             18.0395             
0.295603            21760               19.9868             -36.4213            -35.6176            45.9326             11.7717             18.6474             
0.299081            22016               22.3483             -36.2117            -35.8699            46.5515             13.0689             20.9312             
0.302559            22272               24.6368             -37.7425            -32.4673            44.0882             14.1547             22.6012             
0.306036            22528               21.7936             -38.8344            -32.2626            44.3359             12.7756             20.0164             
0.309514            22784               23.0588             -37.4019            -31.6433            43.7411             13.3838             21.4963             
0.312992            23040               25.0162             -32.8719            -32.6878            42.0608             14.398              23.3688             
0.316469            23296               25.3078             -32.4114            -33.5673            42.5258             14.5286             23.1679             
0.319947            23552               26.897              -33.3338            -34.8957            44.2402             15.4707             24.5951             
0.323425            23808               25.7163             -34.4395            -33.4791            43.1264             14.8286             23.4456             
0.326903            24064               26.105              -34.2011            -33.4509            43.318              15.0386             23.73               
0.33038             24320               24.8285             -34.1347            -32.2524            42.7805             14.3117             22.7948             
0.333858            24576               22.9461             -33.6946            -32.0726            41.9991             13.4306             20.8258             
0.337336            24832               19.6284             -35.8133            -32.0432            43.1223             11.6454             17.7443             
0.340813            25088               21.3841             -32.4907            -30.8889            40.6314             12.5489             19.5212             
