#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -2.79805            7.40514             -57.8662            -18.8831            1728.75             8.89494             
0.00347769          256                 231.367             45.8008             126.865             102.804             118.691             -234.006            
0.00695537          512                 4.91361             113.734             3.51448             -66.4283            5.67477             -7.11255            
0.0104331           768                 60.1348             57.8722             -26.8537            -56.5822            33.2943             -57.6442            
0.0139107           1024                142.162             20.6836             -37.8987            -44.3605            75.4181             -125.333            
0.0173884           1280                -6.6802             -40.1663            17.0768             40.8267             -0.857697           3.86001             
0.0208661           1536                11.6463             19.8613             2.12535             -7.07046            8.52944             -10.8048            
0.0243438           1792                31.1378             -5.72517            -18.6577            -11.9043            18.3593             -24.1835            
0.0278215           2048                23.1892             45.6063             -11.8996            -31.1849            14.3382             -16.1205            
0.0312992           2304                20.0579             31.2739             -7.16693            -20.1815            12.9408             -14.0374            
0.0347769           2560                9.07466             41.0489             -13.2513            -30.188             7.3784              -5.84225            
0.0382545           2816                22.9843             46.9379             -18.6863            -38.4943            14.5971             -18.9107            
0.0417322           3072                20.1787             36.5208             -18.618             -32.2773            13.2939             -17.8812            
0.0452099           3328                14.1852             23.8443             -19.5871            -26.4072            10.2227             -14.0214            
0.0486876           3584                10.7925             12.7537             -22.9714            -22.9389            8.2369              -11.852             
0.0521653           3840                3.09687             15.2705             -23.9621            -24.4898            4.20035             -5.83189            
0.055643            4096                -1.12444            19.0994             -26.5948            -29.3627            1.80642             -2.95153            
0.0591207           4352                -4.33234            23.4819             -30.2171            -35.4422            0.00389427          -1.5272             
0.0625984           4608                -2.92017            24.4904             -31.6732            -37.5873            0.680215            -4.19299            
0.066076            4864                0.965074            22.1362             -30.9516            -36.0031            2.35156             -8.76611            
0.0695537           5120                4.32438             20                  -31.6501            -35.8332            4.00604             -12.0529            
0.0730314           5376                5.42682             15.2104             -32.8677            -34.1372            4.50585             -12.8651            
0.0765091           5632                3.27584             13.7531             -33.9616            -33.8412            3.48788             -10.4816            
0.0799868           5888                1.64907             23.072              -35.762             -40.0948            2.82545             -8.53961            
