#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -49.6117            5.23095             -21.4266            18.1334             1765.58             -62.2343            
0.00347769          256                 366.187             -74.2153            -87.7575            134.482             450.277             86.2354             
0.00695537          512                 113.036             62.1132             -88.6101            50.0328             325.784             283.881             
0.0104331           768                 -54.7903            93.7443             55.0792             -102.279            -191.57             236.607             
0.0139107           1024                19.7372             -93.2436            30.4464             16.9926             -79.7237            -262.902            
0.0173884           1280                -28.0905            -60.846             -7.91421            37.5906             11.4864             -209.091            
0.0208661           1536                3.64937             28.9232             -17.2146            0.410913            55.5012             89.6023             
0.0243438           1792                5.50263             -30.1811            -28.8336            40.6729             91.2922             -87.8011            
0.0278215           2048                4.72164             -5.48617            -0.365749           1.95549             5.13529             -14.1767            
0.0312992           2304                8.93416             12.2918             -5.92852            -2.94916            24.1118             42.8362             
0.0347769           2560                11.7952             4.4725              -5.74453            0.785183            25.079              21.6874             
0.0382545           2816                2.74027             15.4696             -8.90536            -1.63322            30.0425             47.7045             
0.0417322           3072                -2.21203            5.70003             -18.8748            12.9369             57.4734             13.9949             
0.0452099           3328                -3.64929            -13.9966            -16.0557            20.5931             48.174              -46.07              
0.0486876           3584                -3.8342             -22.1558            -12.7264            22.0876             37.9648             -71.0116            
0.0521653           3840                -3.21469            -14.3439            -10.3738            15.9297             31.2025             -47.1558            
0.055643            4096                -1.29657            -5.0946             -11.1821            11.8515             34.6147             -17.7059            
0.0591207           4352                1.99417             0.667256            -9.93564            7.65595             32.5067             2.33923             
0.0625984           4608                5.7189              0.392288            -7.32928            5.34007             26.5259             4.61131             
0.066076            4864                7.16603             -5.42935            -7.74728            8.79249             28.4923             -11.7789            
0.0695537           5120                8.21737             -11.0859            -8.78313            12.7205             32.1376             -28.1089            
0.0730314           5376                8.21321             -12.7395            -10.4768            15.1698             37.276              -33.4308            
0.0765091           5632                7.87305             -9.95522            -11.759             14.815              41.0093             -25.5878            
0.0799868           5888                6.13518             -6.6591             -12.1965            13.3319             41.4749             -17.401             
0.0834645           6144                2.98245             -4.7586             -12.1568            12.1252             39.7806             -14.5455            
0.0869422           6400                -0.45784            -5.80567            -11.1267            11.5835             35.0066             -20.3059            
0.0904198           6656                -0.082125           -9.13483            -10.3538            12.5168             32.8941             -29.1559            
0.0938975           6912                1.99377             -11.1131            -9.78544            12.9939             32.2352             -32.1562            
0.0973752           7168                3.13762             -11.6714            -9.1433             12.6315             30.8703             -32.0379            
0.100853            7424                2.34452             -11.2837            -10.5749            13.7281             34.8124             -31.1926            
0.104331            7680                -0.527971           -9.92778            -10.4925            13.0849             33.1507             -29.5012            
0.107808            7936                -3.96822            -10.0978            -8.79938            11.7551             26.4195             -33.0869            
0.111286            8192                -6.81034            -12.3929            -7.23852            11.5904             20.3643             -42.5865            
0.114764            8448                -7.8702             -17.7059            -5.05899            12.1679             13.2459             -59.6261            
0.118241            8704                -7.75209            -22.5844            -3.4484             12.9615             8.32873             -74.2821            
0.121719            8960                -6.08303            -25.8172            -1.01796            12.4975             1.80744             -82.5522            
0.125197            9216                -3.24305            -29.0102            1.12494             12.4717             -3.14267            -89.434             
0.128674            9472                -0.735041           -31.5423            2.86085             12.3812             -6.95367            -95.0837            
0.132152            9728                2.0577              -35.4005            4.44958             13.0085             -10.2188            -104.463            
0.13563             9984                4.78222             -37.6071            4.60445             13.9688             -9.27771            -109.019            
0.139107            10240               7.16842             -40.038             3.54885             16.0203             -4.82268            -114.764            
0.142585            10496               9.99883             -41.8638            2.86096             17.4633             -1.32644            -118.235            
0.146063            10752               12.0035             -41.4577            2.66994             17.3413             0.226647            -115.712            
0.149541            11008               13.8735             -39.8404            2.98707             16.2599             0.256616            -109.554            
0.153018            11264               15.7367             -38.3128            2.59438             15.9693             2.56196             -103.69             
0.156496            11520               17.2758             -37.7651            2.38788             15.9647             4.07259             -101.056            
0.159974            11776               17.5818             -36.7685            0.863262            16.69               8.8127              -97.9477            
0.163451            12032               19.1541             -36.5488            -0.58917            17.8271             13.9744             -95.9568            
0.166929            12288               22.1936             -35.6395            -2.70778            19.097              21.8385             -90.7332            
0.170407            12544               24.0271             -35.1939            -3.56264            19.656              25.1824             -87.8502            
0.173884            12800               24.6925             -34.9215            -4.60647            20.4541             28.6866             -86.2767            
0.177362            13056               24.3579             -33.8498            -6.17699            20.9803             33.3035             -82.8389            
0.18084             13312               24.0561             -30.5738            -8.14856            20.9487             39.1263             -72.6747            
0.184317            13568               24.2991             -26.9743            -10.4498            21.1651             46.1685             -60.8122            
0.187795            13824               23.7367             -24.2829            -12.2894            21.8415             51.3412             -52.5068            
0.191273            14080               22.7891             -19.435             -14.1181            21.0285             56.3289             -38.7077            
0.19475             14336               21.9747             -17.9317            -15.9702            21.9003             61.2926             -34.5889            
0.198228            14592               21.095              -16.6566            -17.761             22.8517             65.9368             -30.8369            
0.201706            14848               20.1839             -18.8764            -20.0289            25.8714             72.1934             -37.5267            
0.205183            15104               19.992              -20.3566            -22.1562            28.1932             78.5831             -41.6341            
0.208661            15360               18.9049             -19.8648            -24.0206            29.1421             83.7297             -41.0154            
0.212139            15616               18.6149             -21.6778            -25.4914            31.2965             88.1211             -46.2317            
0.215617            15872               18.9503             -23.6716            -23.6127            30.5831             82.797              -52.0083            
0.219094            16128               20.3957             -18.8063            -24.4412            28.7237             85.8118             -36.8864            
0.222572            16384               21.9755             -14.8426            -24.564             26.9528             86.9237             -23.4714            
0.22605             16640               21.6918             -12.6662            -26.6407            27.9878             92.9876             -17.2334            
0.229527            16896               22.4925             -10.2699            -28.7242            29.3021             99.4845             -9.66623            
0.233005            17152               24.2035             -8.11731            -29.9983            30.0625             103.981             -2.18535            
0.236483            17408               25.5713             -2.7173             -27.7012            26.3218             97.6289             14.8285             
0.23996             17664               26.8287             -5.29938            -28.0009            27.7882             99.0787             8.52615             
0.243438            17920               26.9381             -9.40133            -27.4002            29.1776             97.7594             -3.49               
0.246916            18176               26.7607             -11.286             -27.5405            30.2277             98.3048             -10.2861            
0.250393            18432               24.9641             -11.7595            -27.6625            30.4577             97.7716             -13.8755            
0.253871            18688               24.6404             -9.25729            -28.0265            29.8137             98.8759             -6.70497            
0.257349            18944               28.3403             -5.35888            -25.2732            25.1709             92.6255             8.4985              
0.260826            19200               30.4156             -2.88128            -24.4245            22.5455             91.1436             18.2033             
0.264304            19456               28.3143             -4.54469            -22.0671            21.0969             82.9792             11.6882             
0.267782            19712               26.3088             -6.81896            -21.4715            22.0003             80.0168             3.07942             
0.27126             19968               30.4325             -11.902             -20.81              23.5202             80.1252             -8.6576             
0.274737            20224               29.8542             -16.1981            -22.0454            26.2703             83.5394             -22.5494            
0.278215            20480               27.4594             -16.4637            -24.0689            27.5802             88.55               -24.9711            
0.281693            20736               33.551              -22.9984            -25.5945            32.1363             96.4045             -39.4625            
0.28517             20992               37.3662             -27.5009            -26.3275            35.0001             100.599             -49.633             
0.288648            21248               35.238              -26.8928            -27.8542            35.7709             104.109             -49.441             
0.292126            21504               33.719              -31.402             -29.5591            39.5396             108.781             -64.3673            
0.295603            21760               33.6917             -29.9633            -30.4086            39.9952             111.185             -60.9839            
0.299081            22016               36.051              -27.9749            -30.7445            39.7437             113.694             -53.4513            
0.302559            22272               35.1817             -23.2774            -29.5438            37.2384             109.424             -41.2742            
0.306036            22528               35.64               -17.3694            -29.4141            34.3873             109.084             -23.1582            
0.309514            22784               35.9535             -19.0371            -26.185             31.7374             99.3385             -27.1446            
0.312992            23040               38.1981             -21.7424            -24.2417            31.3652             94.6158             -32.7887            
0.316469            23296               37.4515             -20.3563            -27.5752            33.3581             103.922             -29.5448            
0.319947            23552               33.9466             -21.777             -28.11              34.8691             103.758             -37.4347            
0.323425            23808               34.9409             -27.7057            -25.8645            35.7314             97.7502             -54.6525            
0.326903            24064               37.6559             -29.9046            -25.1747            36.184              97.3709             -58.7917            
0.33038             24320               39.1103             -33.5477            -25.2215            38.5161             98.4176             -68.5281            
0.333858            24576               39.9071             -37.2924            -27.6424            41.9104             106.022             -79.0428            
0.337336            24832               39.8096             -35.0404            -29.5837            42.21               111.958             -73.2458            
0.340813            25088               39.6386             -34.1499            -32.9315            44.3938             122.066             -70.4866            
0.344291            25344               43.4078             -34.0126            -31.3409            43.2325             119.048             -66.7368            
0.347769            25600               45.5793             -40.3922            -30.2668            44.7052             117.063             -83.4625            
0.351246            25856               49.3928             -48.5772            -28.9193            46.8514             114.744             -104.027            
0.354724            26112               49.4573             -49.5699            -30.3058            48.6422             119.019             -108.187            
0.358202            26368               46.7697             -46.346             -32.6723            49.3531             124.697             -101.622            
0.361679            26624               45.4283             -44.4165            -31.0928            47.4287             119.133             -96.4325            
0.365157            26880               41.7035             -38.8172            -32.7037            46.2683             121.718             -82.4544            
0.368635            27136               39.3339             -39.0044            -29.1967            43.3508             110.228             -84.9879            
0.372112            27392               41.956              -40.1548            -27.4672            43.2353             106.083             -85.9993            
0.37559             27648               39.0613             -38.4371            -24.3755            40.1691             95.5347             -83.5292            
0.379068            27904               40.9519             -37.8443            -24.2516            39.7849             96.1284             -80.3766            
0.382546            28160               42.2137             -32.4644            -24.5753            37.1928             97.8994             -62.4147            
0.386023            28416               44.1366             -33.5841            -25.7571            39.0721             102.71              -64.1164            
0.389501            28672               42.8655             -31.9369            -29.8657            41.395              114.648             -60.13              
0.392979            28928               37.3455             -28.4607            -31.9835            41.1118             118.443             -55.1806            
0.396456            29184               36.5                -24.8809            -34.1685            41.6833             124.346             -46.0959            
0.399934            29440               36.6518             -19.1636            -35.2239            38.8327             126.958             -29.8419            
0.403412            29696               39.326              -22.5948            -30.269             36.2283             112.992             -38.1321            
0.406889            29952               42.0345             -30.4689            -30.3289            39.6451             114.429             -59.4638            
0.410367            30208               42.6722             -36.454             -29.4368            42.3346             112.387             -77.774             
0.413845            30464               42.5144             -36.4102            -26.5194            40.2835             103.406             -78.473             
0.417322            30720               40.3073             -31.7119            -25.8619            37.7356             100.194             -65.9234            
0.4208              30976               44.4222             -33.44              -26.7415            38.8892             105.204             -66.7395            
0.424278            31232               43.2843             -33.7321            -29.6878            39.924              113.613             -67.6798            
0.427755            31488               40.1362             -34.8205            -31.4741            42.1246             117.416             -73.2094            
0.431233            31744               39.2408             -37.0435            -28.6681            41.8877             108.791             -80.5387            
0.434711            32000               40.8154             -41.0133            -28.5586            44.6035             109.259             -91.3237            
0.438188            32256               41.3161             -36.9581            -28.8071            42.5276             110.506             -78.4868            
0.441666            32512               42.9102             -33.8659            -29.949             41.8358             114.581             -66.5163            
0.445144            32768               46.4701             -29.0652            -27.3741            37.1067             108.555             -47.529             
0.448622            33024               45.7282             -30.663             -27.9799            38.9141             109.983             -53.0465            
0.452099            33280               44.9959             -39.2848            -25.7725            41.5113             103.071             -79.3166            
0.455577            33536               47.4811             -40.3824            -26.3736            42.3997             106.37              -80.1472            
0.459055            33792               44.8619             -34.3886            -28.048             40.5415             110.163             -64.3877            
0.462532            34048               43.8382             -33.9421            -31.4099            43.7094             119.986             -64.7516            
0.46601             34304               43.4703             -34.5903            -34.4156            46.8199             129.021             -67.5104            
0.469488            34560               43.9267             -29.9126            -32.8411            43.1045             124.435             -54.5608            
0.472965            34816               40.7345             -33.5686            -32.2653            44.5672             120.788             -68.6584            
0.476443            35072               38.65               -36.1641            -29.5449            42.8814             111.182             -78.2167            
0.479921            35328               41.9327             -29.583             -27.0418            36.7032             104.966             -55.7662            
0.483398            35584               44.3711             -28.3577            -26.4496            35.6194             104.281             -50.1583            
0.486876            35840               43.3811             -27.3547            -25.6679            33.9823             101.359             -48.0203            
0.490354            36096               45.7513             -35.8923            -25.6033            37.8637             102.625             -71.4923            
0.493831            36352               44.1333             -37.55              -25.4672            39.1027             101.215             -77.8811            
0.497309            36608               41.0474             -37.9817            -26.1535            39.9773             101.707             -80.636             
0.500787            36864               39.6834             -40.9954            -29.4776            44.4468             111.357             -90.0239            
0.504265            37120               42.1999             -43.7137            -28.4514            45.1334             110.148             -95.6081            
0.507742            37376               43.6633             -37.4677            -28.9916            42.334              112.521             -75.1439            
0.51122             37632               42.1575             -30.2682            -30.076             39.2672             114.831             -54.0665            
0.514698            37888               42.425              -27.7666            -27.8721            35.7829             107.854             -46.4496            
0.518175            38144               43.4051             -32.5067            -26.7982            37.9535             105.015             -60.5401            
0.521653            38400               42.5287             -38.0917            -25.3994            40.6439             100.478             -79.3892            
0.525131            38656               40.437              -42.8753            -25.1298            43.629              98.8391             -96.4435            
0.528608            38912               43.4489             -41.129             -26.7231            44.5603             105.09              -89.9365            
0.532086            39168               44.4614             -35.2557            -25.5111            40.3881             101.841             -71.1965            
0.535564            39424               42.6154             -29.621             -25.0987            36.3419             99.462              -55.0421            
0.539041            39680               45.97               -35.6595            -21.5859            35.8304             90.586              -69.8425            
0.542519            39936               46.8986             -40.5433            -19.6183            36.5757             85.2605             -83.1259            
0.545997            40192               41.237              -44.4319            -24.3025            42.8864             96.9989             -99.8056            
0.549474            40448               39.4148             -42.6948            -29.0282            46.7947             110.356             -96.7522            
0.552952            40704               42.2757             -36.2094            -31.6286            45.0246             119.091             -74.9904            
0.55643             40960               43.4893             -28.208             -32.1439            40.5909             120.857             -50.1851            
0.559907            41216               44.054              -31.36              -30.9494            40.9481             117.644             -59.1254            
0.563385            41472               43.9276             -34.9245            -29.9412            42.0436             114.573             -70.4038            
0.566863            41728               46.2089             -33.4409            -26.1742            38.8721             104.461             -64.4957            
0.570341            41984               43.5445             -27.246             -27.5769            37.9614             107.739             -48.0029            
0.573818            42240               46.2862             -25.3319            -29.24              39.4284             113.886             -39.6104            
0.577296            42496               52.465              -27.8311            -27.5341            38.8514             112.042             -40.9112            
0.580774            42752               49.0941             -29.7342            -28.4573            40.0554             113.207             -48.8401            
0.584251            43008               45.3199             -38.2121            -31.7518            45.7706             121.331             -76.4573            
0.587729            43264               40.458              -47.4905            -30.4928            48.8795             115.048             -108.307            
0.591207            43520               42.4976             -50.9896            -26.3799            47.0818             103.663             -117.269            
0.594684            43776               44.7665             -46.9901            -24.0575            43.2291             97.9576             -103.727            
0.598162            44032               47.2893             -41.4118            -26.2601            42.75               105.922             -84.8219            
0.60164             44288               43.699              -39.4898            -27.3031            43.4797             107.385             -82.8508            
0.605117            44544               42.2848             -38.398             -29.5629            45.5285             112.951             -82.3954            
0.608595            44800               39.762              -36.1061            -27.8836            42.2845             106.279             -77.9259            
0.612073            45056               41.0694             -37.4728            -23.8837            38.7437             95.0373             -80.407             
0.61555             45312               40.9811             -37.5628            -25.3794            40.0723             99.8646             -80.5611            
0.619028            45568               43.9527             -37.1938            -27.0297            41.334              105.833             -76.5823            
0.622506            45824               42.7485             -40.9724            -27.172             42.364              105.738             -88.4555            
0.625984            46080               41.0407             -41.6407            -25.3997            40.3086             99.5676             -91.9985            
0.629461            46336               45.0589             -47.6859            -25.0584            43.9825             100.697             -106.656            
0.632939            46592               49.4605             -46.0611            -23.4454            41.9599             98.2319             -97.0628            
0.636417            46848               49.0346             -41.8569            -23.8719            40.2273             99.6495             -83.2343            
0.639894            47104               45.2776             -37.6899            -27.9445            42.5347             109.931             -73.7158            
0.643372            47360               42.9336             -30.9566            -31.6068            42.8314             119.896             -56.5773            
0.64685             47616               44.5336             -25.6393            -32.4812            41.01               122.769             -39.7653            
0.650327            47872               45.2084             -27.1398            -28.3984            38.4183             110.671             -43.7068            
0.653805            48128               40.1844             -31.4814            -28.9616            41.0843             109.623             -60.6445            
0.657283            48384               39.9143             -35.6136            -24.7328            39.1043             97.1969             -73.5194            
0.66076             48640               39.2903             -39.9654            -27.2013            43.7354             104.678             -87.247             
0.664238            48896               42.0564             -45.0388            -27.251             46.0507             106.344             -99.3707            
0.667716            49152               42.1004             -40.6403            -29.187             44.4211             112.171             -85.5107            
0.671193            49408               41.8675             -41.4813            -29.3986            45.0103             112.676             -89.0203            
0.674671            49664               40.5258             -29.5593            -27.1703            37.3889             105.082             -55.775             
0.678149            49920               40.2138             -32.974             -26.0098            38.5209             101.098             -65.9359            
0.681626            50176               40.0383             -36.6003            -23.5074            38.5048             93.5646             -77.1213            
0.685104            50432               43.5794             -39.0295            -23.9229            40.3939             96.8449             -80.8664            
0.688582            50688               46.3148             -38.4748            -23.2883            39.4451             96.5874             -76.401             
0.69206             50944               46.0042             -29.4               -25.3925            36.5569             102.381             -49.1889            
0.695537            51200               39.3186             -23.7012            -29.4247            36.8222             110.854             -37.7037            
