#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   22.1972             2.65048             0.345572            -10.89              1746.88             32.7161             
0.00347769          256                 367.424             71.9337             -84.6275            -129.627            442.075             -94.9317            
0.00695537          512                 118.665             -63.4884            -75.7987            -37.9077            290.272             -292.821            
0.0104331           768                 -52.7468            -100.515            61.4209             111.894             -209.47             -258.085            
0.0139107           1024                19.9179             85.9274             27.8438             -15.1505            -71.4659            240.095             
0.0173884           1280                -29.1932            61.0758             -8.53171            -38.606             12.9278             210.45              
0.0208661           1536                4.35872             -23.1396            -15.7096            -2.37074            51.3739             -73.0836            
0.0243438           1792                4.29875             33.3883             -29.4967            -43.2914            92.7769             98.1281             
0.0278215           2048                3.73389             3.38584             5.17714             3.67978             -11.87              8.34811             
0.0312992           2304                6.2343              -10.8045            -3.19179            4.34854             14.6997             -35.8898            
0.0347769           2560                11.8673             -2.23909            -2.45019            0.454402            15.3891             -14.7574            
0.0382545           2816                5.82392             -15.8526            -5.97223            3.9778              22.9199             -51.5317            
0.0417322           3072                0.31913             -8.14196            -13.7734            -7.59734            43.5155             -23.9724            
0.0452099           3328                -2.92307            13.6025             -11.5764            -16.705             35.1837             44.1725             
0.0486876           3584                -4.66304            24.3313             -9.3898             -20.4247            27.8089             78.5137             
0.0521653           3840                -2.56109            17.704              -6.70528            -14.2227            20.8877             57.1445             
0.055643            4096                0.964184            8.6845              -6.83273            -9.14726            23.0737             27.1104             
0.0591207           4352                5.31185             2.57528             -6.964              -5.80347            25.5897             4.61562             
0.0625984           4608                5.2107              0.739369            -5.71523            -3.689              21.7033             -1.4749             
0.066076            4864                1.92458             7.9078              -6.25192            -7.88148            21.676              22.8217             
0.0695537           5120                0.611372            15.7416             -6.3878             -12.2445            21.4403             47.6861             
0.0730314           5376                2.15917             20.0375             -7.43811            -15.6415            25.3902             59.5976             
0.0765091           5632                6.53305             18.1631             -8.09239            -15.3293            29.5797             50.6006             
0.0799868           5888                9.45141             12.9585             -7.88128            -12.435             30.4333             32.6618             
0.0834645           6144                8.01614             7.64018             -9.12015            -10.5952            33.4184             17.8718             
0.0869422           6400                2.61718             6.88917             -9.81038            -10.702             32.7186             20.3504             
0.0904198           6656                -2.50846            9.50099             -10.482             -12.5423            32.1348             32.8941             
0.0938975           6912                -4.00614            12.2552             -10.0725            -13.4052            30.1491             42.8366             
0.0973752           7168                -2.95815            13.9165             -11.4732            -15.138             34.9133             46.851              
0.100853            7424                -1.69827            14.5542             -11.277             -15.0184            34.9406             47.0248             
0.104331            7680                -1.95884            14.1978             -9.81842            -13.5333            30.507              45.0744             
0.107808            7936                -3.78935            14.3927             -8.38389            -12.2562            25.2934             46.1797             
0.111286            8192                -6.02099            15.1927             -5.9854             -10.3189            16.9334             49.5289             
0.114764            8448                -8.23283            18.1493             -4.74183            -10.5562            12.129              59.1919             
0.118241            8704                -10.5959            23.7273             -4.01814            -12.7166            8.81665             77.0602             
0.121719            8960                -11.7528            30.8192             -1.57423            -14.047             0.895188            98.9618             
0.125197            9216                -11.374             36.5144             2.11169             -13.7067            -9.94543            115.891             
0.128674            9472                -9.38724            40.9132             4.8248              -13.7494            -17.0371            127.997             
0.132152            9728                -7.43871            42.7623             6.61674             -13.1355            -21.4066            132.6               
0.13563             9984                -4.27129            44.498              9.50904             -11.8623            -28.4398            135.949             
0.139107            10240               -0.336858           44.9416             11.5087             -10.8318            -32.4542            134.711             
0.142585            10496               3.07537             44.8713             11.9845             -10.5442            -32.1548            132.318             
0.146063            10752               6.97723             44.7632             12.4443             -10.4194            -31.4514            129.16              
0.149541            11008               9.5571              42.537              11.7313             -10.3597            -27.843             120.509             
0.153018            11264               11.4884             41.6383             10.1413             -11.5009            -21.9647            116.456             
0.156496            11520               13.6399             39.1766             7.57459             -12.5818            -13.0982            107.512             
0.159974            11776               16.0263             36.5433             3.72137             -14.6547            -0.281866           97.6594             
0.163451            12032               19.2861             34.809              0.68437             -16.2492            10.3955             89.8894             
0.166929            12288               22.7027             32.4941             -1.97854            -17.3348            20.062              80.3713             
0.170407            12544               25.5471             30.7869             -4.5212             -18.5961            29.1203             73.0905             
0.173884            12800               27.2165             28.9704             -7.41382            -20.0148            38.6399             66.2606             
0.177362            13056               28.4788             27.228              -9.72244            -20.9816            46.0699             59.884              
0.18084             13312               29.5561             24.7679             -12.3305            -22.006             54.5324             51.3315             
0.184317            13568               30.2387             26.0443             -14.0612            -24.1318            60.157              54.337              
0.187795            13824               30.1126             25.1793             -16.0924            -25.6003            66.019              51.476              
0.191273            14080               28.7416             21.4841             -17.2495            -24.9               68.6607             41.1686             
0.19475             14336               27.5691             17.9452             -18.2536            -24.115             70.9183             31.1722             
0.198228            14592               25.5193             14.6916             -18.7146            -22.9321            71.1498             22.7354             
0.201706            14848               23.2112             12.7902             -19.781             -22.9575            73.0151             18.6002             
0.205183            15104               19.6464             14.1707             -22.2339            -25.476             78.5089             25.402              
0.208661            15360               18.3226             15.5593             -22.5232            -26.0011            78.7162             30.6036             
0.212139            15616               17.3861             15.9595             -22.7212            -26.3044            78.8053             32.4401             
0.215617            15872               17.3675             15.1047             -23.5167            -26.5791            81.2672             30.022              
0.219094            16128               18.3873             15.576              -26.1989            -29.1873            89.8839             30.5806             
0.222572            16384               19.5597             13.7726             -26.1924            -28.3366            90.6133             24.154              
0.22605             16640               21.4104             11.1267             -26.5625            -27.7674            92.5339             15.0677             
0.229527            16896               21.4862             9.14835             -26.4512            -27.43              92.2662             8.8799              
0.233005            17152               23.4793             9.98881             -26.4178            -28.2841            93.3901             8.95411             
0.236483            17408               23.9292             10.0181             -26.1033            -27.9911            92.6695             8.04032             
0.23996             17664               21.7202             11.9083             -26.7803            -29.0413            93.6592             15.3053             
0.243438            17920               24.789              17.0585             -24.5511            -29.1614            88.773              27.7401             
0.246916            18176               25.4996             20.1962             -23.2587            -29.6971            85.5416             36.5831             
0.250393            18432               28.1769             20.2313             -23.4354            -30.1523            87.5928             34.7477             
0.253871            18688               28.9572             20.986              -21.8581            -28.9759            83.1912             36.6003             
0.257349            18944               25.6511             18.6292             -24.3545            -29.7043            89.2394             32.2738             
0.260826            19200               27.3013             14.2982             -26.3527            -29.6457            95.9111             17.9823             
0.264304            19456               28.5404             10.8188             -27.2295            -28.6604            98.9955             6.47736             
0.267782            19712               29.9659             7.27267             -25.0721            -25.3278            93.2282             -5.802              
0.27126             19968               30.1212             10.2495             -24.2275            -26.6065            90.8994             3.4139              
0.274737            20224               31.7826             14.7894             -21.8139            -26.7478            84.5068             15.1634             
0.278215            20480               34.1586             15.3153             -22.672             -27.2626            88.3293             14.1967             
0.281693            20736               35.2515             19.3107             -26.9112            -32.6766            101.716             25.8154             
0.28517             20992               36.0322             18.0504             -27.988             -32.7744            105.023             22.6118             
0.288648            21248               32.8185             18.5865             -28.5233            -33.9736            105.001             27.5048             
0.292126            21504               35.1698             22.5721             -26.7833            -35.1345            101.343             38.1516             
0.295603            21760               35.8358             28.0427             -27.3226            -38.7186            103.566             55.1753             
0.299081            22016               38.978              26.3841             -26.7974            -37.6406            103.262             48.0725             
0.302559            22272               35.5674             27.1195             -30.6412            -40.8045            112.794             53.0704             
0.306036            22528               32.6206             28.602              -32.3674            -42.1245            116.49              60.3467             
0.309514            22784               34.9906             33.7975             -31.2166            -43.0496            114.039             74.3887             
0.312992            23040               37.5836             36.436              -30.192             -42.4458            111.86              80.5454             
0.316469            23296               37.6547             37.7183             -32.0218            -44.0535            117.351             84.3637             
0.319947            23552               39.5012             43.6231             -29.9838            -45.2886            112.358             100.247             
