Start interpreting at Fri Nov 29 17:31:43 2024

[occupyGPUMem : GpuMemOccupy] takes [231] ms.
[innerMostCoord : RectangularCoord] takes [0] ms.
[dimensTrans : DimensTrans] takes [0] ms.
[productInfo : ProductInfo] takes [0] ms.
[bottom : PlaneStlIO] takes [1] ms.
[parts : StlIOGroup] takes [283833] ms.
[shapes : StlIOGroup] takes [1] ms.
[selectFrom : Object] takes [2] ms.
[level_8 : Object] takes [0] ms.
[refinement : Object] takes [1] ms.
[stationary_wall : Object] takes [0] ms.
[RotationSet : Object] takes [0] ms.
[RotationSet_1 : Object] takes [0] ms.
[RotationSet_2 : Object] takes [0] ms.
[RotationSet_3 : Object] takes [0] ms.
[wheel : Object] takes [0] ms.
[geometries : Object] takes [2] ms.
[geometries : Select] takes [6] ms.
[frontalArea : CalFrontalArea] takes [10191] ms.
[r0 : BoxMark] takes [0] ms.
[layer0 : GenParentLayer] takes [0] ms.
[box0 : BoxMark] takes [0] ms.
[level_1 : GenParentLayer] takes [0] ms.
[box0 : BoxMark] takes [0] ms.
[level_2 : GenParentLayer] takes [0] ms.
[box0 : BoxMark] takes [0] ms.
[level_3 : GenParentLayer] takes [0] ms.
[box0 : BoxMark] takes [0] ms.
[level_4 : GenParentLayer] takes [0] ms.
[box0 : BoxMark] takes [0] ms.
[level_5 : GenParentLayer] takes [0] ms.
[box0 : BoxMark] takes [0] ms.
[box1 : BoxMark] takes [0] ms.
[level_6 : GenParentLayer] takes [0] ms.
[level_7 : GenParentLayer] takes [0] ms.
[stl : Load] takes [0] ms.
[bodyFit : StlMark] takes [0] ms.
[level_8 : GenParentLayer] takes [0] ms.
[layers : GenParentLayerVec] takes [0] ms.
[cartGrid : CartGrid] takes [37360] ms.
[cartGrid : SimpleCartGrid] takes [37361] ms.
[checkConfig : CheckConfig] takes [1] ms.
[lattice : D3Q19] takes [0] ms.
[partsWoPorous : Object] takes [1] ms.
[realIntsectConn : RealIntersectionMap] takes [313381] ms.
[realIntsectBottom : RealIntersection] takes [2155] ms.
[realIntersection : Load] takes [0] ms.
[bcIntsectSys1 : IntersectionSys] takes [19061] ms.
[realIntersection : Load] takes [0] ms.
[bcIntsectSys2 : IntersectionSys] takes [399] ms.
[bcIntsectSys : UnionIntersectionSys] takes [17578] ms.
[realIntersection : Load] takes [0] ms.
[connectedDomain : ConnectedDomainWithBoundary] takes [482156] ms.
[domainLayerPtSet : Load] takes [0] ms.
[selectedDomain : SelectLayerPtSet] takes [74] ms.
[ptSet : Load] takes [0] ms.
[layerRankPMask : BuildRankPMaskMpi] takes [5057] ms.
[porousPtSet : Multiple] takes [1] ms.
[carPtSet : CarPtSet] takes [264] ms.
[computeEq : Equilibrium3rd] takes [0] ms.
[default : OriginalParams] takes [0] ms.
[optParams : Switch] takes [1] ms.
[fillFac : FillMethodFac] takes [0] ms.
[2nd_Row_Armrest_Down : WallModelMethodNewFac] takes [1] ms.
[2nd_Row_Armrest_Down_Lid_Down : WallModelMethodNewFac] takes [1] ms.
[2nd_Row_Armrest_Down_Lid_Up : WallModelMethodNewFac] takes [1] ms.
[2nd_Row_Floor_Mat : WallModelMethodNewFac] takes [1] ms.
[2nd_Row_Middle_Headrest up : WallModelMethodNewFac] takes [1] ms.
[Accelerator_Pedal : WallModelMethodNewFac] takes [1] ms.
[Accelerator_Pedal_On : WallModelMethodNewFac] takes [1] ms.
[Aeroshields : WallModelMethodNewFac] takes [1] ms.
[Antenna : WallModelMethodNewFac] takes [1] ms.
[BIW : WallModelMethodNewFac] takes [1] ms.
[Brake_Pedal : WallModelMethodNewFac] takes [1] ms.
[Brake_Pedal_On : WallModelMethodNewFac] takes [1] ms.
[Centerconsole_Opened : WallModelMethodNewFac] takes [1] ms.
[Day_Time_Light_Bar : WallModelMethodNewFac] takes [1] ms.
[Driver_Door : WallModelMethodNewFac] takes [1] ms.
[Driver_Door_Glass : WallModelMethodNewFac] takes [1] ms.
[Driver_Door_Mirror : WallModelMethodNewFac] takes [1] ms.
[Driver_Door_Quarterglass_Blackband : WallModelMethodNewFac] takes [1] ms.
[Driver_Door_Quarterglass_Vision_Area : WallModelMethodNewFac] takes [1] ms.
[Driver_Hinges : WallModelMethodNewFac] takes [1] ms.
[Driver_Seat_Back : WallModelMethodNewFac] takes [1] ms.
[Driver_Seat_Belt_Lock : WallModelMethodNewFac] takes [1] ms.
[Driver_Seat_Cushion : WallModelMethodNewFac] takes [1] ms.
[Driver_Seat_Drawer : WallModelMethodNewFac] takes [1] ms.
[Driver_Seat_Frame : WallModelMethodNewFac] takes [1] ms.
[Driver_Seat_Trim : WallModelMethodNewFac] takes [1] ms.
[Driver_Side_Visor : WallModelMethodNewFac] takes [1] ms.
[Electric_Lid : WallModelMethodNewFac] takes [1] ms.
[FL_Door_Sealing : WallModelMethodNewFac] takes [1] ms.
[FL_Fender : WallModelMethodNewFac] takes [1] ms.
[FL_Floor_Mat : WallModelMethodNewFac] takes [1] ms.
[FL_Seat_Belt : WallModelMethodNewFac] takes [1] ms.
[FL_Wheelhouse_Liner : WallModelMethodNewFac] takes [1] ms.
[FR_Door_Sealing : WallModelMethodNewFac] takes [1] ms.
[FR_Fender : WallModelMethodNewFac] takes [1] ms.
[FR_Floor_Mat : WallModelMethodNewFac] takes [1] ms.
[FR_Seat_Belt : WallModelMethodNewFac] takes [1] ms.
[FR_Wheelhouse_Liner : WallModelMethodNewFac] takes [1] ms.
[Floor : WallModelMethodNewFac] takes [1] ms.
[Front_Bumper : WallModelMethodNewFac] takes [1] ms.
[GEAR_Tunnel : WallModelMethodNewFac] takes [1] ms.
[Headliner : WallModelMethodNewFac] takes [1] ms.
[Hood : WallModelMethodNewFac] takes [1] ms.
[Hood_Hinges : WallModelMethodNewFac] takes [1] ms.
[IP : WallModelMethodNewFac] takes [1] ms.
[IP_Centerconsole_Lid : WallModelMethodNewFac] takes [1] ms.
[IP_Steering_Wheel_System : WallModelMethodNewFac] takes [1] ms.
[Left_A-Pillar_Exterior_Trim : WallModelMethodNewFac] takes [1] ms.
[Left_GEAR_Tunnel_Seal : WallModelMethodNewFac] takes [1] ms.
[Left_Headlight : WallModelMethodNewFac] takes [1] ms.
[Left_Rocker_Panel_Seal : WallModelMethodNewFac] takes [1] ms.
[Left_Side_Trims : WallModelMethodNewFac] takes [1] ms.
[Left_Storage_Door_Closed : WallModelMethodNewFac] takes [1] ms.
[Left_Taillight : WallModelMethodNewFac] takes [1] ms.
[Passenger_Door : WallModelMethodNewFac] takes [1] ms.
[Passenger_Door_Glass : WallModelMethodNewFac] takes [1] ms.
[Passenger_Door_Hinges : WallModelMethodNewFac] takes [1] ms.
[Passenger_Door_Mirror : WallModelMethodNewFac] takes [1] ms.
[Passenger_Door_Quarterglass_Blackband : WallModelMethodNewFac] takes [1] ms.
[Passenger_Door_Quarterglass_Vision : WallModelMethodNewFac] takes [1] ms.
[Passenger_Seat_Back : WallModelMethodNewFac] takes [1] ms.
[Passenger_Seat_Belt_Lock : WallModelMethodNewFac] takes [1] ms.
[Passenger_Seat_Cushion : WallModelMethodNewFac] takes [1] ms.
[Passenger_Seat_Drawer : WallModelMethodNewFac] takes [1] ms.
[Passenger_Seat_Frame : WallModelMethodNewFac] takes [1] ms.
[Passenger_Seat_Trim : WallModelMethodNewFac] takes [1] ms.
[Passenger_Side_Visor : WallModelMethodNewFac] takes [1] ms.
[RL_Door : WallModelMethodNewFac] takes [1] ms.
[RL_Door_Glass : WallModelMethodNewFac] takes [1] ms.
[RL_Door_Hinges : WallModelMethodNewFac] takes [1] ms.
[RL_Door_Sealing : WallModelMethodNewFac] takes [1] ms.
[RL_Fender : WallModelMethodNewFac] takes [1] ms.
[RL_Seat_Belt : WallModelMethodNewFac] takes [1] ms.
[RL_Wheelhouse_Liner : WallModelMethodNewFac] takes [1] ms.
[RM_Seat_Belt : WallModelMethodNewFac] takes [1] ms.
[RR_Door : WallModelMethodNewFac] takes [1] ms.
[RR_Door_Glass : WallModelMethodNewFac] takes [1] ms.
[RR_Door_Hinges : WallModelMethodNewFac] takes [1] ms.
[RR_Door_Sealing : WallModelMethodNewFac] takes [1] ms.
[RR_Fender : WallModelMethodNewFac] takes [1] ms.
[RR_Seat_Belt : WallModelMethodNewFac] takes [1] ms.
[RR_Wheelhouse_Liner : WallModelMethodNewFac] takes [1] ms.
[Rear View Mirror : WallModelMethodNewFac] takes [1] ms.
[Rear_Bumper : WallModelMethodNewFac] takes [1] ms.
[Rear_Row_Middle_Headrest : WallModelMethodNewFac] takes [1] ms.
[Rear_Row_Seat_Back : WallModelMethodNewFac] takes [1] ms.
[Rear_Seat_Left_Cushion : WallModelMethodNewFac] takes [1] ms.
[Rear_Seat_Left_Headrest : WallModelMethodNewFac] takes [1] ms.
[Rear_Seat_Middle_Armrest : WallModelMethodNewFac] takes [1] ms.
[Rear_Seat_Right_Cushion : WallModelMethodNewFac] takes [1] ms.
[Rear_Seat_Right_Headrest : WallModelMethodNewFac] takes [1] ms.
[Rear_Storage : WallModelMethodNewFac] takes [1] ms.
[Rear_Wall : WallModelMethodNewFac] takes [1] ms.
[Rear_Window_Blackband_Area : WallModelMethodNewFac] takes [1] ms.
[Rear_Window_Dotted_Area : WallModelMethodNewFac] takes [1] ms.
[Rear_Window_Vision : WallModelMethodNewFac] takes [1] ms.
[Right_A-Pillar_Exterior_Trim : WallModelMethodNewFac] takes [1] ms.
[Right_GEAR_Tunnel_Seal : WallModelMethodNewFac] takes [1] ms.
[Right_Headlight : WallModelMethodNewFac] takes [1] ms.
[Right_Rocker_Panel_Seal : WallModelMethodNewFac] takes [1] ms.
[Right_Side_Trims : WallModelMethodNewFac] takes [1] ms.
[Right_Storage_Door_Closed : WallModelMethodNewFac] takes [1] ms.
[Right_Taillight : WallModelMethodNewFac] takes [1] ms.
[Roof_Racks : WallModelMethodNewFac] takes [1] ms.
[Spoiler : WallModelMethodNewFac] takes [1] ms.
[Sunroof : WallModelMethodNewFac] takes [1] ms.
[Tailgate : WallModelMethodNewFac] takes [1] ms.
[Tailgate_Hinges : WallModelMethodNewFac] takes [1] ms.
