length              Cd                  Cl                  Cs                  
-0.912              0                   0                   0                   
-0.85672            0.121592            -0.00234622         6.09667e-05         
-0.80144            0.208122            0.0240682           0.000195104         
-0.74616            0.226393            0.0597423           0.000671996         
-0.69088            0.22974             0.0875824           0.000695883         
-0.6356             0.240028            0.106286            0.000241248         
-0.58032            0.245931            0.122411            -0.000101239        
-0.52504            0.245895            0.140014            -9.27014e-05        
-0.46976            0.253309            0.141897            -1.63041e-05        
-0.41448            0.252524            0.135726            0.000518842         
-0.3592             0.253966            0.137091            0.000395584         
-0.30392            0.25753             0.136746            0.00107197          
-0.24864            0.256897            0.132335            0.00039671          
-0.19336            0.25808             0.12476             0.00101126          
-0.13808            0.251552            0.112416            0.000789628         
-0.0828             0.23737             0.0953545           0.000678162         
-0.02752            0.22589             0.0702518           0.000917592         
0.02776             0.226601            0.0386927           0.00065556          
0.08304             0.237832            0.00993807          -1.71014e-07        
0.13832             0.241751            -0.0151033          0.00176437          
0.1936              0.238974            -0.035649           0.00249412          
0.24888             0.230768            -0.0574756          0.00248447          
0.30416             0.230502            -0.0796719          0.00263254          
0.35944             0.234712            -0.0996306          0.00216935          
0.41472             0.250302            -0.125258           0.0018021           
0.47                0.267874            -0.154512           0.00167135          
0.52528             0.275253            -0.183916           0.00188644          
0.58056             0.291862            -0.209316           0.00227714          
0.63584             0.303129            -0.230911           0.00237505          
0.69112             0.312898            -0.248022           0.00241962          
0.7464              0.322115            -0.260796           0.00286335          
0.80168             0.328498            -0.269992           0.00362432          
0.85696             0.33059             -0.277937           0.0041464           
0.91224             0.329517            -0.27644            0.0036975           
0.96752             0.332524            -0.270003           0.00417922          
1.0228              0.337528            -0.263815           0.00503101          
1.07808             0.334319            -0.254919           0.00528877          
1.13336             0.329503            -0.239545           0.00561991          
1.18864             0.320103            -0.216437           0.0056567           
1.24392             0.312777            -0.185248           0.00565736          
1.2992              0.308936            -0.154168           0.00541132          
1.35448             0.309755            -0.133533           0.00521906          
1.40976             0.30924             -0.120866           0.00524288          
1.46504             0.311982            -0.108576           0.0056407           
1.52032             0.30956             -0.0993346          0.00582819          
1.5756              0.308358            -0.0925267          0.00598909          
1.63088             0.306649            -0.0849763          0.006085            
1.68616             0.304703            -0.0774332          0.00600958          
1.74144             0.309765            -0.0697788          0.00653376          
1.79672             0.310256            -0.063118           0.00716895          
1.852               0.316364            -0.0562449          0.0074865           
1.90728             0.314202            -0.0505778          0.00754149          
1.96256             0.317452            -0.0448234          0.0074208           
2.01784             0.313251            -0.0390352          0.0074266           
2.07312             0.315049            -0.0328397          0.00733407          
2.1284              0.315028            -0.025885           0.00734458          
2.18368             0.318769            -0.0200908          0.00746225          
2.23896             0.318294            -0.0139473          0.00744598          
2.29424             0.318764            -0.00851943         0.00725659          
2.34952             0.318875            -0.00238114         0.00697115          
2.4048              0.315421            0.00450001          0.00691415          
2.46008             0.317354            0.0121252           0.0068273           
2.51536             0.306982            0.0201921           0.00696438          
2.57064             0.3081              0.0290863           0.00671052          
2.62592             0.307933            0.0415878           0.00646329          
2.6812              0.307723            0.0563754           0.00622             
2.73648             0.312483            0.0689663           0.00645818          
2.79176             0.309056            0.0766417           0.0063531           
2.84704             0.314248            0.0865704           0.00608505          
2.90232             0.308638            0.0973425           0.00556274          
2.9576              0.319127            0.1033              0.00526759          
3.01288             0.293462            0.106048            0.00518084          
3.06816             0.319172            0.108296            0.00490057          
3.12344             0.32445             0.112573            0.00548226          
3.17872             0.325339            0.117215            0.00551488          
3.234               0.316166            0.121007            0.00541498          
3.28928             0.310805            0.123645            0.00537816          
3.34456             0.312869            0.136415            0.00531247          
3.39984             0.311872            0.135609            0.00611862          
3.45512             0.315041            0.133468            0.00581632          
3.5104              0.317108            0.128708            0.00618189          
3.56568             0.321256            0.122757            0.00593627          
3.62096             0.329924            0.101156            0.00569742          
3.67624             0.339456            0.0957022           0.00609576          
3.73152             0.353764            0.0892264           0.00644574          
3.7868              0.357453            0.0803016           0.00673998          
3.84208             0.361169            0.0681835           0.00667556          
3.89736             0.365427            0.0579282           0.00707817          
3.95264             0.367547            0.0490163           0.00745166          
4.00792             0.368978            0.0413525           0.00789421          
4.0632              0.371372            0.0337426           0.00852794          
4.11848             0.370896            0.0270634           0.00918992          
4.17376             0.374212            0.0212531           0.00987787          
4.22904             0.375107            0.0154388           0.0102856           
4.28432             0.376265            0.0117507           0.0110466           
4.3396              0.376484            0.00866913          0.0116314           
4.39488             0.371889            0.00609258          0.0122812           
4.45016             0.375456            0.00920378          0.0130516           
4.50544             0.374692            0.0114223           0.0136213           
4.56072             0.36116             0.0142935           0.0140215           
4.616               0.352144            0.0142336           0.0140711           

