#Time(s)            nTime               Cd_Avg              Cl_Avg              Cs_Avg              
1.000011            73613               0.346781            -0.014860           0.042652            
1.003489            73869               0.349794            -0.026499           0.044176            
1.006967            74125               0.350966            -0.029929           0.041863            
1.010445            74381               0.353228            -0.026549           0.041780            
1.013922            74637               0.353223            -0.019169           0.041676            
1.017400            74893               0.352345            -0.012379           0.043549            
1.020878            75149               0.351646            -0.006463           0.042560            
1.024355            75405               0.351161            0.000998            0.041455            
1.027833            75661               0.350788            0.006148            0.038380            
1.031311            75917               0.350165            0.009283            0.036861            
1.034788            76173               0.349647            0.011832            0.036085            
1.038266            76429               0.349106            0.013161            0.036455            
1.041744            76685               0.349067            0.012976            0.038210            
1.045221            76941               0.349406            0.012591            0.039534            
1.048699            77197               0.349899            0.013135            0.039231            
1.052177            77453               0.350001            0.013718            0.038184            
1.055654            77709               0.350394            0.013719            0.037437            
1.059132            77965               0.350984            0.013432            0.036177            
1.062610            78221               0.352105            0.013198            0.034355            
1.066087            78477               0.352620            0.013567            0.032667            
1.069565            78733               0.352697            0.013901            0.031060            
1.073043            78989               0.353059            0.013993            0.029802            
1.076521            79245               0.353314            0.013427            0.028090            
1.079998            79501               0.353382            0.013238            0.026639            
1.083476            79757               0.353476            0.014128            0.025241            
1.086954            80013               0.353817            0.014966            0.023909            
1.090431            80269               0.353496            0.015663            0.022937            
1.093909            80525               0.353169            0.015518            0.022684            
1.097387            80781               0.352898            0.014927            0.022407            
1.100864            81037               0.352533            0.015034            0.022255            
1.104342            81293               0.352487            0.015223            0.022147            
1.107820            81549               0.352188            0.014838            0.022295            
1.111297            81805               0.352108            0.014182            0.022340            
1.114775            82061               0.352269            0.014130            0.022634            
1.118253            82317               0.352503            0.014558            0.023198            
1.121730            82573               0.352327            0.015105            0.024198            
1.125208            82829               0.352105            0.015101            0.025101            
1.128686            83085               0.352131            0.015089            0.025976            
1.132164            83341               0.352148            0.015069            0.026624            
1.135641            83597               0.351938            0.014979            0.026836            
1.139119            83853               0.351939            0.015033            0.026687            
1.142597            84109               0.351825            0.014951            0.026593            
1.146074            84365               0.351627            0.014767            0.026543            
1.149552            84621               0.351456            0.014164            0.026618            
1.153030            84877               0.351274            0.013926            0.026664            
1.156507            85133               0.351187            0.013976            0.026530            
1.159985            85389               0.351138            0.013790            0.025997            
1.163463            85645               0.351060            0.013445            0.025253            
1.166940            85901               0.351000            0.013093            0.024703            
