#Time(s)            nTime               Cd_Inst             Cl_Inst             Cs_Inst             
0.000000            0                   0.560130            0.013423            0.070858            
0.003478            256                 5.746766            -1.473300           -0.008927           
0.006955            512                 2.299359            2.319658            0.025656            
0.010433            768                 -0.658802           1.341617            -0.017996           
0.013911            1024                0.319958            -0.915417           -0.067328           
0.017388            1280                0.429887            -0.376693           0.076682            
0.020866            1536                0.032736            -0.757881           0.033514            
0.024344            1792                -0.363108           0.581242            -0.071030           
0.027821            2048                -0.507204           0.460764            0.028830            
0.031299            2304                0.536197            0.434686            0.034485            
0.034777            2560                0.503924            -0.038529           -0.013412           
0.038255            2816                0.179968            0.143503            -0.006832           
0.041732            3072                0.279195            0.082281            0.012563            
0.045210            3328                0.380662            -0.003345           0.022146            
0.048688            3584                0.422101            0.051563            -0.003187           
0.052165            3840                0.341122            0.127206            -0.020056           
0.055643            4096                0.356136            0.099189            0.010449            
0.059121            4352                0.384724            0.093742            0.016285            
0.062598            4608                0.374495            0.133644            0.000826            
0.066076            4864                0.386922            0.146469            0.002139            
0.069554            5120                0.387661            0.134232            0.007909            
0.073031            5376                0.382251            0.142998            0.021414            
0.076509            5632                0.371958            0.141384            0.022315            
0.079987            5888                0.359071            0.135448            0.034083            
0.083464            6144                0.343745            0.127400            0.040634            
0.086942            6400                0.329281            0.127877            0.045888            
0.090420            6656                0.316928            0.135991            0.051165            
0.093898            6912                0.303508            0.141480            0.041009            
0.097375            7168                0.293006            0.150228            0.028205            
0.100853            7424                0.290152            0.159985            0.020809            
0.104331            7680                0.293441            0.164503            0.017703            
0.107808            7936                0.293843            0.160721            0.016302            
0.111286            8192                0.292460            0.155392            0.012525            
0.114764            8448                0.302761            0.139693            0.014944            
0.118241            8704                0.310785            0.126458            0.030490            
0.121719            8960                0.321041            0.126659            0.032751            
0.125197            9216                0.326351            0.129962            0.032622            
0.128674            9472                0.326316            0.108471            0.037212            
0.132152            9728                0.325288            0.101046            0.039314            
0.135630            9984                0.322913            0.104475            0.033964            
0.139107            10240               0.336022            0.112620            0.028115            
0.142585            10496               0.333296            0.125045            0.028551            
0.146063            10752               0.331148            0.135730            0.040410            
0.149541            11008               0.338910            0.147101            0.040720            
0.153018            11264               0.341710            0.170529            0.048355            
0.156496            11520               0.339453            0.173459            0.044136            
0.159974            11776               0.341124            0.188414            0.051264            
0.163451            12032               0.341537            0.209462            0.041272            
0.166929            12288               0.345901            0.238130            0.034828            
0.170407            12544               0.341285            0.264931            0.032069            
0.173884            12800               0.344025            0.279873            0.022512            
0.177362            13056               0.345981            0.289383            0.028472            
0.180840            13312               0.346578            0.310937            0.030890            
0.184317            13568               0.349140            0.325258            0.032759            
0.187795            13824               0.350571            0.327669            0.017834            
0.191273            14080               0.356382            0.338369            0.012223            
