#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -5.29175e-06        -9.92203e-07        -1.45523e-05        1.24885e-06         3.02714e-05         -2.30191e-06        
0.00347769          256                 0.0932418           0.0220077           0.557937            -0.0239233          -1.23958            0.0563287           
0.00695537          512                 -0.126835           -1.60406e-05        -0.0604762          -0.00127161         0.0052684           -0.000921152        
0.0104331           768                 1.44369             -0.107189           -2.60856            0.109233            7.67154             -0.256744           
0.0139107           1024                3.08511             0.0976293           0.668918            -0.0971409          1.57163             0.230022            
0.0173884           1280                -2.20534            -0.431344           -5.53061            0.424625            11.1624             -1.01842            
0.0208661           1536                -1.77651            0.142323            -0.137675           -0.14246            -1.32468            0.335619            
0.0243438           1792                -0.472419           -0.0423533          0.727994            0.0482718           -2.24721            -0.100269           
0.0278215           2048                0.272102            0.239099            1.16866             -0.244633           -2.63645            0.566093            
0.0312992           2304                0.647335            -0.139417           1.61044             0.138156            -3.27931            -0.33091            
0.0347769           2560                -0.181027           -0.0139856          -1.19338            0.0102434           2.70425             -0.0359972          
0.0382545           2816                0.142142            0.0590777           0.221349            -0.0641079          -0.419569           0.140098            
0.0417322           3072                0.190373            0.043693            0.807403            -0.0471725          -1.79366            0.103081            
0.0452099           3328                0.128777            -0.000452279        0.273971            -0.00309182         -0.539922           -0.00145248         
0.0486876           3584                0.157293            -0.0250506          0.143179            0.0219097           -0.180335           -0.0599369          
0.0521653           3840                0.0935904           0.0369558           0.111978            -0.0417868          -0.181136           0.0873559           
0.055643            4096                0.087913            -0.000241436        0.231917            -0.00366213         -0.485319           -0.00046663         
0.0591207           4352                0.0607183           -0.00492529         0.167355            0.00213804          -0.345056           -0.0119028          
0.0625984           4608                0.0208449           0.00356234          0.106862            -0.00589127         -0.241514           0.0083394           
0.066076            4864                0.00412012          0.0126423           0.0919585           -0.0148061          -0.22064            0.0301079           
0.0695537           5120                -0.00486097         0.00455454          0.0856719           -0.00660871         -0.214804           0.010943            
0.0730314           5376                0.00367462          0.00187642          0.0984874           -0.00372961         -0.238307           0.00438414          
0.0765091           5632                0.0105541           0.00884549          0.106776            -0.0108349          -0.251204           0.0208108           
0.0799868           5888                0.0147476           0.00949588          0.113507            -0.0116362          -0.263902           0.0223161           
0.0834645           6144                0.0195532           -0.00154221         0.118436            -0.000587278        -0.271061           -0.00386755         
0.0869422           6400                0.0288427           0.00526545          0.125815            -0.00755885         -0.27983            0.0121849           
0.0904198           6656                0.0263537           0.00316083          0.130881            -0.0056416          -0.295492           0.00718946          
0.0938975           6912                0.035563            0.00247819          0.16624             -0.00495648         -0.371734           0.00552402          
0.0973752           7168                0.0368592           0.00908891          0.17289             -0.0117034          -0.387778           0.0211399           
0.100853            7424                0.0405885           0.00301828          0.191005            -0.00561706         -0.428167           0.00682437          
0.104331            7680                0.0332563           0.00754388          0.19167             -0.0100618          -0.436687           0.0174823           
0.107808            7936                0.0333051           -0.00405794         0.197781            0.00159988          -0.45203            -0.00984529         
0.111286            8192                0.046134            0.00308261          0.203952            -0.00528419         -0.454484           0.00686068          
0.114764            8448                0.0385772           0.0108107           0.178873            -0.0131319          -0.399977           0.0252794           
0.118241            8704                0.0317227           0.00336704          0.155315            -0.00563908         -0.348997           0.00771593          
0.121719            8960                0.0323713           0.0041651           0.16171             -0.00643671         -0.363332           0.0096232           
0.125197            9216                0.0433761           0.0074574           0.18262             -0.00961121         -0.403417           0.0173074           
0.128674            9472                0.0406466           0.0120015           0.15899             -0.0142625          -0.348748           0.0281104           
0.132152            9728                0.0381917           0.0134371           0.155245            -0.0156843          -0.341667           0.0315025           
0.13563             9984                0.0363515           0.00715775          0.157281            -0.00945671         -0.347824           0.0166487           
0.139107            10240               0.040021            0.000549515         0.174917            -0.00281043         -0.387941           0.000960959         
0.142585            10496               0.0430778           0.0134687           0.16446             -0.0158028          -0.35914            0.031469            
0.146063            10752               0.0520439           0.00936077          0.18764             -0.0115768          -0.40597            0.0217683           
0.149541            11008               0.0437459           0.00375152          0.163669            -0.00617618         -0.356073           0.00864071          
0.153018            11264               0.0482695           -0.00548027         0.182089            0.00326936          -0.397614           -0.0133069          
0.156496            11520               0.0463845           0.0250222           0.178406            -0.0272365          -0.390291           0.0587036           
0.159974            11776               0.0373692           0.0163904           0.166935            -0.0188697          -0.371622           0.0386402           
0.163451            12032               0.0461584           -0.000992203        0.206997            -0.000880996        -0.461061           -0.00268822         
0.166929            12288               0.02782             -0.00121429         0.171359            -0.000765567        -0.392175           -0.00301712         
0.170407            12544               0.0192423           -7.37537e-05        0.163702            -0.0018783          -0.38122            -0.000261445        
0.173884            12800               0.0269297           -0.000828324        0.177602            -0.000844591        -0.409057           -0.00198059         
0.177362            13056               0.0180075           0.00271384          0.149217            -0.00417381         -0.348792           0.00615641          
0.18084             13312               0.0172635           0.00629553          0.149962            -0.00788919         -0.351096           0.0147642           
0.184317            13568               0.00692061          0.0136788           0.158945            -0.0153391          -0.38312            0.0322496           
0.187795            13824               0.0141703           -0.0112651          0.157029            0.00944933          -0.371282           -0.0267214          
0.191273            14080               0.0194596           0.0221131           0.158752            -0.0233887          -0.371747           0.0518042           
