#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   5.78785e-06         4.96101e-07         1.22372e-05         -4.96101e-07        -2.53673e-05        1.20123e-06         
0.00347769          256                 0.0463417           0.0191179           0.55268             -0.0178326          -1.31361            0.04679             
0.00695537          512                 0.0284934           0.00686356          0.423745            -0.00581755         -1.01521            0.0165876           
0.0104331           768                 -0.0716301          -0.0508324          -2.29768            0.0505892           5.57822             -0.124199           
0.0139107           1024                0.682068            -0.0719779          -6.15223            0.0780599           15.8911             -0.175209           
0.0173884           1280                1.57766             0.0429488           2.91738             -0.0290149          -5.46433            0.101849            
0.0208661           1536                0.436893            0.120015            4.78053             -0.112375           -11.3387            0.292751            
0.0243438           1792                -0.773741           -0.0221465          0.901529            0.0106631           -3.04791            -0.052804           
0.0278215           2048                -0.74134            0.0176128           -0.211486           -0.0217108          -0.237672           0.0434922           
0.0312992           2304                -0.317277           -0.0944365          -2.09336            0.089826            4.83511             -0.231705           
0.0347769           2560                -0.105092           -0.00150567         0.0483724           0.00411605          -0.184048           -0.00492389         
0.0382545           2816                -0.219917           0.00268011          -0.0687081          -0.00277576         -0.0334005          0.00582623          
0.0417322           3072                -0.224729           -0.0171248          -0.582602           0.0154114           1.21329             -0.0422778          
0.0452099           3328                -0.178313           -0.00555584         -0.208937           0.00570803          0.341023            -0.0140865          
0.0486876           3584                -0.114403           -0.0170082          -0.387224           0.0164723           0.851413            -0.0419779          
0.0521653           3840                -0.050626           0.00262223          -0.18352            -0.00197889         0.418329            0.00601854          
0.055643            4096                -0.0597733          -0.00671771         -0.159817           0.00659916          0.343127            -0.0168188          
0.0591207           4352                -0.063622           -0.00641823         -0.113549           0.00650833          0.222467            -0.0160574          
0.0625984           4608                -0.0570025          -0.00319225         -0.0568984          0.00316792          0.0876113           -0.00808058         
0.066076            4864                -0.0564924          0.000105008         -0.00935201         -0.000249744        -0.0295161          8.17912e-05         
0.0695537           5120                -0.060036           -0.00135684         -0.00175223         0.00112061          -0.0512193          -0.00349631         
0.0730314           5376                -0.0674807          -0.00284448         -0.0230742          0.00268478          -0.00607119         -0.00717952         
0.0765091           5632                -0.0730336          -0.00199912         -0.0334928          0.00182629          0.0149609           -0.00511378         
0.0799868           5888                -0.0791234          -0.0018407          -0.0349771          0.00170054          0.0132443           -0.00475565         
0.0834645           6144                -0.0875594          -0.00478771         -0.0463873          0.00454066          0.0335479           -0.012003           
0.0869422           6400                -0.0950699          -0.00418081         -0.0781561          0.00393817          0.105159            -0.0105289          
0.0904198           6656                -0.101141           -0.00481466         -0.0709628          0.00455518          0.082177            -0.0121161          
0.0938975           6912                -0.110213           -0.00619416         -0.0950328          0.00584702          0.132527            -0.0155009          
0.0973752           7168                -0.11721            -0.00511563         -0.105049           0.00479849          0.150241            -0.0128625          
0.100853            7424                -0.121327           -0.00686588         -0.109733           0.00644019          0.157347            -0.0171508          
0.104331            7680                -0.122776           -0.00585234         -0.0992264          0.00549196          0.129905            -0.0146605          
0.107808            7936                -0.126323           -0.00827018         -0.102453           0.00772566          0.133776            -0.0205739          
0.111286            8192                -0.125895           -0.00786354         -0.128136           0.00742153          0.196764            -0.019565           
0.114764            8448                -0.117549           -0.0053569          -0.122577           0.00502697          0.19182             -0.0133987          
0.118241            8704                -0.11259            -0.00618076         -0.0981004          0.00583647          0.136982            -0.0154191          
0.121719            8960                -0.112003           -0.00575957         -0.0831023          0.0054321           0.100856            -0.0143874          
0.125197            9216                -0.112285           -0.00620242         -0.11948            0.00583961          0.189899            -0.0154623          
0.128674            9472                -0.109507           -0.00464219         -0.114555           0.00438987          0.180924            -0.0116471          
0.132152            9728                -0.108554           -0.00419718         -0.0975114          0.00394371          0.140193            -0.0105548          
0.13563             9984                -0.109959           -0.00522378         -0.0916527          0.00492174          0.124612            -0.0130883          
0.139107            10240               -0.113762           -0.00753661         -0.10337            0.00708551          0.149464            -0.0187647          
0.142585            10496               -0.115381           -0.00479747         -0.106487           0.0045076           0.155965            -0.012059           
0.146063            10752               -0.114245           -0.00625038         -0.133859           0.00587862          0.22449             -0.0156202          
0.149541            11008               -0.112015           -0.00626113         -0.105833           0.00590233          0.15823             -0.0156644          
0.153018            11264               -0.115332           -0.00925593         -0.115574           0.00870344          0.178293            -0.0230101          
0.156496            11520               -0.115544           -0.0024137          -0.113724           0.00230037          0.173217            -0.00624888         
0.159974            11776               -0.113763           -0.00273997         -0.10454            0.00248666          0.152001            -0.00702756         
0.163451            12032               -0.113883           -0.00815541         -0.153714           0.00764403          0.27145             -0.0202806          
