#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   1.22372e-05         -3.47271e-06        -2.48051e-06        3.97146e-06         2.08971e-05         -8.76843e-06        
0.00347769          256                 -0.267547           0.0149732           0.196894            -0.0192171          -0.83385            0.0365788           
0.00695537          512                 -0.143242           0.00879224          0.131752            -0.0116296          -0.502265           0.0208899           
0.0104331           768                 2.90936             0.0587611           -1.94641            -0.0668343          8.40465             0.150608            
0.0139107           1024                2.23563             0.227136            -1.72322            -0.267487           7.03321             0.572176            
0.0173884           1280                -5.5705             0.211719            3.5239              -0.251875           -15.6059            0.53493             
0.0208661           1536                -1.92893            -0.126879           1.43213             0.151084            -5.93867            -0.317047           
0.0243438           1792                2.15244             -0.182249           -1.28922            0.213913            5.84189             -0.46266            
0.0278215           2048                0.0292405           0.00917903          -0.0389349          -0.0125362          0.134991            0.0207206           
0.0312992           2304                -0.140914           0.093271            0.0143395           -0.109198           -0.203006           0.236739            
0.0347769           2560                -0.0103889          0.0962572           -0.0851308          -0.11387            0.20591             0.242447            
0.0382545           2816                -0.514281           0.0789936           0.283523            -0.0939384          -1.33534            0.198754            
0.0417322           3072                -0.641617           0.0604627           0.379393            -0.0718282          -1.73089            0.152435            
0.0452099           3328                0.0539452           0.0317179           -0.0645808          -0.037408           0.22863             0.0801768           
0.0486876           3584                0.38428             0.0381824           -0.288157           -0.0455318          1.19009             0.0954718           
0.0521653           3840                -0.330403           0.056843            0.172928            -0.0676155          -0.834723           0.142835            
0.055643            4096                -0.47392            0.0458576           0.277929            -0.0543675          -1.27198            0.115588            
0.0591207           4352                -0.100658           0.0267731           0.0437917           -0.0316606          -0.231628           0.06741             
0.0625984           4608                -0.11295            0.0197199           0.0575696           -0.0234042          -0.281139           0.0494874           
0.066076            4864                -0.0734675          0.0156381           0.0352723           -0.0185641          -0.177423           0.0392094           
0.0695537           5120                -0.075265           0.0160975           0.0353004           -0.019078           -0.179679           0.0403885           
0.0730314           5376                -0.076376           0.0175815           0.0346796           -0.0207374          -0.17945            0.0442555           
0.0765091           5632                -0.076776           0.0207666           0.0324184           -0.0245098          -0.174262           0.0522746           
0.0799868           5888                -0.101587           0.0236607           0.0466135           -0.0279202          -0.240078           0.0596073           
0.0834645           6144                -0.0965097          0.0260471           0.0413543           -0.0307158          -0.220719           0.065655            
0.0869422           6400                -0.0921983          0.0295048           0.0356738           -0.0348019          -0.201301           0.0743821           
0.0904198           6656                -0.127975           0.0326149           0.0568517           -0.0384895          -0.297798           0.0822296           
0.0938975           6912                -0.123858           0.0344719           0.0527878           -0.0406689          -0.282633           0.0869373           
0.0973752           7168                -0.140729           0.0359379           0.0627104           -0.042415           -0.327962           0.0906323           
0.100853            7424                -0.145101           0.036039            0.0657526           -0.0425373          -0.340907           0.0908994           
0.104331            7680                -0.138589           0.0352804           0.0619837           -0.0416383          -0.323501           0.0889855           
0.107808            7936                -0.13522            0.0341311           0.0606375           -0.0402641          -0.316064           0.0861105           
0.111286            8192                -0.116433           0.0331179           0.0489887           -0.0390568          -0.264022           0.0835591           
0.114764            8448                -0.100752           0.0328346           0.0388244           -0.0387284          -0.219439           0.0828409           
0.118241            8704                -0.0971519          0.0324419           0.0367272           -0.0382695          -0.209894           0.0818432           
0.121719            8960                -0.105025           0.0325798           0.042031            -0.0384533          -0.232851           0.0821664           
0.125197            9216                -0.104516           0.0332704           0.041044            -0.0392456          -0.229718           0.0839477           
0.128674            9472                -0.101992           0.0336018           0.0391062           -0.0396301          -0.221843           0.0847969           
0.132152            9728                -0.103445           0.033854            0.0400121           -0.0399482          -0.22585            0.0854144           
0.13563             9984                -0.102519           0.0341442           0.039153            -0.0402881          -0.222649           0.0861471           
0.139107            10240               -0.119064           0.0347994           0.0497097           -0.0410828          -0.269219           0.0877821           
0.142585            10496               -0.103216           0.0356771           0.0383673           -0.042105           -0.22152            0.0900159           
0.146063            10752               -0.10402            0.0366566           0.0382823           -0.0432575          -0.222276           0.0924995           
0.149541            11008               -0.115371           0.0371234           0.0453418           -0.0438216          -0.25371            0.093665            
0.153018            11264               -0.136588           0.0366806           0.0596893           -0.0433             -0.315503           0.0925601           
0.156496            11520               -0.122656           0.0357595           0.0513357           -0.042206           -0.277619           0.0902423           
0.159974            11776               -0.118402           0.0342962           0.0498102           -0.0405097          -0.268575           0.0865157           
0.163451            12032               -0.117062           0.0322019           0.0506207           -0.0380101          -0.268937           0.0812594           
0.166929            12288               -0.110728           0.0296998           0.0482708           -0.0350464          -0.255315           0.0749697           
0.170407            12544               -0.105591           0.0269102           0.0474147           -0.0317691          -0.24714            0.0679112           
0.173884            12800               -0.0964811          0.0251614           0.0428647           -0.0297263          -0.224497           0.0634639           
0.177362            13056               -0.0639142          0.0234588           0.0219297           -0.0276587          -0.132382           0.0592277           
0.18084             13312               -0.0769948          0.0233563           0.0311614           -0.0275718          -0.171544           0.0589433           
0.184317            13568               -0.0984366          0.0228061           0.0456349           -0.0269308          -0.233765           0.0575516           
0.187795            13824               -0.0609991          0.022287            0.0213433           -0.02632            -0.127455           0.0562218           
0.191273            14080               -0.0884364          0.0224291           0.0393045           -0.0264806          -0.205804           0.0566006           
0.19475             14336               -0.0631864          0.022691            0.0221423           -0.0267952          -0.131962           0.0572417           
