#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000249208        -1.22372e-05        -0.00545463         -2.54771e-05        0.00983576          -2.15282e-05        
0.00347769          256                 0.0671212           -0.0134675          2.43947             -0.362767           -4.47034            0.000908798         
0.00695537          512                 0.0950497           0.0172056           1.89332             -0.0646626          -3.38405            0.0422547           
0.0104331           768                 -7.70608            -0.175752           -61.0554            7.89835             99.1602             -1.19176            
0.0139107           1024                -13.7703            -0.674222           -344.307            -8.59143            624.472             -0.490758           
0.0173884           1280                -8.69249            -0.389853           -246.41             -2.12518            449.85              -0.52013            
0.0208661           1536                -2.29207            -0.113282           -85.0378            -5.75669            157                 0.25236             
0.0243438           1792                8.02168             0.380676            177.738             2.26988             -320.545            0.503533            
0.0278215           2048                7.96564             0.427764            202.323             4.76212             -367.77             0.427678            
0.0312992           2304                7.07357             0.236341            154.874             -1.64244            -279.353            0.445208            
0.0347769           2560                5.42351             0.256213            116.807             1.35226             -210.275            0.374038            
0.0382545           2816                5.58876             0.237219            121.09              -0.178264           -218.062            0.417373            
0.0417322           3072                4.97962             0.243114            113.099             1.72634             -204.41             0.304699            
0.0452099           3328                3.62272             0.154837            80.5225             -0.0539311          -145.397            0.262635            
0.0486876           3584                2.86679             0.12255             61.1381             0.245205            -110.08             0.186354            
0.0521653           3840                2.32082             0.113823            49.5921             0.419623            -89.2807            0.183342            
0.055643            4096                2.00617             0.0946265           44.4028             0.301369            -80.1271            0.143757            
0.0591207           4352                1.76797             0.0760697           38.8077             -0.0327044          -69.9938            0.125342            
0.0625984           4608                1.63934             0.0753601           34.9683             0.109879            -62.9601            0.122389            
0.066076            4864                1.48505             0.0704839           31.6397             0.112846            -56.9561            0.118182            
0.0695537           5120                1.54193             0.0730651           33.1931             0.191189            -59.7868            0.115661            
0.0730314           5376                1.70319             0.0754871           36.8738             0.0726908           -66.4374            0.124514            
0.0765091           5632                1.87058             0.0864483           40.605              0.29233             -73.1705            0.131636            
0.0799868           5888                2.0219              0.0918633           44.0247             0.214523            -79.3518            0.147207            
0.0834645           6144                2.20107             0.095988            48.0358             0.160665            -86.591             0.152528            
0.0869422           6400                2.41735             0.106525            52.6814             0.238567            -94.9555            0.168814            
0.0904198           6656                2.60929             0.11358             56.9313             0.249115            -102.622            0.178129            
0.0938975           6912                2.78594             0.120831            60.8351             0.273107            -109.662            0.189049            
0.0973752           7168                2.92467             0.127611            63.9851             0.330924            -115.354            0.19835             
0.100853            7424                2.99637             0.12814             65.5096             0.299879            -118.092            0.198289            
0.104331            7680                3.04553             0.1304              66.5845             0.292334            -120.032            0.205355            
0.107808            7936                3.05064             0.127227            66.7674             0.209               -120.365            0.199109            
0.111286            8192                2.97911             0.127334            65.2103             0.324935            -117.562            0.196276            
0.114764            8448                2.87963             0.124142            62.8155             0.353848            -113.216            0.190974            
0.118241            8704                2.80932             0.118879            61.249              0.216461            -110.385            0.189079            
0.121719            8960                2.76034             0.115272            60.359              0.170774            -108.802            0.184552            
0.125197            9216                2.75263             0.117221            60.3647             0.271809            -108.838            0.182668            
0.128674            9472                2.73587             0.121068            59.8753             0.434342            -107.942            0.181878            
0.132152            9728                2.72647             0.117039            59.6221             0.277552            -107.48             0.182906            
0.13563             9984                2.76551             0.116281            60.5324             0.210007            -109.125            0.182938            
0.139107            10240               2.84008             0.120262            62.1436             0.207283            -112.029            0.191159            
0.142585            10496               2.87612             0.125935            63.0203             0.437445            -113.621            0.189221            
0.146063            10752               2.87744             0.124136            62.9402             0.340813            -113.461            0.191119            
0.149541            11008               2.87979             0.121645            62.9648             0.260971            -113.499            0.189878            
0.153018            11264               2.88066             0.118053            63.1146             0.150532            -113.783            0.187011            
0.156496            11520               2.86989             0.125709            63.004              0.446721            -113.6              0.189634            
0.159974            11776               2.8421              0.127573            62.2115             0.524206            -112.147            0.190283            
0.163451            12032               2.7514              0.113665            60.166              0.156556            -108.447            0.181136            
0.166929            12288               2.66302             0.110614            58.3215             0.209669            -105.131            0.174988            
