#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   8.23528e-05         1.65367e-06         -6.87927e-05        -2.76361e-06        0.000303211         4.56545e-06         
0.00347769          256                 -0.22855            0.000877438         -0.250145           -0.000953741        0.353657            0.00323867          
0.00695537          512                 -0.833205           -0.0465221          1.02129             0.0699804           -3.97556            -0.129299           
0.0104331           768                 0.286351            -0.103519           0.0801316           0.155295            0.271602            -0.282485           
0.0139107           1024                6.65904             0.193548            -4.66065            -0.288773           22.3629             0.535374            
0.0173884           1280                6.31146             0.0742641           -6.51207            -0.13186            26.4744             0.21257             
0.0208661           1536                1.11253             0.231267            -0.331146           -0.370212           2.38695             0.628014            
0.0243438           1792                -3.81737            -0.0877114          3.05304             0.131281            -13.7808            -0.242897           
0.0278215           2048                -4.18619            -0.0795327          3.67555             0.134929            -15.8674            -0.221209           
0.0312992           2304                -1.49722            -0.143124           1.29337             0.229331            -5.55328            -0.390959           
0.0347769           2560                -1.48869            -0.0384814          1.11001             0.0621407           -5.14187            -0.107171           
0.0382545           2816                -1.86412            -0.0236559          1.75692             0.0402423           -7.39392            -0.0675029          
0.0417322           3072                -1.59614            -0.0594452          1.41839             0.0959857           -6.09946            -0.163468           
0.0452099           3328                -1.30839            -0.0457771          1.13819             0.0734191           -4.94145            -0.126424           
0.0486876           3584                -0.80669            -0.0353148          0.705798            0.0565303           -3.04958            -0.0973478          
0.0521653           3840                -0.686189           -0.00265646         0.628727            0.00655622          -2.67199            -0.00837211         
0.055643            4096                -0.697551           -0.0249465          0.619468            0.0396968           -2.66678            -0.0689379          
0.0591207           4352                -0.575976           -0.0247364          0.507346            0.0392168           -2.19069            -0.0681183          
0.0625984           4608                -0.505888           -0.0152323          0.438152            0.0244275           -1.90725            -0.0422159          
0.066076            4864                -0.474339           -0.00763665         0.404179            0.0128726           -1.77014            -0.0215746          
0.0695537           5120                -0.497685           -0.012042           0.422432            0.0194235           -1.85277            -0.0336301          
0.0730314           5376                -0.550451           -0.0156892          0.46541             0.0250167           -2.04439            -0.0435783          
0.0765091           5632                -0.597205           -0.0139757          0.509078            0.0226836           -2.22824            -0.0389756          
0.0799868           5888                -0.657258           -0.0176668          0.568233            0.028402            -2.47321            -0.0490815          
0.0834645           6144                -0.719228           -0.0204792          0.618321            0.0328764           -2.69641            -0.0568323          
0.0869422           6400                -0.77994            -0.0193364          0.668779            0.0314126           -2.91938            -0.0537788          
0.0904198           6656                -0.84579            -0.0236685          0.721717            0.0380567           -3.15647            -0.0656708          
0.0938975           6912                -0.905379           -0.0244679          0.77793             0.0394964           -3.39278            -0.0679288          
0.0973752           7168                -0.956394           -0.024501           0.816504            0.0397541           -3.57011            -0.0680632          
0.100853            7424                -0.97854            -0.0287545          0.839497            0.0462212           -3.66326            -0.0796757          
0.104331            7680                -0.986549           -0.026403           0.843071            0.0427853           -3.68472            -0.0732587          
