#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -2.34821e-05        7.60689e-06         -6.94542e-06        -3.7029e-06         -1.64838e-05        -2.52417e-06        
0.00347769          256                 0.0173129           0.0325236           -0.0169119          -0.0314798          0.0263483           0.0167434           
0.00695537          512                 -0.860024           0.674573            -0.481605           -0.301365           -0.531926           0.100755            
0.0104331           768                 -3.38559            -0.580017           -0.50732            0.842817            -2.82297            -1.08729            
0.0139107           1024                0.51272             -0.91635            -0.384509           0.866216            0.718069            -0.298194           
0.0173884           1280                0.899382            0.0754899           0.327168            -0.25033            0.639807            0.252409            
0.0208661           1536                1.47095             0.115437            0.568918            -0.386809           1.02603             0.407094            
0.0243438           1792                0.0415543           0.421879            -0.0150767          -0.375417           0.0481665           0.199229            
0.0278215           2048                0.295239            0.198767            0.0456929           -0.205944           0.233177            0.162069            
0.0312992           2304                0.957641            0.094329            0.133115            -0.180694           0.770067            0.275283            
0.0347769           2560                0.867233            -0.0936107          0.120108            -0.00293404         0.685965            0.168723            
0.0382545           2816                0.637735            -0.0551392          0.0849375           -0.0154634          0.511407            0.12979             
0.0417322           3072                0.399941            -0.0230872          0.0585572           -0.015883           0.315378            0.086949            
0.0452099           3328                0.474752            -0.0300965          0.0482488           -0.0101623          0.387024            0.102809            
0.0486876           3584                0.433394            0.00364965          0.0579842           -0.0426144          0.34833             0.108262            
0.0521653           3840                0.322719            -0.0275634          0.0350423           -0.00401709         0.257113            0.0667913           
0.055643            4096                0.259661            -0.0329233          0.0210038           0.00716278          0.208049            0.0488869           
0.0591207           4352                0.229208            -0.0517907          0.0147767           0.0304134           0.187264            0.0337044           
0.0625984           4608                0.23928             -0.0459769          0.0145037           0.0229216           0.19838             0.0378605           
0.066076            4864                0.238464            -0.0127235          0.026021            -0.0139597          0.193422            0.0513487           
0.0695537           5120                0.230832            -0.00977369         0.0281197           -0.0193044          0.185196            0.0504939           
0.0730314           5376                0.229297            -0.0293189          0.0306892           -0.00290469         0.182077            0.0414445           
0.0765091           5632                0.241347            -0.0539457          0.0393976           0.0177377           0.187852            0.0336522           
0.0799868           5888                0.270863            -0.0505491          0.047257            0.0125135           0.20984             0.0427784           
0.0834645           6144                0.29287             -0.0346269          0.0536553           -0.00422933         0.225941            0.0555905           
0.0869422           6400                0.305285            -0.0241825          0.0607767           -0.0164186          0.23274             0.06344             
0.0904198           6656                0.310834            -0.0196203          0.0678035           -0.0231318          0.233186            0.0668551           
0.0938975           6912                0.31691             -0.0192588          0.0731419           -0.0252585          0.235018            0.0685245           
0.0973752           7168                0.319007            -0.0197126          0.0748802           -0.0254445          0.235117            0.0689082           
0.100853            7424                0.320346            -0.0241795          0.0778056           -0.0226946          0.233972            0.0672361           
