#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   1.3064e-05          -1.9348e-05         5.29175e-06         1.42189e-05         9.34655e-06         -5.28249e-06        
0.00347769          256                 0.0199668           0.0222445           -0.00492            -0.0253175          0.0184985           0.0134468           
0.00695537          512                 2.31531             -1.89649            0.506293            1.38529             1.73826             -0.249963           
0.0104331           768                 -0.580821           -1.95124            -0.0288318          1.62899             -0.523201           -1.00761            
0.0139107           1024                0.206706            -0.278963           0.023605            0.225336            0.210376            -0.076431           
0.0173884           1280                -1.18985            0.698696            -0.170721           -0.45558            -0.953601           0.00949087          
0.0208661           1536                -0.708277           1.21996             -0.16934            -0.916386           -0.505943           0.358267            
0.0243438           1792                0.336278            -0.123918           0.181713            0.0477346           0.224319            0.0269827           
0.0278215           2048                0.107009            -0.0315443          0.0691507           0.0251146           0.0763849           0.0136253           
0.0312992           2304                -0.0205173          0.351345            -0.0337347          -0.257626           -0.00472014         0.15039             
0.0347769           2560                -0.126802           0.308219            -0.0869775          -0.209575           -0.0861205          0.105083            
0.0382545           2816                -0.129092           0.27532             -0.107736           -0.180949           -0.0746198          0.0891383           
0.0417322           3072                -0.0433161          0.0607006           -0.0501114          -0.0178422          -0.0208452          0.0156597           
0.0452099           3328                -0.0460776          0.129262            -0.0725432          -0.0670594          -0.013852           0.0453293           
0.0486876           3584                -0.0585312          0.164404            -0.0669102          -0.102618           -0.0248409          0.0569941           
0.0521653           3840                -0.074956           0.134022            -0.0618124          -0.0825273          -0.0413117          0.0397161           
0.055643            4096                -0.103645           0.0956738           -0.0562056          -0.0507582          -0.0693099          0.0158114           
0.0591207           4352                -0.0995072          0.00770115          -0.0518259          0.0266142           -0.0684503          -0.0213899          
0.0625984           4608                -0.109062           0.00389853          -0.057671           0.0322108           -0.0736056          -0.0251463          
0.066076            4864                -0.115627           0.046992            -0.0539264          -0.00867362         -0.0782885          -0.00800937         
0.0695537           5120                -0.106152           0.0805349           -0.0442742          -0.0427634          -0.0726974          0.00898143          
0.0730314           5376                -0.0974738          0.0993536           -0.0407175          -0.0614891          -0.0661498          0.0193269           
0.0765091           5632                -0.099509           0.101168            -0.0439344          -0.0619887          -0.0668466          0.0196275           
0.0799868           5888                -0.0987948          0.11211             -0.048106           -0.0691144          -0.0651082          0.0245958           
