#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   7.24308e-05         -0.000129317        0.00726557          2.69006e-05         -0.00843288         -0.000244815        
0.00347769          256                 614.573             -7.14402            -1989.59            -0.64946            14492.5             -5.54969            
0.00695537          512                 -30.8409            28.6743             330.997             -104.755            2736.85             50.5823             
0.0104331           768                 -212.979            -12.468             1601.94             16.0696             -7797.39            -12.5084            
0.0139107           1024                -23.868             -21.7001            -2296.8             84.6368             1785.47             -46.0737            
0.0173884           1280                1.18301             16.2406             -1994.24            -63.2793            5628.82             26.9095             
0.0208661           1536                73.5061             7.69865             -27.3179            -38.4802            -332.397            15.7899             
0.0243438           1792                2.12125             0.38382             1213.8              13.6909             -2571.58            0.463659            
0.0278215           2048                -31.9189            10.4125             179.243             -31.83              -212.74             17.9387             
0.0312992           2304                37.9054             -2.93074            -405.438            -10.8283            1047.2              -5.49054            
0.0347769           2560                45.735              -5.98525            -924.502            34.9746             2007.98             -8.53091            
0.0382545           2816                5.84904             2.59771             -420.786            -10.3835            970.639             2.19471             
0.0417322           3072                -6.21               2.06274             52.3034             -10.1803            -299.679            2.64914             
0.0452099           3328                14.2295             2.22528             13.436              -10.9051            -22.562             4.1733              
0.0486876           3584                11.6568             2.0566              -82.591             -7.16138            273.616             3.42821             
0.0521653           3840                -2.16019            -0.0796168          -148.314            1.59747             162.104             0.265078            
0.055643            4096                5.49001             0.639054            -218.48             -2.57892            296.174             1.04396             
0.0591207           4352                11.1909             1.08522             -243.418            -3.74441            488.379             1.7667              
0.0625984           4608                9.51829             1.53394             -155.486            -5.84652            298.659             2.46707             
0.066076            4864                8.07176             1.35488             -93.56              -6.42908            149.212             1.80972             
0.0695537           5120                9.96841             2.01183             -137.413            -7.91177            280.101             3.10811             
0.0730314           5376                9.85816             2.72824             -160.153            -9.38474            339.742             4.42289             
0.0765091           5632                8.76205             3.13184             -117.362            -9.48975            243.575             5.64813             
0.0799868           5888                7.99453             4.3847              -76.5693            -15.3081            152.71              7.9534              
0.0834645           6144                7.66438             4.58676             -49.8826            -15.1131            112.502             8.6322              
0.0869422           6400                7.27396             4.95441             -36.4747            -15.6944            83.4446             9.86932             
0.0904198           6656                6.98082             5.24818             -11.7638            -17.9724            40.4004             10.2963             
0.0938975           6912                6.52205             5.11549             -9.2499             -18.2608            29.7077             10.1573             
0.0973752           7168                6.14761             5.31707             -27.9003            -18.5006            49.223              10.9419             
0.100853            7424                6.4916              4.90819             -45.1565            -16.1332            80.2063             10.6387             
0.104331            7680                6.26495             5.5556              -43.6909            -18.5258            70.1751             11.0941             
0.107808            7936                5.85271             6.24244             -25.6264            -20.8778            27.1827             12.2726             
0.111286            8192                4.96947             6.35402             -18.7654            -21.8477            -14.8009            12.1938             
0.114764            8448                3.68972             6.69498             -21.6106            -19.9696            -44.2285            12.2833             
0.118241            8704                2.87247             7.36671             -30.0416            -22.6883            -55.469             13.4263             
0.121719            8960                2.34754             5.96083             -15.2867            -18.4786            -108.042            12.0433             
0.125197            9216                1.50652             4.7612              -1.65142            -14.1644            -163.621            10.6958             
0.128674            9472                0.581348            5.22201             1.27722             -14.8903            -211.182            11.38               
0.132152            9728                -0.0494451          4.67495             14.7474             -10.5949            -255.338            10.2171             
0.13563             9984                -0.552446           5.01323             38.0305             -13.6271            -313.086            10.2678             
0.139107            10240               -1.22314            4.7472              69.2131             -14.4911            -404.936            9.9261              
0.142585            10496               -2.07233            3.60041             80.3662             -13.0648            -453.835            8.70308             
0.146063            10752               -2.49895            4.49432             82.5831             -14.1887            -471.663            8.48853             
0.149541            11008               -2.97765            4.74824             84.0515             -11.7015            -501.074            8.1512              
0.153018            11264               -1.66957            4.66445             80.2755             -8.38335            -507.53             7.46373             
0.156496            11520               -0.601541           4.11136             63.5864             -6.80734            -485.175            7.65162             
0.159974            11776               -0.0698193          4.19066             65.6703             -9.94409            -490.4              7.575               
0.163451            12032               0.652427            4.74513             59.9621             -8.7718             -481.739            7.58607             
0.166929            12288               2.05555             4.37644             66.393              -5.57948            -483.909            6.54324             
0.170407            12544               2.84515             3.76513             67.8777             -4.11259            -475.237            5.83278             
0.173884            12800               4.27158             2.41491             56.8739             -4.51908            -455.996            4.71445             
0.177362            13056               4.80435             1.41876             40.9142             -4.25479            -431.921            4.42508             
0.18084             13312               5.10104             1.25632             43.535              -5.91411            -425.044            3.45193             
0.184317            13568               5.98824             1.1581              45.0012             -2.06836            -436.838            3.04494             
0.187795            13824               6.83088             1.01503             24.9326             0.937865            -407.59             2.1016              
0.191273            14080               6.72436             2.45226             10.4383             -6.58713            -373.731            3.94979             
0.19475             14336               6.78277             3.52546             2.82969             -5.0622             -364.273            3.77124             
0.198228            14592               7.19132             2.31669             -30.1962            -0.760986           -323.188            2.49448             
0.201706            14848               7.60705             2.57342             -68.2998            -6.18923            -257.52             4.26438             
0.205183            15104               7.90498             1.50531             -91.2715            -1.37938            -192.888            1.91909             
0.208661            15360               7.95402             0.864339            -91.6632            0.729298            -186.847            0.93448             
0.212139            15616               8.31767             0.72498             -101.542            3.19046             -157.012            0.769614            
0.215617            15872               8.56188             0.699296            -119.655            -2.31744            -111.94             1.06124             
0.219094            16128               9.5792              0.0314993           -111.771            -0.955289           -106.622            0.310558            
0.222572            16384               9.94606             1.42072             -140.969            -10.9042            -64.5678            3.08155             
0.22605             16640               10.2092             -0.614051           -149.578            -10.7378            -16.5               0.655693            
0.229527            16896               10.0465             -0.390551           -171.065            -9.80101            24.0812             -0.183661           
0.233005            17152               9.10703             -0.737639           -177.098            -8.123              41.3162             -1.09463            
0.236483            17408               10.8466             -1.44835            -192.353            -3.4813             102.084             -2.95731            
0.23996             17664               11.9115             0.605521            -214.634            -13.2183            156.287             -0.542146           
0.243438            17920               11.1205             0.626433            -235.873            -14.5772            190.808             -0.223429           
0.246916            18176               10.4376             0.358205            -247.651            -8.15063            227.274             -0.20995            
0.250393            18432               10.3489             -0.636378           -258.683            -6.43853            265.811             -1.35406            
0.253871            18688               10.4851             -0.845692           -266.93             -6.03354            299.811             -1.05579            
0.257349            18944               10.0778             -1.2594             -274.315            -7.32865            312.288             -2.19273            
0.260826            19200               9.93511             -2.7922             -307.561            0.507945            381.362             -4.20107            
0.264304            19456               12.3973             -3.01507            -323.899            5.63981             455.062             -4.70635            
0.267782            19712               13.7677             -2.6198             -314.338            6.16397             446.706             -3.64406            
0.27126             19968               14.9492             -3.57795            -321.186            7.68719             484.907             -4.61323            
0.274737            20224               15.8747             -2.95185            -326.193            7.30535             531.213             -4.03951            
0.278215            20480               15.8269             -1.94718            -342.208            1.15086             552.433             -2.2662             
0.281693            20736               15.9701             -1.09455            -367.473            0.429053            601.91              -2.79438            
