#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.149966           0.00181408          -0.0086277          -0.00341487         -0.261295           0.0049101           
0.00347769          256                 -0.0700095          0.0414101           -0.0719044          -0.0760099          0.0609101           0.110566            
0.00695537          512                 -0.186673           0.612228            8.60718             -1.15026            -23.4143            1.63453             
0.0104331           768                 1.23828             -0.168642           -6.82161            0.321847            20.5162             -0.450815           
0.0139107           1024                -0.15717            0.086107            2.91571             -0.164362           -8.08397            0.227231            
0.0173884           1280                0.100385            -0.127468           1.74512             0.235464            -4.48522            -0.345433           
0.0208661           1536                0.313152            -0.119822           2.32895             0.221308            -5.6672             -0.32448            
0.0243438           1792                0.00906625          0.0410688           0.198138            -0.0764073          -0.514688           0.107007            
0.0278215           2048                -0.0591103          0.0482439           -0.408218           -0.0894432          0.985391            0.126598            
0.0312992           2304                -0.0606727          0.0495556           -0.0570465          -0.09226            0.0432243           0.129912            
0.0347769           2560                0.0123468           0.00137536          0.595749            -0.00321624         -1.57169            0.000656151         
0.0382545           2816                0.0268755           -0.000847176        0.42813             0.00106949          -1.09701            -0.00519031         
0.0417322           3072                -0.0152498          0.0144746           0.293516            -0.0274241          -0.811803           0.035815            
0.0452099           3328                -0.00988813         0.00149525          0.571048            -0.00355015         -1.54516            0.000913137         
0.0486876           3584                0.0666448           0.00106447          0.626429            -0.0024708          -1.55692            -0.000255358        
0.0521653           3840                0.0845573           0.0241899           0.561805            -0.0449993          -1.34889            0.0617616           
0.055643            4096                -0.0231514          0.0207625           0.590651            -0.0390955          -1.61894            0.0529849           
0.0591207           4352                -0.0162892          0.0143162           0.753586            -0.0274092          -2.04614            0.0358424           
0.0625984           4608                0.0719397           0.0776324           0.666634            -0.143395           -1.6544             0.204574            
0.066076            4864                0.146315            0.211753            0.645342            -0.39089            -1.46602            0.566747            
0.0695537           5120                0.326944            0.0440531           0.523915            -0.0819186          -0.810064           0.112906            
0.0730314           5376                0.354588            -0.0630287          0.548422            0.115304            -0.815614           -0.176981           
0.0765091           5632                0.277672            0.0144709           0.609862            -0.027985           -1.11756            0.0335383           
0.0799868           5888                0.172869            0.00946876          0.412215            -0.0186333          -0.777697           0.0197414           
0.0834645           6144                0.196219            -0.0915509          0.316216            0.168114            -0.475666           -0.249216           
0.0869422           6400                0.197554            -0.243039           0.344644            0.448594            -0.548486           -0.652977           
0.0904198           6656                0.165897            -0.218789           0.511198            0.404683            -1.04949            -0.586769           
0.0938975           6912                0.134859            -0.137284           0.49636             0.253904            -1.06711            -0.36759            
0.0973752           7168                0.0963321           -0.168689           0.610266            0.311725            -1.44445            -0.452598           
0.100853            7424                0.0431618           -0.248888           0.719952            0.460528            -1.83609            -0.667678           
0.104331            7680                -0.0329256          -0.288842           0.872836            0.533502            -2.38598            -0.774404           
0.107808            7936                -0.0929529          -0.280893           0.972543            0.518259            -2.76345            -0.752902           
0.111286            8192                -0.116313           -0.226414           1.0369              0.417047            -2.97985            -0.606496           
0.114764            8448                -0.124681           -0.182087           1.13911             0.334714            -3.27018            -0.487894           
0.118241            8704                -0.12936            -0.132581           1.17032             0.243174            -3.36459            -0.35655            
0.121719            8960                -0.150865           -0.100846           1.21736             0.184467            -3.53151            -0.273142           
0.125197            9216                -0.143436           -0.123343           1.26737             0.225236            -3.65358            -0.334013           
0.128674            9472                -0.0888189          -0.221874           1.17438             0.406764            -3.30773            -0.598378           
0.132152            9728                -0.00454098         -0.287959           1.11124             0.52923             -2.98699            -0.775695           
0.13563             9984                0.11163             -0.276561           1.0696              0.507655            -2.66284            -0.742313           
0.139107            10240               0.146608            -0.190639           0.908427            0.34867             -2.16709            -0.509923           
0.142585            10496               0.165209            -0.147797           0.843979            0.269853            -1.96073            -0.394241           
0.146063            10752               0.208014            -0.122734           0.905757            0.223921            -2.04885            -0.325256           
0.149541            11008               0.253263            -0.0565744          0.859162            0.10204             -1.84211            -0.145893           
0.153018            11264               0.298141            0.0565172           0.763273            -0.105844           -1.50256            0.156921            
0.156496            11520               0.274194            0.120577            0.73315             -0.223386           -1.46392            0.326477            
0.159974            11776               0.197191            0.250782            0.639315            -0.462462           -1.35326            0.670659            
0.163451            12032               0.124201            0.399172            0.653338            -0.737705           -1.52151            1.06455             
0.166929            12288               0.0511191           0.464799            0.636283            -0.860484           -1.60672            1.23832             
0.170407            12544               0.0666016           0.465084            0.804802            -0.863079           -2.03064            1.23816             
0.173884            12800               0.119665            0.453828            0.829307            -0.840821           -2.00234            1.20513             
0.177362            13056               0.202466            0.513861            0.776927            -0.950128           -1.70895            1.35721             
0.18084             13312               0.0891985           0.679236            0.482339            -1.26089            -1.12226            1.80075             
0.184317            13568               0.111178            0.383645            0.843557            -0.714486           -2.04021            1.0234              
0.187795            13824               0.188568            -0.150295           1.00873             0.276979            -2.34481            -0.411249           
0.191273            14080               0.333585            0.0573156           1.16087             -0.106703           -2.48994            0.132732            
0.19475             14336               0.437424            0.471675            1.24234             -0.870947           -2.51734            1.25214             
0.198228            14592               0.516249            0.341719            1.41068             -0.631954           -2.82071            0.902262            
0.201706            14848               0.561965            0.267001            1.54018             -0.494849           -3.08212            0.703108            
0.205183            15104               0.590196            0.127311            1.61238             -0.237421           -3.2231             0.329803            
0.208661            15360               0.638075            0.0292019           1.7822              -0.0565864          -3.59028            0.0663074           
0.212139            15616               0.689559            0.0010858           1.97385             -0.00511111         -4.00985            -0.0100119          
0.215617            15872               0.72074             0.0044077           2.15483             -0.0115821          -4.43753            -0.00129292         
0.219094            16128               0.748623            -0.00873701         2.31484             0.012391            -4.81533            -0.0367218          
0.222572            16384               0.768181            -0.00233333         2.4648              0.000392194         -5.18093            -0.0198222          
0.22605             16640               0.781932            0.0230459           2.47236             -0.0466158          -5.1761             0.0475352           
0.229527            16896               0.802614            0.0490018           2.58488             -0.0948299          -5.43989            0.116139            
0.233005            17152               0.824899            0.0568114           2.66599             -0.109539           -5.61633            0.136076            
0.236483            17408               0.850001            -0.0359138          2.73156             0.0634573           -5.74626            -0.11095            
0.23996             17664               0.857151            0.173044            2.7347              -0.323878           -5.74089            0.447537            
0.243438            17920               0.856749            0.100703            2.80237             -0.190483           -5.92337            0.25415             
0.246916            18176               0.871236            0.0921017           2.84216             -0.174595           -6.00342            0.230572            
0.250393            18432               0.886997            0.111495            2.92076             -0.210511           -6.18523            0.282066            
0.253871            18688               0.90014             0.236388            2.93321             -0.441448           -6.19535            0.613449            
0.257349            18944               0.899844            0.161575            2.98366             -0.302711           -6.3305             0.412602            
0.260826            19200               0.930792            0.153274            2.97042             -0.287977           -6.23855            0.392475            
0.264304            19456               0.928066            0.145686            2.96963             -0.273316           -6.24154            0.372391            
0.267782            19712               0.917138            0.130335            3.00304             -0.245311           -6.35119            0.332475            
0.27126             19968               0.918595            0.0979412           3.04074             -0.185722           -6.44954            0.246172            
0.274737            20224               0.918849            0.117775            3.0307              -0.222159           -6.42182            0.298844            
0.278215            20480               0.925375            0.116371            3.03268             -0.219534           -6.41516            0.294555            
0.281693            20736               0.930147            0.132097            3.05403             -0.248532           -6.4636             0.336498            
0.28517             20992               0.934743            0.139796            3.07517             -0.262827           -6.51201            0.356656            
0.288648            21248               0.937135            0.151727            3.08922             -0.284912           -6.54512            0.388371            
0.292126            21504               0.944289            0.157394            3.10685             -0.295384           -6.57939            0.40356             
0.295603            21760               0.940784            0.161707            3.11774             -0.303259           -6.61473            0.414891            
0.299081            22016               0.937189            0.16056             3.09777             -0.300974           -6.56744            0.412142            
0.302559            22272               0.936414            0.129361            3.05614             -0.243222           -6.45742            0.329556            
0.306036            22528               0.932407            0.141208            3.04877             -0.265289           -6.44536            0.361161            
0.309514            22784               0.932179            0.172647            3.05955             -0.32371            -6.4744             0.444583            
0.312992            23040               0.941185            0.159956            3.05606             -0.300125           -6.44842            0.410852            
0.316469            23296               0.927929            0.122225            3.01304             -0.230467           -6.35732            0.310613            
0.319947            23552               0.939272            0.11714             3.04505             -0.221192           -6.42234            0.2976              
0.323425            23808               0.915533            0.175627            3.01935             -0.330174           -6.39666            0.453414            
0.326903            24064               0.906852            0.118488            3.02542             -0.223975           -6.42802            0.300515            
0.33038             24320               0.905233            0.097796            2.95287             -0.185763           -6.23737            0.243695            
0.333858            24576               0.923761            0.117465            2.98792             -0.222              -6.29726            0.296419            
0.337336            24832               0.924628            0.143095            3.00077             -0.269014           -6.33028            0.365512            
0.340813            25088               0.922242            0.142626            3.04957             -0.268347           -6.46562            0.36412             
0.344291            25344               0.924727            0.169437            3.08826             -0.31788            -6.56467            0.435516            
0.347769            25600               0.93185             0.145157            3.09401             -0.272951           -6.56691            0.370808            
0.351246            25856               0.936555            0.160951            3.123               -0.301672           -6.63616            0.412938            
0.354724            26112               0.944152            0.147746            3.16354             -0.277735           -6.73106            0.378048            
0.358202            26368               0.947496            0.193339            3.19664             -0.361971           -6.81367            0.499272            
0.361679            26624               0.964977            0.157981            3.16405             -0.296866           -6.69427            0.406148            
0.365157            26880               0.958482            0.195747            3.18242             -0.366289           -6.75562            0.506279            
0.368635            27136               0.953191            0.171381            3.25709             -0.321795           -6.96529            0.44035             
0.372112            27392               0.95413             0.177879            3.26273             -0.333855           -6.97853            0.457462            
0.37559             27648               0.95436             0.200677            3.30297             -0.375775           -7.08561            0.51735             
0.379068            27904               0.968132            0.18795             3.32948             -0.352388           -7.13164            0.483772            
0.382546            28160               0.979787            0.157524            3.34303             -0.295972           -7.14643            0.403211            
0.386023            28416               0.995217            0.123168            3.35117             -0.231927           -7.14086            0.311768            
0.389501            28672               0.975151            0.141665            3.33238             -0.266756           -7.12717            0.361759            
0.392979            28928               0.973508            0.226949            3.30275             -0.424249           -7.05056            0.588547            
0.396456            29184               0.972104            0.228512            3.28457             -0.427304           -7.00404            0.591915            
0.399934            29440               0.968708            0.229296            3.26367             -0.42804            -6.95495            0.593373            
0.403412            29696               0.983656            0.144802            3.31663             -0.272219           -7.06835            0.370551            
0.406889            29952               0.9791              0.323565            3.26746             -0.601195           -6.94553            0.846174            
0.410367            30208               0.9752              0.145476            3.20023             -0.271186           -6.77231            0.374678            
0.413845            30464               0.94236             0.206712            3.17485             -0.38479            -6.76487            0.536192            
0.417322            30720               0.930747            0.205116            3.18587             -0.38321            -6.81437            0.533589            
0.4208              30976               0.944575            0.208367            3.21165             -0.389162           -6.85845            0.540011            
0.424278            31232               0.95699             0.208983            3.22647             -0.390759           -6.87581            0.540423            
0.427755            31488               0.965011            0.190109            3.25179             -0.356109           -6.92924            0.490165            
0.431233            31744               0.971141            0.196797            3.28657             -0.368463           -7.01142            0.508151            
0.434711            32000               0.975912            0.191088            3.3114              -0.357902           -7.06927            0.492928            
0.438188            32256               0.978657            0.185035            3.33038             -0.346764           -7.11511            0.476594            
0.441666            32512               0.980191            0.181307            3.34504             -0.339889           -7.1515             0.466636            
0.445144            32768               0.982151            0.158742            3.33261             -0.297964           -7.11431            0.406809            
0.448622            33024               0.983558            0.162938            3.31802             -0.305735           -7.07291            0.418373            
0.452099            33280               0.988111            0.16089             3.34485             -0.302149           -7.13666            0.412866            
0.455577            33536               0.986161            0.155639            3.36903             -0.2925             -7.20477            0.398687            
0.459055            33792               0.992851            0.181236            3.37049             -0.339793           -7.19646            0.466637            
0.462532            34048               0.995671            0.192741            3.3582              -0.361175           -7.15857            0.497018            
0.46601             34304               0.995736            0.27808             3.32867             -0.518504           -7.07961            0.722771            
0.469488            34560               0.988183            0.157049            3.34311             -0.295399           -7.13181            0.4024              
0.472965            34816               0.985526            0.148539            3.34914             -0.277986           -7.15317            0.380027            
0.476443            35072               0.96972             0.0687305           3.3466              -0.129427           -7.17437            0.167273            
0.479921            35328               0.975154            0.0964123           3.27419             -0.181644           -6.96972            0.241478            
0.483398            35584               0.951789            0.170956            3.27441             -0.320346           -7.01269            0.441036            
0.486876            35840               0.959474            0.196908            3.29224             -0.368479           -7.0474             0.508347            
0.490354            36096               0.974588            0.18481             3.31927             -0.346353           -7.09237            0.476029            
0.493831            36352               0.976265            0.188676            3.31866             -0.353516           -7.08782            0.486465            
0.497309            36608               0.977949            0.199753            3.33851             -0.374008           -7.13792            0.515877            
0.500787            36864               0.974133            0.204059            3.29545             -0.381964           -7.02944            0.526959            
0.504265            37120               0.97853             0.212593            3.29987             -0.397733           -7.03341            0.549114            
0.507742            37376               0.981036            0.229411            3.32081             -0.428694           -7.08489            0.593879            
0.51122             37632               0.983944            0.223694            3.35615             -0.418048           -7.17407            0.578865            
0.514698            37888               0.985796            0.202327            3.36063             -0.378305           -7.1826             0.522958            
0.518175            38144               0.987312            0.203184            3.33549             -0.380005           -7.11292            0.525505            
0.521653            38400               0.985733            0.191273            3.36171             -0.358274           -7.186              0.493356            
0.525131            38656               0.98809             0.202737            3.38437             -0.379464           -7.24225            0.523967            
0.528608            38912               0.997603            0.18104             3.40674             -0.339278           -7.2848             0.466331            
0.532086            39168               0.989039            0.246109            3.38399             -0.459829           -7.23957            0.639036            
0.535564            39424               1.00056             0.270319            3.40706             -0.504481           -7.28059            0.702157            
0.539041            39680               0.993935            0.312633            3.3379              -0.582114           -7.10766            0.814238            
0.542519            39936               0.953957            -0.240204           3.39841             0.440373            -7.34186            -0.652108           
0.545997            40192               0.915016            0.784281            3.28956             -1.45279            -7.12321            2.07572             
0.549474            40448               0.95587             0.424145            3.20757             -0.787607           -6.8276             1.1101              
0.552952            40704               0.92406             0.268045            3.28119             -0.500962           -7.08251            0.697223            
0.55643             40960               0.963363            0.201794            3.32947             -0.377982           -7.13962            0.521598            
0.559907            41216               0.98628             0.212432            3.36716             -0.397365           -7.19904            0.549346            
0.563385            41472               0.995637            0.218784            3.37326             -0.409208           -7.19892            0.566194            
0.566863            41728               0.992809            0.235321            3.35292             -0.439723           -7.14969            0.610552            
0.570341            41984               0.995146            0.234837            3.35505             -0.438817           -7.15129            0.609126            
0.573818            42240               0.998316            0.224469            3.39479             -0.419753           -7.25187            0.581067            
0.577296            42496               0.998652            0.2316              3.40314             -0.432938           -7.27354            0.600143            
0.580774            42752               0.9966              0.23645             3.39903             -0.441891           -7.26619            0.612712            
0.584251            43008               0.997534            0.24082             3.39412             -0.449867           -7.25115            0.62405             
0.587729            43264               1.00099             0.193563            3.41429             -0.362506           -7.29877            0.498539            
0.591207            43520               0.99763             0.170211            3.34123             -0.319273           -7.10926            0.437327            
0.594684            43776               0.987583            0.173582            3.30819             -0.325695           -7.03917            0.446282            
0.598162            44032               0.987177            0.190686            3.30929             -0.357414           -7.0429             0.49198             
0.60164             44288               0.996662            0.200813            3.32929             -0.376112           -7.07936            0.518648            
0.605117            44544               0.991573            0.178806            3.27822             -0.335432           -6.95172            0.460254            
0.608595            44800               0.987439            0.214626            3.30956             -0.401556           -7.04333            0.555164            
0.612073            45056               0.993063            0.230416            3.34377             -0.430814           -7.12449            0.597014            
0.61555             45312               0.997494            0.244609            3.37033             -0.457              -7.18752            0.634788            
0.619028            45568               1.01024             0.207733            3.4031              -0.388843           -7.252              0.536392            
0.622506            45824               1.01003             0.129308            3.38979             -0.243731           -7.21681            0.328554            
0.625984            46080               0.997416            0.168853            3.37281             -0.317255           -7.19508            0.433412            
0.629461            46336               0.99903             0.212562            3.39902             -0.398201           -7.26246            0.550013            
0.632939            46592               1.00253             0.213571            3.45308             -0.39972            -7.40009            0.552056            
0.636417            46848               1.00164             0.217593            3.46128             -0.407049           -7.42365            0.563152            
0.639894            47104               0.997083            0.204148            3.42991             -0.382147           -7.34792            0.526822            
0.643372            47360               0.997427            0.196891            3.44223             -0.368913           -7.38023            0.507599            
0.64685             47616               0.997934            0.200384            3.44676             -0.375334           -7.39145            0.517414            
0.650327            47872               0.988846            0.192898            3.37015             -0.361377           -7.20248            0.497773            
0.653805            48128               0.992796            0.187318            3.37519             -0.351053           -7.20895            0.482885            
0.657283            48384               0.995284            0.189283            3.38451             -0.354633           -7.22945            0.487717            
0.66076             48640               0.99043             0.210067            3.37648             -0.392985           -7.21646            0.54289             
0.664238            48896               0.985097            0.288183            3.34469             -0.53765            -7.1411             0.749324            
0.667716            49152               0.985645            0.231253            3.30104             -0.43178            -7.02326            0.597265            
0.671193            49408               1.00672             0.205397            3.33463             -0.384403           -7.07488            0.531336            
