#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.00119445         -7.72264e-05        0.0125871           -0.000673723        -0.0241704          0.000284571         
0.00347769          256                 539.901             10.0889             595.773             -26.7488            -1563.25            36.0713             
0.00695537          512                 4068.62             -49.6519            946.301             41.0228             4419.51             -140.968            
0.0104331           768                 663.74              73.6118             848.395             -225.844            2224.67             232.865             
0.0139107           1024                -239.695            -5.37363            -486.815            9.89658             -1200.63            69.7857             
0.0173884           1280                -724.236            10.8912             -822.411            58.3542             -1705.51            -93.7192            
0.0208661           1536                764.357             -163.431            -13.8815            166.801             842.791             -565.427            
0.0243438           1792                34.3828             -168.676            -817.779            157.736             1857.45             -543.458            
0.0278215           2048                -565.068            79.8893             -1021.58            -31.431             984.403             264.652             
0.0312992           2304                178.094             116.661             614.796             -98.3818            -931.386            440.431             
0.0347769           2560                114.104             5.08356             923.77              -11.1401            -1462.17            -3.6185             
0.0382545           2816                -100.013            -37.1703            196.835             67.7311             -438.875            -166.813            
0.0417322           3072                -53.575             23.2547             -336.263            -15.4763            625.139             90.4045             
0.0452099           3328                150.754             45.349              -227.793            -32.3916            621.61              166.798             
0.0486876           3584                129.327             -6.9304             -87.324             19.0151             255.719             -39.5659            
0.0521653           3840                26.9106             -36.6938            -26.5368            35.2507             107.288             -132.698            
0.055643            4096                44.0141             -4.24124            23.0045             10.8854             27.3681             -19.0378            
0.0591207           4352                73.0586             -6.81393            -10.7689            8.01416             68.4285             -24.1062            
0.0625984           4608                31.3998             -26.6916            -70.6733            26.689              116.538             -105.782            
0.066076            4864                19.9305             -22.8928            -68.7859            19.0078             110.352             -85.0861            
0.0695537           5120                6.50768             -6.57204            -54.1153            3.37244             70.5836             -22.629             
0.0730314           5376                8.31371             1.54424             -38.1012            -0.0764783          24.6747             1.98396             
0.0765091           5632                0.619527            -2.34175            -47.101             6.76983             37.97               -7.23388            
0.0799868           5888                -0.489006           12.2363             -57.6278            -3.78579            67.9287             46.2968             
0.0834645           6144                2.44553             22.8358             -60.3629            -14.2421            77.6109             88.9566             
0.0869422           6400                1.76351             21.6359             -58.5919            -10.5869            68.6455             81.2035             
0.0904198           6656                4.42843             21.8512             -48.119             -8.71345            47.3909             81.5741             
0.0938975           6912                3.1027              20.2803             -27.8623            -8.60679            26.3198             72.7002             
0.0973752           7168                -2.95584            15.4056             4.28359             -8.67885            -37.9301            50.977              
0.100853            7424                -9.77891            16.1125             24.6178             -5.299              -83.0048            55.1605             
0.104331            7680                -6.16545            9.50184             39.4136             0.54646             -100.407            40.9437             
0.107808            7936                -10.263             9.09789             50.4911             0.899562            -112.618            37.3382             
0.111286            8192                -10.0463            8.62747             55.228              0.270716            -109.82             39.2027             
