#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000126506        -4.39877e-05        -3.85305e-05        5.29069e-05         -8.47884e-05        -6.74645e-05        
0.00347769          256                 0.0748134           0.0528639           0.0138647           -0.0464363          0.0500276           0.0555552           
0.00695537          512                 -10.5833            -4.3239             -2.89097            4.91239             -7.50624            -5.9109             
0.0104331           768                 -10.4617            -3.30728            -3.0711             4.053               -7.15745            -5.39677            
0.0139107           1024                -0.94367            0.474465            -0.307874           -0.437325           -0.576334           -0.102906           
0.0173884           1280                5.60939             1.5773              1.3775              -1.90992            4.14844             2.72427             
0.0208661           1536                8.25014             2.58191             2.41115             -3.13465            5.73057             4.20091             
0.0243438           1792                -0.561846           -0.56899            -0.204256           0.582641            -0.348751           -0.500866           
0.0278215           2048                0.847667            0.0786456           0.185065            -0.127391           0.602755            0.3374              
0.0312992           2304                3.68642             1.23754             1.04815             -1.48155            2.52015             1.94109             
0.0347769           2560                3.49525             1.19806             1.00656             -1.42994            2.37638             1.85559             
0.0382545           2816                2.58795             0.954633            0.7385              -1.12005            1.7639              1.40844             
0.0417322           3072                1.28365             0.537139            0.368158            -0.61819            0.875416            0.731516            
0.0452099           3328                1.67289             0.65843             0.485892            -0.762461           1.12434             0.933908            
0.0486876           3584                1.57121             0.577688            0.456821            -0.677647           1.06424             0.853542            
0.0521653           3840                1.32065             0.44221             0.382326            -0.526655           0.896313            0.694665            
0.055643            4096                1.13074             0.371181            0.323978            -0.441607           0.769926            0.590732            
0.0591207           4352                0.913207            0.293103            0.258818            -0.348369           0.623052            0.473454            
0.0625984           4608                0.96912             0.303861            0.265905            -0.359113           0.665191            0.498425            
0.066076            4864                1.01516             0.328573            0.276663            -0.385592           0.700643            0.526805            
0.0695537           5120                1.02661             0.358343            0.281093            -0.414952           0.705152            0.547155            
0.0730314           5376                1.03108             0.377243            0.288395            -0.436237           0.704139            0.559086            
0.0765091           5632                1.07183             0.386999            0.302731            -0.450749           0.731898            0.578436            
0.0799868           5888                1.16964             0.409996            0.329837            -0.480819           0.800253            0.62444             
0.0834645           6144                1.25923             0.428761            0.359505            -0.507958           0.859636            0.665554            
0.0869422           6400                1.35314             0.448312            0.390965            -0.53627            0.920669            0.708956            
0.0904198           6656                1.43748             0.471201            0.414917            -0.564925           0.977412            0.750622            
0.0938975           6912                1.50472             0.500759            0.431817            -0.597659           1.02407             0.789614            
0.0973752           7168                1.55109             0.52909             0.443593            -0.627532           1.05627             0.820642            
0.100853            7424                1.60281             0.555864            0.45937             -0.65741            1.09162             0.852696            
0.104331            7680                1.6381              0.567102            0.471246            -0.67133            1.11345             0.871469            
0.107808            7936                1.57723             0.54667             0.454156            -0.647281           1.0726              0.839404            
0.111286            8192                1.55789             0.538714            0.449286            -0.638453           1.05879             0.828669            
0.114764            8448                1.52919             0.524215            0.44227             -0.6228             1.03767             0.811393            
0.118241            8704                1.53383             0.523154            0.444727            -0.622452           1.03953             0.812729            
0.121719            8960                1.49316             0.510645            0.433515            -0.607514           1.01197             0.791815            
0.125197            9216                1.46791             0.503724            0.42699             -0.5991             0.994596            0.779313            
0.128674            9472                1.45318             0.496031            0.424219            -0.591093           0.983581            0.770181            
0.132152            9728                1.47607             0.499065            0.432196            -0.596143           0.997362            0.780089            
0.13563             9984                1.48076             0.498985            0.434477            -0.596656           0.999581            0.781809            
0.139107            10240               1.47893             0.497426            0.434687            -0.595154           0.997967            0.780411            
0.142585            10496               1.47874             0.494698            0.434729            -0.59245            0.997495            0.778971            
0.146063            10752               1.50566             0.503126            0.44326             -0.602879           1.01501             0.792915            
0.149541            11008               1.52886             0.511099            0.450495            -0.612489           1.03071             0.805146            
0.153018            11264               1.50924             0.506665            0.44499             -0.606716           1.01759             0.795808            
0.156496            11520               1.48052             0.495258            0.437515            -0.593765           0.99706             0.779841            
0.159974            11776               1.48071             0.494627            0.438677            -0.593468           0.995921            0.779693            
0.163451            12032               1.48468             0.498203            0.440809            -0.597589           0.999239            0.78267             
0.166929            12288               1.43888             0.487768            0.427212            -0.583648           0.968979            0.760958            
0.170407            12544               1.39838             0.473692            0.41607             -0.567162           0.941067            0.739382            
0.173884            12800               1.377               0.465067            0.410746            -0.557334           0.926041            0.727395            
0.177362            13056               1.37603             0.465159            0.411052            -0.557375           0.925689            0.726974            
0.18084             13312               1.37288             0.461149            0.41096             -0.55343            0.923349            0.723779            
0.184317            13568               1.35056             0.451954            0.405154            -0.542904           0.907182            0.711351            
0.187795            13824               1.31326             0.443928            0.393902            -0.532146           0.883096            0.693817            
0.191273            14080               1.31245             0.442463            0.394465            -0.531054           0.881603            0.692914            
0.19475             14336               1.31055             0.435864            0.395422            -0.525272           0.878646            0.688986            
0.198228            14592               1.28075             0.433199            0.386866            -0.520558           0.858831            0.677035            
0.201706            14848               1.23719             0.415023            0.37499             -0.500166           0.828626            0.652242            
0.205183            15104               1.25047             0.419925            0.378855            -0.506174           0.836781            0.659633            
0.208661            15360               1.26286             0.429323            0.381517            -0.516157           0.846813            0.66859             
0.212139            15616               1.26205             0.42945             0.380651            -0.516441           0.846025            0.668489            
