#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000127333         4.51452e-05         3.45617e-05         -5.22388e-05        8.80838e-05         6.84593e-05         
0.00347769          256                 -0.087678           -0.0206568          -0.0587406          0.0407271           -0.031002           -0.0434911          
0.00695537          512                 13.0229             4.00053             2.74142             -4.482              9.72915             6.60806             
0.0104331           768                 10.6311             3.55848             2.63452             -4.03895            7.58816             5.58345             
0.0139107           1024                -0.136896           0.146011            0.378139            -0.360036           -0.350145           0.0523075           
0.0173884           1280                -5.47336            -2.23331            -1.00939            2.38459             -4.14561            -3.06986            
0.0208661           1536                -7.96626            -2.68498            -1.95738            3.08716             -5.67319            -4.19943            
0.0243438           1792                1.19785             0.582661            0.302486            -0.620378           0.854168            0.718699            
0.0278215           2048                -0.469205           -0.0237029          -0.163809           0.082792            -0.286036           -0.184053           
0.0312992           2304                -3.24903            -0.921307           -0.955956           1.14659             -2.17846            -1.6372             
0.0347769           2560                -3.30283            -0.893743           -0.918864           1.10688             -2.26236            -1.63773            
0.0382545           2816                -2.57828            -0.652844           -0.698566           0.814714            -1.78596            -1.25335            
0.0417322           3072                -1.25491            -0.246218           -0.32353            0.326025            -0.883548           -0.57322            
0.0452099           3328                -1.6081             -0.424428           -0.459261           0.532778            -1.09053            -0.793525           
0.0486876           3584                -1.49452            -0.439037           -0.409885           0.53097             -1.0269             -0.758898           
0.0521653           3840                -1.24337            -0.412739           -0.34688            0.487961            -0.850473           -0.655639           
0.055643            4096                -1.07389            -0.374692           -0.301661           0.439392            -0.733545           -0.575062           
0.0591207           4352                -0.862019           -0.315116           -0.238232           0.366396            -0.589544           -0.468377           
0.0625984           4608                -0.93154            -0.306346           -0.252608           0.365173            -0.638575           -0.48868            
0.066076            4864                -0.991806           -0.274638           -0.264124           0.340378            -0.684157           -0.494436           
0.0695537           5120                -0.998731           -0.238659           -0.269862           0.307499            -0.682788           -0.480779           
0.0730314           5376                -0.985101           -0.238591           -0.273758           0.305886            -0.666659           -0.477054           
0.0765091           5632                -1.02578            -0.269192           -0.281697           0.334082            -0.698276           -0.506683           
0.0799868           5888                -1.11348            -0.321331           -0.303917           0.387271            -0.761086           -0.564016           
0.0834645           6144                -1.20586            -0.386174           -0.325402           0.452918            -0.828249           -0.628944           
0.0869422           6400                -1.29918            -0.45195            -0.352964           0.521684            -0.891723           -0.695141           
0.0904198           6656                -1.37841            -0.491836           -0.376666           0.565884            -0.944923           -0.743595           
0.0938975           6912                -1.44742            -0.490598           -0.394014           0.570457            -0.993902           -0.767521           
0.0973752           7168                -1.50241            -0.482008           -0.406077           0.566576            -1.03447            -0.782523           
0.100853            7424                -1.56829            -0.491003           -0.419887           0.578931            -1.08411            -0.810217           
0.104331            7680                -1.60588            -0.503298           -0.43461            0.594629            -1.10692            -0.830156           
0.107808            7936                -1.55009            -0.485111           -0.416492           0.572079            -1.07139            -0.800644           
0.111286            8192                -1.53636            -0.485157           -0.412787           0.570831            -1.06205            -0.795767           
0.114764            8448                -1.50908            -0.483667           -0.406637           0.567653            -1.04205            -0.785428           
0.118241            8704                -1.51858            -0.493467           -0.410279           0.577873            -1.0477             -0.793904           
0.121719            8960                -1.48714            -0.48515            -0.399058           0.566641            -1.0285             -0.778153           
0.125197            9216                -1.46631            -0.478764           -0.392933           0.558865            -1.01486            -0.767301           
0.128674            9472                -1.45521            -0.478193           -0.389716           0.557385            -1.00765            -0.76294            
0.132152            9728                -1.47838            -0.490331           -0.399418           0.5717              -1.02106            -0.777609           
0.13563             9984                -1.48394            -0.493864           -0.401697           0.575701            -1.02446            -0.781388           
0.139107            10240               -1.47729            -0.491869           -0.401146           0.573945            -1.01901            -0.778026           
0.142585            10496               -1.47926            -0.493854           -0.401817           0.576133            -1.02045            -0.779701           
0.146063            10752               -1.50433            -0.501555           -0.410072           0.585816            -1.03668            -0.792636           
0.149541            11008               -1.5299             -0.509415           -0.416906           0.595224            -1.05466            -0.805676           
0.153018            11264               -1.51305            -0.501377           -0.411612           0.586208            -1.04396            -0.795398           
0.156496            11520               -1.48494            -0.493017           -0.405569           0.576689            -1.02328            -0.781195           
0.159974            11776               -1.48581            -0.4938             -0.4079             0.578139            -1.02235            -0.781988           
0.163451            12032               -1.4927             -0.495622           -0.408203           0.580003            -1.02883            -0.785132           
0.166929            12288               -1.45254            -0.478364           -0.395925           0.560391            -1.00268            -0.761695           
0.170407            12544               -1.41367            -0.466598           -0.385827           0.546516            -0.975478           -0.741838           
0.173884            12800               -1.39393            -0.462266           -0.380845           0.541233            -0.961714           -0.732537           
0.177362            13056               -1.3972             -0.464148           -0.380348           0.542938            -0.965442           -0.734481           
