#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -6.94542e-06        9.09519e-06         -2.23246e-05        -9.23278e-06        2.74099e-05         1.4035e-05          
0.00347769          256                 -0.0682182          0.108988            0.015604            -0.117781           -0.0873159          0.161014            
0.00695537          512                 0.161673            -0.0507685          0.101279            0.0521243           0.00943661          -0.078595           
0.0104331           768                 2.44154             1.84432             -3.36959            -1.9646             7.64673             2.8634              
0.0139107           1024                -1.47065            -1.22794            2.29769             1.33084             -5.03463            -1.84355            
0.0173884           1280                -2.08321            1.12312             -0.521414           -1.15784            -1.33928            1.70983             
0.0208661           1536                -1.55925            -0.542474           0.250635            0.61078             -1.96518            -0.829887           
0.0243438           1792                0.934678            0.145868            1.59707             -0.171908           -1.47888            0.207661            
0.0278215           2048                1.485               -0.28622            -0.373609           0.294258            2.0933              -0.441156           
0.0312992           2304                0.224815            -0.534177           2.06461             0.529309            -2.92722            -0.818821           
0.0347769           2560                -0.132253           -0.0202414          -0.00844398         -0.0142181          -0.124526           -0.043626           
0.0382545           2816                0.247181            -0.350875           0.297518            0.360008            -0.199702           -0.541042           
0.0417322           3072                0.387913            -0.149359           0.512306            0.137514            -0.382433           -0.234785           
0.0452099           3328                0.1753              -0.21955            0.217632            0.218388            -0.151902           -0.339675           
0.0486876           3584                0.058793            -0.0895589          0.316631            0.0805778           -0.423543           -0.141237           
0.0521653           3840                0.0272871           -0.0841697          0.13913             0.0783099           -0.183853           -0.132367           
0.055643            4096                0.0850592           -0.176685           0.207431            0.178766            -0.229434           -0.27216            
0.0591207           4352                0.0637976           -0.0666955          0.195848            0.0616216           -0.23385            -0.104386           
0.0625984           4608                0.0335374           -0.104211           0.127828            0.103812            -0.160833           -0.161653           
0.066076            4864                0.0125459           -0.0748295          0.179189            0.0730555           -0.26093            -0.11656            
0.0695537           5120                0.0168378           -0.0901846          0.203172            0.0886462           -0.29325            -0.140111           
0.0730314           5376                0.0307462           -0.0727544          0.195639            0.0703175           -0.267406           -0.113725           
0.0765091           5632                0.0459993           -0.0689062          0.216746            0.0655869           -0.283911           -0.108014           
0.0799868           5888                0.0526167           -0.119874           0.243349            0.119447            -0.317797           -0.186067           
0.0834645           6144                0.0626913           -0.110098           0.266439            0.108127            -0.342773           -0.171467           
0.0869422           6400                0.0690386           -0.120489           0.28645             0.11837             -0.366763           -0.187553           
0.0904198           6656                0.07703             -0.127952           0.298564            0.125614            -0.377029           -0.199272           
0.0938975           6912                0.0865884           -0.127677           0.32691             0.124368            -0.410513           -0.19894            
0.0973752           7168                0.0967853           -0.137259           0.330018            0.133784            -0.404726           -0.213861           
0.100853            7424                0.0985629           -0.142764           0.327723            0.139256            -0.399449           -0.222361           
0.104331            7680                0.0950887           -0.170132           0.332225            0.168296            -0.409921           -0.264305           
0.107808            7936                0.105682            -0.134102           0.315913            0.129685            -0.37401            -0.209398           
0.111286            8192                0.102791            -0.130225           0.298848            0.125957            -0.350886           -0.203097           
0.114764            8448                0.0867546           -0.129863           0.313765            0.125382            -0.390306           -0.202496           
0.118241            8704                0.0762683           -0.140794           0.297354            0.137508            -0.375992           -0.21912            
0.121719            8960                0.0855484           -0.177052           0.292323            0.176655            -0.358746           -0.274773           
0.125197            9216                0.0910766           -0.107441           0.291505            0.102223            -0.351916           -0.168008           
0.128674            9472                0.0877061           -0.124832           0.292994            0.120857            -0.357577           -0.194709           
0.132152            9728                0.0837793           -0.143105           0.299687            0.140605            -0.37189            -0.222607           
0.13563             9984                0.0886518           -0.152719           0.318307            0.150437            -0.395309           -0.237344           
0.139107            10240               0.0931453           -0.148681           0.311354            0.146036            -0.38003            -0.2315             
0.142585            10496               0.100874            -0.117073           0.312956            0.112356            -0.374507           -0.182993           
0.146063            10752               0.0938943           -0.165303           0.32448             0.163658            -0.399348           -0.256738           
0.149541            11008               0.0890555           -0.147902           0.31827             0.144768            -0.394855           -0.23035            
0.153018            11264               0.0968466           -0.144787           0.306935            0.141807            -0.369529           -0.225727           
0.156496            11520               0.100019            -0.106251           0.310819            0.100331            -0.372191           -0.166516           
0.159974            11776               0.0969657           -0.151113           0.295664            0.148213            -0.352331           -0.235225           
0.163451            12032               0.089696            -0.184273           0.29261             0.18402             -0.354988           -0.285802           
0.166929            12288               0.0841952           -0.114742           0.281517            0.110465            -0.343671           -0.179641           
0.170407            12544               0.0839711           -0.1361             0.287371            0.133417            -0.352909           -0.212072           
0.173884            12800               0.0794478           -0.153947           0.274707            0.153172            -0.33819            -0.239531           
0.177362            13056               0.0768845           -0.138336           0.261817            0.136664            -0.321187           -0.215249           
0.18084             13312               0.0737926           -0.132893           0.276318            0.131421            -0.346402           -0.206801           
0.184317            13568               0.0786534           -0.125792           0.262796            0.12428             -0.320727           -0.196298           
0.187795            13824               0.08933             -0.115333           0.254451            0.113472            -0.296792           -0.179994           
0.191273            14080               0.0840523           -0.112663           0.26402             0.110985            -0.316741           -0.175858           
0.19475             14336               0.0842455           -0.123472           0.256206            0.122167            -0.304526           -0.191953           
0.198228            14592               0.0822119           -0.123316           0.233154            0.123202            -0.271202           -0.191552           
0.201706            14848               0.0919782           -0.111785           0.245732            0.110143            -0.280185           -0.173315           
0.205183            15104               0.0904232           -0.162834           0.244918            0.165213            -0.280713           -0.250616           
0.208661            15360               0.0757883           -0.0925365          0.249286            0.0900407           -0.302654           -0.142901           
0.212139            15616               0.0751876           -0.114972           0.239348            0.114131            -0.288313           -0.176915           
0.215617            15872               0.0861325           -0.143213           0.225698            0.14454             -0.256528           -0.219746           
0.219094            16128               0.0863512           -0.125097           0.245313            0.124574            -0.286833           -0.191643           
0.222572            16384               0.0811921           -0.17261            0.251966            0.174718            -0.302606           -0.264733           
0.22605             16640               0.0861255           -0.126423           0.267715            0.125431            -0.32198            -0.194352           
0.229527            16896               0.0770705           -0.112464           0.283894            0.109955            -0.356243           -0.173056           
0.233005            17152               0.0781398           -0.120269           0.264698            0.118537            -0.326003           -0.185621           
0.236483            17408               0.089271            -0.167612           0.279566            0.170158            -0.337324           -0.258062           
0.23996             17664               0.0978959           -0.148931           0.28248             0.150635            -0.33315            -0.230368           
0.243438            17920               0.088839            -0.113085           0.285468            0.113679            -0.347224           -0.175065           
0.246916            18176               0.0868817           -0.141609           0.266878            0.145227            -0.320626           -0.218666           
0.250393            18432               0.0757626           -0.111845           0.288735            0.114819            -0.365125           -0.172567           
0.253871            18688               0.0830176           -0.121859           0.30176             0.125928            -0.377532           -0.188358           
0.257349            18944               0.0907555           -0.135745           0.315399            0.141246            -0.390151           -0.209935           
0.260826            19200               0.0883621           -0.0256264          0.315835            0.0238973           -0.393384           -0.0419857          
0.264304            19456               0.0876421           -0.103937           0.339144            0.108616            -0.429755           -0.161852           
0.267782            19712               0.0868505           -0.105546           0.349492            0.110691            -0.446382           -0.164653           
0.27126             19968               0.0902873           -0.0783084          0.353764            0.0820592           -0.449437           -0.123676           
0.274737            20224               0.0900343           -0.0447082          0.35391             0.0469062           -0.449934           -0.0717409          
0.278215            20480               0.0854275           -0.0957917          0.394835            0.101084            -0.516999           -0.149649           
0.281693            20736               0.0809009           -0.104677           0.379171            0.111243            -0.497636           -0.162594           
0.28517             20992               0.0826713           -0.0520672          0.37451             0.0544137           -0.488326           -0.0831088          
0.288648            21248               0.0788204           -0.0617229          0.369754            0.0645695           -0.484911           -0.0963506          
0.292126            21504               0.0812354           -0.120208           0.375051            0.126871            -0.490195           -0.186604           
0.295603            21760               0.0823852           -0.0786936          0.367911            0.0823863           -0.477893           -0.123328           
0.299081            22016               0.0772453           -0.0290466          0.344458            0.0286745           -0.447269           -0.0471942          
0.302559            22272               0.0866423           -0.107845           0.354208            0.112553            -0.452345           -0.167732           
0.306036            22528               0.0881427           -0.0841211          0.37235             0.0869051           -0.478484           -0.131613           
0.309514            22784               0.0907158           -0.0704322          0.333459            0.0727951           -0.41647            -0.1105             
0.312992            23040               0.0856615           -0.108712           0.358791            0.113165            -0.460268           -0.169239           
0.316469            23296               0.0940248           -0.0760044          0.364026            0.0780085           -0.459562           -0.119214           
0.319947            23552               0.0984085           -0.0888301          0.355481            0.0918777           -0.442085           -0.138768           
0.323425            23808               0.0979565           -0.0668306          0.34942             0.0671549           -0.433307           -0.105131           
0.326903            24064               0.0970723           -0.0819867          0.350081            0.0828089           -0.435192           -0.128042           
0.33038             24320               0.095284            -0.125731           0.331336            0.128478            -0.408156           -0.194927           
0.333858            24576               0.0928326           -0.0596921          0.330829            0.0565431           -0.409969           -0.0940077          
0.337336            24832               0.098576            -0.0476163          0.321131            0.0422665           -0.389216           -0.0752092          
0.340813            25088               0.0962189           -0.0985657          0.305395            0.0954015           -0.367743           -0.153359           
0.344291            25344               0.0864465           -0.108505           0.301585            0.104898            -0.372021           -0.168604           
0.347769            25600               0.0921568           -0.172799           0.270845            0.172786            -0.319225           -0.267299           
0.351246            25856               0.094547            -0.104672           0.26952             0.0994155           -0.314967           -0.163486           
0.354724            26112               0.0904487           -0.0916218          0.253692            0.0858439           -0.29514            -0.143614           
0.358202            26368               0.0839838           -0.123771           0.242402            0.119965            -0.284685           -0.193919           
0.361679            26624               0.0835856           -0.0906012          0.230918            0.0847375           -0.267727           -0.143141           
0.365157            26880               0.0832443           -0.165831           0.211184            0.16456             -0.238144           -0.258984           
0.368635            27136               0.0789015           -0.135673           0.231087            0.132083            -0.273356           -0.213106           
0.372112            27392               0.076225            -0.160965           0.210742            0.158846            -0.245255           -0.252139           
0.37559             27648               0.0853397           -0.155305           0.190925            0.152721            -0.205817           -0.243357           
0.379068            27904               0.0805204           -0.171588           0.178592            0.169081            -0.192154           -0.268153           
0.382546            28160               0.0732356           -0.11633            0.168669            0.110212            -0.184719           -0.183297           
0.386023            28416               0.0658616           -0.153006           0.168896            0.148522            -0.192523           -0.24008            
0.389501            28672               0.0673658           -0.177167           0.164904            0.174842            -0.184672           -0.276653           
0.392979            28928               0.0798713           -0.123913           0.186849            0.117917            -0.20529            -0.195413           
0.396456            29184               0.0789987           -0.118224           0.242982            0.110617            -0.291858           -0.186571           
0.399934            29440               0.0792032           -0.171338           0.221327            0.16753             -0.258172           -0.26882            
0.403412            29696               0.0734984           -0.148167           0.269946            0.141969            -0.33815            -0.23295            
0.406889            29952               0.0912266           -0.158301           0.287064            0.152957            -0.345835           -0.248429           
0.410367            30208               0.108721            -0.185465           0.297029            0.181537            -0.342815           -0.289425           
0.413845            30464               0.11024             -0.157533           0.335388            0.152593            -0.399827           -0.246791           
0.417322            30720               0.0973071           -0.161945           0.321609            0.157284            -0.391769           -0.254007           
0.4208              30976               0.0955969           -0.159551           0.315969            0.155787            -0.384653           -0.249927           
0.424278            31232               0.0943439           -0.163984           0.340263            0.160541            -0.422804           -0.257362           
0.427755            31488               0.0991388           -0.172541           0.337083            0.169376            -0.412682           -0.270158           
0.431233            31744               0.102369            -0.156192           0.313126            0.152077            -0.372512           -0.245204           
0.434711            32000               0.0964441           -0.197503           0.317248            0.196409            -0.384681           -0.3075             
0.438188            32256               0.0917839           -0.168402           0.308656            0.165584            -0.376058           -0.263162           
0.441666            32512               0.0987736           -0.112983           0.279119            0.106596            -0.323659           -0.178133           
0.445144            32768               0.100446            -0.188822           0.286839            0.187239            -0.333808           -0.294271           
0.448622            33024               0.0861202           -0.179185           0.276664            0.177583            -0.332916           -0.279131           
0.452099            33280               0.0812311           -0.185229           0.267007            0.184839            -0.323244           -0.289136           
0.455577            33536               0.0848793           -0.168259           0.269273            0.166918            -0.323098           -0.262775           
0.459055            33792               0.0972268           -0.137591           0.249077            0.134902            -0.279725           -0.215849           
0.462532            34048               0.0938139           -0.145288           0.259912            0.143066            -0.299848           -0.22757            
0.46601             34304               0.0956593           -0.190359           0.260254            0.19137             -0.298614           -0.295942           
0.469488            34560               0.09821             -0.188818           0.222056            0.190364            -0.237798           -0.29376            
0.472965            34816               0.0945774           -0.104163           0.223063            0.100038            -0.243291           -0.164435           
0.476443            35072               0.0927839           -0.0762541          0.224404            0.0693457           -0.247305           -0.121143           
0.479921            35328               0.0840128           -0.141337           0.223493            0.138936            -0.25518            -0.220526           
0.483398            35584               0.094032            -0.157895           0.221349            0.156361            -0.241645           -0.246195           
0.486876            35840               0.0991052           -0.126943           0.228918            0.122832            -0.248067           -0.198185           
0.490354            36096               0.101638            -0.149158           0.26061             0.145737            -0.294019           -0.232504           
0.493831            36352               0.104792            -0.0920083          0.25007             0.0847121           -0.274634           -0.145534           
