#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -9.47554e-05        2.64587e-06         0.000332884         8.59644e-06         0.000168808         -1.08613e-06        
0.00347769          256                 -33.8915            -0.297016           97.2063             1.12381             42.7636             -1.5447             
0.00695537          512                 -159.63             0.858441            99.8202             2.69067             -86.4576            0.287626            
0.0104331           768                 -79.9591            0.928911            43.5521             1.30674             -48.3629            1.22817             
0.0139107           1024                85.8666             -0.938213           -26.5243            -0.165014           68.5586             -1.35283            
0.0173884           1280                26.777              0.0321937           -3.46628            0.147084            25.0872             0.0781254           
0.0208661           1536                148.851             -0.655192           -72.1217            -1.23719            97.6342             -0.290685           
0.0243438           1792                43.7869             -0.436175           -7.60357            -0.249117           39.1526             -0.487838           
0.0278215           2048                -32.7613            0.332395            21.6584             0.548037            -16.8511            0.444444            
0.0312992           2304                43.5513             -0.207988           -8.59536            0.0520534           38.5273             -0.147459           
0.0347769           2560                30.0721             -0.0443295          -1.40043            0.158125            30.221              0.018055            
0.0382545           2816                33.6645             -0.0825514          -3.68483            0.163201            32.1112             -0.0206384          
0.0417322           3072                32.3422             -0.114635           -1.20394            0.199177            32.7303             -0.0932314          
0.0452099           3328                32.1166             -0.13794            -1.31086            0.233173            32.4131             -0.131055           
0.0486876           3584                32.9071             -0.103397           -2.26543            0.181833            32.4808             -0.133452           
0.0521653           3840                33.2316             -0.105549           -1.92708            0.154509            33.0799             -0.181997           
0.055643            4096                35.5047             -0.0897241          -3.4049             0.0769504           34.2629             -0.199583           
0.0591207           4352                35.7767             -0.0260235          -3.09256            0.0702974           34.7812             -0.161305           
0.0625984           4608                32.5126             -0.0578317          -1.87922            0.121313            32.351              -0.226073           
0.066076            4864                35.4612             -0.00646552         -2.98474            0.0890606           34.5381             -0.110339           
0.0695537           5120                37.8984             -0.0373012          -3.61536            0.0152301           36.5693             -0.22808            
0.0730314           5376                38.2578             -0.0527589          -3.56791            0.00778972          36.9742             -0.282266           
0.0765091           5632                38.2275             -0.0770073          -3.39048            0.0141813           37.086              -0.257282           
0.0799868           5888                39.4233             -0.0295222          -3.87311            0.0391195           37.9532             -0.246473           
