#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000197944        0.0032402           -0.00069603         -0.00227909         0.000677096         0.00361885          
0.00347769          256                 0.584937            35.4294             -4.78855            -30.3102            7.62821             37.3452             
0.00695537          512                 44.558              1126.37             -7.57364            -940.03             74.4437             1267.66             
0.0104331           768                 92.444              -168.157            32.318              178.329             33.484              -176.358            
0.0139107           1024                -2.7416             -1106.88            -65.0668            965.29              55.6466             -1286.32            
0.0173884           1280                -48.6694            -491.009            4.11713             433.722             -58.7354            -594.48             
0.0208661           1536                -51.5323            -153.87             12.1699             122.87              -66.2128            -240.519            
0.0243438           1792                -4.58288            -115.905            14.4242             86.8256             -20.7359            -115.683            
0.0278215           2048                23.8548             -60.5171            6.59175             46.7206             14.941              -21.4925            
0.0312992           2304                18.0184             -11.6823            4.50501             -4.56702            12.0784             13.5722             
0.0347769           2560                4.11968             53.8829             20.992              -67.2439            -21.3263            78.6995             
0.0382545           2816                0.498557            -10.0132            17.7552             -4.81567            -20.2949            0.180879            
0.0417322           3072                7.41001             -93.8003            1.79766             74.2863             3.39027             -79.4435            
0.0452099           3328                9.55492             -93.6907            6.28993             74.0484             -0.608605           -82.1586            
0.0486876           3584                4.68895             -104.733            5.91846             83.8263             -4.70056            -101.927            
0.0521653           3840                2.05022             -123.753            4.83938             101.369             -6.79042            -128.821            
0.055643            4096                2.0216              -138.346            4.33334             115.329             -6.46357            -149.767            
0.0591207           4352                2.66118             -136.379            4.32325             114.882             -5.65869            -153.881            
0.0625984           4608                2.86                -133.267            5.49465             112.435             -6.59502            -156.416            
0.066076            4864                1.65548             -133.385            6.82314             112.82              -9.5269             -163.932            
0.0695537           5120                2.12464             -122.898            8.67681             104.02              -11.5997            -156.714            
0.0730314           5376                2.7015              -113.777            9.26968             97.075              -11.8886            -149.751            
0.0765091           5632                3.13295             -103.499            9.99779             88.6315             -12.2779            -138.956            
0.0799868           5888                3.26876             -84.0933            11.2073             72.5628             -13.3016            -117.006            
0.0834645           6144                3.77693             -68.6556            11.5463             60.0487             -13.1188            -97.5651            
0.0869422           6400                4.54578             -56.3197            10.9292             50.0901             -11.3868            -80.2379            
0.0904198           6656                5.02282             -43.4056            10.981              39.7164             -10.8988            -62.942             
0.0938975           6912                4.84955             -30.998             10.2947             29.4933             -10.1241            -46.0301            
0.0973752           7168                5.02023             -20.1724            9.67958             19.9988             -8.8672             -30.4795            
0.100853            7424                4.80562             -16.387             7.84653             16.5209             -6.61489            -22.8178            
0.104331            7680                4.7248              -5.04789            7.1669              6.25566             -5.32667            -6.48565            
0.107808            7936                4.9261              -0.726726           6.45517             2.34448             -3.12834            2.0602              
0.111286            8192                5.37494             3.90272             6.59607             -3.10059            -1.75244            11.4929             
0.114764            8448                5.41751             7.60506             8.13552             -7.71623            -2.23873            17.8553             
0.118241            8704                5.54587             8.35039             8.86131             -8.5292             -2.60411            20.7978             
0.121719            8960                6.12348             8.56908             8.03326             -8.36022            -1.27757            23.1787             
0.125197            9216                5.6969              5.94682             7.08087             -4.91406            -1.36026            19.6267             
0.128674            9472                4.80676             3.19193             8.87564             -2.30177            -4.58279            14.3889             
0.132152            9728                6.15824             0.614131            9.62091             -0.343858           -4.362              11.8513             
0.13563             9984                6.50249             5.86537             10.713              -5.61041            -5.49753            18.0702             
0.139107            10240               7.1745              8.0828              10.2322             -8.34875            -4.25618            21.3575             
0.142585            10496               7.35244             9.05049             13.9238             -11.1804            -8.71024            19.4593             
0.146063            10752               7.37851             13.2003             15.7898             -14.7552            -11.1809            21.8769             
0.149541            11008               7.94886             14.3718             15.8472             -15.9328            -10.3782            22.2869             
0.153018            11264               8.17466             13.3664             13.3021             -14.2952            -7.39416            21.295              
0.156496            11520               6.9791              18.1611             11.8963             -17.8848            -7.26867            27.1139             
0.159974            11776               6.96393             17.1049             13.2817             -17.3777            -8.56539            25.0223             
0.163451            12032               6.18042             10.8278             12.5545             -10.7772            -8.39415            17.9615             
0.166929            12288               7.69934             4.95851             11.656              -4.52801            -5.93189            11.8464             
0.170407            12544               6.57026             8.27249             11.7811             -6.80033            -7.15838            14.9021             
0.173884            12800               5.51934             4.69906             9.48905             -1.34537            -5.55989            12.0976             
0.177362            13056               5.83356             8.28512             11.3203             -4.85619            -7.55292            16.7042             
0.18084             13312               5.46586             7.96363             13.0835             -5.39612            -9.79682            15.9719             
0.184317            13568               6.42063             7.57704             12.2545             -5.35981            -8.19294            17.652              
0.187795            13824               6.69479             2.01048             11.924              -1.90291            -7.60396            15.1929             
0.191273            14080               5.38714             -2.48806            12.2662             1.48186             -8.64884            9.55418             
0.19475             14336               6.99101             -7.06553            12.1397             5.1068              -6.78463            6.32373             
0.198228            14592               6.26705             -6.66196            10.5673             5.93694             -5.76318            6.14321             
0.201706            14848               5.54406             -10.808             11.1309             9.99818             -6.87796            -0.0564659          
