#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.98441e-06        -4.44838e-05        1.07489e-05         5.96115e-05         -1.84219e-05        -6.25233e-05        
0.00347769          256                 0.0205391           7.88868             -2.67885            -9.87307            3.84703             11.2759             
0.00695537          512                 6.58521             342.679             -107.336            -423.425            149.317             448.101             
0.0104331           768                 -2.98464            -222.285            70.6534             274.158             -100.437            -302.787            
0.0139107           1024                -4.21168            -225.068            69.9298             277.762             -99.9863            -302.479            
0.0173884           1280                -2.31849            -137.631            42.7347             172.041             -60.7782            -184.626            
0.0208661           1536                -0.650847           -38.3               11.5422             48.0022             -16.3968            -51.312             
0.0243438           1792                0.0515041           4.72174             -2.19043            -6.12257            3.91936             9.26835             
0.0278215           2048                0.0621526           3.16416             -1.15553            -4.47488            2.36643             6.53444             
0.0312992           2304                0.62338             39.1449             -12.2165            -48.6346            17.2195             52.1474             
0.0347769           2560                0.793423            46.9034             -14.5085            -57.919             20.3643             62.0398             
0.0382545           2816                0.248419            14.3712             -4.5472             -17.5733            6.51358             19.4446             
0.0417322           3072                0.164763            8.32984             -2.78208            -10.3447            4.1184              11.6616             
0.0452099           3328                -0.0291855          -2.7049             0.885972            3.2843              -1.29499            -3.81597            
0.0486876           3584                -0.110955           -6.01281            1.83673             7.4929              -2.64745            -8.08399            
0.0521653           3840                -0.215845           -12.186             3.68171             15.1256             -5.24974            -16.2571            
0.055643            4096                -0.341618           -19.028             5.74684             23.5252             -8.08805            -25.0701            
0.0591207           4352                -0.394583           -22.0058            6.66389             27.1704             -9.37101            -29.0037            
0.0625984           4608                -0.433509           -24.533             7.44303             30.3002             -10.464             -32.3909            
0.066076            4864                -0.457727           -26.925             8.20851             33.2812             -11.5848            -35.813             
0.0695537           5120                -0.4515             -27.4429            8.43867             33.892              -11.9786            -36.8612            
0.0730314           5376                -0.44332            -28.4549            8.84227             35.1571             -12.6426            -38.6821            
0.0765091           5632                -0.409556           -27.1084            8.46552             33.52               -12.2376            -37.3808            
0.0799868           5888                -0.335025           -23.6757            7.44335             29.3571             -10.9157            -33.2814            
0.0834645           6144                -0.250935           -19.5355            6.19983             24.3278             -9.23796            -28.0529            
0.0869422           6400                -0.173079           -14.8744            4.78477             18.6329             -7.2733             -21.9112            
0.0904198           6656                -0.125866           -10.5132            3.4349              13.2842             -5.35013            -15.8918            
0.0938975           6912                -0.0609416          -5.21423            1.78151             6.77293             -2.94631            -8.46822            
0.0973752           7168                -0.0084916          -0.684747           0.351087            1.1983              -0.812716           -1.93412            
0.100853            7424                0.0176777           2.46507             -0.675057           -2.69028            0.790569            2.87887             
0.104331            7680                0.0428359           5.24917             -1.56831            -6.15019            2.18935             7.11079             
0.107808            7936                0.0167743           6.50899             -1.93059            -7.76526            2.77962             9.17857             
0.111286            8192                -0.0105463          7.1966              -2.14765            -8.60849            3.13052             10.3623             
0.114764            8448                -0.0700536          7.29593             -2.2398             -8.70312            3.22562             10.6257             
0.118241            8704                -0.170039           4.84447             -1.56363            -5.64927            2.17034             7.28651             
0.121719            8960                -0.179764           3.30453             -1.05446            -3.79232            1.43847             5.15608             
0.125197            9216                -0.221896           1.23673             -0.235796           -1.35074            0.244634            2.2715              
0.128674            9472                -0.267786           0.376513            -0.00904409         -0.293929           -0.0843826          1.20807             
0.132152            9728                -0.339007           0.568013            -0.164447           -0.467273           0.118197            1.64605             
0.13563             9984                -0.325832           0.114661            -0.0117584          0.0805409           0.00389588          1.34891             
0.139107            10240               -0.420381           -0.00930273         0.0962987           0.157186            -0.271474           1.18547             
0.142585            10496               -0.417197           -2.10221            0.754329            2.66738             -1.20747            -1.67937            
0.146063            10752               -0.34759            -0.56703            0.263377            0.857256            -0.330576           0.798317            
0.149541            11008               -0.28874            0.501498            0.0298947           -0.460536           0.141967            2.53012             
0.153018            11264               -0.443061           0.666874            0.0504538           -0.623582           -0.12141            2.49633             
0.156496            11520               -0.424108           0.0599892           0.17752             0.219556            -0.31211            1.3849              
0.159974            11776               -0.267329           0.327635            -0.0222214          0.0873793           0.042836            1.2885              
0.163451            12032               -0.363436           -0.375043           0.525908            0.64614             -0.8472             0.166844            
0.166929            12288               -0.475522           -1.12438            0.69308             1.63179             -1.27795            -0.996267           
0.170407            12544               -0.360253           -2.53785            1.02772             3.44788             -1.52839            -2.68323            
0.173884            12800               -0.436963           -1.03911            0.725475            1.54436             -1.26802            -0.819175           
0.177362            13056               -0.549187           -0.196054           0.366096            0.640481            -0.767702           0.822447            
0.18084             13312               -0.633778           -0.180395           0.413708            0.65306             -0.849852           1.30657             
0.184317            13568               -0.679926           0.357553            0.443214            -0.0444547          -0.893254           2.31142             
0.187795            13824               -0.679716           -1.56736            1.07642             2.321               -1.68484            -0.0607638          
0.191273            14080               -0.577535           -2.15198            1.31197             2.95753             -1.83736            -0.683865           
0.19475             14336               -0.469811           -2.96299            1.62109             3.91523             -2.15252            -1.87715            
0.198228            14592               -0.425658           -5.0537             2.23389             6.47653             -2.96832            -4.95242            
0.201706            14848               -0.395069           -6.37752            2.73753             8.03339             -3.60926            -6.74683            
0.205183            15104               -0.266121           -6.95725            2.95097             8.69343             -3.6801             -7.22105            
0.208661            15360               -0.230821           -7.61551            3.09107             9.49799             -3.8015             -7.89601            
0.212139            15616               -0.368877           -7.79703            3.13957             9.63303             -4.01567            -8.10497            
