#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.218464           -0.00799897         -0.000742002        0.0115529           -0.292629           -0.252795           
0.00347769          256                 1.1196              0.635737            0.675877            -1.53798            0.910314            1.68023             
0.00695537          512                 4.6882              0.62689             0.466553            -1.24504            5.87395             5.38491             
0.0104331           768                 0.0165182           5.67774             -0.205849           -7.61507            0.0399011           5.23631             
0.0139107           1024                1.05967             -4.09779            4.91588             0.846317            -2.78855            -2.8015             
0.0173884           1280                3.20418             -3.19375            4.72937             -0.268041           0.221359            0.160138            
0.0208661           1536                1.74465             0.086677            2.24995             -2.31548            0.376216            1.82307             
0.0243438           1792                1.95007             0.301373            2.08656             -2.41435            0.821               2.2636              
0.0278215           2048                0.520643            0.379204            1.88776             -2.32211            -0.927358           0.86252             
0.0312992           2304                -0.26183            -0.161696           -0.00492893         0.266766            -0.30761            -0.432026           
0.0347769           2560                -1.29348            -0.177532           -1.59446            1.82626             -0.313726           -1.49048            
0.0382545           2816                -1.64142            -1.19696            -1.55321            3.15935             -0.814286           -2.77328            
0.0417322           3072                -0.877116           -2.14972            -1.1735             4.09038             -0.0958648          -2.87275            
0.0452099           3328                0.0377485           -2.34841            -0.815863           4.00823             0.826041            -2.12663            
0.0486876           3584                0.558016            -2.37855            -0.67765            3.90865             1.4045              -1.62667            
0.0521653           3840                1.11171             -2.4626             -0.669696           4.00947             2.14212             -1.15486            
0.055643            4096                1.93272             -2.47853            -0.422387           3.7871              3.02843             -0.366112           
0.0591207           4352                3.03452             -2.01932            0.00696163          2.72952             4.1214              1.13772             
0.0625984           4608                3.92233             -1.28543            0.345366            1.38672             5.00749             2.66294             
0.066076            4864                4.44413             -0.505471           0.555501            0.101679            5.51407             3.85592             
0.0695537           5120                4.52067             -0.00444242         0.834021            -0.867502           5.36327             4.35364             
0.0730314           5376                4.46553             0.453799            0.959526            -1.61905            5.17906             4.64888             
0.0765091           5632                4.32465             0.490281            1.18734             -1.89668            4.78518             4.48106             
0.0799868           5888                4.07608             0.462594            1.43597             -2.10868            4.22158             4.1575              
0.0834645           6144                3.8759              0.412513            1.47619             -2.07669            3.90448             3.85776             
0.0869422           6400                3.81117             0.495349            1.34154             -2.04627            3.92485             3.81777             
0.0904198           6656                4.16823             0.479379            1.20751             -1.88515            4.50779             4.11638             
0.0938975           6912                4.28546             0.15196             0.983089            -1.20305            4.86877             3.89357             
0.0973752           7168                4.36445             -0.0971368          0.731669            -0.61504            5.19845             3.68435             
0.100853            7424                4.42683             -0.689866           1.17443             -0.247423           4.87805             3.18514             
0.104331            7680                4.52088             -1.16166            1.73603             -0.179363           4.49389             2.81947             
0.107808            7936                4.62918             -1.59912            2.27335             -0.124867           4.16595             2.52028             
0.111286            8192                4.7042              -1.84606            2.68661             -0.205877           3.89396             2.36432             
0.114764            8448                4.73128             -1.93149            2.83185             -0.236843           3.79553             2.3024              
0.118241            8704                4.98925             -1.80043            2.86839             -0.447641           4.09903             2.66893             
0.121719            8960                5.22941             -1.81512            3.15882             -0.714239           4.16397             2.87115             
0.125197            9216                5.47508             -1.93452            3.26637             -0.65827            4.41115             2.97492             
0.128674            9472                5.90117             -2.14907            3.41465             -0.507967           4.85359             3.20471             
0.132152            9728                6.08141             -2.1838             3.82724             -0.874727           4.72013             3.3605              
0.13563             9984                6.44185             -2.45187            4.32638             -1.01182            4.76266             3.47268             
0.139107            10240               6.47637             -2.58672            4.32552             -0.823035           4.80333             3.38723             
0.142585            10496               6.49121             -2.42999            4.6166              -1.32673            4.55604             3.53474             
0.146063            10752               6.73649             -2.49372            5.29082             -1.92133            4.28038             3.72175             
0.149541            11008               6.17883             -2.36374            5.62179             -2.43705            3.22848             3.28754             
0.153018            11264               5.71396             -2.1236             5.45897             -2.60053            2.72863             3.05161             
0.156496            11520               5.46511             -1.39044            4.8834              -3.02304            2.89141             3.46124             
0.159974            11776               5.29604             -1.21016            4.58931             -2.97003            2.9424              3.43071             
0.163451            12032               5.10927             -0.851942           4.04134             -2.90901            3.18866             3.55163             
0.166929            12288               5.0027              -0.583941           3.71682             -2.94931            3.33715             3.67117             
0.170407            12544               5.13374             -0.700083           3.66762             -2.73612            3.56771             3.68329             
0.173884            12800               5.26928             -1.06441            3.4851              -2.05542            3.92377             3.48436             
0.177362            13056               5.43965             -1.2278             3.40951             -1.75741            4.2211              3.51649             
0.18084             13312               5.57211             -1.31077            3.23404             -1.47372            4.55734             3.57524             
0.184317            13568               5.69438             -1.6043             3.33035             -1.17262            4.63984             3.4314              
0.187795            13824               5.95178             -1.75702            3.39003             -1.02465            4.93531             3.55558             
0.191273            14080               6.32545             -1.75706            3.28093             -0.91383            5.53448             3.9339              
0.19475             14336               6.77355             -1.79916            3.49926             -1.0734             5.94612             4.33932             
0.198228            14592               6.88032             -1.81325            3.65193             -1.21034            5.95315             4.42145             
0.201706            14848               7.06627             -1.78955            3.86238             -1.45053            6.01555             4.62573             
0.205183            15104               7.31906             -1.88651            3.99268             -1.45469            6.23675             4.79681             
0.208661            15360               7.26497             -2.28339            3.86072             -0.782962           6.28251             4.39111             
0.212139            15616               7.30004             -2.26115            3.81389             -0.761241           6.3706              4.44718             
0.215617            15872               7.54978             -2.06452            3.91069             -1.12277            6.61665             4.85528             
0.219094            16128               7.50679             -1.91767            4.29278             -1.71118            6.21827             4.93118             
0.222572            16384               7.55607             -1.77521            3.85588             -1.46609            6.68981             5.08653             
0.22605             16640               7.48975             -1.73973            3.62625             -1.26212            6.8045              5.07115             
0.229527            16896               7.45361             -1.67955            3.35438             -1.07749            6.99253             5.09724             
0.233005            17152               7.88943             -1.87849            3.81581             -1.26877            7.16153             5.35527             
0.236483            17408               8.05094             -1.98725            4.20811             -1.52248            7.0407              5.39896             
0.23996             17664               7.82167             -1.90309            4.44931             -1.88224            6.52435             5.23095             
0.243438            17920               7.59082             -1.75242            4.57167             -2.2129             6.09462             5.16032             
0.246916            18176               7.62937             -2.10753            4.41686             -1.57974            6.27891             4.89779             
0.250393            18432               7.64621             -2.12621            3.86488             -1.00097            6.78563             4.91363             
0.253871            18688               7.45515             -1.78381            3.79102             -1.39125            6.59382             5.01318             
0.257349            18944               7.46195             -1.7167             3.83945             -1.53196            6.56871             5.06168             
0.260826            19200               7.37219             -1.85182            3.58283             -1.08903            6.68495             4.8481              
0.264304            19456               7.67756             -1.69783            3.65872             -1.36328            7.02011             5.30056             
0.267782            19712               7.93283             -1.72637            4.05902             -1.72975            7.00395             5.52576             
0.27126             19968               8.11084             -1.92555            3.87444             -1.27691            7.41475             5.51485             
0.274737            20224               7.9334              -1.69718            3.83912             -1.54429            7.2026              5.55039             
0.278215            20480               8.27882             -1.82196            4.09009             -1.63001            7.43411             5.78758             
0.281693            20736               8.21597             -2.27256            3.96173             -0.900163           7.47081             5.31633             
0.28517             20992               8.06403             -2.17745            3.98149             -1.04286            7.25248             5.23631             
0.288648            21248               8.03372             -1.97655            4.20903             -1.5349             7.00552             5.38203             
0.292126            21504               8.13952             -1.9193             3.90352             -1.32205            7.43376             5.52861             
0.295603            21760               8.37957             -2.01736            4.09329             -1.36337            7.58565             5.68446             
0.299081            22016               8.30546             -1.80019            4.4844              -2.04873            7.12708             5.81787             
0.302559            22272               8.2644              -2.14781            4.49793             -1.6001             7.07105             5.45928             
0.306036            22528               7.98257             -2.0876             4.2007              -1.38295            6.94939             5.22657             
0.309514            22784               7.88562             -1.8996             4.19044             -1.62819            6.82285             5.30288             
0.312992            23040               7.87178             -1.97244            3.94013             -1.28383            7.03459             5.20935             
0.316469            23296               7.835               -1.74039            3.62386             -1.27842            7.25949             5.38049             
0.319947            23552               7.84789             -1.83165            3.96819             -1.4921             6.96557             5.33283             
0.323425            23808               7.67928             -1.9653             3.69998             -1.05354            6.99347             5.03818             
0.326903            24064               7.78524             -1.82699            3.4146              -0.952147           7.3886              5.26033             
0.33038             24320               7.76063             -1.6214             3.93512             -1.75126            6.87847             5.41909             
0.333858            24576               7.73665             -1.97547            3.70921             -1.05042            7.06704             5.07158             
0.337336            24832               7.77966             -1.97216            3.35961             -0.698786           7.4372              5.11545             
0.340813            25088               7.76067             -1.47987            3.68935             -1.69356            7.09691             5.55449             
0.344291            25344               7.79666             -1.8573             3.44226             -0.946557           7.3825              5.23809             
0.347769            25600               7.67761             -1.94885            3.36791             -0.743269           7.28829             5.04075             
0.351246            25856               7.61625             -1.65392            3.42085             -1.19391            7.14654             5.24204             
0.354724            26112               7.82167             -1.93707            3.47081             -0.863306           7.38486             5.18482             
0.358202            26368               7.90718             -2.19822            3.28224             -0.315326           7.67664             5.03131             
0.361679            26624               7.94547             -1.97113            3.73865             -1.06557            7.31305             5.27756             
0.365157            26880               7.95244             -2.03655            3.86836             -1.11523            7.22184             5.21268             
0.368635            27136               8.21983             -2.04771            3.45844             -0.690679           7.93808             5.46537             
0.372112            27392               8.27294             -2.01186            4.09814             -1.36685            7.42947             5.57517             
0.37559             27648               8.20431             -2.24727            4.18163             -1.14361            7.27944             5.29226             
0.379068            27904               8.04076             -2.39902            3.99352             -0.747179           7.22471             4.99005             
0.382546            28160               7.98257             -2.37651            4.03707             -0.820249           7.10142             4.95817             
0.386023            28416               8.27869             -2.25876            4.32569             -1.26791            7.24152             5.34346             
0.389501            28672               7.98793             -2.055              4.2168              -1.44425            6.96121             5.21619             
0.392979            28928               7.85523             -1.77987            3.97976             -1.57359            6.99252             5.3421              
0.396456            29184               7.97935             -1.85674            4.03445             -1.52237            7.10071             5.42291             
0.399934            29440               8.29522             -2.27165            4.17377             -1.0997             7.39681             5.37673             
0.403412            29696               8.45015             -2.29799            3.83374             -0.729467           7.90756             5.5089              
0.406889            29952               8.13222             -2.26375            3.75698             -0.698301           7.55199             5.21437             
0.410367            30208               8.14156             -1.81096            3.77802             -1.33523            7.54741             5.60998             
0.413845            30464               8.39752             -1.92167            3.81732             -1.22287            7.85309             5.77263             
0.417322            30720               8.64076             -2.13852            4.05663             -1.17292            7.96681             5.82676             
0.4208              30976               8.53317             -2.3913             4.14034             -0.910591           7.7527              5.50387             
0.424278            31232               8.17836             -2.22004            4.07205             -1.07765            7.32816             5.31675             
0.427755            31488               8.39994             -2.20671            3.80308             -0.832523           7.86585             5.53118             
0.431233            31744               8.68492             -2.32903            4.17584             -1.03325            7.92244             5.7076              
0.434711            32000               8.49362             -2.32022            3.92319             -0.796141           7.89824             5.52836             
0.438188            32256               8.46672             -2.30532            3.86543             -0.756354           7.90862             5.52798             
0.441666            32512               8.22605             -2.38694            3.90013             -0.68113            7.55201             5.205               
0.445144            32768               8.15509             -2.34372            3.76231             -0.600766           7.58536             5.16091             
0.448622            33024               8.12552             -2.28163            3.79682             -0.715399           7.51212             5.18154             
0.452099            33280               8.27038             -2.12553            3.72498             -0.857827           7.7709              5.45936             
0.455577            33536               8.43343             -2.01971            3.93297             -1.20272            7.80001             5.72014             
0.459055            33792               8.42693             -2.02661            4.15694             -1.41814            7.58978             5.7064              
0.462532            34048               8.41986             -2.36552            4.24645             -1.04542            7.50427             5.40643             
0.46601             34304               8.02439             -2.4252             3.84739             -0.577883           7.33466             4.96103             
0.469488            34560               7.7569              -2.32819            3.71626             -0.576824           7.08683             4.77662             
0.472965            34816               7.5839              -2.2118             3.72504             -0.742841           6.84567             4.70544             
0.476443            35072               7.86798             -2.1542             3.77162             -0.865678           7.17721             5.03343             
0.479921            35328               8.22074             -2.15001            4.05624             -1.15261            7.39912             5.39889             
0.483398            35584               7.82081             -2.26778            3.69502             -0.635761           7.19242             4.88848             
0.486876            35840               7.81865             -1.89546            3.60322             -1.0484             7.26357             5.22746             
0.490354            36096               7.82058             -2.0114             3.89842             -1.18646            6.99435             5.11463             
0.493831            36352               7.97928             -2.18791            3.72382             -0.771103           7.37475             5.1032              
0.497309            36608               7.91559             -2.08106            3.63676             -0.823442           7.37122             5.14212             
0.500787            36864               8.04557             -1.78945            3.69136             -1.2781             7.49006             5.54154             
