#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   1.65367e-07         -1.65367e-05        4.96101e-07         2.11366e-05         -6.61467e-08        -1.27293e-05        
0.00347769          256                 0.00220501          0.156905            -0.0248066          -0.18563            0.0210007           0.118908            
0.00695537          512                 0.157413            7.47462             -1.64865            -8.88118            1.58467             6.35304             
0.0104331           768                 -0.137263           -3.30806            0.632966            3.96171             -0.712258           -2.84849            
0.0139107           1024                -0.31039            -7.9094             1.84745             9.16836             -1.93316            -6.69746            
0.0173884           1280                -0.13635            -2.77231            0.634998            3.30035             -0.72201            -2.44456            
0.0208661           1536                -0.0767069          -0.54252            0.167958            0.609927            -0.246056           -0.517401           
0.0243438           1792                -0.0550514          -1.60926            0.315606            1.92263             -0.333546           -1.35152            
0.0278215           2048                -0.047089           -0.756227           0.159477            0.894369            -0.195201           -0.652442           
0.0312992           2304                0.00886434          1.11922             -0.190447           -1.35526            0.167588            0.929829            
0.0347769           2560                0.034594            2.08353             -0.379588           -2.49092            0.353772            1.72219             
0.0382545           2816                -0.00269548         0.820806            -0.131549           -0.980297           0.0983867           0.650499            
0.0417322           3072                -0.0174686          0.132864            0.00519187          -0.171806           -0.0310425          0.086724            
0.0452099           3328                -0.0219702          0.0424669           0.0347335           -0.0742783          -0.0615626          0.00848122          
0.0486876           3584                -0.0256871          -0.0260731          0.0534506           0.00628139          -0.0830797          -0.054912           
0.0521653           3840                -0.0339896          -0.0615172          0.0553934           0.0556425           -0.0973867          -0.0962958          
0.055643            4096                -0.0498329          -0.303101           0.101414            0.342973            -0.156977           -0.306407           
0.0591207           4352                -0.0625566          -0.329095           0.0986266           0.378562            -0.172342           -0.336583           
0.0625984           4608                -0.0755934          -0.28728            0.0787781           0.337888            -0.174516           -0.312701           
0.066076            4864                -0.0889354          -0.177685           0.0428243           0.22253             -0.163921           -0.237834           
0.0695537           5120                -0.0946654          -0.0539747          0.0280934           0.0679173           -0.160714           -0.14256            
0.0730314           5376                -0.112644           -0.0165728          0.0233852           0.0180973           -0.181452           -0.123884           
0.0765091           5632                -0.12799            0.108113            -0.0133699          -0.12142            -0.172829           -0.0309025          
0.0799868           5888                -0.144063           0.244864            -0.0416447          -0.284772           -0.173029           0.0695424           
0.0834645           6144                -0.161591           0.315416            -0.0337913          -0.387903           -0.204501           0.112652            
0.0869422           6400                -0.188172           0.329804            -0.0223251          -0.419729           -0.250584           0.105853            
0.0904198           6656                -0.223313           0.475877            -0.0535558          -0.590796           -0.274659           0.19629             
0.0938975           6912                -0.256098           0.647003            -0.0698926          -0.811337           -0.307428           0.312877            
0.0973752           7168                -0.278248           0.685859            -0.0347785          -0.895883           -0.367076           0.332904            
0.100853            7424                -0.271463           0.663252            -0.00543562         -0.885725           -0.383281           0.319602            
0.104331            7680                -0.262785           0.578497            0.038492            -0.806194           -0.407097           0.259583            
0.107808            7936                -0.25742            0.460888            0.0694203           -0.671085           -0.427082           0.168011            
0.111286            8192                -0.268009           0.370634            0.058831            -0.541789           -0.433338           0.0863927           
0.114764            8448                -0.279744           0.380363            0.0464065           -0.545098           -0.439129           0.0817796           
0.118241            8704                -0.30192            0.390389            0.0202643           -0.539674           -0.448168           0.0749067           
0.121719            8960                -0.305929           0.30547             0.0400121           -0.440985           -0.470375           0.00439025          
0.125197            9216                -0.2715             0.0902648           0.114684            -0.204701           -0.483238           -0.149331           
0.128674            9472                -0.268233           -0.074267           0.146574            0.00756495          -0.504301           -0.299404           
0.132152            9728                -0.302529           0.0840784           0.095989            -0.170475           -0.509768           -0.194371           
0.13563             9984                -0.301139           0.140579            0.0688458           -0.230099           -0.485253           -0.13956            
0.139107            10240               -0.334597           0.244113            0.0310895           -0.346854           -0.500655           -0.072778           
0.142585            10496               -0.343303           0.18518             0.0605475           -0.292239           -0.53726            -0.127235           
0.146063            10752               -0.33216            0.235794            0.0565635           -0.356691           -0.519812           -0.07462            
0.149541            11008               -0.324128           0.220603            0.0742168           -0.352792           -0.522953           -0.0760975          
0.153018            11264               -0.335544           0.143426            0.0909298           -0.265729           -0.55118            -0.146718           
0.156496            11520               -0.333052           0.0969719           0.100279            -0.211124           -0.555024           -0.182598           
0.159974            11776               -0.327557           0.126121            0.100771            -0.249961           -0.548723           -0.157804           
0.163451            12032               -0.334985           0.119706            0.113904            -0.251846           -0.569802           -0.171029           
0.166929            12288               -0.330453           0.0500082           0.139995            -0.179626           -0.585187           -0.221104           
0.170407            12544               -0.340136           -0.0790253          0.18185             -0.0407742          -0.633996           -0.331499           
0.173884            12800               -0.355046           0.0578838           0.154524            -0.202283           -0.631802           -0.234033           
0.177362            13056               -0.338438           0.0328847           0.137959            -0.150024           -0.596679           -0.246205           
0.18084             13312               -0.341138           0.029604            0.139146            -0.145057           -0.600548           -0.250199           
0.184317            13568               -0.353382           0.00981255          0.134175            -0.11601            -0.613614           -0.27548            
0.187795            13824               -0.359543           -0.109844           0.158401            0.0246355           -0.64159            -0.377134           
0.191273            14080               -0.35866            -0.0805892          0.145738            -0.00267563         -0.630316           -0.35402            
0.19475             14336               -0.347254           -0.0446604          0.14592             -0.0488975          -0.615591           -0.316837           
0.198228            14592               -0.347173           -0.130083           0.16858             0.0465392           -0.634171           -0.384836           
0.201706            14848               -0.34795            -0.181936           0.183353            0.104705            -0.647728           -0.427659           
0.205183            15104               -0.349816           -0.144565           0.166463            0.0694246           -0.637038           -0.399511           
0.208661            15360               -0.349729           -0.146949           0.157971            0.0783225           -0.629222           -0.400184           
0.212139            15616               -0.354929           -0.228315           0.179514            0.168561            -0.653029           -0.470353           
0.215617            15872               -0.359818           -0.231519           0.1878              0.168737            -0.667141           -0.480779           
0.219094            16128               -0.334932           -0.186712           0.20457             0.10111             -0.647312           -0.430201           
0.222572            16384               -0.369913           -0.231297           0.184419            0.172753            -0.678046           -0.490178           
0.22605             16640               -0.372611           -0.277424           0.204333            0.217093            -0.697536           -0.52733            
0.229527            16896               -0.379814           -0.304736           0.216058            0.242642            -0.716976           -0.553545           
0.233005            17152               -0.376899           -0.218142           0.198071            0.140778            -0.699261           -0.480403           
0.236483            17408               -0.357769           -0.290217           0.214013            0.2355              -0.686881           -0.531955           
0.23996             17664               -0.363909           -0.224844           0.214127            0.135541            -0.695027           -0.472767           
0.243438            17920               -0.364677           -0.29399            0.223099            0.22316             -0.703344           -0.532189           
0.246916            18176               -0.362966           -0.291504           0.22152             0.22001             -0.699176           -0.527566           
0.250393            18432               -0.362458           -0.190445           0.197122            0.106435            -0.67889            -0.450462           
0.253871            18688               -0.357926           -0.256377           0.197207            0.202337            -0.672292           -0.507787           
0.257349            18944               -0.384167           -0.292321           0.196035            0.245997            -0.706948           -0.551699           
0.260826            19200               -0.385263           -0.334549           0.215538            0.284542            -0.723794           -0.583455           
0.264304            19456               -0.377773           -0.266646           0.213783            0.195282            -0.712954           -0.5225             
0.267782            19712               -0.371742           -0.23063            0.21308             0.147724            -0.70507            -0.486777           
0.27126             19968               -0.36699            -0.290498           0.222947            0.217538            -0.706544           -0.528299           
