#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.65367e-07        3.30734e-07         -4.96101e-07        -4.63043e-08        1.9315e-07          1.36263e-07         
0.00347769          256                 0.0068543           0.0803435           -0.0108941          -0.0949352          0.0170608           0.0684876           
0.00695537          512                 0.385329            10.3514             -2.35821            -11.9635            2.51495             9.07806             
0.0104331           768                 -0.0837548          -2.88892            0.662728            3.34808             -0.675685           -2.52744            
0.0139107           1024                -0.306839           -9.64978            2.22541             11.1074             -2.29004            -8.39774            
0.0173884           1280                -0.163965           -4.82761            1.09943             5.57857             -1.15057            -4.22034            
0.0208661           1536                -0.0678935          -1.71012            0.423569            1.94135             -0.447655           -1.49491            
0.0243438           1792                -0.0538162          -1.95165            0.446232            2.24547             -0.446398           -1.68507            
0.0278215           2048                -0.0168987          -1.01725            0.247054            1.15658             -0.228929           -0.868127           
0.0312992           2304                0.0676436           1.21642             -0.277809           -1.40782            0.327364            1.08784             
0.0347769           2560                0.0881706           2.03031             -0.471494           -2.3367             0.517291            1.78796             
0.0382545           2816                0.0199912           0.422905            -0.106952           -0.478708           0.117426            0.372705            
0.0417322           3072                0.00300968          -0.22515            0.0476724           0.260463            -0.03513            -0.186298           
0.0452099           3328                0.00673358          -0.269125           0.0599899           0.310133            -0.0409161          -0.221977           
0.0486876           3584                0.00478324          -0.376679           0.0799416           0.439322            -0.0609133          -0.316137           
0.0521653           3840                0.00183541          -0.496536           0.107083            0.578573            -0.0881499          -0.421436           
0.055643            4096                -0.00339201         -0.766089           0.171234            0.887334            -0.14944            -0.653925           
0.0591207           4352                0.00183938          -0.749074           0.168562            0.866712            -0.140096           -0.635532           
0.0625984           4608                0.0032956           -0.70733            0.1607              0.817089            -0.131308           -0.59893            
0.066076            4864                0.00373862          -0.625404           0.141088            0.723883            -0.114277           -0.529277           
0.0695537           5120                0.0048947           -0.534147           0.115312            0.623153            -0.0911967          -0.451885           
0.0730314           5376                0.0242537           -0.454287           0.0978838           0.529928            -0.0502021          -0.368928           
0.0765091           5632                0.0329671           -0.312921           0.0744911           0.35975             -0.0182658          -0.241196           
0.0799868           5888                0.0334758           -0.209996           0.0598986           0.232936            -0.00517073         -0.152973           
0.0834645           6144                0.026387            -0.252574           0.0557079           0.290842            -0.010619           -0.193814           
0.0869422           6400                0.0187334           -0.337828           0.0626525           0.396268            -0.0255604          -0.269699           
0.0904198           6656                0.0254113           -0.331738           0.0591014           0.391468            -0.0135934          -0.259467           
0.0938975           6912                0.039708            -0.298464           0.0572466           0.348046            0.00746466          -0.219284           
0.0973752           7168                0.0546891           -0.305452           0.0705779           0.345685            0.0165442           -0.212344           
0.100853            7424                0.0461103           -0.33398            0.076759            0.381162            -0.000207887        -0.245311           
0.104331            7680                0.0346424           -0.329382           0.0932495           0.363313            -0.0291319          -0.25106            
0.107808            7936                0.0121404           -0.441341           0.12038             0.492288            -0.0811984          -0.364054           
0.111286            8192                0.00946247          -0.600713           0.134681            0.692019            -0.097579           -0.499646           
0.114764            8448                0.0308489           -0.647241           0.13044             0.756385            -0.0659337          -0.521132           
0.118241            8704                0.0207015           -0.670291           0.137975            0.782108            -0.0858539          -0.549131           
0.121719            8960                0.0097732           -0.81012            0.171684            0.942305            -0.128418           -0.675041           
0.125197            9216                0.0149502           -0.980403           0.215644            1.13552             -0.158987           -0.815603           
0.128674            9472                0.0506849           -1.08343            0.268838            1.23594             -0.158637           -0.879437           
0.132152            9728                0.0520374           -0.954959           0.223924            1.09881             -0.11843            -0.769457           
0.13563             9984                0.0214855           -0.896753           0.180409            1.05163             -0.121888           -0.739168           
0.139107            10240               0.0214952           -0.90569            0.19893             1.04849             -0.137121           -0.746592           
0.142585            10496               0.00811605          -0.998399           0.220898            1.15508             -0.172786           -0.83631            
0.146063            10752               0.00695832          -0.910676           0.202434            1.05365             -0.158283           -0.762386           
0.149541            11008               0.0142545           -0.859001           0.196616            0.987794            -0.143041           -0.710622           
0.153018            11264               0.0164891           -1.0117             0.213368            1.17637             -0.154693           -0.836268           
0.156496            11520               0.00760606          -1.04642            0.235444            1.20423             -0.184701           -0.873782           
0.159974            11776               0.014491            -1.03753            0.225643            1.19995             -0.167146           -0.860926           
0.163451            12032               0.0153879           -1.12176            0.249964            1.29235             -0.18671            -0.932682           
0.166929            12288               -0.000814764        -1.19031            0.264028            1.37324             -0.219967           -1.0042             
0.170407            12544               -0.0151237          -1.36694            0.302929            1.57778             -0.271576           -1.16433            
0.173884            12800               0.000257807         -1.18877            0.267003            1.36915             -0.220988           -1.00308            
0.177362            13056               -0.0237692          -1.34315            0.264334            1.57902             -0.251511           -1.1548             
0.18084             13312               -0.00399593         -1.29141            0.286009            1.49426             -0.243325           -1.09406            
0.184317            13568               -0.00756174         -1.30605            0.292964            1.50752             -0.254134           -1.10882            
0.187795            13824               -0.0128275          -1.43114            0.306931            1.66331             -0.272839           -1.21879            
0.191273            14080               -0.00938028         -1.39078            0.306001            1.61136             -0.267646           -1.18285            
0.19475             14336               -0.0135422          -1.34511            0.298072            1.55828             -0.266525           -1.1488             
0.198228            14592               -0.0205705          -1.41581            0.315804            1.6388              -0.290765           -1.21449            
0.201706            14848               -0.023835           -1.47175            0.326496            1.7054              -0.30424            -1.26479            
0.205183            15104               -0.021945           -1.4504             0.31642             1.68516             -0.293537           -1.24475            
0.208661            15360               -0.0180549          -1.44707            0.313048            1.68238             -0.285393           -1.2376             
0.212139            15616               -0.0141174          -1.53196            0.334828            1.77751             -0.298526           -1.30611            
0.215617            15872               -0.0168959          -1.5617             0.342973            1.81202             -0.309391           -1.33526            
0.219094            16128               -0.00933514         -1.52697            0.338482            1.77028             -0.295235           -1.30108            
0.222572            16384               -0.0214314          -1.63852            0.365677            1.89619             -0.334632           -1.40359            
0.22605             16640               -0.0177915          -1.71954            0.378829            1.99156             -0.340462           -1.4672             
0.229527            16896               -0.0153014          -1.77414            0.386438            2.05752             -0.343544           -1.51101            
0.233005            17152               -0.0170401          -1.66443            0.363472            1.93097             -0.32659            -1.4208             
0.236483            17408               -0.0317922          -1.62806            0.363936            1.88527             -0.346965           -1.40372            
0.23996             17664               -0.028994           -1.62301            0.359508            1.88042             -0.338672           -1.39588            
0.243438            17920               -0.0264027          -1.67476            0.37135             1.94009             -0.34547            -1.43758            
0.246916            18176               -0.0172114          -1.6481             0.367962            1.90627             -0.330404           -1.40662            
0.250393            18432               -0.0139669          -1.60336            0.35521             1.85661             -0.315903           -1.36748            
0.253871            18688               -0.00815177         -1.68122            0.36507             1.95246             -0.31584            -1.42866            
0.257349            18944               -0.0217039          -1.78445            0.390562            2.0694              -0.355939           -1.52565            
0.260826            19200               -0.0184318          -1.82189            0.400416            2.11054             -0.359416           -1.55383            
0.264304            19456               -0.020766           -1.73746            0.382012            2.01386             -0.346954           -1.48604            
0.267782            19712               -0.0295478          -1.6783             0.373486            1.9429              -0.351246           -1.4432             
0.27126             19968               -0.0268078          -1.69078            0.372102            1.95976             -0.346384           -1.45036            
0.274737            20224               -0.0248362          -1.77393            0.384657            2.06016             -0.354658           -1.51896            
0.278215            20480               -0.00851856         -1.59608            0.351129            1.85345             -0.305634           -1.35974            
0.281693            20736               -0.00780996         -1.39879            0.308905            1.62422             -0.268176           -1.19248            
0.28517             20992               -0.0214552          -1.61526            0.375412            1.85996             -0.342669           -1.38546            
0.288648            21248               -0.0311264          -1.61126            0.360364            1.86615             -0.342564           -1.39075            
0.292126            21504               -0.0494082          -1.71183            0.358124            2.00069             -0.364682           -1.48752            
0.295603            21760               -0.0189359          -1.74523            0.386895            2.02122             -0.348994           -1.49051            
0.299081            22016               -0.0258852          -1.83359            0.40491             2.12532             -0.37338            -1.5716             
0.302559            22272               -0.0263861          -1.76702            0.385672            2.0518              -0.357739           -1.51563            
0.306036            22528               -0.0192691          -1.70285            0.37561             1.97345             -0.339826           -1.45503            
0.309514            22784               -0.0188965          -1.67407            0.362205            1.94552             -0.328214           -1.43022            
0.312992            23040               -0.0200584          -1.6189             0.35051             1.88133             -0.319588           -1.38522            
0.316469            23296               -0.0201396          -1.64962            0.354245            1.91938             -0.323063           -1.4116             
0.319947            23552               -0.0004326          -1.71342            0.384496            1.98279             -0.322947           -1.4519             
0.323425            23808               -0.021107           -1.5843             0.347775            1.8376              -0.319132           -1.35726            
0.326903            24064               -0.00110267         -1.5251             0.349477            1.75746             -0.293509           -1.2914             
0.33038             24320               -0.0350673          -1.63483            0.341525            1.90962             -0.331698           -1.41027            
0.333858            24576               -0.0167024          -1.58359            0.348113            1.8357              -0.312675           -1.35267            
0.337336            24832               -0.0241573          -1.59837            0.353788            1.85202             -0.32748            -1.37278            
0.340813            25088               -0.0391551          -1.75869            0.377825            2.04521             -0.367336           -1.51898            
0.344291            25344               -0.0286712          -1.60731            0.347411            1.86798             -0.328061           -1.38138            
0.347769            25600               -0.0178701          -1.7272             0.369295            2.009               -0.332605           -1.47395            
0.351246            25856               -0.0218763          -1.80026            0.388852            2.09191             -0.354394           -1.53957            
0.354724            26112               -0.016633           -1.63545            0.350481            1.90497             -0.315689           -1.39812            
0.358202            26368               -0.0017734          -1.68483            0.374119            1.9532              -0.314911           -1.43032            
0.361679            26624               -0.0359986          -1.88621            0.406017            2.19428             -0.387811           -1.62501            
0.365157            26880               -0.0232369          -1.89969            0.419997            2.20066             -0.382639           -1.62456            
0.368635            27136               -0.0247287          -1.87588            0.397554            2.18594             -0.366128           -1.60519            
0.372112            27392               -0.00300786         -1.84278            0.420818            2.12455             -0.356467           -1.56185            
0.37559             27648               -0.0298479          -1.90294            0.416684            2.20836             -0.388838           -1.633              
0.379068            27904               -0.0256711          -1.98119            0.432153            2.29934             -0.396265           -1.69472            
0.382546            28160               -0.00474934         -1.97021            0.438573            2.28131             -0.374193           -1.67115            
0.386023            28416               -0.031745           -1.95               0.422668            2.2664              -0.39695            -1.67479            
0.389501            28672               -0.0269735          -1.98342            0.433766            2.30069             -0.399294           -1.69744            
0.392979            28928               -0.0223437          -2.08676            0.458471            2.41751             -0.413896           -1.78092            
0.396456            29184               -0.0258727          -2.0418             0.445845            2.36835             -0.407932           -1.74667            
0.399934            29440               -0.0272117          -1.80764            0.395779            2.09766             -0.367359           -1.55086            
0.403412            29696               -0.0310073          -1.64163            0.367203            1.90151             -0.348674           -1.41614            
0.406889            29952               -0.0214205          -1.74049            0.374412            2.02547             -0.340434           -1.49107            
0.410367            30208               -0.0382144          -1.66063            0.376824            1.91874             -0.365636           -1.43766            
0.413845            30464               -0.0384113          -1.58493            0.35536             1.83553             -0.348541           -1.37414            
0.417322            30720               -0.040164           -1.56286            0.328739            1.82711             -0.328512           -1.35556            
0.4208              30976               -0.0128396          -1.62717            0.35489             1.89085             -0.313903           -1.38865            
0.424278            31232               -0.0205002          -1.66942            0.371931            1.93241             -0.338889           -1.42851            
0.427755            31488               -0.0190978          -1.67597            0.364614            1.94735             -0.330826           -1.43356            
0.431233            31744               -0.0216485          -1.73093            0.389758            2.00545             -0.356664           -1.4859             
0.434711            32000               -0.0216093          -1.61889            0.351932            1.8814              -0.323068           -1.38765            
0.438188            32256               -0.0225779          -1.73746            0.380925            2.0165              -0.349055           -1.48833            
0.441666            32512               -0.0287077          -1.78133            0.3925              2.06587             -0.366808           -1.53059            
0.445144            32768               -0.0318467          -1.80647            0.394452            2.09768             -0.372507           -1.55444            
0.448622            33024               -0.0256033          -1.7125             0.374854            1.98803             -0.34778            -1.46962            
0.452099            33280               -0.0283211          -1.82667            0.393758            2.12516             -0.367493           -1.568              
0.455577            33536               -0.0218581          -1.81369            0.396227            2.1058              -0.361059           -1.55191            
0.459055            33792               -0.0241811          -1.82075            0.395897            2.11624             -0.364195           -1.56035            
0.462532            34048               -0.00858718         -1.64931            0.360391            1.91677             -0.312855           -1.40367            
0.46601             34304               -0.020047           -1.60126            0.352007            1.85871             -0.321559           -1.37126            
0.469488            34560               -0.0200152          -1.71712            0.377487            1.99224             -0.342911           -1.46964            
0.472965            34816               -0.0298066          -1.8611             0.410492            2.15745             -0.38335            -1.59885            
0.476443            35072               -0.030368           -1.75056            0.377554            2.03677             -0.356364           -1.50572            
0.479921            35328               -0.0258299          -1.68554            0.361825            1.96335             -0.337453           -1.44752            
0.483398            35584               -0.0185039          -1.75713            0.382322            2.04089             -0.344848           -1.50073            
0.486876            35840               -0.0198014          -1.79489            0.388244            2.08627             -0.35163            -1.53458            
0.490354            36096               -0.0233606          -1.76165            0.379919            2.04935             -0.349283           -1.50944            
0.493831            36352               -0.0141227          -1.73386            0.389265            2.00537             -0.344558           -1.47912            
0.497309            36608               -0.0213082          -1.68906            0.36951             1.96041             -0.337702           -1.44719            
0.500787            36864               -0.0323514          -1.74718            0.386021            2.02613             -0.365937           -1.50602            
