#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   2.86085e-05         3.58847e-05         -2.31514e-06        -2.69522e-05        2.81177e-05         4.76892e-05         
0.00347769          256                 -0.0159566          0.00836361          0.00883259          -0.0118455          -0.0239417          -0.00899358         
0.00695537          512                 3.95799             2.85956             -0.185942           -2.22146            3.99399             5.30172             
0.0104331           768                 2.83682             3.51006             -0.49243            -2.26254            2.77362             4.71892             
0.0139107           1024                -0.383163           0.230284            0.0233813           -0.0660658          -0.482307           -0.195081           
0.0173884           1280                -1.81446            -1.51932            0.11175             1.18161             -1.80087            -2.56368            
0.0208661           1536                -1.98232            -1.15116            0.287934            0.709278            -2.17558            -2.48288            
0.0243438           1792                0.270474            0.139257            0.0461283           -0.200411           0.268901            0.323257            
0.0278215           2048                -0.0382922          -0.131108           0.0584427           0.0578309           -0.0713939          -0.114456           
0.0312992           2304                -0.28184            -0.264997           0.0352277           0.103615            -0.252653           -0.422827           
0.0347769           2560                -0.58009            -0.953526           0.121083            0.643786            -0.60098            -1.10852            
0.0382545           2816                -0.625633           -0.903886           0.0566981           0.664966            -0.596412           -1.11979            
0.0417322           3072                -0.306346           -0.414862           0.0589686           0.284364            -0.317506           -0.531061           
0.0452099           3328                -0.258621           -0.351076           0.0634431           0.228066            -0.279083           -0.448865           
0.0486876           3584                -0.269794           -0.325483           0.0512266           0.208166            -0.278221           -0.443985           
0.0521653           3840                -0.319776           -0.411684           0.0586036           0.287528            -0.335007           -0.540561           
0.055643            4096                -0.244649           -0.291047           0.053342            0.193689            -0.264992           -0.398768           
0.0591207           4352                -0.201837           -0.228981           0.0443948           0.150044            -0.218615           -0.322252           
0.0625984           4608                -0.204354           -0.232256           0.0409593           0.153168            -0.217205           -0.326633           
0.066076            4864                -0.241718           -0.255348           0.0395055           0.172739            -0.252174           -0.374356           
0.0695537           5120                -0.245904           -0.248065           0.0418132           0.165615            -0.259256           -0.373438           
0.0730314           5376                -0.219342           -0.202102           0.036392            0.1291              -0.229859           -0.321573           
0.0765091           5632                -0.242999           -0.238046           0.038789            0.156988            -0.253011           -0.364815           
0.0799868           5888                -0.263638           -0.268189           0.0358017           0.181134            -0.268588           -0.402027           
0.0834645           6144                -0.289649           -0.302798           0.0383438           0.208243            -0.29473            -0.446509           
0.0869422           6400                -0.291229           -0.292923           0.0378216           0.195184            -0.294272           -0.442249           
0.0904198           6656                -0.30799            -0.324796           0.039261            0.219783            -0.309972           -0.476935           
0.0938975           6912                -0.331898           -0.370744           0.0416186           0.256724            -0.333326           -0.526532           
0.0973752           7168                -0.328811           -0.369978           0.0377427           0.256212            -0.326861           -0.523469           
0.100853            7424                -0.34698            -0.393208           0.0447234           0.274959            -0.350889           -0.553655           
0.104331            7680                -0.350919           -0.39055            0.0446005           0.27191             -0.354818           -0.555593           
0.107808            7936                -0.351889           -0.393216           0.0427021           0.27729             -0.355047           -0.557943           
0.111286            8192                -0.350683           -0.399312           0.0458512           0.281548            -0.35617            -0.560508           
0.114764            8448                -0.361809           -0.441833           0.0436938           0.319499            -0.364013           -0.596539           
0.118241            8704                -0.352331           -0.412339           0.043347            0.291621            -0.355195           -0.570184           
0.121719            8960                -0.34334            -0.392122           0.0350917           0.281481            -0.342078           -0.549832           
0.125197            9216                -0.332001           -0.359362           0.0337643           0.257325            -0.332012           -0.519456           
0.128674            9472                -0.318629           -0.333161           0.0321419           0.236113            -0.319273           -0.491426           
0.132152            9728                -0.338645           -0.371008           0.0347163           0.267312            -0.340769           -0.532409           
0.13563             9984                -0.329572           -0.379942           0.026531            0.275187            -0.321708           -0.530438           
