#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -6.69737e-05        1.90172e-05         -3.17505e-05        -7.69685e-06        -1.80845e-06        8.21279e-06         
0.00347769          256                 0.430412            0.37388             0.605345            -0.689023           -0.144392           0.712525            
0.00695537          512                 0.303863            -0.218008           -0.0325421          0.277298            0.560399            -0.255302           
0.0104331           768                 122.918             -2.0253             -53.6771            24.2558             219.553             45.7932             
0.0139107           1024                -4.19143            -4.20071            23.7981             -4.69441            -44.284             -9.42842            
0.0173884           1280                -118.308            2.3291              35.7938             -16.5853            -195.859            -42.9714            
0.0208661           1536                -80.5541            2.83679             13.0705             -8.87036            -107.364            -26.9044            
0.0243438           1792                18.6159             1.41269             -1.02531            -1.24355            22.0804             9.66911             
0.0278215           2048                66.247              -2.78292            -26.4083            13.6379             120.86              21.2116             
0.0312992           2304                0.92675             -2.28373            7.50808             -0.385534           -14.3574            -3.7202             
0.0347769           2560                -20.6965            0.837967            7.05841             -3.85917            -36.2755            -6.70975            
0.0382545           2816                10.5279             -0.584855           -3.42626            1.95273             17.9547             3.00975             
0.0417322           3072                9.36307             -0.870311           -3.80993            2.50188             16.5137             2.13966             
0.0452099           3328                6.03545             -0.850551           0.21066             0.88458             5.86707             0.84323             
0.0486876           3584                -1.57257            -0.310529           1.65937             -0.319657           -4.97101            -1.1844             
0.0521653           3840                -2.28429            0.0995047           0.918685            -0.506746           -4.14282            -0.727273           
0.055643            4096                1.93805             -0.290368           0.178933            0.249124            1.68896             0.223801            
0.0591207           4352                1.00131             -0.19133            0.289592            0.0957558           0.397791            0.0570271           
0.0625984           4608                -0.437564           -0.214011           0.317897            0.1043              -1.13474            -0.568495           
0.066076            4864                -1.25126            -0.0580683          0.661034            -0.210028           -2.57831            -0.605998           
0.0695537           5120                -1.35185            -0.0388867          0.968792            -0.351748           -3.30354            -0.607863           
0.0730314           5376                -0.332288           -0.127995           0.409473            -0.0292997          -1.18404            -0.361785           
0.0765091           5632                -0.156403           -0.130801           0.202987            0.0543974           -0.613831           -0.300514           
0.0799868           5888                -0.118735           -0.13651            0.488822            -0.0560482          -1.10608            -0.302032           
0.0834645           6144                0.174387            -0.179803           0.381617            0.0370625           -0.606763           -0.262898           
0.0869422           6400                0.119262            -0.185456           0.380614            0.0426698           -0.672276           -0.294083           
0.0904198           6656                0.387035            -0.229225           0.315754            0.117725            -0.273346           -0.270236           
0.0938975           6912                0.40227             -0.203328           0.380015            0.0616093           -0.386156           -0.216067           
0.0973752           7168                0.553367            -0.197598           0.337912            0.071262            -0.158205           -0.145475           
0.100853            7424                0.786358            -0.252768           0.287776            0.152971            0.194239            -0.154444           
0.104331            7680                0.350926            -0.28365            0.463239            0.116356            -0.613682           -0.382821           
0.107808            7936                0.893275            -0.239452           0.212329            0.168523            0.430291            -0.0816803          
0.111286            8192                1.238               -0.240645           0.0716096           0.224811            1.08728             0.049087            
0.114764            8448                -0.00240063         -0.179382           0.596323            -0.054653           -1.24232            -0.334384           
0.118241            8704                -0.147181           -0.16912            0.549559            -0.0497877          -1.29616            -0.369065           
0.121719            8960                0.227559            -0.22012            0.398811            0.0690849           -0.584104           -0.314915           
0.125197            9216                1.05462             -0.177663           0.158925            0.123214            0.714789            0.0983492           
0.128674            9472                0.626301            -0.19634            0.361285            0.0681666           -0.118238           -0.11043            
0.132152            9728                0.447014            -0.233667           0.436823            0.0762584           -0.434385           -0.253349           
0.13563             9984                0.32343             -0.19176            0.458496            0.0163241           -0.613402           -0.220816           
0.139107            10240               0.692904            -0.221258           0.325218            0.106527            0.0323228           -0.129296           
0.142585            10496               0.930669            -0.0935303          0.170741            0.0217056           0.567422            0.199908            
0.146063            10752               0.362182            -0.162416           0.511585            -0.0359735          -0.673175           -0.158266           
0.149541            11008               0.360637            -0.272425           0.488983            0.100891            -0.628174           -0.359635           
0.153018            11264               1.02228             -0.328899           0.248364            0.262766            0.534929            -0.199595           
0.156496            11520               0.878644            -0.102728           0.229612            0.00346642          0.380018            0.159419            
0.159974            11776               0.584299            -0.199531           0.544635            -0.00311771         -0.493085           -0.14598            
0.163451            12032               0.166292            -0.227781           0.429841            0.0665533           -0.721645           -0.360228           
0.166929            12288               0.383271            -0.149495           0.318309            0.0274808           -0.274595           -0.117883           
0.170407            12544               0.695056            -0.269069           0.416608            0.123968            -0.129458           -0.21245            
0.173884            12800               0.345996            -0.364788           0.417536            0.234062            -0.493861           -0.525395           
0.177362            13056               -0.00247439         -0.262333           0.377838            0.13791             -0.798622           -0.486709           
0.18084             13312               -0.167498           -0.138243           0.613198            -0.102149           -1.40156            -0.328255           
0.184317            13568               -0.0159816          -0.119699           0.486758            -0.081136           -1.00044            -0.221922           
0.187795            13824               0.712023            -0.226219           0.161505            0.185754            0.381261            -0.132286           
0.191273            14080               0.230765            -0.00612685         0.389694            -0.167058           -0.553689           0.0775508           
0.19475             14336               -0.119452           0.00524908          0.643136            -0.274889           -1.39886            -0.0501461          
0.198228            14592               0.593481            -0.292249           0.23129             0.230068            0.119357            -0.307019           
0.201706            14848               0.638399            -0.172546           0.23291             0.0941581           0.157473            -0.0743199          
0.205183            15104               0.330256            -0.182748           0.55074             -0.0243473          -0.743664           -0.214656           
0.208661            15360               0.209179            -0.222657           0.355776            0.10484             -0.543251           -0.330547           
0.212139            15616               -0.155886           -0.0791637          0.47862             -0.117309           -1.14648            -0.207637           
0.215617            15872               0.918859            -0.308063           0.178269            0.273136            0.576548            -0.215751           
0.219094            16128               0.454059            -0.105264           0.265504            0.00143065          -0.0632462          -0.0264735          
0.222572            16384               0.235798            -0.277716           0.432302            0.129471            -0.682324           -0.42707            
0.22605             16640               0.568233            -0.170423           0.287988            0.0694529           -0.017725           -0.0937602          
