#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -9.92203e-07        1.17411e-05         -1.4883e-06         -1.00371e-05        1.72246e-06         1.88942e-05         
0.00347769          256                 0.025264            -0.000322797        0.00063749          0.00073914          0.0199718           0.00329922          
0.00695537          512                 0.00193546          -0.0116774          0.00317753          0.00967578          -0.00367545         -0.018681           
0.0104331           768                 0.330201            0.887642            -0.185077           -0.737175           0.582237            1.49166             
0.0139107           1024                -0.137021           0.716326            -0.110694           -0.608017           0.075165            1.14268             
0.0173884           1280                -0.224167           0.134556            0.0696551           -0.131561           -0.296102           0.184233            
0.0208661           1536                -0.11815            -0.148763           0.0491119           0.117033            -0.177334           -0.260557           
0.0243438           1792                0.0722345           -0.368478           0.0258092           0.317982            0.0146872           -0.587792           
0.0278215           2048                0.147172            -0.23576            -0.0187865          0.211335            0.14888             -0.360193           
0.0312992           2304                0.010917            -0.377067           0.0462036           0.321687            -0.0707608          -0.610215           
0.0347769           2560                -0.00098625         -0.365706           0.093108            0.304278            -0.156675           -0.593933           
0.0382545           2816                0.0260762           -0.241718           5.96975e-05         0.210642            0.0189974           -0.388411           
0.0417322           3072                0.0452367           -0.208666           0.0141362           0.180558            0.0118129           -0.331736           
0.0452099           3328                0.0180993           -0.177674           0.020062            0.152138            -0.0198329          -0.285585           
0.0486876           3584                0.00716288          -0.154536           0.0236587           0.131178            -0.0343839          -0.249723           
0.0521653           3840                0.00501658          -0.127784           0.0196321           0.108331            -0.0292458          -0.206669           
0.055643            4096                0.00903616          -0.103006           0.0146137           0.0876798           -0.0175372          -0.165813           
0.0591207           4352                0.00806231          -0.090331           0.0121874           0.0769997           -0.0142342          -0.145386           
0.0625984           4608                0.00450758          -0.0835579          0.00948             0.0714192           -0.0126433          -0.134933           
0.066076            4864                0.00163912          -0.0820572          0.0116399           0.0697048           -0.018494           -0.132945           
0.0695537           5120                0.00150749          -0.0890636          0.0156088           0.0752156           -0.0251665          -0.144348           
