#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   3.63808e-05         1.55445e-05         4.92794e-05         -3.12769e-05        -5.85122e-05        3.57431e-05         
0.00347769          256                 0.0359217           0.0396605           -0.458045           0.206429            0.584596            0.06902             
0.00695537          512                 1.36972             0.0606763           -1.32656            0.545197            2.88167             0.60108             
0.0104331           768                 3.31515             1.84547             5.41481             -3.11806            -4.2296             3.74911             
0.0139107           1024                -4.69849            0.149469            -25.7856            10.0286             31.8422             -1.70066            
0.0173884           1280                1.04003             -0.0382352          31.4284             -12.5585            -45.4493            0.397993            
0.0208661           1536                -2.43472            -0.343083           9.82862             -3.91263            -16.0732            -1.35051            
0.0243438           1792                0.760264            -0.323921           -11.1592            4.51259             16.891              -0.103276           
0.0278215           2048                -0.20092            -0.216553           -7.07696            2.9885              11.0245             -0.376842           
0.0312992           2304                -1.0896             -0.43559            -2.36504            1.28429             2.92779             -1.02292            
0.0347769           2560                0.603483            -0.499607           10.8791             -3.90959            -15.086             -0.432463           
0.0382545           2816                -2.84407            -0.426325           -11.8324            4.9769              15.3691             -1.70856            
0.0417322           3072                -0.107307           -0.244772           -1.62887            0.854258            2.69037             -0.375917           
0.0452099           3328                -0.593959           -0.205674           -1.44494            0.740601            1.83527             -0.512238           
0.0486876           3584                -0.278641           -0.217341           0.563775            -0.049697           -0.894967           -0.40523            
0.0521653           3840                -0.350487           -0.197089           0.215313            0.0715993           -0.436785           -0.408017           
0.055643            4096                -0.234253           -0.154968           0.242938            0.0244906           -0.413355           -0.303931           
0.0591207           4352                -0.226549           -0.116076           -0.185747           0.169922            0.204212            -0.247747           
0.0625984           4608                -0.38567            -0.123157           -0.670017           0.355076            0.771201            -0.318608           
0.066076            4864                -0.321285           -0.124791           -0.00346262         0.09687             -0.147381           -0.296107           
0.0695537           5120                -0.182              -0.110999           0.666918            -0.174761           -1.02404            -0.221589           
0.0730314           5376                -0.339686           -0.104177           -0.302541           0.203347            0.278812            -0.273888           
0.0765091           5632                -0.326864           -0.121919           -0.245538           0.193386            0.223254            -0.293558           
0.0799868           5888                -0.339741           -0.147101           -0.209856           0.196589            0.162135            -0.333609           
0.0834645           6144                -0.343289           -0.157711           -0.0977186          0.161195            0.0119337           -0.349277           
0.0869422           6400                -0.414909           -0.16577            -0.430141           0.298841            0.450251            -0.388056           
0.0904198           6656                -0.443545           -0.185148           -0.439553           0.31717             0.456215            -0.42614            
0.0938975           6912                -0.438622           -0.199006           -0.365775           0.300005            0.364363            -0.443315           
0.0973752           7168                -0.435207           -0.205236           -0.390342           0.315711            0.409436            -0.450644           
0.100853            7424                -0.470225           -0.215212           -0.482756           0.358934            0.522119            -0.478219           
0.104331            7680                -0.480969           -0.222008           -0.45836            0.35371             0.476707            -0.49164            
0.107808            7936                -0.459037           -0.200526           -0.622961           0.405269            0.738164            -0.452854           
0.111286            8192                -0.503636           -0.204903           -0.747315           0.455176            0.882364            -0.476545           
0.114764            8448                -0.429033           -0.223475           -0.260877           0.275547            0.220749            -0.473686           
0.118241            8704                -0.476259           -0.218174           -0.36642            0.313031            0.335646            -0.485015           
0.121719            8960                -0.43822            -0.211121           -0.362154           0.305212            0.357071            -0.460359           
0.125197            9216                -0.49193            -0.177457           -0.711019           0.420265            0.825726            -0.433707           
0.128674            9472                -0.419012           -0.180415           -0.396056           0.300218            0.415627            -0.409798           
0.132152            9728                -0.44014            -0.196355           -0.393743           0.308423            0.39411             -0.440297           
0.13563             9984                -0.406611           -0.209023           -0.219514           0.250793            0.17312             -0.445476           
0.139107            10240               -0.47452            -0.190543           -0.710985           0.430846            0.837152            -0.445591           
0.142585            10496               -0.448701           -0.197879           -0.496299           0.352029            0.552887            -0.446025           
0.146063            10752               -0.408039           -0.215369           -0.233081           0.260675            0.1942              -0.454807           
0.149541            11008               -0.45569            -0.210055           -0.407951           0.324095            0.415929            -0.465063           
0.153018            11264               -0.471531           -0.191421           -0.651895           0.405202            0.760567            -0.444567           
0.156496            11520               -0.44949            -0.189348           -0.534728           0.357766            0.609885            -0.432941           
0.159974            11776               -0.428919           -0.196885           -0.410359           0.313037            0.430861            -0.435576           
0.163451            12032               -0.422834           -0.214078           -0.356847           0.304145            0.359028            -0.458118           
0.166929            12288               -0.47985            -0.181246           -0.675419           0.406534            0.776582            -0.434478           
0.170407            12544               -0.386522           -0.184193           -0.284044           0.259461            0.269048            -0.403012           
0.173884            12800               -0.396034           -0.177144           -0.396507           0.297512            0.421256            -0.397102           
0.177362            13056               -0.389836           -0.185748           -0.263626           0.24859             0.232686            -0.406583           
0.18084             13312               -0.411663           -0.200469           -0.249246           0.252751            0.191997            -0.436316           
0.184317            13568               -0.401085           -0.183903           -0.332629           0.270869            0.320858            -0.407562           
0.187795            13824               -0.36496            -0.172493           -0.310261           0.261981            0.3241              -0.379385           
0.191273            14080               -0.3919             -0.181073           -0.339727           0.275346            0.341667            -0.400998           
0.19475             14336               -0.323802           -0.179313           0.0136848           0.139613            -0.126328           -0.373378           
0.198228            14592               -0.428769           -0.165026           -0.684192           0.398829            0.810213            -0.392862           
0.201706            14848               -0.328773           -0.172102           -0.196247           0.212568            0.181151            -0.363984           
0.205183            15104               -0.35206            -0.192028           -0.316209           0.275372            0.322181            -0.402739           
0.208661            15360               -0.391446           -0.164705           -0.349719           0.266448            0.352773            -0.37775            
0.212139            15616               -0.32819            -0.15804            -0.126037           0.172531            0.0640789           -0.343021           
0.215617            15872               -0.396148           -0.17212            -0.558048           0.350971            0.652676            -0.38989            
0.219094            16128               -0.392951           -0.181036           -0.416437           0.302055            0.44935             -0.401696           
0.222572            16384               -0.33128            -0.181745           -0.160878           0.202236            0.121044            -0.377822           
0.22605             16640               -0.407577           -0.184791           -0.545177           0.354559            0.624615            -0.412384           
