#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   2.03402e-05         1.65367e-07         8.92982e-06         -3.80344e-06        3.84843e-06         8.5766e-06          
0.00347769          256                 0.193392            0.00837221          0.0397824           -0.0220687          0.0932711           0.0927111           
0.00695537          512                 1.39742             -0.0134498          0.246416            -0.0868891          0.724706            0.534355            
0.0104331           768                 2.72345             -0.0303417          2.92552             -1.1327             -1.65632            1.06975             
0.0139107           1024                -0.310209           -0.096416           -0.911648           0.450188            0.911814            -0.235798           
0.0173884           1280                -5.27241            0.0245507           -3.21207            1.22919             0.114462            -2.04867            
0.0208661           1536                -5.12366            0.0572595           -2.30802            0.861374            -0.90501            -1.94865            
0.0243438           1792                2.94394             0.0026763           0.377353            -0.153402           1.71016             1.14639             
0.0278215           2048                1.57568             0.00129995          0.789708            -0.311231           0.176742            0.613331            
0.0312992           2304                -0.331851           0.00438752          0.374669            -0.140549           -0.714164           -0.131502           
0.0347769           2560                -1.61563            0.0139856           -0.795195           0.306835            -0.199849           -0.623033           
0.0382545           2816                0.216873            -0.0155705          -0.203806           0.0977881           0.416933            0.0563401           
0.0417322           3072                0.460937            0.00181573          0.282795            -0.110273           -0.0133046          0.17876             
0.0452099           3328                -0.142802           0.00146019          0.0038299           0.00102122          -0.110295           -0.0575739          
0.0486876           3584                -0.288315           0.00185459          -0.138764           0.0558615           -0.0396447          -0.113886           
0.0521653           3840                -0.276221           -0.000513796        -0.128229           0.0529485           -0.0439892          -0.112191           
0.055643            4096                -0.233074           -0.00163052         -0.102958           0.0438735           -0.0436371          -0.0959751          
0.0591207           4352                -0.11245            -0.0002545          -0.0654316          0.0276615           -0.00132955         -0.0462373          
0.0625984           4608                -0.150575           -0.000461209        -0.096556           0.039904            0.00947335          -0.0618802          
0.066076            4864                -0.230399           0.000340987         -0.129445           0.0520137           -0.00845512         -0.0920474          
0.0695537           5120                -0.279303           0.00207651          -0.144015           0.0564002           -0.0263707          -0.108863           
0.0730314           5376                -0.19917            0.00230786          -0.125019           0.0487617           0.00921597          -0.0770466          
0.0765091           5632                -0.188049           0.00165301          -0.109941           0.0434227           -0.00141821         -0.0738617          
0.0799868           5888                -0.207295           0.000479895         -0.120273           0.0486462           -0.00270146         -0.0833597          
0.0834645           6144                -0.228954           0.000864374         -0.129205           0.0519679           -0.0075345          -0.0915765          
0.0869422           6400                -0.21619            0.00112962          -0.124227           0.0499833           -0.0042968          -0.0864064          
0.0904198           6656                -0.230629           0.000604582         -0.132359           0.0537278           -0.00479182         -0.0930636          
0.0938975           6912                -0.237232           0.000508008         -0.12907            0.0526761           -0.013795           -0.0960177          
0.0973752           7168                -0.230109           0.000339664         -0.118672           0.0488855           -0.0215272          -0.093555           
0.100853            7424                -0.235169           -0.000130971        -0.125005           0.0518387           -0.017341           -0.096278           
0.104331            7680                -0.254744           -0.000461209        -0.136446           0.0566869           -0.0175             -0.104567           
0.107808            7936                -0.196117           0.000962106         -0.108096           0.0443121           -0.00959956         -0.0792944          
0.111286            8192                -0.207459           0.000135601         -0.110443           0.0458648           -0.0150733          -0.0848961          
0.114764            8448                -0.241352           -0.001103           -0.126322           0.0530796           -0.0203033          -0.100019           
0.118241            8704                -0.263946           -0.000951357        -0.142953           0.0594255           -0.0161975          -0.10867            
