#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.65367e-06        2.16631e-05         -0.000121545        4.8782e-05          0.000153585         2.39227e-05         
0.00347769          256                 0.0688281           0.0718575           0.0210822           -0.0692388          0.00377976          0.143019            
0.00695537          512                 0.886867            0.0904294           -0.446935           0.153333            1.04939             0.505769            
0.0104331           768                 6.72517             2.73273             -1.77253            0.0359873           5.42111             6.26462             
0.0139107           1024                -1.99305            -0.834708           -5.4121             3.62491             6.12029             -2.17111            
0.0173884           1280                -5.71153            -0.956552           -6.07284            3.0654              5.33353             -3.67954            
0.0208661           1536                -4.56854            -1.18425            0.977615            0.133645            -3.46795            -3.52988            
0.0243438           1792                0.868358            0.1961              0.872147            -0.922669           -0.723655           0.76347             
0.0278215           2048                2.72117             0.290913            2.20361             -1.36297            -1.2367             1.62515             
0.0312992           2304                0.669828            -0.593568           5.63261             -2.27778            -7.02782            -0.440174           
0.0347769           2560                -0.790561           -0.738399           3.07569             -1.22023            -4.32381            -1.19293            
0.0382545           2816                0.099271            -0.60253            2.45184             -0.937294           -3.13931            -0.692882           
0.0417322           3072                1.0061              -0.127821           1.93987             -0.929294           -1.87186            0.309716            
0.0452099           3328                0.290509            -0.22593            1.87293             -0.808523           -2.17806            -0.120371           
0.0486876           3584                0.0123508           -0.280468           1.34092             -0.52719            -1.65457            -0.3193             
0.0521653           3840                -0.0430183          -0.258207           1.19489             -0.468179           -1.52833            -0.324809           
0.055643            4096                0.0298164           -0.192665           1.02772             -0.407988           -1.28003            -0.213924           
0.0591207           4352                0.0679226           -0.148843           0.821273            -0.338324           -0.985853           -0.140185           
0.0625984           4608                -0.0260758          -0.156767           0.716644            -0.284882           -0.894163           -0.192561           
0.066076            4864                -0.103815           -0.16905            0.679374            -0.257951           -0.896397           -0.244321           
0.0695537           5120                -0.129457           -0.14596            0.735495            -0.303027           -0.987309           -0.219598           
0.0730314           5376                -0.0803549          -0.139284           0.769846            -0.328378           -1.00834            -0.188347           
0.0765091           5632                -0.0393855          -0.154367           0.845646            -0.356354           -1.08268            -0.19095            
0.0799868           5888                -0.055315           -0.185883           0.940363            -0.38558            -1.21156            -0.237109           
0.0834645           6144                -0.0453777          -0.197329           1.02381             -0.422259           -1.31212            -0.245428           
0.0869422           6400                -0.0333924          -0.204861           1.1366              -0.475717           -1.45196            -0.246916           
0.0904198           6656                -0.0250326          -0.230498           1.22209             -0.505451           -1.55513            -0.275189           
0.0938975           6912                -0.00998421         -0.244713           1.32881             -0.55007            -1.68539            -0.285428           
0.0973752           7168                0.016666            -0.248268           1.42568             -0.594641           -1.7999             -0.276761           
0.100853            7424                0.01818             -0.264045           1.46093             -0.604237           -1.84486            -0.29645            
0.104331            7680                -0.00341252         -0.275438           1.49522             -0.615645           -1.89977            -0.319687           
0.107808            7936                0.0518879           -0.236385           1.47342             -0.627966           -1.84298            -0.243661           
0.111286            8192                0.0458191           -0.24874            1.45234             -0.608262           -1.8196             -0.264639           
0.114764            8448                -0.0025837          -0.274652           1.41561             -0.574743           -1.79799            -0.320537           
0.118241            8704                -0.0395535          -0.273451           1.38455             -0.561499           -1.77722            -0.335323           
0.121719            8960                -0.017603           -0.261386           1.34799             -0.549231           -1.72104            -0.311751           
0.125197            9216                0.00922137          -0.21468            1.30846             -0.55743            -1.65213            -0.23739            
0.128674            9472                0.00301729          -0.217795           1.29124             -0.548376           -1.63176            -0.243532           
0.132152            9728                -0.0215591          -0.245679           1.30994             -0.540559           -1.6695             -0.292018           
0.13563             9984                -0.0166546          -0.263985           1.32479             -0.537164           -1.68536            -0.314507           
0.139107            10240               0.0112947           -0.226293           1.35046             -0.57321            -1.70265            -0.250573           
0.142585            10496               0.0231258           -0.240767           1.36011             -0.570136           -1.70825            -0.264871           
0.146063            10752               -0.0018961          -0.263276           1.39375             -0.572639           -1.7668             -0.304755           
0.149541            11008               -0.0112213          -0.260247           1.39716             -0.575972           -1.77576            -0.305125           
0.153018            11264               0.0192459           -0.225324           1.38378             -0.591398           -1.74424            -0.245358           
0.156496            11520               0.0322924           -0.224679           1.37844             -0.586333           -1.73058            -0.239836           
0.159974            11776               -0.000132624        -0.233377           1.36221             -0.574715           -1.72651            -0.264346           
0.163451            12032               -0.00948728         -0.257369           1.36416             -0.55967            -1.73789            -0.303026           
0.166929            12288               -0.00863679         -0.221644           1.305               -0.550481           -1.66467            -0.256257           
0.170407            12544               -0.013016           -0.230346           1.24891             -0.519347           -1.59141            -0.270767           
0.173884            12800               -0.00969895         -0.224731           1.24755             -0.519795           -1.59111            -0.262329           
0.177362            13056               -0.029843           -0.225557           1.23099             -0.510415           -1.5844             -0.273216           
0.18084             13312               -0.0612437          -0.260261           1.2063              -0.479016           -1.56919            -0.334001           
0.184317            13568               -0.0534377          -0.229327           1.20058             -0.497307           -1.55796            -0.287665           
0.187795            13824               -0.000751428        -0.215234           1.20112             -0.503234           -1.53235            -0.248062           
0.191273            14080               -0.0183427          -0.230503           1.21205             -0.498773           -1.55725            -0.275333           
0.19475             14336               -0.0497388          -0.224305           1.17938             -0.489704           -1.53055            -0.27905            
0.198228            14592               -0.0111914          -0.198926           1.19193             -0.507256           -1.52991            -0.23052            
0.201706            14848               0.00341863          -0.206837           1.16139             -0.487047           -1.4813             -0.236168           
0.205183            15104               -0.0285711          -0.241194           1.18899             -0.476916           -1.53676            -0.29721            
0.208661            15360               -0.0324338          -0.206829           1.15126             -0.481194           -1.48879            -0.252474           
0.212139            15616               -0.0527142          -0.192993           1.13013             -0.484245           -1.47212            -0.239435           
0.215617            15872               -0.0101987          -0.210916           1.11526             -0.463591           -1.42848            -0.248363           
0.219094            16128               -0.0266932          -0.226901           1.13164             -0.461018           -1.45785            -0.277763           
