#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.17411e-05        -0.000108481        2.99314e-05         6.15086e-05         -4.88785e-05        -0.000185158        
0.00347769          256                 0.180252            0.372361            -0.068782           -0.238655           0.236205            0.692287            
0.00695537          512                 1.83458             0.560113            -0.456906           -0.177808           2.10833             1.60938             
0.0104331           768                 5.69581             -1.25276            0.517681            0.761089            4.1989              0.164579            
0.0139107           1024                -0.136802           -7.02371            0.824106            4.70424             -1.43858            -11.5359            
0.0173884           1280                -12.287             -6.68265            5.02924             1.82801             -17.2367            -15.812             
0.0208661           1536                -9.35125            -2.99883            0.940275            1.52243             -8.66841            -8.90724            
0.0243438           1792                5.32172             4.74546             -2.58962            -2.11713            7.77055             9.78809             
0.0278215           2048                4.42815             4.01563             -1.97627            -1.75324            6.3677              8.4452              
0.0312992           2304                1.15709             3.68192             -1.27581            -1.92238            2.63911             6.55006             
0.0347769           2560                -2.18481            0.927296            0.660173            -1.05234            -2.91211            0.861057            
0.0382545           2816                1.37333             3.26888             -1.97835            -1.23188            3.98229             5.90735             
0.0417322           3072                1.57542             2.37717             -0.977393           -1.14886            2.64089             4.59355             
0.0452099           3328                0.562592            1.78072             -0.585735           -0.954049           1.22568             3.1811              
0.0486876           3584                -0.0210858          1.10224             -0.265037           -0.647011           0.300909            1.85195             
0.0521653           3840                -0.15122            0.863423            -0.257876           -0.475103           0.218344            1.39484             
0.055643            4096                0.00191462          0.765546            -0.199715           -0.436351           0.251722            1.30163             
0.0591207           4352                0.136183            0.760198            -0.239027           -0.412119           0.422422            1.32845             
0.0625984           4608                0.0314437           0.710283            -0.264535           -0.364214           0.385048            1.19606             
0.066076            4864                -0.159594           0.59547             -0.189383           -0.324499           0.126871            0.932341            
0.0695537           5120                -0.209697           0.615352            -0.123943           -0.379168           -0.0205893          0.942582            
0.0730314           5376                -0.026636           0.810805            -0.261855           -0.443804           0.330703            1.32274             
0.0765091           5632                0.000665272         0.845047            -0.278711           -0.457037           0.378259            1.39811             
0.0799868           5888                -0.00463226         0.875054            -0.283128           -0.475561           0.374258            1.45526             
0.0834645           6144                -0.00985522         0.939449            -0.294706           -0.514945           0.383908            1.56282             
0.0869422           6400                0.0511659           1.08                -0.361696           -0.579747           0.528155            1.81292             
0.0904198           6656                0.0569999           1.13936             -0.384222           -0.60924            0.563299            1.91931             
0.0938975           6912                0.0682488           1.20086             -0.397939           -0.645242           0.588934            2.02924             
0.0973752           7168                0.106099            1.26889             -0.418144           -0.682318           0.646044            2.15776             
0.100853            7424                0.109608            1.2808              -0.430703           -0.68292            0.666655            2.18307             
0.104331            7680                0.0888503           1.29608             -0.434071           -0.692666           0.652671            2.19991             
0.107808            7936                0.190632            1.38257             -0.472507           -0.734617           0.792175            2.37064             
0.111286            8192                0.165745            1.31524             -0.459262           -0.692177           0.75573             2.25625             
0.114764            8448                0.0522585           1.16775             -0.38339            -0.626708           0.55303             1.98316             
0.118241            8704                0.0116749           1.1546              -0.387603           -0.615544           0.529095            1.9408              
0.121719            8960                0.0521694           1.14735             -0.390717           -0.608446           0.566543            1.94105             
0.125197            9216                0.129797            1.2668              -0.440372           -0.669763           0.703481            2.15178             
0.128674            9472                0.0977483           1.21734             -0.398973           -0.658002           0.614321            2.06157             
0.132152            9728                0.0579857           1.16446             -0.386001           -0.625735           0.56271             1.96597             
0.13563             9984                0.0444462           1.14277             -0.376321           -0.613723           0.537647            1.93263             
0.139107            10240               0.152763            1.3039              -0.454707           -0.688897           0.739563            2.22252             
0.142585            10496               0.116035            1.25966             -0.426312           -0.671204           0.669569            2.14592             
0.146063            10752               0.0616231           1.19358             -0.388697           -0.643537           0.568006            2.02563             
0.149541            11008               0.0699384           1.22762             -0.411155           -0.656379           0.608166            2.07796             
0.153018            11264               0.151609            1.30916             -0.450852           -0.69477            0.731654            2.23111             
0.156496            11520               0.137827            1.28334             -0.431031           -0.686708           0.693241            2.18813             
0.159974            11776               0.0889113           1.24067             -0.398285           -0.674295           0.603409            2.10458             
0.163451            12032               0.0617759           1.13415             -0.38329            -0.603194           0.562751            1.92552             
0.166929            12288               0.0994933           1.2174              -0.428633           -0.640631           0.664192            2.05607             
0.170407            12544               0.0720035           1.103               -0.361502           -0.595177           0.539163            1.86894             
0.173884            12800               0.0836926           1.11626             -0.369981           -0.600568           0.561781            1.88941             
0.177362            13056               0.0222597           1.03827             -0.347592           -0.554844           0.484618            1.74411             
0.18084             13312               -0.026151           0.977873            -0.330403           -0.520188           0.421626            1.63491             
0.184317            13568               0.0227668           1.04988             -0.351711           -0.563055           0.489239            1.75959             
0.187795            13824               0.0769261           1.06325             -0.358264           -0.568235           0.544106            1.80103             
0.191273            14080               0.0364062           1.03895             -0.348466           -0.5557             0.49882             1.75185             
0.19475             14336               -0.0173515          1.01714             -0.312255           -0.560889           0.400233            1.69529             
