#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -3.09237e-05        1.32294e-06         3.9192e-05          1.29912e-05         -0.000103907        1.51503e-05         
0.00347769          256                 0.0447611           -0.00855229         -0.130638           -0.0329833          0.241844            -0.0269892          
0.00695537          512                 -0.0786195          -0.0144915          0.878519            0.360413            -1.23697            0.0303471           
0.0104331           768                 0.356481            -0.181222           -0.103647           0.330062            0.707412            -0.267168           
0.0139107           1024                -1.02255            -0.11851            0.25357             0.400677            -2.19764            0.384247            
0.0173884           1280                -1.07134            0.17294             1.13262             0.0790177           -3.2912             0.601124            
0.0208661           1536                -0.895492           0.101309            1.10069             0.25175             -2.93633            0.456746            
0.0243438           1792                1.11023             -0.105577           -1.49792            -0.367357           3.83673             -0.574293           
0.0278215           2048                1.37027             -0.138545           -1.65758            -0.369772           4.48004             -0.704046           
0.0312992           2304                1.31794             -0.107589           -2.06832            -0.596054           4.90858             -0.667662           
0.0347769           2560                0.0560153           0.142461            0.33534             -0.197016           -0.271628           0.0671562           
0.0382545           2816                0.750399            -0.0549331          -1.05589            -0.300155           2.64453             -0.37132            
0.0417322           3072                0.718497            -0.0416444          -0.932408           -0.292942           2.4382              -0.352721           
0.0452099           3328                0.475912            -0.0211968          -0.60518            -0.199083           1.60193             -0.229606           
0.0486876           3584                0.367717            -0.00913885         -0.493157           -0.180622           1.27143             -0.17241            
0.0521653           3840                0.214752            0.00848449          -0.238676           -0.117458           0.685595            -0.0916752          
0.055643            4096                0.257388            -0.0135408          -0.333927           -0.10452            0.874431            -0.12557            
0.0591207           4352                0.219158            -0.00611395         -0.274934           -0.0983647          0.73433             -0.103262           
0.0625984           4608                0.185549            -0.0047725          -0.237627           -0.0859867          0.627851            -0.0872435          
0.066076            4864                0.186683            -0.00519765         -0.254717           -0.0919445          0.651191            -0.0882882          
0.0695537           5120                0.185622            -0.00392036         -0.241909           -0.0902113          0.634093            -0.0873965          
0.0730314           5376                0.20766             -0.00574833         -0.27808            -0.100507           0.718022            -0.0982273          
0.0765091           5632                0.233357            -0.00720571         -0.316166           -0.113063           0.810978            -0.110601           
0.0799868           5888                0.250756            -0.00851773         -0.341786           -0.120718           0.874009            -0.119784           
