#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   4.13418e-06         3.47271e-06         -3.30734e-07        -3.42376e-06        3.71084e-06         2.28207e-06         
0.00347769          256                 -12.3636            -28.6056            4.5071              22.0792             -8.95837            3.66267             
0.00695537          512                 -28.5066            -62.3523            7.57035             49.7314             -21.8916            6.70068             
0.0104331           768                 -17.4528            -37.7196            3.72927             30.471              -13.6935            3.96067             
0.0139107           1024                7.84603             19.1549             -2.14031            -15.5386            6.06501             -2.4832             
0.0173884           1280                -4.16533            -10.1052            0.723151            8.38851             -3.33199            1.32611             
0.0208661           1536                12.4338             29.3717             -3.12532            -23.745             9.62981             -3.76509            
0.0243438           1792                -3.0597             -5.58499            0.895125            4.32855             -2.31222            0.280817            
0.0278215           2048                -15.4058            -33.0197            3.5565              26.5997             -12.0182            3.34469             
0.0312992           2304                -3.99245            -7.55894            0.981823            5.95377             -3.07254            0.502556            
0.0347769           2560                -2.81249            -5.0358             0.67213             3.92467             -2.15708            0.268848            
0.0382545           2816                -5.32321            -10.757             1.26132             8.5741              -4.12279            0.916041            
0.0417322           3072                -4.0637             -8.002              0.985465            6.3362              -3.13033            0.621035            
0.0452099           3328                -5.56354            -11.4349            1.33493             9.12822             -4.30437            1.02083             
0.0486876           3584                -4.97598            -10.0237            1.21373             7.96866             -3.8382             0.835467            
0.0521653           3840                -5.19828            -10.6519            1.26594             8.48312             -4.01152            0.943205            
0.055643            4096                -4.9071             -10.0241            1.18772             7.99051             -3.78983            0.878807            
0.0591207           4352                -4.69732            -9.56821            1.15301             7.61234             -3.62045            0.833706            
0.0625984           4608                -5.45307            -11.2355            1.34526             8.94463             -4.2046             1.007               
0.066076            4864                -4.81427            -9.85766            1.20174             7.82696             -3.70336            0.869481            
0.0695537           5120                -4.60035            -9.46243            1.14715             7.51639             -3.538              0.852118            
0.0730314           5376                -4.73468            -9.78975            1.18849             7.77691             -3.6395             0.893507            
0.0765091           5632                -4.84205            -10.063             1.2101              8.00277             -3.72445            0.9321              
0.0799868           5888                -4.65757            -9.6622             1.16006             7.68345             -3.58285            0.890657            
0.0834645           6144                -4.59855            -9.56477            1.14194             7.61041             -3.53827            0.890205            
0.0869422           6400                -4.79398            -10.0248            1.18414             7.98636             -3.69208            0.946793            
