#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   4.96101e-06         0.000403            -2.96007e-05        -0.000466212        4.73678e-05         0.000518905         
0.00347769          256                 0.00126804          0.0397053           -0.0467341          -0.0299854          0.0837405           0.115412            
0.00695537          512                 5.01261             1.28893             -1.52362            -2.95588            6.60941             7.69248             
0.0104331           768                 2.78912             17.2954             0.627524            -19.286             1.84906             26.0424             
0.0139107           1024                -2.71446            23.896              -2.96559            -25.8775            1.37267             27.9897             
0.0173884           1280                -0.844084           -4.87457            -0.127871           4.85942             -0.249342           -7.59023            
0.0208661           1536                -2.79795            -2.41389            0.970044            2.2003              -3.87037            -7.29696            
0.0243438           1792                0.526973            -5.50197            0.266119            7.02828             -0.321402           -7.47553            
0.0278215           2048                1.39103             -4.03449            0.0622622           5.91345             1.09884             -3.95006            
0.0312992           2304                -0.089728           -8.08646            0.301318            9.95274             -0.638001           -10.4884            
0.0347769           2560                0.26521             -14.3192            1.44555             15.1372             -1.6217             -17.336             
0.0382545           2816                -0.313226           -8.64127            0.68187             9.41884             -1.30354            -11.0487            
0.0417322           3072                0.463848            -6.63134            0.348435            7.81693             -0.116455           -8.03239            
0.0452099           3328                0.236434            -5.25451            0.391435            6.18865             -0.331741           -6.36276            
0.0486876           3584                -0.014403           -4.8899             0.339741            5.59503             -0.528356           -6.21822            
0.0521653           3840                0.0168846           -4.71531            0.412709            5.20071             -0.550286           -5.87396            
0.055643            4096                -0.0453027          -3.48623            0.324832            3.91835             -0.517128           -4.48872            
0.0591207           4352                -0.0200322          -2.82752            0.225002            3.26564             -0.367059           -3.65397            
0.0625984           4608                0.0250829           -2.73642            0.206512            3.13207             -0.285911           -3.49806            
0.066076            4864                -0.0507287          -2.7459             0.216813            3.0938              -0.371685           -3.58483            
0.0695537           5120                -0.115316           -2.54874            0.21361             2.93894             -0.444284           -3.40171            
0.0730314           5376                -0.127831           -2.30762            0.169397            2.76263             -0.41788            -3.18612            
0.0765091           5632                -0.0897553          -2.60077            0.184123            3.04857             -0.393824           -3.5045             
0.0799868           5888                -0.0800894          -3.03083            0.214719            3.4878              -0.426866           -4.04302            
0.0834645           6144                -0.0894605          -3.34414            0.243749            3.82084             -0.476284           -4.43603            
0.0869422           6400                -0.109603           -3.49511            0.243634            4.0326              -0.507364           -4.68807            
0.0904198           6656                -0.115257           -3.83633            0.27506             4.3937              -0.553077           -5.08599            
