#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -7.63996e-05        0.000190834         -4.99409e-05        -0.000160814        -7.12772e-05        2.33287e-05         
0.00347769          256                 2.36432             233.9               -111.49             -150.17             17.7685             41.827              
0.00695537          512                 20.3659             -624.949            221.02              435.987             26.4809             -48.41              
0.0104331           768                 -28.9058            -342.285            41.4734             281.128             -5.18763            -117.932            
0.0139107           1024                -15.328             -46.6151            -33.8029            58.6478             -9.63161            -77.9895            
0.0173884           1280                -19.626             -60.9143            4.52448             63.0584             -11.76              -22.6804            
0.0208661           1536                -5.51726            200.513             -70.313             -145.359            -1.30552            13.0949             
0.0243438           1792                -7.72639            -102.454            29.3626             75.2333             -8.76053            -34.4184            
0.0278215           2048                -16.0622            -81.8751            20.666              62.5568             -9.34081            -15.3058            
0.0312992           2304                6.31117             -54.324             11.2301             42.6107             4.27084             -11.839             
0.0347769           2560                4.74222             -8.60579            -13.3116            12.52               8.28916             -9.9817             
0.0382545           2816                8.50838             -33.3573            5.64111             26.3087             8.23719             -1.01039            
0.0417322           3072                2.79039             -33.7662            0.638801            28.9248             4.26803             -11.5617            
0.0452099           3328                1.60472             -39.6772            3.23592             32.6103             4.03317             -9.12193            
0.0486876           3584                4.0349              -30.9397            1.7499              25.5806             5.38933             -5.75038            
0.0521653           3840                3.341               -26.149             -0.0557754          22.368              5.57795             -3.75725            
0.055643            4096                2.4249              -25.2947            -0.662724           21.8787             4.56798             -4.72767            
0.0591207           4352                2.63445             -23.1302            -0.186542           19.9507             4.22236             -3.55045            
0.0625984           4608                2.32258             -26.9631            1.60886             22.6523             4.05054             -2.55456            
0.066076            4864                2.62874             -20.6422            -1.04641            18.4641             4.4061              -2.13545            
0.0695537           5120                2.53398             -15.5711            -2.56017            14.802              4.21764             -1.32276            
0.0730314           5376                2.30495             -15.9106            -1.79022            14.9543             3.79531             -0.998053           
0.0765091           5632                1.8344              -12.1802            -2.63458            12.3959             3.75579             0.232083            
0.0799868           5888                1.81629             -7.8471             -4.15526            9.41231             4.06468             1.08299             
0.0834645           6144                1.70251             -3.77614            -4.5613             6.09051             3.87899             2.4189              
0.0869422           6400                1.56616             -3.59213            -4.28536            5.83787             3.79697             3.07004             
0.0904198           6656                2.3433              -3.67168            -4.51093            6.01266             4.47324             3.84886             
0.0938975           6912                3.36343             -7.38136            -4.81016            9.03555             5.55762             3.05353             
0.0973752           7168                4.33191             -8.12926            -3.9436             8.72504             5.51233             3.15086             
0.100853            7424                3.79763             -7.16196            -3.81283            7.6417              5.12616             3.15375             
0.104331            7680                1.2636              -4.6887             -3.54287            5.67924             3.58184             1.65561             
0.107808            7936                -0.235331           -3.13101            -2.73038            4.22711             2.61543             1.50945             
0.111286            8192                -0.110463           -2.39576            -3.64022            4.14889             3.14936             1.77147             
0.114764            8448                1.88216             -1.78355            -4.08678            3.69801             4.7558              4.81791             
0.118241            8704                2.0314              -0.458238           -4.66749            3.01176             4.92918             6.25574             
0.121719            8960                2.38127             3.37203             -5.40431            0.146711            4.73711             8.14742             
0.125197            9216                -0.0366626          8.155               -5.81488            -2.94247            3.03544             8.53413             
0.128674            9472                -2.25044            9.72477             -7.62586            -2.69324            2.05275             7.32171             
0.132152            9728                -4.10662            9.26236             -8.10809            -1.73982            1.39731             6.8508              
0.13563             9984                -4.94798            10.7574             -8.26924            -3.08295            0.918858            6.77733             
0.139107            10240               -2.84507            1.55305             -6.33833            3.48186             2.04159             5.35452             
0.142585            10496               -1.57153            -4.37178            -5.30503            7.80159             2.87992             4.08081             
0.146063            10752               -1.06018            -5.17894            -5.27737            8.24799             3.33897             3.66899             
0.149541            11008               -1.5801             -5.95003            -4.13925            8.4966              2.58947             3.4828              
0.153018            11264               -1.29331            -3.48086            -4.90839            7.33187             2.73282             4.23935             
0.156496            11520               -3.78203            -1.95286            -5.01625            6.71983             1.22083             2.8213              
