#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000233002        -3.12544e-05        -0.00259792         0.0011277           0.00192525          -0.000113597        
0.00347769          256                 0.27358             0.0394903           1.23312             -0.409943           -0.589631           0.128851            
0.00695537          512                 -18.346             -2.5081             -117.963            50.8973             73.2483             -8.92868            
0.0104331           768                 -18.309             -2.3531             -209.593            91.4908             155.674             -8.82809            
0.0139107           1024                -1.98322            -0.182258           -29.186             11.9747             22.8619             -0.915131           
0.0173884           1280                7.47452             1.02731             53.1759             -23.3242            -34.672             3.63112             
0.0208661           1536                12.8373             1.6663              115.141             -49.7986            -80.7381            6.21071             
0.0243438           1792                -1.89316            -0.228925           -3.59589            1.46421             -0.188178           -0.903356           
0.0278215           2048                1.09429             0.133453            16.45               -7.00339            -12.7895            0.520075            
0.0312992           2304                6.29069             0.820986            73.9538             -32.0247            -55.3009            3.05669             
0.0347769           2560                6.15493             0.792841            72.3964             -31.3703            -54.1736            2.98473             
0.0382545           2816                4.61308             0.614127            53.0499             -23.0845            -39.5319            2.24465             
0.0417322           3072                2.19911             0.292489            27.08               -11.7181            -20.4871            1.07073             
0.0452099           3328                3.06775             0.395893            35.6571             -15.4456            -26.612             1.48661             
0.0486876           3584                2.76163             0.364355            31.3994             -13.6193            -23.3361            1.34252             
0.0521653           3840                2.311               0.305433            25.9772             -11.2781            -19.2703            1.12425             
0.055643            4096                1.97891             0.261675            21.7772             -9.45677            -16.0822            0.962675            
0.0591207           4352                1.57719             0.209767            17.6232             -7.6477             -13.0657            0.768256            
0.0625984           4608                1.68637             0.222439            18.592              -8.07501            -13.7362            0.819777            
0.066076            4864                1.74212             0.231413            18.7254             -8.12852            -13.7611            0.847334            
0.0695537           5120                1.80478             0.239742            19.4195             -8.42148            -14.2726            0.877703            
0.0730314           5376                1.82809             0.243217            19.83               -8.59796            -14.5975            0.889092            
0.0765091           5632                1.88661             0.2512              20.5722             -8.9257             -15.1602            0.917853            
0.0799868           5888                2.04101             0.271091            22.5081             -9.76935            -16.625             0.992698            
0.0834645           6144                2.18761             0.290445            24.1988             -10.5018            -17.8848            1.06395             
0.0869422           6400                2.3588              0.312699            26.1665             -11.3529            -19.3505            1.14687             
0.0904198           6656                2.51082             0.331102            27.9689             -12.1364            -20.7011            1.2195              
0.0938975           6912                2.62524             0.344152            29.4029             -12.7582            -21.7897            1.27374             
0.0973752           7168                2.70646             0.353888            30.3735             -13.1769            -22.5211            1.31259             
0.100853            7424                2.79447             0.364936            31.2584             -13.5628            -23.1624            1.35479             
0.104331            7680                2.88085             0.375551            32.2854             -14.0097            -23.9302            1.39626             
0.107808            7936                2.76362             0.361173            31.0201             -13.452             -23.0038            1.3402              
0.111286            8192                2.73982             0.357659            30.681              -13.3088            -22.738             1.32824             
0.114764            8448                2.70325             0.351527            30.3819             -13.1844            -22.5334            1.30961             
0.118241            8704                2.7259              0.353981            30.5276             -13.2472            -22.623             1.32029             
0.121719            8960                2.64981             0.344239            29.578              -12.8344            -21.9064            1.28331             
0.125197            9216                2.60206             0.339008            28.9349             -12.5462            -21.4106            1.26064             
0.128674            9472                2.57798             0.335618            28.6937             -12.4421            -21.2369            1.24887             
0.132152            9728                2.63645             0.342197            29.3773             -12.7467            -21.7452            1.27665             
0.13563             9984                2.64941             0.343884            29.5941             -12.8425            -21.9182            1.28291             
0.139107            10240               2.64495             0.343373            29.6354             -12.8513            -21.9637            1.2809              
0.142585            10496               2.64779             0.343096            29.6866             -12.88              -22.0037            1.28172             
0.146063            10752               2.69808             0.34994             30.3028             -13.1489            -22.4679            1.30618             
0.149541            11008               2.73853             0.355497            30.6528             -13.2997            -22.7106            1.32594             
0.153018            11264               2.69735             0.351363            30.1406             -13.0714            -22.3239            1.30663             
0.156496            11520               2.65197             0.345721            29.6425             -12.8575            -21.9566            1.28487             
0.159974            11776               2.65993             0.34691             29.7756             -12.9211            -22.0621            1.28881             
0.163451            12032               2.65367             0.346903            29.6107             -12.8543            -21.9252            1.28598             
0.166929            12288               2.56491             0.337655            28.5393             -12.3762            -21.1213            1.24423             
0.170407            12544               2.49531             0.328716            27.7365             -12.0375            -20.5206            1.21048             
0.173884            12800               2.46018             0.324767            27.3332             -11.8585            -20.2224            1.19394             
0.177362            13056               2.45378             0.325616            27.1351             -11.7743            -20.0552            1.19185             
0.18084             13312               2.44875             0.324726            27.135              -11.7789            -20.0654            1.18924             
0.184317            13568               2.41865             0.32108             26.8779             -11.665             -19.888             1.1752              
0.187795            13824               2.34016             0.310926            25.9274             -11.2476            -19.1743            1.13726             
0.191273            14080               2.34402             0.310873            26.0547             -11.3057            -19.2835            1.13891             
0.19475             14336               2.35376             0.311255            26.1816             -11.371             -19.378             1.14332             
0.198228            14592               2.29368             0.304406            25.5014             -11.0601            -18.8737            1.11486             
0.201706            14848               2.21955             0.293642            24.6961             -10.7202            -18.2824            1.07823             
0.205183            15104               2.25691             0.297025            25.1695             -10.9345            -18.6419            1.09558             
0.208661            15360               2.26411             0.299827            25.0371             -10.8569            -18.5115            1.10042             
0.212139            15616               2.26985             0.299472            25.2029             -10.9335            -18.6482            1.1024              
0.215617            15872               2.19915             0.290683            24.3928             -10.5872            -18.0468            1.0683              
0.219094            16128               2.18701             0.287666            24.4812             -10.628             -18.1478            1.06144             
0.222572            16384               2.22672             0.292714            24.8148             -10.7709            -18.3755            1.08062             
0.22605             16640               2.23631             0.294576            24.8771             -10.7984            -18.4171            1.0856              
0.229527            16896               2.2826              0.301585            25.4906             -11.0554            -18.8831            1.10875             
0.233005            17152               2.29502             0.303709            25.5359             -11.0767            -18.9019            1.11478             
0.236483            17408               2.29566             0.302388            25.6206             -11.1177            -18.9762            1.11414             
0.23996             17664               2.19698             0.290429            24.6417             -10.6879            -18.2729            1.06691             
0.243438            17920               2.29257             0.302316            25.6684             -11.1393            -19.021             1.11291             
0.246916            18176               2.24928             0.29645             25.1871             -10.9331            -18.6653            1.09154             
0.250393            18432               2.25505             0.296861            25.2006             -10.938             -18.6672            1.09386             
0.253871            18688               2.26704             0.297711            25.3879             -11.0238            -18.8133            1.09916             
0.257349            18944               2.25752             0.296622            25.4174             -11.0269            -18.8568            1.09469             
0.260826            19200               2.25739             0.297327            25.2055             -10.9275            -18.6669            1.09518             
0.264304            19456               2.2883              0.299206            25.763              -11.1832            -19.1145            1.10863             
0.267782            19712               2.41491             0.315278            27.0157             -11.725             -20.0139            1.16968             
0.27126             19968               2.35644             0.309349            26.4034             -11.4456            -19.5701            1.14228             
0.274737            20224               2.37866             0.312009            26.6661             -11.5668            -19.7619            1.15291             
0.278215            20480               2.33371             0.305539            26.3613             -11.4435            -19.5721            1.13106             
0.281693            20736               2.40912             0.315159            27.1365             -11.7755            -20.1353            1.1676              
0.28517             20992               2.32264             0.304711            25.9585             -11.25              -19.2277            1.12604             
0.288648            21248               2.37389             0.311116            26.4822             -11.4933            -19.6066            1.15066             
0.292126            21504               2.35758             0.308858            26.4193             -11.4674            -19.5795            1.14275             
0.295603            21760               2.29653             0.300827            25.8227             -11.2095            -19.1509            1.11297             
