#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   4.29955e-06         -1.47177e-05        2.14977e-06         2.04843e-05         1.59282e-06         -2.35311e-05        
0.00347769          256                 0.00208793          -0.0236458          0.00217524          0.0280157           0.00541827          -0.04022            
0.00695537          512                 -0.0362189          0.0598925           0.00898274          -0.0811327          -0.0536631          0.0804367           
0.0104331           768                 2.03427             -2.14298            -0.284873           2.64742             2.50262             -2.32927            
0.0139107           1024                0.473477            -1.40513            0.0837689           1.79751             0.4149              -2.1492             
0.0173884           1280                -1.02488            0.443108            0.331886            -0.482478           -1.57084            0.0295585           
0.0208661           1536                -1.01294            1.0487              0.208147            -1.27862            -1.37151            1.1196              
0.0243438           1792                -0.207284           0.595645            -0.0464873          -0.821988           -0.15276            0.925673            
0.0278215           2048                0.569959            -0.233616           -0.19317            0.202274            0.87259             0.0196471           
0.0312992           2304                -0.0451113          0.308776            -0.0651044          -0.458281           0.0393728           0.532996            
0.0347769           2560                -0.390859           0.59718             0.0129069           -0.799967           -0.447868           0.790521            
0.0382545           2816                -0.0297405          0.245893            -0.0565245          -0.351265           0.0474467           0.426272            
0.0417322           3072                0.0680805           0.149611            -0.0630391          -0.233232           0.158571            0.324938            
0.0452099           3328                0.00391044          0.135326            -0.0357606          -0.203959           0.0524755           0.250901            
0.0486876           3584                -0.053481           0.165144            -0.019977           -0.233738           -0.0305378          0.26089             
0.0521653           3840                -0.0721632          0.154893            -0.0100393          -0.213788           -0.0656552          0.227705            
0.055643            4096                -0.0205872          0.0992443           -0.0159207          -0.143825           -0.000929461        0.165739            
0.0591207           4352                -0.0157282          0.0852638           -0.0146046          -0.123679           0.00233541          0.14388             
0.0625984           4608                -0.0287519          0.0832738           -0.0106582          -0.117991           -0.0171789          0.130497            
0.066076            4864                -0.0431134          0.0946846           -0.00659864         -0.131784           -0.038352           0.140147            
0.0695537           5120                -0.0516506          0.109187            -0.00551863         -0.151186           -0.0493647          0.159856            
0.0730314           5376                -0.0396168          0.104558            -0.00998817         -0.146086           -0.0298456          0.160569            
0.0765091           5632                -0.0388413          0.110037            -0.0116966          -0.154216           -0.0267132          0.171137            
0.0799868           5888                -0.0468039          0.125159            -0.0122444          -0.174876           -0.034479           0.192621            
0.0834645           6144                -0.0464503          0.134332            -0.0141528          -0.188411           -0.031569           0.209541            
0.0869422           6400                -0.0497894          0.146385            -0.0160555          -0.205066           -0.0324011          0.228917            
0.0904198           6656                -0.0512066          0.156466            -0.0180313          -0.21948            -0.0311377          0.246196            
0.0938975           6912                -0.0550797          0.168837            -0.0192641          -0.236763           -0.0337181          0.265729            
0.0973752           7168                -0.0559255          0.176646            -0.0205892          -0.247933           -0.0328481          0.279258            
0.100853            7424                -0.054714           0.178426            -0.0217261          -0.250806           -0.0298398          0.283452            
0.104331            7680                -0.0600775          0.184997            -0.021502           -0.259388           -0.0360049          0.291374            
0.107808            7936                -0.0526473          0.18075             -0.0226823          -0.25441            -0.026584           0.289168            
0.111286            8192                -0.0476497          0.170778            -0.0225911          -0.241116           -0.021155           0.274911            
0.114764            8448                -0.0630012          0.180642            -0.0188826          -0.25286            -0.0431703          0.281241            
0.118241            8704                -0.0664123          0.1811              -0.0181363          -0.252462           -0.0478482          0.279469            
0.121719            8960                -0.0605305          0.175591            -0.0184338          -0.245718           -0.0411547          0.273854            
0.125197            9216                -0.0465482          0.161782            -0.020822           -0.227738           -0.0223013          0.259275            
0.128674            9472                -0.0497633          0.164643            -0.0196972          -0.231551           -0.0272509          0.261997            
0.132152            9728                -0.0546227          0.1675              -0.0187831          -0.235125           -0.0340528          0.26361             
0.13563             9984                -0.0591368          0.174475            -0.0187038          -0.2444             -0.0392663          0.272879            
