#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000247058         0.000321804         0.000341648         -0.000460804        0.000139013         0.000203634         
0.00347769          256                 -51.7499            154.746             252.751             -298.641            -13.3928            -64.6962            
0.00695537          512                 -218.882            -114.245            -215.573            230.316             -102.981            -198.71             
0.0104331           768                 -105.854            -100.775            -303.313            288.114             -39.3118            -96.8967            
0.0139107           1024                -86.4852            -58.0453            -82.5941            86.3448             -26.3782            -77.0735            
0.0173884           1280                175.706             -74.8991            -204.59             210.545             58.9519             151.142             
0.0208661           1536                -135.579            11.5639             129.416             -112.724            -57.5769            -117.184            
0.0243438           1792                -54.9572            22.9753             18.7935             -25.6709            -29.1314            -46.6322            
0.0278215           2048                121.463             -41.4237            -74.9497            80.4794             47.45               103.104             
0.0312992           2304                6.47691             19.5589             6.69706             -14.6221            -0.7285             5.91097             
0.0347769           2560                -5.94473            -33.2551            -20.4855            28.0468             0.107517            -6.15765            
0.0382545           2816                30.2047             2.49592             0.56894             -1.82933            9.92756             25.6474             
0.0417322           3072                17.4068             -2.51422            -1.50463            2.07291             4.87885             15.1536             
0.0452099           3328                22.4366             -5.89409            -9.45165            9.71627             8.29945             19.2514             
0.0486876           3584                24.5021             3.31465             3.1364              -3.88097            7.88851             21.5645             
0.0521653           3840                25.6966             -4.81811            -5.3578             6.35356             9.54358             22.3399             
0.055643            4096                21.5182             -5.62154            -5.47434            6.77264             8.28006             18.7636             
0.0591207           4352                18.5799             -3.7446             -2.3274             3.61602             7.00616             16.0512             
0.0625984           4608                24.8421             -5.04511            -7.75895            8.96079             9.67932             21.0096             
0.066076            4864                19.7754             -5.51841            -5.94576            7.83557             7.48038             16.2351             
0.0695537           5120                15.2658             -5.29228            -2.48597            4.94257             5.30172             12.0643             
0.0730314           5376                12.9396             -4.9008             -1.754              4.35443             3.78116             9.73161             
0.0765091           5632                12.3203             -5.6333             -1.39754            4.5402              3.36162             8.82915             
0.0799868           5888                10.7041             -6.8095             -1.27776            5.17108             2.31547             7.4575              
0.0834645           6144                7.86393             -7.70105            -1.05233            5.53361             0.765194            4.87082             
0.0869422           6400                8.58967             -10.5125            -3.13666            8.42886             1.17521             4.67349             
0.0904198           6656                7.91724             -12.9033            -3.28867            9.81676             0.627768            3.858               
