#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   6.96348             8.61198             15.8809             -8.38949            2196.01             -28.3417            
0.00347769          256                 320.428             -185.726            159.531             -77.0246            145.896             338.892             
0.00695537          512                 29.2293             -198.116            -70.9015            167.006             17.8726             37.9361             
0.0104331           768                 -37.7532            -93.2313            58.5528             -13.8294            -10.8936            -18.3722            
0.0139107           1024                110.676             -105.064            -45.691             85.8746             54.4189             91.6933             
0.0173884           1280                21.4967             55.5325             -2.60888            -27.375             14.1056             18.0625             
0.0208661           1536                -36.3158            -84.8203            5.81914             24.5917             -12.3551            -30.8701            
0.0243438           1792                12.5154             -71.3575            -14.4498            43.2167             9.80603             9.87805             
0.0278215           2048                22.2445             -49.8466            -16.0366            34.3069             14.177              16.3335             
0.0312992           2304                38.5402             -73.1173            -8.9925             38.5693             21.5897             30.6472             
0.0347769           2560                28.4611             -24.3446            -17.2484            24.0829             16.9045             21.3499             
0.0382545           2816                32.936              -38.1934            -19.8181            32.5826             18.6202             27.9149             
0.0417322           3072                34.1951             -33.217             -22.6902            33.1029             18.9594             30.0873             
0.0452099           3328                27.4516             -31.9464            -27.4235            37.1395             15.7404             25.8565             
0.0486876           3584                23.7999             -32.1689            -26.3264            36.3897             14.0507             22.8573             
0.0521653           3840                22.0623             -21.0759            -30.8284            35.6798             13.2121             21.1541             
0.055643            4096                18.1009             -19.9512            -31.5117            35.6621             11.1854             17.3903             
0.0591207           4352                15.6678             -19.387             -31.6813            35.2578             10.0374             16.5526             
0.0625984           4608                11.396              -13.852             -34.1207            35.2106             8.14399             13.7272             
0.066076            4864                11.765              -8.56038            -35.9489            34.5378             8.26168             14.9283             
0.0695537           5120                11.7733             -6.9258             -38.4688            36.0723             8.01947             16.344              
0.0730314           5376                13.2681             -2.84523            -39.695             35.5921             8.37815             18.9396             
0.0765091           5632                14.9917             -2.66047            -40.1659            35.9844             9.22121             21.477              
0.0799868           5888                13.9937             0.078509            -40.2153            35.0373             8.74418             21.4951             
0.0834645           6144                12.9602             -1.06953            -39.4877            34.8445             8.54303             21.7812             
0.0869422           6400                10.8471             0.741058            -41.8424            36.0553             7.78034             21.5429             
0.0904198           6656                6.90142             1.42536             -44.9839            38.5452             6.07978             17.8719             
0.0938975           6912                8.11435             -1.78088            -47.5106            41.4134             6.66513             17.7559             
0.0973752           7168                9.12686             -5.07965            -48.8813            44.2695             6.8253              17.4491             
0.100853            7424                13.2206             -10.5676            -50.8538            48.8089             8.64055             20.1643             
0.104331            7680                17.2253             -16.2592            -51.9876            52.362              10.4289             22.8585             
0.107808            7936                20.9785             -16.6627            -53.0048            53.9261             12.0034             25.4108             
0.111286            8192                19.8979             -23.7305            -50.5436            55.5403             11.8275             24.3768             
0.114764            8448                15.3936             -26.4704            -52.5234            58.6077             10.0223             21.2883             
0.118241            8704                13.84               -23.6655            -51.7914            56.8                8.8785              19.2273             
