#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -5.42404e-05        -0.00035802         4.67989e-05         0.000467895         -9.70851e-05        -0.000350576        
0.00347769          256                 -0.00605145         0.0734394           -0.029333           -0.0852366          0.0324984           0.109079            
0.00695537          512                 -0.00887592         -10.8445            -0.0275384          14.4874             -0.312604           -11.4471            
0.0104331           768                 -1.13365            -13.7951            8.2493              21.5509             -10.4384            -13.2344            
0.0139107           1024                -3.21777            -17.8418            -0.00955739         20.0507             -2.47107            -19.4292            
0.0173884           1280                0.655661            4.96307             -1.62059            -6.55061            2.56228             4.77937             
0.0208661           1536                0.204381            9.06026             -0.116944           -9.91278            0.20728             9.57711             
0.0243438           1792                0.693766            2.68733             -1.50186            -5.97591            1.86471             3.53052             
0.0278215           2048                2.23125             3.22849             -0.248887           -4.63474            2.49404             1.72511             
0.0312992           2304                1.19973             6.35402             -1.84202            -9.02786            3.12366             5.56924             
0.0347769           2560                1.4744              13.137              -1.29268            -15.6546            2.68082             13.1707             
0.0382545           2816                0.967723            9.00379             -1.07364            -10.8852            1.90333             8.95374             
0.0417322           3072                1.0023              4.23002             -0.815153           -6.11607            1.76461             3.97597             
0.0452099           3328                1.06888             4.49014             -0.684358           -6.01147            1.77523             3.91177             
0.0486876           3584                0.76576             5.23566             -0.710097           -6.58437            1.45805             5.00363             
0.0521653           3840                0.642798            4.61089             -0.489045           -5.78656            1.10118             4.49595             
0.055643            4096                0.490723            3.12522             -0.303664           -4.07271            0.763662            3.05303             
0.0591207           4352                0.412024            2.63405             -0.367728           -3.55191            0.763897            2.55689             
0.0625984           4608                0.483519            2.73546             -0.350467           -3.51984            0.831255            2.58505             
0.066076            4864                0.39629             2.65374             -0.364836           -3.44171            0.749726            2.55374             
0.0695537           5120                0.391837            2.58749             -0.356388           -3.39322            0.726752            2.53248             
0.0730314           5376                0.400033            2.71213             -0.375601           -3.54884            0.748119            2.66821             
0.0765091           5632                0.435593            2.87931             -0.403464           -3.74319            0.804951            2.8244              
0.0799868           5888                0.450846            2.98494             -0.413464           -3.88224            0.823967            2.94001             
0.0834645           6144                0.455275            3.21924             -0.455656           -4.18261            0.860593            3.18129             
0.0869422           6400                0.497957            3.43653             -0.491445           -4.47467            0.932291            3.41382             
0.0904198           6656                0.551721            3.8362              -0.533145           -4.93543            1.0291              3.75542             
0.0938975           6912                0.588152            4.15485             -0.56533            -5.31007            1.09652             4.08045             
0.0973752           7168                0.615031            4.37356             -0.58124            -5.59463            1.14091             4.28421             
0.100853            7424                0.619941            4.49106             -0.598518           -5.74879            1.16376             4.41064             
0.104331            7680                0.631278            4.5517              -0.595649           -5.82712            1.16669             4.48388             
0.107808            7936                0.632193            4.68497             -0.563698           -5.98021            1.1254              4.62642             
0.111286            8192                0.653238            4.89077             -0.530416           -6.18379            1.10503             4.8967              
0.114764            8448                0.656521            5.10155             -0.502629           -6.3929             1.07153             5.10062             
0.118241            8704                0.626881            4.94862             -0.449493           -6.27424            0.977497            5.03136             
0.121719            8960                0.595244            4.73919             -0.451272           -6.06299            0.948457            4.82218             
0.125197            9216                0.614507            4.65498             -0.454927           -6.01308            0.984374            4.71617             
0.128674            9472                0.633831            4.49173             -0.502894           -5.79576            1.10053             4.42335             
0.132152            9728                0.653067            4.54298             -0.508142           -5.84277            1.1316              4.44232             
0.13563             9984                0.649452            4.68737             -0.485787           -6.03657            1.07841             4.67925             
0.139107            10240               0.673275            4.65663             -0.51603            -5.98589            1.15269             4.56748             
0.142585            10496               0.673698            4.73831             -0.506806           -6.11472            1.1238              4.72865             
0.146063            10752               0.684789            4.99471             -0.441283           -6.43247            1.02745             5.07333             
0.149541            11008               0.671136            5.20122             -0.383107           -6.71549            0.910468            5.44621             
0.153018            11264               0.680499            4.91869             -0.474562           -6.332              1.08718             4.93315             
0.156496            11520               0.712681            4.88961             -0.49962            -6.3118             1.16375             4.88664             
0.159974            11776               0.680178            4.64475             -0.480223           -6.03509            1.11688             4.60114             
0.163451            12032               0.649996            4.47673             -0.471123           -5.83776            1.08038             4.44274             
0.166929            12288               0.619175            4.39601             -0.459633           -5.78598            1.02405             4.45331             
0.170407            12544               0.628379            4.44745             -0.443094           -5.71634            1.01439             4.48792             
0.173884            12800               0.618407            4.52293             -0.415981           -5.84676            0.977375            4.58649             
0.177362            13056               0.581689            4.40315             -0.402141           -5.67734            0.929918            4.44633             
0.18084             13312               0.607681            4.3448              -0.40665            -5.63841            0.965612            4.39964             
0.184317            13568               0.599041            4.41582             -0.371818           -5.71328            0.895206            4.55021             
0.187795            13824               0.595726            4.4047              -0.400667           -5.66804            0.948974            4.433               
0.191273            14080               0.594059            4.29264             -0.422065           -5.54518            0.981721            4.31729             
0.19475             14336               0.597141            4.22702             -0.40027            -5.4581             0.952097            4.24629             
0.198228            14592               0.581719            4.02917             -0.443071           -5.24283            1.02393             3.94428             
0.201706            14848               0.556755            4.11915             -0.327278           -5.41488            0.803607            4.29994             
0.205183            15104               0.563701            4.10891             -0.347              -5.31846            0.857268            4.19435             
0.208661            15360               0.574285            4.03703             -0.439681           -5.23671            1.01346             3.99843             
0.212139            15616               0.557498            4.14212             -0.358321           -5.41939            0.856947            4.27121             
0.215617            15872               0.559398            3.87464             -0.440873           -5.00622            1.01152             3.78741             
0.219094            16128               0.564846            3.90263             -0.424345           -5.09763            0.978844            3.89336             
0.222572            16384               0.548624            3.67389             -0.396686           -4.89582            0.930822            3.65642             
0.22605             16640               0.573913            4.1395              -0.379893           -5.35175            0.909567            4.23536             
0.229527            16896               0.555339            4.41517             -0.386374           -5.59715            0.878756            4.53466             
0.233005            17152               0.554535            4.34993             -0.359446           -5.62272            0.845198            4.50672             
0.236483            17408               0.558433            4.13645             -0.366934           -5.38909            0.866252            4.26923             
0.23996             17664               0.556461            4.32759             -0.340022           -5.5872             0.821617            4.47074             
0.243438            17920               0.558979            4.22671             -0.397              -5.48566            0.917181            4.33084             
0.246916            18176               0.569929            4.2582              -0.415982           -5.49423            0.963103            4.30933             
0.250393            18432               0.583011            4.2362              -0.415456           -5.4768             0.973328            4.2794              
0.253871            18688               0.581833            4.08144             -0.431772           -5.29623            1.01818             4.02137             
0.257349            18944               0.554271            4.40614             -0.349734           -5.7006             0.825381            4.61236             
0.260826            19200               0.621966            4.58262             -0.360233           -5.91082            0.919648            4.71158             
0.264304            19456               0.600196            4.34094             -0.446564           -5.57958            1.04618             4.28074             
0.267782            19712               0.613498            4.15445             -0.446995           -5.50427            1.05803             4.14463             
0.27126             19968               0.575456            4.11208             -0.472795           -5.35434            1.02813             4.11774             
0.274737            20224               0.617458            4.5915              -0.423929           -5.92971            0.99543             4.69962             
0.278215            20480               0.624398            4.51463             -0.397057           -5.8402             0.968594            4.57462             
0.281693            20736               0.593103            4.47218             -0.409482           -5.7788             0.948889            4.61679             
0.28517             20992               0.637192            4.67774             -0.46856            -5.97517            1.09177             4.66671             
0.288648            21248               0.597251            4.23377             -0.411971           -5.57214            0.968911            4.32421             
0.292126            21504               0.599629            4.17671             -0.407147           -5.51355            0.979245            4.22239             
0.295603            21760               0.630609            4.5182              -0.426974           -5.82478            1.02233             4.54875             
0.299081            22016               0.629533            4.60835             -0.408669           -5.93706            0.989918            4.6775              
0.302559            22272               0.635024            4.56326             -0.403091           -5.91675            0.984785            4.66327             
0.306036            22528               0.628809            4.61656             -0.410037           -5.9946             0.985954            4.70717             
0.309514            22784               0.662852            4.44406             -0.487987           -5.75383            1.14802             4.38081             
0.312992            23040               0.667033            4.5703              -0.499315           -5.94845            1.15288             4.53079             
0.316469            23296               0.679092            4.62439             -0.515819           -6.00336            1.17894             4.56317             
0.319947            23552               0.720799            4.83189             -0.508251           -6.28213            1.20868             4.80535             
0.323425            23808               0.730816            4.89167             -0.509779           -6.32118            1.20644             4.88668             
0.326903            24064               0.682344            4.70594             -0.509838           -6.20279            1.15614             4.69913             
0.33038             24320               0.713782            4.93503             -0.481517           -6.44285            1.13347             5.03738             
0.333858            24576               0.728036            5.10597             -0.475225           -6.5752             1.14827             5.11965             
0.337336            24832               0.748457            5.21846             -0.488533           -6.64733            1.19646             5.22598             
0.340813            25088               0.732018            5.0344              -0.494272           -6.47421            1.20216             5.02734             
0.344291            25344               0.703609            4.69167             -0.524661           -6.10661            1.21854             4.6221              
0.347769            25600               0.670522            4.67691             -0.441883           -6.15223            1.06035             4.7257              
0.351246            25856               0.677479            4.38743             -0.523419           -5.77282            1.20639             4.3007              
0.354724            26112               0.689978            4.77324             -0.433              -6.15387            1.07601             4.81526             
0.358202            26368               0.65765             4.62887             -0.458365           -5.9588             1.08966             4.615               
0.361679            26624               0.637468            4.62621             -0.392183           -5.98816            0.967031            4.69898             
0.365157            26880               0.634725            4.40402             -0.431931           -5.67137            1.04468             4.4115              
0.368635            27136               0.617004            4.42691             -0.388651           -5.70063            0.963534            4.45436             
0.372112            27392               0.597653            4.16464             -0.400708           -5.436              0.978248            4.22071             
0.37559             27648               0.535045            4.01486             -0.343081           -5.31272            0.823111            4.13241             
0.379068            27904               0.558806            4.11614             -0.329732           -5.31186            0.844392            4.21851             
0.382546            28160               0.560952            4.09458             -0.350571           -5.28181            0.877768            4.15291             
0.386023            28416               0.556987            4.01395             -0.342851           -5.22789            0.860534            4.11782             
0.389501            28672               0.526939            3.79455             -0.350426           -4.95873            0.840146            3.86952             
0.392979            28928               0.582275            4.10029             -0.361395           -5.30886            0.907852            4.16808             
0.396456            29184               0.615817            4.30386             -0.387279           -5.58516            0.965763            4.35738             
0.399934            29440               0.630945            4.41191             -0.42526            -5.70727            1.02049             4.48089             
0.403412            29696               0.666019            4.68743             -0.430224           -6.04452            1.05749             4.75954             
0.406889            29952               0.64659             4.59863             -0.448963           -5.94889            1.03903             4.64906             
0.410367            30208               0.684626            4.61611             -0.456918           -6.04266            1.0981              4.64147             
0.413845            30464               0.699649            4.88498             -0.461979           -6.32615            1.10639             4.93567             
0.417322            30720               0.712347            4.60174             -0.549138           -6.03824            1.26525             4.51624             
0.4208              30976               0.706949            4.7271              -0.522104           -6.12822            1.21049             4.66733             
0.424278            31232               0.678277            5.01897             -0.426284           -6.49024            1.01541             5.19456             
0.427755            31488               0.70151             4.99884             -0.45138            -6.44181            1.10338             5.07606             
0.431233            31744               0.688955            4.87227             -0.480017           -6.26732            1.14321             4.82586             
0.434711            32000               0.697571            4.62157             -0.495596           -5.97453            1.18548             4.55699             
0.438188            32256               0.687783            4.78377             -0.43502            -6.21158            1.07217             4.86072             
0.441666            32512               0.694729            4.96401             -0.39883            -6.39663            1.0141              5.12261             
0.445144            32768               0.673546            4.60734             -0.473032           -5.99066            1.13249             4.57361             
0.448622            33024               0.639353            4.41116             -0.461716           -5.78964            1.07854             4.42346             
0.452099            33280               0.666496            4.60845             -0.481901           -5.97795            1.13178             4.60979             
0.455577            33536               0.677433            4.6613              -0.455966           -6.05046            1.0947              4.7101              
0.459055            33792               0.691882            4.74822             -0.462009           -6.14796            1.11886             4.78667             
0.462532            34048               0.718607            4.83339             -0.466459           -6.25114            1.16119             4.80017             
0.46601             34304               0.654157            4.46555             -0.428594           -5.86801            1.04535             4.52273             
0.469488            34560               0.63913             4.48482             -0.423548           -5.9014             1.01402             4.58013             
0.472965            34816               0.693222            4.62822             -0.497797           -6.02618            1.18071             4.58627             
0.476443            35072               0.720952            4.976               -0.44698            -6.37405            1.11284             5.02705             
0.479921            35328               0.688648            4.53201             -0.49728            -5.94006            1.18375             4.44578             
0.483398            35584               0.677651            4.49599             -0.479811           -5.943              1.1349              4.48345             
0.486876            35840               0.694126            4.83016             -0.446848           -6.26764            1.08829             4.9023              
0.490354            36096               0.72624             4.92254             -0.463382           -6.3324             1.15603             4.95228             
0.493831            36352               0.709141            4.80452             -0.475938           -6.23806            1.14996             4.81322             
0.497309            36608               0.710615            4.7659              -0.537733           -6.11899            1.248               4.66583             
0.500787            36864               0.707308            4.70807             -0.512462           -6.09803            1.21466             4.63624             
0.504265            37120               0.669393            4.84606             -0.441842           -6.3387             1.04043             5.0067              
0.507742            37376               0.689293            4.80209             -0.492804           -6.26357            1.13753             4.83081             
0.51122             37632               0.700769            4.81384             -0.5026             -6.30065            1.16987             4.84405             
0.514698            37888               0.714796            4.92291             -0.464806           -6.39687            1.13029             4.98021             
0.518175            38144               0.68927             5.04547             -0.46855            -6.52055            1.10594             5.13107             
0.521653            38400               0.684024            4.87764             -0.436323           -6.39231            1.05241             5.05507             
0.525131            38656               0.655011            4.63636             -0.461128           -6.01824            1.07082             4.6573              
0.528608            38912               0.692867            4.75605             -0.49365            -6.14635            1.16877             4.73811             
0.532086            39168               0.715484            4.60612             -0.502595           -5.94394            1.23351             4.48906             
0.535564            39424               0.665268            4.87411             -0.416145           -6.25991            1.02694             4.96492             
0.539041            39680               0.663907            4.62371             -0.446851           -5.96582            1.08409             4.61793             
0.542519            39936               0.629894            4.57434             -0.41352            -5.95925            0.996574            4.68642             
0.545997            40192               0.656503            4.47764             -0.467764           -5.83458            1.11018             4.46288             
0.549474            40448               0.694288            4.77216             -0.461351           -6.18079            1.12889             4.79005             
0.552952            40704               0.701283            4.59697             -0.485608           -6.00654            1.18515             4.55911             
0.55643             40960               0.672954            4.54708             -0.513851           -5.94667            1.18272             4.49504             
0.559907            41216               0.673882            4.81085             -0.449616           -6.27256            1.05347             4.93198             
0.563385            41472               0.705408            4.79277             -0.481082           -6.23503            1.16291             4.76455             
0.566863            41728               0.668913            4.45534             -0.470853           -5.86997            1.11763             4.46106             
0.570341            41984               0.675258            4.63983             -0.456509           -6.08102            1.0903              4.69688             
0.573818            42240               0.724332            4.61955             -0.539573           -5.99118            1.27859             4.49002             
0.577296            42496               0.662496            4.83995             -0.404221           -6.2832             0.968273            5.03332             
0.580774            42752               0.707798            4.80468             -0.492442           -6.26088            1.17061             4.79635             
0.584251            43008               0.701895            4.74618             -0.502018           -6.18854            1.17004             4.74596             
0.587729            43264               0.732689            4.97404             -0.49957            -6.43392            1.19488             4.94524             
0.591207            43520               0.735313            4.8509              -0.507886           -6.31631            1.21756             4.8086              
0.594684            43776               0.703894            4.8917              -0.464429           -6.41537            1.10745             4.98775             
0.598162            44032               0.710374            5.09915             -0.513971           -6.60604            1.17982             5.11964             
0.60164             44288               0.755822            4.97162             -0.570942           -6.4555             1.32321             4.91453             
0.605117            44544               0.75367             5.19301             -0.496396           -6.72684            1.19178             5.24852             
0.608595            44800               0.747789            5.14838             -0.530595           -6.60934            1.24905             5.11471             
0.612073            45056               0.706075            5.097               -0.470639           -6.64367            1.11786             5.17111             
0.61555             45312               0.683639            4.76333             -0.508624           -6.19706            1.1679              4.74751             
0.619028            45568               0.701429            4.91746             -0.509697           -6.32544            1.19176             4.90293             
0.622506            45824               0.674682            4.79049             -0.470726           -6.21013            1.11295             4.83753             
0.625984            46080               0.638182            4.74538             -0.400523           -6.18668            0.977654            4.85785             
0.629461            46336               0.621602            4.59077             -0.436401           -5.91558            1.01864             4.65609             
