#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -9.78973e-05        -0.00021167         -2.6128e-05         0.000197422         -8.86883e-05        -1.78266e-05        
0.00347769          256                 -2.68798            -230.085            -113.845            143.744             16.3952             -39.313             
0.00695537          512                 51.8642             639.746             246.359             -430.42             43.5365             23.2965             
0.0104331           768                 -14.5128            362.049             58.7965             -287.827            0.793928            107.582             
0.0139107           1024                -18.6188            -12.8167            -51.7381            -15.9573            -12.836             70.8254             
0.0173884           1280                -30.2129            58.4342             0.0816523           -61.6412            -18.2945            31.8739             
0.0208661           1536                -9.79202            -196.128            -74.2503            136.662             -4.6958             -8.87606            
0.0243438           1792                -6.92345            92.025              27.7677             -66.7113            -8.94031            32.3065             
0.0278215           2048                -19.6571            107.227             30.1489             -79.8978            -12.7557            21.2393             
0.0312992           2304                8.26595             52.885              9.87388             -42.0327            5.85686             11.4639             
0.0347769           2560                6.64089             -1.41406            -14.867             -5.38912            9.55184             5.00212             
0.0382545           2816                9.93918             49.7551             9.39923             -38.8986            9.41194             4.24454             
0.0417322           3072                1.15708             33.6775             -0.140998           -29.4227            3.12044             14.089              
0.0452099           3328                0.603806            42.771              4.45385             -34.9923            3.12378             10.7531             
0.0486876           3584                4.56982             30.6945             1.3249              -25.6685            6.06235             5.21377             
0.0521653           3840                3.12989             31.2734             0.864164            -26.6812            5.34924             5.68701             
0.055643            4096                1.15134             26.0578             -1.55267            -23.1602            3.74553             6.61463             
0.0591207           4352                1.91331             26.1723             -0.177428           -22.526             3.8711              4.66511             
0.0625984           4608                2.20366             27.969              0.820345            -23.8102            3.89353             3.68317             
0.066076            4864                2.82737             23.3254             -0.506216           -20.6931            4.40447             1.95888             
0.0695537           5120                2.52272             16.4907             -2.6553             -15.9309            4.01829             1.71048             
0.0730314           5376                2.50267             13.8033             -2.57343            -13.6733            3.76411             0.441387            
0.0765091           5632                2.23186             14.1219             -2.3998             -13.9579            3.63632             0.329283            
0.0799868           5888                1.71057             10.1835             -3.54707            -11.2435            3.52374             -0.123219           
0.0834645           6144                1.18974             7.13028             -4.57911            -9.04972            3.29746             -0.351906           
0.0869422           6400                1.70339             5.70337             -5.01554            -7.84168            3.87625             -1.24627            
0.0904198           6656                2.51076             9.4429              -3.18878            -10.3521            4.00345             -1.25717            
0.0938975           6912                1.7996              10.5835             -2.79116            -11.1763            3.50331             0.143388            
0.0973752           7168                0.617972            7.00143             -3.80485            -8.80101            3.11756             -0.122156           
0.100853            7424                0.42197             8.3783              -4.41072            -9.71161            3.35835             1.14397             
0.104331            7680                1.54387             10.1128             -3.95346            -10.5001            3.86633             0.752449            
0.107808            7936                1.97724             8.37432             -3.16912            -8.21556            3.79213             -0.634191           
