#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.000920268        -3.2412e-05         -0.00303664         -0.0012889          0.00172627          0.00036227          
0.00347769          256                 0.917568            0.00374738          2.39555             1.09128             -1.15939            -0.424985           
0.00695537          512                 -30.8191            0.605162            -60.9313            -25.8592            19.8578             13.1533             
0.0104331           768                 -80.3896            -2.95528            -263.961            -112.331            149.166             31.7024             
0.0139107           1024                -8.70952            -1.16096            -48.8922            -20.7951            35.2973             2.9718              
0.0173884           1280                16.3817             -0.126554           37.8224             16.0891             -15.4579            -6.92876            
0.0208661           1536                36.7951             0.624635            103.36              43.987              -52.0239            -14.9338            
0.0243438           1792                -2.60216            0.61972             8.10071             3.30336             -10.7248            1.52958             
0.0278215           2048                -0.361583           0.206698            4.71111             1.74378             -4.89617            0.352117            
0.0312992           2304                30.5185             1.11945             100.099             42.4982             -56.6475            -12.003             
0.0347769           2560                26.7418             1.12327             90.2676             38.2916             -52.0738            -10.3886            
0.0382545           2816                18.8676             0.701696            61.3191             26.0385             -34.5451            -7.39988            
0.0417322           3072                10.0998             0.437167            34.8047             14.6689             -20.3671            -3.90896            
0.0452099           3328                12.9867             0.50974             42.7384             18.1162             -24.2646            -5.08928            
0.0486876           3584                12.5207             0.488367            40.7926             17.3216             -23.0178            -4.91232            
0.0521653           3840                9.62391             0.372318            31.2985             13.2715             -17.6451            -3.77754            
0.055643            4096                7.62106             0.280466            24.4599             10.3613             -13.67              -3.00187            
0.0591207           4352                6.61441             0.259451            21.5897             9.15071             -12.2045            -2.59468            
0.0625984           4608                6.42721             0.252352            20.9757             8.89295             -11.8551            -2.51974            
0.066076            4864                6.67889             0.23863             21.3949             9.06823             -11.9421            -2.6311             
0.0695537           5120                6.87134             0.247512            22.1328             9.37681             -12.3977            -2.70262            
0.0730314           5376                7.1943              0.259059            23.1805             9.82769             -12.9866            -2.82904            
0.0765091           5632                7.40628             0.276765            24.1295             10.2283             -13.6171            -2.90256            
0.0799868           5888                7.88154             0.289098            25.6661             10.8734             -14.4767            -3.09079            
0.0834645           6144                8.58901             0.319248            28.0556             11.8887             -15.8542            -3.3657             
0.0869422           6400                9.26114             0.346516            30.3157             12.841              -17.154             -3.62643            
0.0904198           6656                9.89892             0.37528             32.4614             13.7533             -18.3904            -3.87341            
0.0938975           6912                10.4684             0.401796            34.4233             14.5837             -19.5379            -4.09223            
0.0973752           7168                10.8725             0.417267            35.7581             15.1505             -20.2989            -4.2502             
0.100853            7424                11.2535             0.430836            36.961              15.6652             -20.9633            -4.39993            
0.104331            7680                11.3193             0.434234            37.2593             15.7834             -21.1621            -4.42375            
0.107808            7936                11.2599             0.43781             37.1338             15.7385             -21.1169            -4.3983             
0.111286            8192                11.0157             0.426004            36.2546             15.3672             -20.5903            -4.3045             
0.114764            8448                10.9435             0.425658            36.0661             15.2912             -20.5006            -4.2762             
0.118241            8704                10.7155             0.414449            35.3142             14.9648             -20.0715            -4.18792            
0.121719            8960                10.338              0.396138            33.9904             14.4048             -19.2912            -4.04313            
0.125197            9216                10.3577             0.395446            34.0606             14.4324             -19.3307            -4.05196            
0.128674            9472                10.2254             0.391005            33.6459             14.2561             -19.1032            -3.99939            
0.132152            9728                10.2194             0.392007            33.6333             14.2533             -19.0979            -3.99677            
0.13563             9984                10.3403             0.398275            34.0863             14.4434             -19.3753            -4.04166            
0.139107            10240               10.5165             0.407191            34.6868             14.7065             -19.7236            -4.11176            
0.142585            10496               10.4868             0.407779            34.6439             14.685              -19.721             -4.09757            
