#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   1.98441e-06         2.81124e-06         -1.4883e-06         -1.03732e-05        4.8274e-06          4.5853e-06          
0.00347769          256                 0.00496498          0.0335369           0.00523966          -0.0382639          -0.00217603         0.0563823           
0.00695537          512                 0.00190503          -0.0277003          0.00464847          0.0391084           -0.00677904         -0.0506586          
0.0104331           768                 0.286637            0.828934            -0.0110341          -1.01914            0.320108            1.27311             
0.0139107           1024                0.152892            0.675133            -0.0714168          -1.10522            0.302326            1.11957             
0.0173884           1280                -0.191478           -0.288179           -0.0109804          0.00614597          -0.188668           -0.32746            
0.0208661           1536                -0.165918           -0.652031           -0.0148696          0.62444             -0.15414            -1.01772            
0.0243438           1792                -0.0609684          -0.324805           0.0427451           0.569304            -0.140201           -0.558605           
0.0278215           2048                0.0921485           0.352665            0.043709            -0.152353           0.0216115           0.52199             
0.0312992           2304                0.000716536         0.00846349          0.0470551           0.191375            -0.0816969          -0.0126954          
0.0347769           2560                -0.137715           -0.271556           0.0501014           0.482247            -0.240184           -0.406474           
0.0382545           2816                -0.017581           -0.0406763          0.0251198           0.186245            -0.0648386          -0.079355           
0.0417322           3072                0.0268846           0.0363732           0.0273621           0.104746            -0.0205312          0.0255565           
0.0452099           3328                0.00757811          0.0336669           0.0271455           0.063393            -0.039935           0.0410904           
0.0486876           3584                -0.0163467          -0.0339021          0.0214114           0.121928            -0.0562702          -0.0594259          
0.0521653           3840                -0.0195892          -0.0306789          0.0187346           0.10145             -0.0552835          -0.0491557          
0.055643            4096                -0.000799385        0.00653647          0.0156399           0.0491741           -0.0292016          0.00479653          
0.0591207           4352                -0.00629255         -0.00987473         0.0157628           0.063794            -0.0352847          -0.0197225          
0.0625984           4608                -0.00826488         -0.000402173        0.0127546           0.0421294           -0.032404           -0.00030373         
0.066076            4864                -0.0115388          -0.0136649          0.0134981           0.0573771           -0.0371008          -0.0213613          
0.0695537           5120                -0.0151327          -0.0197842          0.0145067           0.0666677           -0.0428095          -0.0299318          
0.0730314           5376                -0.0144847          -0.0186518          0.0148809           0.0691459           -0.0427237          -0.0289388          
0.0765091           5632                -0.0134892          -0.0160469          0.0151829           0.0706939           -0.0421479          -0.0257065          
0.0799868           5888                -0.0120149          -0.0162868          0.0162726           0.0759201           -0.0423856          -0.0277783          
0.0834645           6144                -0.0142325          -0.0246118          0.0179018           0.0920039           -0.047565           -0.0417854          
0.0869422           6400                -0.0145176          -0.0248874          0.0189312           0.0981143           -0.0496983          -0.0428723          
0.0904198           6656                -0.0147754          -0.0264136          0.0200534           0.105428            -0.0519146          -0.0461288          
