#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000271037         -0.000375053        0.000398369         0.000529179         0.000135105         -0.000219764        
0.00347769          256                 -61.8774            -142.063            233.756             276.401             -19.4151            72.1277             
0.00695537          512                 -134.748            60.9944             -166.18             -164.998            -66.1783            129.17              
0.0104331           768                 -33.0703            80.3001             -276.786            -258.693            -6.88733            34.3386             
0.0139107           1024                -67.7917            42.8436             -33.5078            -38.1848            -16.7864            60.3463             
0.0173884           1280                157.241             86.4821             -198.356            -209.277            57.0458             -134.561            
0.0208661           1536                -138.993            -0.924655           112.084             94.1332             -59.3814            119.891             
0.0243438           1792                -64.2849            -27.4131            32.1596             38.1838             -33.2633            54.6719             
0.0278215           2048                122.818             37.6209             -82.683             -85.211             48.7929             -103.356            
0.0312992           2304                0.0381575           -20.0435            7.03415             14.9379             -3.25661            -0.100408           
0.0347769           2560                -3.35158            29.8574             -12.5803            -20.7364            0.221137            4.09878             
0.0382545           2816                18.7854             -1.3253             -6.76868            -4.55686            5.62749             -15.8579            
0.0417322           3072                14.5953             2.94766             -1.55793            -2.35757            3.91773             -12.7042            
0.0452099           3328                19.5385             6.02648             -11.3273            -11.3706            7.35068             -16.4312            
0.0486876           3584                22.5565             -3.5559             3.15252             4.07206             7.63283             -19.5806            
0.0521653           3840                21.5788             3.18455             -6.85488            -6.89979            8.09012             -18.5043            
0.055643            4096                19.5492             3.62231             -5.39664            -5.70509            7.8322              -16.6012            
0.0591207           4352                20.898              0.865453            -2.0063             -1.74599            8.40734             -17.6418            
0.0625984           4608                25.0678             1.03088             -4.77473            -4.19225            10.0286             -21.1123            
0.066076            4864                21.4588             0.742979            -3.42814            -3.24988            8.33696             -17.9101            
0.0695537           5120                15.6897             1.99232             -0.224518           -1.38621            5.92835             -12.4715            
0.0730314           5376                16.765              3.80103             1.52945             -1.06796            6.32192             -12.8112            
0.0765091           5632                12.6564             5.15515             0.254774            -2.91527            4.33959             -9.14863            
0.0799868           5888                8.34293             8.61159             -1.89839            -6.34109            2.29219             -5.23795            
0.0834645           6144                3.36486             9.32843             -1.60659            -6.48859            -0.116745           -0.408696           
0.0869422           6400                3.69347             11.4737             -1.34552            -7.39001            -0.317463           -0.515501           
0.0904198           6656                1.70209             12.2824             -3.04626            -9.13845            -1.41928            1.23844             
0.0938975           6912                -4.1628             14.1664             -3.16589            -10.2257            -4.0956             6.30662             
0.0973752           7168                -2.77402            14.7226             -3.61171            -11.2237            -3.69861            4.89918             
0.100853            7424                -3.68107            13.7586             -4.3541             -11.1579            -3.71476            5.52861             
0.104331            7680                -2.20388            12.7895             -6.9468             -12.2888            -2.07518            4.017               
0.107808            7936                -0.271093           13.9038             -7.8306             -13.4632            -0.934933           2.33003             
0.111286            8192                0.438702            16.3978             -9.53811            -15.7802            -0.696103           2.03475             
0.114764            8448                0.319478            15.9716             -10.9206            -16.3151            -0.104658           2.00704             
0.118241            8704                -2.60904            18.3466             -15.4087            -21.0872            -1.01728            4.47795             
0.121719            8960                -1.97214            18.5887             -18.3268            -23.4045            -0.183297           3.7844              
0.125197            9216                -0.143102           18.305              -19.3095            -23.6177            1.46983             2.30917             
0.128674            9472                -0.940153           19.5641             -20.9511            -25.6247            0.7584              3.20886             
0.132152            9728                -0.547203           14.8887             -21.7932            -24.145             1.23819             2.017               
0.13563             9984                0.338889            11.7853             -22.8047            -22.7753            3.05354             0.619163            
0.139107            10240               2.77256             11.7232             -22.0491            -22.2317            3.92778             -0.88604            
0.142585            10496               -1.10393            14.2649             -18.5531            -21.167             1.09583             2.89284             
0.146063            10752               -2.63436            18.036              -21.5765            -25.6417            -0.247574           4.27036             
0.149541            11008               -3.39341            18.3672             -20.5121            -24.6984            -0.0982004          5.01117             
0.153018            11264               -8.26964            16.1502             -22.8107            -25.1723            -0.861716           8.53959             
0.156496            11520               -3.80176            14.3656             -25.8365            -26.4049            1.60447             4.39229             
0.159974            11776               -2.66797            15.8408             -26.8688            -28.1547            1.49306             3.45846             
0.163451            12032               -1.75078            14.1132             -21.7108            -23.6465            0.796402            2.88284             
0.166929            12288               -0.86361            13.6942             -20.3269            -22.3249            1.33394             1.78278             
0.170407            12544               -2.25939            12.9207             -23.5452            -24.4746            0.881828            2.93358             
0.173884            12800               -7.05945            14.5703             -23.1244            -24.8053            -0.851808           7.14923             
0.177362            13056               -6.26635            17.318              -24.967             -27.6468            -0.656166           6.66532             
0.18084             13312               -8.63778            17.7618             -24.2554            -26.9116            -1.68156            9.02607             
0.184317            13568               -7.42789            21.1979             -24.0255            -28.5646            -1.347              8.23298             
0.187795            13824               -7.805              19.5805             -25.2475            -28.486             -1.0152             7.87659             
0.191273            14080               -4.62644            14.1438             -28.1888            -27.7138            1.27721             4.70575             
0.19475             14336               1.23059             14.0471             -26.7969            -27.1761            3.08536             -0.0652797          
0.198228            14592               0.891037            14.8881             -26.4859            -27.5166            2.53476             0.172276            
0.201706            14848               -4.84469            18.7133             -30.3384            -32.823             -0.780652           5.59095             
0.205183            15104               -10.7365            21.8663             -32.4167            -35.7768            -3.39615            10.867              
0.208661            15360               -9.90967            22.5853             -33.06              -36.4153            -2.66909            10.1442             
0.212139            15616               -11.8664            23.2515             -34.7949            -38.0477            -3.31552            11.9943             
0.215617            15872               -13.8038            23.3121             -36.5074            -39.0198            -3.25735            13.4398             
0.219094            16128               -8.60224            21.4639             -38.2961            -38.7008            0.993819            8.66178             
0.222572            16384               -8.55356            20.6291             -37.9569            -38.8908            -0.00528695         8.51971             
0.22605             16640               -6.43475            18.1042             -35.9031            -36.2036            0.775586            6.46442             
0.229527            16896               -5.17806            19.2171             -34.9236            -36.6541            0.12436             5.89426             
0.233005            17152               -9.06809            23.1794             -37.2302            -40.5296            -2.42741            10.0559             
0.236483            17408               -13.5454            26.1181             -38.6157            -43.3527            -5.32075            13.931              
0.23996             17664               -17.1983            26.8409             -37.6384            -42.9616            -6.49694            16.9946             
0.243438            17920               -16.4362            23.565              -41.9236            -44.0299            -4.4992             15.6187             
0.246916            18176               -9.42258            20.3431             -39.3562            -40.2635            -1.11303            9.59721             
0.250393            18432               -10.5905            22.8176             -40.7377            -42.749             -2.27137            11.0819             
0.253871            18688               -15.6611            23.8716             -36.6547            -40.0912            -4.85514            15.289              
0.257349            18944               -12.5852            21.6225             -40.4191            -41.0959            -1.8468             12.6019             
0.260826            19200               -14.4786            23.3903             -42.4022            -43.4911            -2.28224            14.5081             
0.264304            19456               -14.9364            24.2634             -38.2572            -40.9819            -3.57472            15.0336             
0.267782            19712               -11.3116            22.2129             -37.1141            -39.2321            -2.22044            11.1835             
0.27126             19968               -5.89976            20.576              -36.9867            -37.3625            1.43294             6.78011             
0.274737            20224               -3.02109            21.4974             -32.9682            -35.4799            1.46313             4.72353             
0.278215            20480               -4.34898            23.0506             -31.8121            -36.2334            -0.696594           5.97472             
