#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -9.70035            31.5832             -5.80563            -22.4034            4663.99             76.6035             
0.00347769          256                 301.182             162.167             126.731             64.2875             140.602             -322.934            
0.00695537          512                 64.3899             263.3               -28.6899            -165.424            35.3054             -63.3236            
0.0104331           768                 -88.3226            81.5501             35.5674             -2.06357            -32.2042            64.2822             
0.0139107           1024                118.033             106.061             -23.2602            -67.2382            60.1238             -96.5291            
0.0173884           1280                21.2683             -63.2134            -29.5378            7.62302             16.5951             -19.7437            
0.0208661           1536                -30.1709            72.4612             10.9142             -14.8776            -8.21655            25.1011             
0.0243438           1792                -5.35966            71.9565             -14.1845            -43.8655            3.39082             4.81864             
0.0278215           2048                23.8745             53.4081             -22.4258            -42.393             16.5411             -18.74              
0.0312992           2304                27.522              78.3671             -10.6352            -43.0228            18.0066             -21.7404            
0.0347769           2560                28.9054             29.8684             -18.8544            -28.7014            18.228              -23.0027            
0.0382545           2816                28.2836             40.3719             -24.1726            -38.347             17.7484             -24.7064            
0.0417322           3072                31.8228             27.5563             -25.4497            -33.4242            18.9269             -28.479             
0.0452099           3328                22.6283             21.3521             -29.658             -34.8668            14.8319             -21.0092            
0.0486876           3584                17.9932             24.1096             -28.7012            -35.5168            12.537              -17.2941            
0.0521653           3840                17.0343             11.0266             -32.7784            -33.4321            12.0194             -16.5118            
0.055643            4096                11.2538             10.3895             -34.2178            -34.0441            9.39011             -11.5163            
0.0591207           4352                6.19619             12.4778             -34.0714            -34.6458            7.0048              -7.87841            
0.0625984           4608                4.59152             10.6208             -37.7239            -37.1325            6.1331              -7.13462            
0.066076            4864                4.55215             6.59218             -39.9551            -37.1258            5.99702             -8.81484            
0.0695537           5120                4.43908             2.10432             -40.8831            -35.6294            5.88572             -10.0419            
0.0730314           5376                4.07582             -2.21546            -40.9965            -34.0236            5.5965              -10.8674            
0.0765091           5632                5.91823             -3.76138            -39.4141            -32.6754            6.58937             -13.6065            
0.0799868           5888                7.66896             -7.46474            -40.6619            -32.3333            7.1757              -15.6215            
0.0834645           6144                10.5079             -5.46263            -41.1184            -33.574             8.296               -18.3999            
0.0869422           6400                10.3453             -3.81442            -44.5499            -37.5343            8.20059             -18.3749            
0.0904198           6656                10.2126             0.608287            -47.2433            -42.0665            7.95468             -17.4094            
0.0938975           6912                12.0973             2.32806             -49.8598            -44.2335            8.64511             -18.6362            
0.0973752           7168                10.2691             -1.41964            -48.1912            -40.2096            7.73515             -16.6438            
0.100853            7424                11.9699             2.61842             -49.8379            -43.7515            8.47032             -17.8716            
0.104331            7680                10.8429             7.9631              -52.1854            -48.8697            7.95924             -17.0764            
0.107808            7936                8.93205             11.0203             -54.7845            -52.3548            7.21569             -15.2318            
0.111286            8192                7.89361             13.3044             -54.5048            -53.2312            6.80697             -13.4731            
0.114764            8448                7.30376             20.1135             -55.2261            -56.9016            6.32212             -12.5963            
0.118241            8704                7.42266             21.3458             -52.6041            -55.1282            6.63276             -11.9769            
0.121719            8960                11.0522             22.3856             -52.5934            -55.1364            8.11139             -15.0708            
0.125197            9216                9.8413              19.8338             -53.4495            -54.2874            7.53287             -13.2273            
0.128674            9472                8.77139             27.5177             -52.1275            -56.3739            7.16945             -10.2223            
0.132152            9728                9.66868             40.1701             -51.8234            -61.4753            7.46545             -10.8595            
0.13563             9984                12.5282             38.8241             -53.5322            -63.7512            8.61136             -14.6482            
0.139107            10240               15.653              31.7527             -54.4864            -62.038             10.2437             -19.3773            
0.142585            10496               14.5182             28.0342             -55.6195            -60.2727            9.35931             -19.7915            
0.146063            10752               9.25313             31.8454             -54.172             -59.4091            7.25253             -13.7979            
0.149541            11008               12.4679             35.7641             -56.4415            -62.5436            8.61342             -14.9454            
0.153018            11264               14.4021             44.2877             -54.5377            -64.73              9.45402             -17.0707            
0.156496            11520               14.2455             47.0952             -54.4506            -65.8287            9.53109             -18.3186            
0.159974            11776               12.8339             38.1734             -54.2137            -61.8658            8.81458             -17.3031            
0.163451            12032               3.86728             37.9923             -54.4236            -62.7335            4.95                -9.83714            
0.166929            12288               2.34456             42.9506             -57.7791            -68.3149            4.394               -8.24053            
0.170407            12544               7.35615             47.1251             -56.1785            -68.9466            6.61492             -12.2874            
0.173884            12800               12.1035             42.2189             -57.3745            -66.1762            8.63697             -16.5998            
0.177362            13056               9.29961             43.5167             -56.5578            -65.6277            7.42175             -14.2616            
0.18084             13312               8.9615              50.5208             -56.5442            -69.0568            7.34443             -13.7919            
0.184317            13568               12.4744             53.2853             -55.5841            -69.7851            8.75055             -15.947             
0.187795            13824               7.38859             45.9877             -50.5708            -63.124             6.48735             -13.0343            
0.191273            14080               3.10949             49.6226             -52.316             -66.9544            4.12154             -9.24056            
0.19475             14336               2.03815             48.9667             -49.7861            -64.4964            3.53738             -7.8112             
0.198228            14592               4.70996             43.7895             -51.407             -64.2186            4.91065             -10.1584            
0.201706            14848               8.00482             45.1316             -53.0138            -66.3458            6.19169             -13.1723            
0.205183            15104               13.2592             51.2119             -56.6524            -72.5559            8.68912             -17.3406            
0.208661            15360               13.5342             58.12               -52.926             -72.3574            8.90262             -16.4412            
0.212139            15616               14.7228             61.5951             -52.4237            -71.987             9.55428             -18.0057            
0.215617            15872               16.7172             54.4591             -51.8926            -69.2496            10.4533             -19.6536            
0.219094            16128               15.735              50.8727             -53.5848            -69.5402            9.98168             -19.0044            
0.222572            16384               7.00828             47.4324             -51.042             -64.9259            6.14571             -11.7806            
0.22605             16640               7.02584             45.6075             -53.5855            -66.7409            6.23064             -11.1257            
0.229527            16896               11.3142             50.1143             -53.7689            -68.2462            8.05203             -13.6932            
0.233005            17152               11.2184             48.4201             -53.6607            -68.0522            7.5605              -12.7888            
0.236483            17408               16.0805             46.4335             -50.2374            -63.9846            9.80654             -18.2882            
0.23996             17664               13.1849             45.7141             -50.7877            -63.3311            8.80273             -16.568             
0.243438            17920               12.1667             48.6728             -49.2725            -63.4677            8.21475             -15.349             
0.246916            18176               9.44726             49.393              -50.0781            -65.2006            6.71082             -12.4281            
0.250393            18432               13.923              46.0839             -53.0082            -67.0718            8.58521             -16.6754            
0.253871            18688               18.3826             46.0257             -54.6801            -68.1866            10.3092             -21.1692            
0.257349            18944               21.6811             45.8016             -54.7556            -67.6532            12.2482             -23.9947            
0.260826            19200               22.2832             47.6279             -52.0182            -64.7564            12.7436             -23.4155            
0.264304            19456               21.3673             55.0599             -49.7476            -65.3649            12.1885             -23.5431            
0.267782            19712               16.6936             49.2942             -51.7248            -65.2191            10.1269             -20.4878            
0.27126             19968               13.1394             45.7494             -52.9487            -65.3399            8.22631             -17.7662            
0.274737            20224               9.75918             47.4694             -53.7431            -66.5697            6.99168             -13.2658            
0.278215            20480               9.70859             50.9755             -52.9406            -67.1446            6.86312             -12.4476            
0.281693            20736               12.9812             56.2637             -55.479             -71.1231            8.08419             -15.2636            
0.28517             20992               12.1245             56.1734             -55.2836            -70.3738            7.80941             -13.771             
0.288648            21248               12.9225             54.2659             -52.9315            -67.9902            8.12426             -14.5835            
0.292126            21504               12.2905             52.6589             -55.0648            -68.7822            8.22743             -14.6213            
0.295603            21760               10.6208             48.8291             -56.0098            -68.2701            7.33913             -12.7096            
0.299081            22016               9.96142             46.0404             -58.0929            -69.201             7.31953             -13.0476            
0.302559            22272               11.4216             47.592              -58.9645            -71.0137            8.14532             -12.5502            
0.306036            22528               12.3307             51.5999             -55.8834            -69.7583            8.29856             -13.5095            
0.309514            22784               12.3774             44.6836             -56.2737            -66.6051            8.46477             -13.1468            
0.312992            23040               9.20222             45.7626             -58.9453            -68.7756            7.01916             -11.9249            
0.316469            23296               8.02798             40.901              -60.5784            -69.0595            6.35745             -12.34              
0.319947            23552               8.20503             36.2477             -62.1082            -69.3785            6.42783             -12.3942            
0.323425            23808               9.99658             39.877              -60.7188            -69.5008            6.8265              -13.7833            
0.326903            24064               15.5906             41.1746             -59.8858            -68.8611            9.32896             -19.2791            
0.33038             24320               17.1006             37.1261             -58.326             -65.1089            9.88603             -21.6162            
0.333858            24576               11.1274             34.8364             -57.6694            -63.1396            7.35679             -16.0917            
0.337336            24832               9.05094             37.4812             -58.167             -64.6507            6.49635             -14.2889            
