#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.00143605          8.92983e-05         0.00804346          0.000813175         -0.00911194         -0.000239626        
0.00347769          256                 3.44986             0.377983            7.60301             -0.758526           -6.24761            0.568859            
0.00695537          512                 212.439             9.13908             333.336             -6.73932            -68.829             -19.8217            
0.0104331           768                 219.571             20.3025             822.964             97.8306             -609.461            -15.6214            
0.0139107           1024                70.8722             -10.6897            -15.1902            19.4606             -46.7918            -17.7431            
0.0173884           1280                -65.3502            -10.4348            -353.292            -1.32391            222.14              5.41968             
0.0208661           1536                -31.6906            3.16573             -315.028            -60.9863            393.459             38.0885             
0.0243438           1792                -34.8174            -8.09982            -245.927            -22.1549            286.859             -12.5245            
0.0278215           2048                -22.1828            2.3811              -67.035             6.54874             133.283             0.580163            
0.0312992           2304                -63.3263            -1.58544            -54.3713            -25.7117            -41.1519            7.89477             
0.0347769           2560                -24.3476            2.0572              -62.0984            -20.0796            60.4962             10.4456             
0.0382545           2816                -41.5095            -2.77666            -174.93             -14.4588            163.169             4.24957             
0.0417322           3072                -13.5392            -1.21057            -126.349            -8.13654            174.888             1.06485             
0.0452099           3328                -4.07317            -0.488688           -100.085            -11.2682            145.901             3.01472             
0.0486876           3584                -12.3514            -1.24835            -99.5025            -9.50591            116.046             2.71932             
0.0521653           3840                -11.421             -0.97292            -70.5054            -6.81677            80.4801             1.8738              
0.055643            4096                -10.3499            -0.668215           -55.2568            -5.62378            61.9639             1.95402             
0.0591207           4352                -6.84652            -0.612722           -56.9081            -5.661              69.6098             1.75522             
0.0625984           4608                -6.0597             -0.458811           -59.7766            -5.09874            74.2969             2.05006             
0.066076            4864                -9.78292            -0.774102           -60.7975            -5.5484             67.3212             1.81391             
0.0695537           5120                -11.3621            -0.664577           -57.8195            -5.794              61.6683             2.0794              
0.0730314           5376                -12.904             -0.578158           -61.4526            -6.27522            64.0415             2.57983             
0.0765091           5632                -13.1748            -0.645618           -64.3096            -6.76939            68.5619             2.44449             
0.0799868           5888                -13.773             -0.567708           -67.0807            -6.82846            72.2311             2.77018             
0.0834645           6144                -15.4243            -0.762466           -72.592             -7.43155            76.913              2.67316             
0.0869422           6400                -16.7763            -0.856256           -78.3027            -7.97492            82.9853             2.75505             
0.0904198           6656                -17.8726            -0.902443           -83.2382            -8.32615            88.1664             2.96502             
0.0938975           6912                -18.4068            -0.995831           -84.9699            -8.72017            90.4299             2.80052             
0.0973752           7168                -19.2675            -0.953503           -84.8583            -9.01943            89.191              3.04152             
0.100853            7424                -20.7866            -1.06252            -87.2516            -9.38121            89.4724             3.03668             
0.104331            7680                -20.8752            -1.02952            -88.3546            -9.44821            91.0432             3.15094             
0.107808            7936                -20.3793            -1.02589            -87.1266            -9.29037            90.8776             2.98027             
0.111286            8192                -20.3475            -0.999792           -85.8351            -9.35061            88.8179             3.05236             
0.114764            8448                -19.6062            -0.981028           -84.2178            -9.20133            87.4775             2.94382             
0.118241            8704                -18.9673            -0.927195           -82.5538            -8.65471            86.5261             2.88675             
0.121719            8960                -19.6194            -1.02977            -82.9626            -8.82702            85.3497             2.78869             
0.125197            9216                -19.4645            -0.944662           -83.8103            -8.79937            87.1971             2.98301             
0.128674            9472                -18.6568            -0.848808           -83.6806            -8.88972            88.4614             3.18466             
0.132152            9728                -18.5685            -0.977543           -83.3875            -8.81209            87.8732             2.82797             
0.13563             9984                -18.8238            -1.00416            -84.8387            -8.75251            89.5324             2.84197             
0.139107            10240               -18.497             -0.867196           -85.5924            -9.16312            91.9213             3.15624             
0.142585            10496               -18.7305            -0.989882           -86.4827            -9.57794            92.6698             2.91485             
0.146063            10752               -18.9325            -1.01211            -86.2901            -9.22144            91.7516             2.87024             
0.149541            11008               -19.1667            -1.01615            -86.0927            -9.58789            91.211              2.96214             
0.153018            11264               -19.5597            -1.10682            -85.2842            -9.41926            89.3341             2.69749             
0.156496            11520               -19.3167            -0.8626             -82.7849            -9.26964            86.5461             3.13832             
0.159974            11776               -19.3457            -0.823886           -81.2363            -8.90336            84.3056             3.11362             
0.163451            12032               -19.683             -1.00704            -80.6687            -8.73626            82.5477             2.77974             
0.166929            12288               -19.9668            -0.981045           -79.3484            -9.11399            79.6848             2.84515             
0.170407            12544               -19.5446            -1.06555            -76.3974            -8.43081            76.6845             2.43208             
0.173884            12800               -19.2616            -1.04368            -73.0786            -8.40373            72.6403             2.23835             
0.177362            13056               -19.8966            -0.878992           -71.4616            -8.05411            68.8394             2.72945             
0.18084             13312               -19.949             -0.911641           -72.1228            -8.34154            69.5137             2.66715             
0.184317            13568               -19.3616            -1.00223            -70.9935            -7.83744            69.5081             2.25101             
0.187795            13824               -19.821             -1.02799            -69.699             -8.4089             67.0279             2.21801             
0.191273            14080               -19.7958            -0.737254           -68.8659            -8.54501            65.5444             2.95973             
0.19475             14336               -19.1986            -0.656279           -67.5445            -7.75598            65.2823             2.94657             
0.198228            14592               -19.5831            -0.816752           -67.8062            -8.56283            64.4823             2.73466             
0.201706            14848               -18.7579            -0.758468           -64.6931            -7.59869            61.7513             2.53041             
0.205183            15104               -18.8733            -0.888649           -62.518             -7.58627            58.8308             2.17698             
0.208661            15360               -19.8297            -0.810367           -64.9729            -8.24994            59.6584             2.67574             
0.212139            15616               -19.5516            -0.85792            -66.1189            -8.0505             62.0572             2.47296             
0.215617            15872               -19.4603            -0.87682            -66.5584            -7.3915             62.8608             2.33831             
0.219094            16128               -19.0676            -0.754187           -66.1749            -8.12296            62.9711             2.67453             
0.222572            16384               -18.8774            -0.795017           -66.3371            -7.98806            64.1929             2.50333             
0.22605             16640               -19.5772            -0.881139           -66.0037            -7.8149             61.839              2.3403              
0.229527            16896               -19.6887            -0.848768           -65.634             -7.99006            61.1391             2.43542             
0.233005            17152               -20.6787            -0.771953           -68.3366            -8.04904            63.0316             2.80932             
0.236483            17408               -19.85              -0.845851           -66.9074            -8.07721            63.3594             2.43504             
0.23996             17664               -20.2297            -0.895609           -64.4718            -7.9921             59.2186             2.2787              
0.243438            17920               -20.0305            -0.819205           -63.8357            -7.74077            58.5285             2.42834             
0.246916            18176               -19.9824            -0.696306           -65.9125            -8.06041            61.2805             2.85122             
0.250393            18432               -19.5276            -0.727175           -68.1259            -8.25037            65.3501             2.7978              
0.253871            18688               -18.9906            -0.718003           -68.1805            -8.02991            66.7466             2.78834             
0.257349            18944               -18.9877            -0.832283           -66.4883            -8.11487            64.4706             2.45685             
0.260826            19200               -18.9798            -0.877873           -66.4222            -7.9744             64.1622             2.21976             
0.264304            19456               -19.4328            -0.829632           -69.0623            -8.40953            66.7704             2.64738             
0.267782            19712               -19.3034            -0.723384           -70.9586            -8.31133            69.9308             2.96887             
0.27126             19968               -19.3421            -0.88435            -71.3373            -8.2104             70.4876             2.4525              
0.274737            20224               -19.7964            -0.91377            -71.9045            -8.76103            70.5531             2.6024              
0.278215            20480               -19.0267            -0.893298           -71.59              -8.1504             71.5304             2.40969             
