#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.0153752          -0.00123711         0.057237            0.000277413         0.0420317           0.000847605         
0.00347769          256                 1467.3              38.6486             1589.35             -30.1781            1847.75             -3.1877             
0.00695537          512                 -781.736            85.2149             -566.628            -76.9719            -901.705            -0.884968           
0.0104331           768                 -452.769            57.5763             -172.932            -49.9407            -418.049            3.24858             
0.0139107           1024                571.435             -49.1455            196.983             46.6654             538.839             -5.41367            
0.0173884           1280                404.337             16.5498             58.4279             -17.5491            317.865             3.21355             
0.0208661           1536                965.092             -28.8257            345.029             22.099              888.194             5.64716             
0.0243438           1792                437.453             -5.07449            194.237             5.92946             417.164             -2.02948            
0.0278215           2048                -176.57             46.2175             -177.71             -40.9667            -226.19             1.90588             
0.0312992           2304                382.706             2.56271             185.611             -0.915366           374.346             -1.04336            
0.0347769           2560                330.138             6.39832             59.706              -6.22953            269.3               0.696573            
0.0382545           2816                307.891             13.6277             83.9573             -10.5438            266.223             0.0697744           
0.0417322           3072                356.687             8.37045             89.2291             -6.2197             303.195             -0.625327           
0.0452099           3328                329.974             12.0765             69.3988             -8.65727            273.329             -2.30489            
0.0486876           3584                341.644             12.938              83.4859             -9.99334            289.485             -1.28124            
0.0521653           3840                345.216             11.5011             74.6042             -8.4804             287.412             -1.83264            
0.055643            4096                360.228             11.4191             78.5734             -9.30181            300.439             -1.29846            
0.0591207           4352                364.966             11.3795             84.4001             -9.33801            307.181             -1.18927            
0.0625984           4608                343.451             10.8962             70.3086             -9.1845             284.037             -1.78081            
0.066076            4864                367.51              14.8027             81.3905             -13.1836            307.12              -0.747038           
0.0695537           5120                387.662             10.9051             84.4857             -8.88434            323.207             -1.6116             
0.0730314           5376                391.864             10.5092             85.0861             -8.93489            326.626             -1.50235            
0.0765091           5632                394.177             10.8195             83.038              -9.30052            327.031             -1.20495            
0.0799868           5888                401.128             11.5335             83.1117             -10.1392            332.203             -0.850671           
0.0834645           6144                408.514             10.4442             85.3613             -8.73298            338.693             -0.749918           
0.0869422           6400                407.138             9.37584             82.6691             -7.83181            336.083             -1.32139            
0.0904198           6656                410.487             9.8315              82.0632             -8.13949            337.941             -1.29931            
0.0938975           6912                415.822             9.16494             82.9145             -7.05858            342.389             -1.89526            
0.0973752           7168                412.605             10.0359             80.3678             -7.71158            338.837             -1.79028            
0.100853            7424                410.863             9.73595             79.3117             -7.25151            336.97              -2.02041            
0.104331            7680                411.842             11.3437             79.0346             -8.8603             337.547             -1.6203             
0.107808            7936                407.876             11.0875             76.8707             -8.36364            333.508             -2.03421            
0.111286            8192                405.343             12.5715             74.0246             -10.2064            330.182             -1.61349            
0.114764            8448                403.813             12.3327             73.5752             -10.1908            328.918             -1.77817            
0.118241            8704                400.833             12.3682             69.3028             -10.2255            324.697             -1.53897            
0.121719            8960                402.686             12.4964             69.4455             -10.5061            326.052             -1.63132            
0.125197            9216                405.04              12.9067             69.7634             -10.8184            328.18              -2.08657            
0.128674            9472                401.284             14.1149             64.9484             -11.7611            323.052             -2.13482            
0.132152            9728                399.667             14.1753             64.8825             -11.4299            321.614             -2.6927             
0.13563             9984                398.218             15.3215             65.5142             -12.3351            320.857             -2.29549            
0.139107            10240               403.26              14.6665             68.6342             -11.5514            325.801             -2.52836            
0.142585            10496               402.488             13.9107             66.3606             -10.3989            324.321             -2.71628            
0.146063            10752               403.314             14.4489             66.2932             -11.1985            325.066             -2.30705            
0.149541            11008               407.722             14.7292             66.347              -11.7648            328.306             -2.73248            
0.153018            11264               406.571             15.0108             66.8277             -11.6598            327.645             -2.90762            
0.156496            11520               404.12              15.8187             65.3931             -12.4938            325.181             -2.55483            
0.159974            11776               402.716             16.6455             63.8839             -13.5751            323.462             -1.81752            
0.163451            12032               406.593             14.867              65.5359             -12.0101            326.984             -2.15588            
0.166929            12288               405.798             14.7922             64.6054             -11.4287            325.846             -2.0083             
0.170407            12544               406.207             16.4196             65.8447             -12.9926            326.599             -1.64087            
0.173884            12800               407.907             12.7714             67.1642             -9.30993            328.555             -2.56519            
0.177362            13056               406.578             13.6882             65.1071             -10.4352            326.73              -2.48131            
0.18084             13312               410.649             13.849              67.0585             -10.5564            330.596             -2.25467            
0.184317            13568               402.356             16.4922             62.0792             -13.5058            321.876             -1.35263            
