#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -0.00108067         3.15851e-05         -0.000608551        6.01037e-05         0.00111027          3.33605e-05         
0.00347769          256                 -7.95095            0.264025            16.456              -1.14645            -53.3656            1.18965             
0.00695537          512                 331.84              0.573755            -122.668            -2.05784            595.275             7.50645             
0.0104331           768                 555.534             -1.58234            -367.547            -4.62767            1440.72             -4.97127            
0.0139107           1024                -190.863            -1.4209             337.305             -5.2315             -1105.41            2.99073             
0.0173884           1280                -274.668            -0.881328           195.658             0.824313            -774.67             3.0751              
0.0208661           1536                56.0808             0.723882            -142.595            0.636759            450.777             -5.3023             
0.0243438           1792                160.688             1.35169             -221.777            0.0825484           755.183             0.835625            
0.0278215           2048                -125.912            0.452304            63.237              0.538693            -271.105            3.98864             
0.0312992           2304                -8.52852            -0.698229           40.6068             -1.73457            -127.542            0.804336            
0.0347769           2560                12.8469             -1.19713            26.9444             -1.78526            -73.6408            -2.04338            
0.0382545           2816                -35.7467            -0.769196           48.9012             -1.0438             -170.536            -1.70301            
0.0417322           3072                3.31223             -0.31174            11.0708             -0.773919           -32.8166            -0.696754           
0.0452099           3328                17.3783             -0.494847           -8.45366            0.346144            34.0964             -0.212781           
0.0486876           3584                23.6312             -0.508285           4.88793             -0.936387           0.371814            -0.99074            
0.0521653           3840                -2.01823            -0.429512           20.965              -0.644354           -64.8549            -0.560368           
0.055643            4096                8.95999             -0.297053           8.37607             -0.839436           -20.1104            -0.272401           
0.0591207           4352                7.13974             -0.32439            1.46173             -0.364411           -1.28672            -0.409611           
0.0625984           4608                1.77504             -0.28755            -1.19698            -0.227226           2.62932             -0.664118           
0.066076            4864                5.80262             -0.180879           -3.35308            -0.380026           11.9899             -0.475853           
0.0695537           5120                3.94598             -0.180634           -1.68725            -0.193579           5.90445             -0.0914548          
0.0730314           5376                3.24758             -0.226876           0.619285            -0.373926           -1.12261            -0.498369           
0.0765091           5632                6.05931             -0.273946           0.00981603          -0.272781           2.57927             -0.435584           
0.0799868           5888                7.03437             -0.313244           0.179434            -0.270404           2.7389              -0.332908           
0.0834645           6144                6.96255             -0.305066           1.56088             -0.55329            -1.38301            -0.398689           
0.0869422           6400                5.79857             -0.334723           3.52236             -0.395356           -7.98162            -0.233227           
0.0904198           6656                4.99275             -0.358013           4.56946             -0.411227           -11.6499            -0.182873           
0.0938975           6912                4.1143              -0.353025           5.91525             -0.541058           -16.1754            -0.19348            
0.0973752           7168                2.04128             -0.375079           8.01129             -0.53684            -23.6444            -0.462566           
0.100853            7424                0.72082             -0.311088           9.59702             -0.513318           -29.0411            -0.297409           
0.104331            7680                0.544077            -0.323611           9.55598             -0.316838           -28.9876            -0.179967           
0.107808            7936                2.87491             -0.33314            7.74875             -0.439451           -21.9812            -0.449394           
0.111286            8192                3.71941             -0.310931           7.24471             -0.436198           -19.8432            -0.370097           
0.114764            8448                5.39897             -0.297645           6.40733             -0.455055           -16.2209            -0.296296           
0.118241            8704                5.21783             -0.287458           6.55177             -0.445674           -16.755             -0.320538           
0.121719            8960                6.14935             -0.252289           6.34343             -0.424679           -15.473             -0.0587625          
0.125197            9216                6.24164             -0.261522           6.41561             -0.524515           -15.6723            -0.16309            
0.128674            9472                6.28381             -0.264809           6.2793              -0.440507           -15.2547            -0.253802           
0.132152            9728                8.59494             -0.245131           5.20321             -0.47484            -10.4921            -0.0503064          
0.13563             9984                8.99232             -0.281591           5.17076             -0.390942           -10.1114            -0.175323           
0.139107            10240               9.65318             -0.262815           4.83635             -0.423832           -8.69531            -0.136482           
0.142585            10496               8.55536             -0.23098            5.96331             -0.536211           -12.6972            -0.098073           
0.146063            10752               8.20704             -0.212251           6.57859             -0.510295           -14.7863            0.0122987           
0.149541            11008               6.94115             -0.238586           7.46373             -0.504983           -18.2497            -0.0857107          
0.153018            11264               6.29941             -0.227206           7.55752             -0.621639           -18.9336            -0.101458           
0.156496            11520               5.07372             -0.250011           7.71036             -0.507298           -20.2151            -0.200239           
0.159974            11776               4.15118             -0.235621           7.56024             -0.507937           -20.4001            -0.171966           
0.163451            12032               2.34929             -0.242918           7.82146             -0.533073           -22.369             -0.311802           
0.166929            12288               1.67424             -0.237123           7.18967             -0.426484           -20.8997            -0.349484           
0.170407            12544               -0.0922844          -0.211284           7.11006             -0.369609           -21.8591            -0.367925           
0.173884            12800               -0.702299           -0.224567           6.94721             -0.338141           -21.7378            -0.299726           
0.177362            13056               -0.728217           -0.261654           6.687               -0.338902           -20.9768            -0.426121           
0.18084             13312               -2.17612            -0.240262           7.36852             -0.325109           -23.9631            -0.428533           
0.184317            13568               -3.28502            -0.180066           7.57943             -0.378003           -25.3438            -0.268027           
0.187795            13824               -2.71858            -0.169045           7.43577             -0.439923           -24.4838            -0.29678            
0.191273            14080               -3.58881            -0.230413           8.16814             -0.322196           -27.197             -0.36355            
0.19475             14336               -3.92331            -0.242258           8.65365             -0.370728           -28.8504            -0.438088           
0.198228            14592               -4.07671            -0.24043            8.85534             -0.444446           -29.4996            -0.441059           
0.201706            14848               -5.25278            -0.237607           9.6868              -0.348594           -32.7156            -0.467126           
0.205183            15104               -5.82758            -0.201206           9.79208             -0.455095           -33.3774            -0.359823           
0.208661            15360               -5.22887            -0.199298           9.06545             -0.314904           -30.7864            -0.431715           
0.212139            15616               -5.1787             -0.163424           8.58758             -0.435593           -29.3966            -0.321579           
0.215617            15872               -6.86317            -0.180112           9.93163             -0.276704           -34.4264            -0.39466            
