#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   3.62154e-05         -1.55445e-05        -5.4075e-05         1.72286e-05         0.000127204         -2.36687e-05        
0.00347769          256                 3.60217             -0.307744           -5.28304            0.091781            8.02653             -0.543054           
0.00695537          512                 101.447             3.1872              84.7533             -5.43574            -192.271            8.75636             
0.0104331           768                 -67.3186            -3.06263            184.91              3.25807             -281.556            -5.20468            
0.0139107           1024                76.8364             7.15746             173.181             -7.42732            -387.94             16.4328             
0.0173884           1280                66.5048             7.58756             253.432             -10.122             -566.83             17.0247             
0.0208661           1536                -24.7271            3.61924             17.5138             -2.44488            -41.654             7.21489             
0.0243438           1792                6.26816             0.427452            -21.2253            -1.35329            43.7979             -0.524792           
0.0278215           2048                -21.1078            1.39902             -23.8767            -0.910191           75.2979             1.98886             
0.0312992           2304                14.1191             -1.63213            -16.9507            1.17769             27.1425             -3.78337            
0.0347769           2560                -13.6745            -2.28053            -4.2486             1.621               11.6164             -5.02854            
0.0382545           2816                -15.0874            1.01187             -22.1119            -0.351634           54.432              1.77531             
0.0417322           3072                2.00589             -0.741226           -4.59911            0.302596            9.76888             -1.6055             
0.0452099           3328                -3.17644            0.285723            16.4336             -0.133378           -29.0751            0.390518            
0.0486876           3584                0.520337            -0.877672           11.0279             0.559787            -21.7883            -2.12599            
0.0521653           3840                -2.31936            0.736586            9.52427             -0.50736            -17.1198            1.4863              
0.055643            4096                0.188148            1.04156             15.6833             -0.565311           -29.4962            2.11156             
0.0591207           4352                3.30306             -0.165997           23.7331             0.115057            -46.9812            -0.533629           
0.0625984           4608                6.59025             0.174566            35.8113             -0.501017           -71.7664            0.327644            
0.066076            4864                6.43999             0.857279            32.7405             -0.93719            -66.3728            1.88663             
0.0695537           5120                2.6661              0.672171            21.5803             -0.409836           -42.5725            1.37435             
0.0730314           5376                -1.23874            0.24222             8.79983             -0.146266           -15.3222            0.387712            
0.0765091           5632                -2.24467            0.0489932           1.8278              0.0222823           -0.534267           -0.0468581          
0.0799868           5888                -0.580089           -0.433819           6.03237             0.219388            -9.0147             -1.06861            
0.0834645           6144                -1.04717            -0.214233           4.19557             0.121378            -5.3771             -0.584388           
0.0869422           6400                -2.47256            0.0537504           -0.419686           0.132415            4.93218             -0.0602882          
0.0904198           6656                -3.5311             0.126548            -2.71644            -0.124636           9.87514             0.12506             
0.0938975           6912                -3.80144            0.205025            -3.97013            0.0970547           12.6509             0.262824            
0.0973752           7168                -4.55654            0.188205            -5.27527            0.215863            16.0882             0.148267            
0.100853            7424                -4.19327            0.118002            -3.22597            0.185293            12.7461             0.00716486          
0.104331            7680                -3.25643            0.175358            -0.12603            0.0159876           6.93954             0.168929            
0.107808            7936                -3.82395            -0.170157           -0.108744           0.287931            6.86081             -0.656719           
0.111286            8192                -3.67197            0.0222616           0.590062            0.181202            5.55539             -0.245031           
0.114764            8448                -3.52249            0.519197            1.1112              -0.106105           5.015               0.821676            
0.118241            8704                -3.58868            0.162414            1.62913             0.037373            3.94039             0.00317931          
0.121719            8960                -3.22383            -0.162709           2.42659             0.16231             2.47952             -0.536324           
