#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000771603         4.63028e-06         -0.00206907         0.000114449         0.00019865          4.70833e-06         
0.00347769          256                 666.138             -5.43363            -5386.74            16.413              345.605             1.48821             
0.00695537          512                 -195.509            6.81541             1607.81             48.9535             -185.9              5.83432             
0.0104331           768                 -163.753            3.88861             947.196             10.9024             193.5               0.191131            
0.0139107           1024                -26.8376            1.09435             802.768             -16.2699            207.816             -2.78092            
0.0173884           1280                -115.637            -0.0175261          1077.54             -0.722523           349.869             -0.273534           
0.0208661           1536                -36.4119            1.04812             339.938             -6.31992            174.618             0.993164            
0.0243438           1792                -111.972            -2.4513             349.347             -10.1646            -31.2061            -1.2347             
0.0278215           2048                -74.596             0.780253            49.9306             6.45954             0.818164            0.969014            
0.0312992           2304                -54.0676            1.37358             129.364             -8.09444            -18.5143            -0.598521           
0.0347769           2560                -41.2277            1.72426             1.91973             -0.463897           27.0672             -0.211038           
0.0382545           2816                -59.5895            -0.753968           88.7708             -2.74195            7.03645             0.470364            
0.0417322           3072                -53.6362            1.33767             43.426              -0.661452           7.08419             -0.323817           
0.0452099           3328                -62.372             -0.112929           55.5575             -3.43697            1.31164             -0.053213           
0.0486876           3584                -68.2238            1.04178             90.675              -1.35443            8.96824             -0.263891           
0.0521653           3840                -72.3271            0.559926            101.659             -2.23919            11.1462             -0.0705886          
0.055643            4096                -74.6217            0.42187             98.2933             -3.14698            10.982              -0.272734           
0.0591207           4352                -79.1685            0.747251            106.349             -1.57361            5.27501             -0.163302           
0.0625984           4608                -82.5831            0.203705            114.571             -3.20013            7.60091             -0.262417           
0.066076            4864                -82.647             0.930571            110.983             -0.815228           7.89368             -0.111727           
0.0695537           5120                -81.554             0.241831            99.369              -3.56492            7.29228             -0.227416           
0.0730314           5376                -82.1947            0.716042            95.5402             -2.1979             8.26787             -0.533315           
0.0765091           5632                -81.3078            0.121209            80.2287             -3.23318            9.89445             -0.208201           
0.0799868           5888                -80.6205            0.721958            68.9249             -2.06485            9.04781             -0.364419           
0.0834645           6144                -80.8457            0.342857            66.5429             -3.18372            9.75517             -0.340411           
0.0869422           6400                -81.6238            0.315247            68.0785             -2.61855            10.4572             -0.523287           
0.0904198           6656                -82.7076            0.571125            68.0119             -1.93285            9.93248             -0.557658           
0.0938975           6912                -83.134             0.539217            64.9165             -2.19363            8.44872             -0.426309           
0.0973752           7168                -83.4562            0.575293            63.3525             -1.81228            8.5376              -0.386558           
0.100853            7424                -83.5361            0.469598            60.8789             -2.54861            7.89911             -0.332689           
0.104331            7680                -83.9608            0.815476            60.9829             -1.57069            6.74983             -0.263726           
0.107808            7936                -84.8124            0.653006            64.0494             -2.47452            6.41815             -0.370014           
0.111286            8192                -85.6361            0.836561            69.6201             -1.80423            7.21832             -0.30424            
0.114764            8448                -86.632             0.618275            77.2477             -2.59663            8.17035             -0.346037           
0.118241            8704                -87.5075            0.840273            84.0696             -1.52825            9.4062              -0.293016           
0.121719            8960                -87.3077            0.933679            84.9775             -1.918              11.0923             -0.336593           
0.125197            9216                -87.728             0.943931            86.4578             -1.75327            10.7417             -0.358381           
0.128674            9472                -87.77              0.95171             84.3047             -1.13972            9.77368             -0.154917           
0.132152            9728                -88.3329            1.10659             85.8866             -0.790654           9.16296             -0.172236           
0.13563             9984                -88.4108            0.901965            83.4203             -0.733704           8.18769             -0.00965942         
0.139107            10240               -88.6214            0.833448            83.7627             -1.37512            7.47026             -0.240336           
0.142585            10496               -88.5147            0.691471            82.0129             -2.41878            7.32769             -0.37861            
0.146063            10752               -88.9336            0.694379            82.9115             -2.40763            6.69508             -0.316568           
0.149541            11008               -88.6951            0.695144            81.4428             -2.54953            6.80322             -0.499184           
0.153018            11264               -88.9005            0.800265            79.4375             -2.08755            6.2142              -0.52539            
0.156496            11520               -88.8671            0.944653            77.2281             -2.07778            4.74984             -0.46499            
0.159974            11776               -89.2825            0.917836            79.586              -1.90478            5.3093              -0.439972           
0.163451            12032               -89.1632            0.684219            79.8692             -3.12262            5.58381             -0.617095           
0.166929            12288               -89.5458            0.605469            81.7161             -3.73424            5.67376             -0.642113           
0.170407            12544               -90.2487            0.846702            79.8576             -2.4822             3.58265             -0.469001           
0.173884            12800               -90.2916            0.574675            79.5822             -3.35481            2.94171             -0.635592           
0.177362            13056               -89.6841            0.48818             74.9368             -2.64611            3.44751             -0.551427           
0.18084             13312               -89.6736            0.533114            78.999              -2.1954             4.03569             -0.294551           
0.184317            13568               -90.2482            0.943899            82.4501             -1.05469            4.95463             -0.335154           
0.187795            13824               -90.6487            0.625483            83.5927             -3.01204            5.30223             -0.531527           
0.191273            14080               -91.3166            0.946956            91.7255             -1.92145            5.18793             -0.426111           
0.19475             14336               -91.6326            0.559978            94.5801             -2.99339            7.02036             -0.461567           
0.198228            14592               -92.1454            0.257508            98.5697             -3.89838            6.9383              -0.852206           
0.201706            14848               -92.8881            0.370087            104.189             -2.7554             8.00892             -0.655051           
