#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   -1.4883e-05         1.71982e-05         0.00017562          -2.36197e-05        -6.03101e-05        -2.9184e-06         
0.00347769          256                 0.319952            0.311269            1.71478             -0.543395           -0.0378699          0.0169042           
0.00695537          512                 -0.707695           7.18076             48.8638             -8.41132            -11.6789            0.471079            
0.0104331           768                 1.60786             -0.0439681          9.638               -0.0922804          0.0138773           -0.333224           
0.0139107           1024                1.04199             -1.41351            -2.37743            0.877338            1.99616             -0.0359898          
0.0173884           1280                1.78222             -0.90504            -11.8553            1.02104             4.90556             0.243733            
0.0208661           1536                0.62229             -2.65991            -16.7916            3.55369             4.72685             0.00803891          
0.0243438           1792                0.00136907          0.0469355           0.0527688           -0.390647           0.0532114           0.128532            
0.0278215           2048                0.196699            0.116494            -1.55415            0.225019            0.633297            0.0960919           
0.0312992           2304                0.120126            -0.183247           0.982433            0.0825171           -0.0648843          0.0855834           
0.0347769           2560                -0.00316298         -0.569781           -2.90312            0.639435            0.693854            0.131115            
0.0382545           2816                0.0145553           -0.380662           -0.737757           0.619136            0.201586            0.0628341           
0.0417322           3072                -0.0666787          -0.322541           -1.0053             0.383569            0.162775            0.0414715           
0.0452099           3328                -0.0816465          -0.151471           -0.287953           0.243301            -0.0361385          0.00114223          
0.0486876           3584                -0.113521           -0.171621           -0.513906           0.208441            -0.023993           0.00995836          
0.0521653           3840                -0.129858           -0.190918           -0.463374           0.309998            -0.0649907          -0.0081542          
0.055643            4096                -0.178125           -0.226542           -0.539847           0.279949            -0.108353           -0.0268728          
0.0591207           4352                -0.216838           -0.170821           -0.181191           0.224188            -0.240667           -0.0244338          
0.0625984           4608                -0.219294           -0.148074           -0.223511           0.186157            -0.235253           -0.015052           
0.066076            4864                -0.239128           -0.153386           -0.430817           0.250522            -0.213555           -0.0105638          
0.0695537           5120                -0.276676           -0.204458           -0.688914           0.304633            -0.196011           -0.0100209          
0.0730314           5376                -0.302629           -0.196609           -0.777953           0.206073            -0.199609           0.0023575           
0.0765091           5632                -0.318163           -0.158319           -0.937214           0.219284            -0.175422           0.0251491           
0.0799868           5888                -0.348151           -0.208473           -1.08216            0.245399            -0.173282           0.0329188           
0.0834645           6144                -0.391883           -0.256292           -1.21286            0.306305            -0.193268           0.036225            
0.0869422           6400                -0.439198           -0.233366           -1.23615            0.278213            -0.245496           0.0502283           
