#Time               nTime               force-x             force-y             force-z             moment-x            moment-y            moment-z            
0                   0                   0.000192157         6.0359e-05          -0.00011493         -7.54431e-05        0.000306555         0.00011207          
0.00347769          256                 3.93084             0.75857             -5.54159            -1.00096            8.62262             0.167426            
0.00695537          512                 399.47              13.1645             111.224             -30.8807            335.394             -4.22136            
0.0104331           768                 353.41              43.3273             33.3467             -49.9238            334.225             12.2439             
0.0139107           1024                -152.762            -22.045             -14.5531            30.6089             -162.303            -0.416721           
0.0173884           1280                -203.478            -4.96684            -61.1845            14.6036             -140.717            6.48941             
0.0208661           1536                -371.123            -35.5079            -60.3155            43.0264             -353.598            -7.69873            
0.0243438           1792                59.9185             5.46776             20.0147             1.01902             62.8415             -2.37172            
0.0278215           2048                88.5397             -1.57873            33.5951             2.13511             68.522              -9.36527            
0.0312992           2304                21.6231             -2.10572            7.05736             0.0207561           9.31972             -3.50539            
0.0347769           2560                31.9926             3.48086             30.2251             -4.09763            9.83738             -0.127942           
0.0382545           2816                3.02486             -1.85187            -20.0504            0.980692            18.6235             -4.28486            
0.0417322           3072                34.1888             2.11322             19.3044             -2.01939            21.3768             -0.0492114          
0.0452099           3328                26.46               -1.68685            6.63913             0.59691             22.2971             -3.74335            
0.0486876           3584                6.75454             0.888313            0.168455            -0.945808           6.96144             0.575414            
0.0521653           3840                7.07453             -0.0829869          4.01892             -0.173002           4.23479             -1.0959             
0.055643            4096                1.10853             -1.50263            -0.45853            1.493               1.00312             -1.37622            
0.0591207           4352                4.28805             -0.455999           3.2799              0.611814            1.75841             -0.783799           
0.0625984           4608                2.20418             -0.891867           -0.141223           0.826366            2.62057             -1.33672            
0.066076            4864                -4.81997            -0.923314           -0.650283           1.1519              -4.56592            -0.728912           
0.0695537           5120                -5.26259            -0.910134           0.114705            1.08242             -5.7565             -0.648836           
0.0730314           5376                -6.43263            -1.03185            -0.644372           1.35828             -6.36284            -0.608696           
0.0765091           5632                -4.75346            -0.366771           -0.125738           0.507314            -5.06154            -0.533096           
0.0799868           5888                -4.5887             -1.19559            0.505023            1.27216             -5.45328            -1.13927            
0.0834645           6144                -4.77174            -0.791183           0.480133            0.921589            -5.62873            -0.807619           
0.0869422           6400                -4.65274            -0.714145           0.578751            0.832106            -5.59547            -1.0039             
0.0904198           6656                -4.04692            -0.690663           0.849585            0.837749            -5.16423            -1.04161            
0.0938975           6912                -2.31166            -0.536728           1.37392             0.638958            -3.80531            -1.07967            
0.0973752           7168                -1.19036            -0.62946            2.20611             0.80351             -3.36019            -1.09372            
